,ch1,ch2,ch3,ch4
0,161.94,32.56,58.04,14.62
1,29.43,-25.4,54.85,4.43
2,-70.4,40.99,52.0,3.19
3,-79.95,1.64,60.05,17.63
4,-49.96,15.95,56.48,26.49
5,-17.67,40.53,52.94,17.04
6,-8.32,38.19,44.76,18.36
7,-35.87,-49.07,52.44,17.77
8,-37.08,33.24,46.39,14.73
9,-24.79,84.52,38.08,11.7
10,-39.94,14.36,41.68,17.53
11,43.57,-17.48,33.3,10.42
12,140.36,46.79,30.45,5.74
13,-147.81,10.24,30.6,9.29
14,-68.93,3.58,31.15,22.3
15,-23.45,-7.94,31.67,18.86
16,-35.58,-9.97,33.58,9.36
17,-27.26,19.65,21.02,7.04
18,167.9,64.92,22.78,-0.2
19,-56.2,39.64,27.09,19.68
20,-123.07,17.99,24.24,32.08
21,-54.67,-30.23,23.25,33.47
22,87.29,11.81,13.29,12.45
23,-17.06,62.35,63.22,33.49
24,-19.78,39.96,11.95,28.55
25,-31.65,25.61,-15.17,-11.6
26,-72.46,-51.94,6.3,22.7
27,136.02,-1.61,37.95,11.76
28,-30.55,80.59,10.77,8.96
29,-115.28,45.03,12.19,11.18
30,21.46,24.72,30.74,16.51
31,34.71,61.14,1.78,24.62
32,-54.5,23.33,21.34,48.41
33,24.62,94.03,15.28,-2.89
34,43.42,-17.05,36.88,-1.55
35,-9.76,-8.18,51.44,27.68
36,-90.36,-39.17,-4.06,20.91
37,-59.32,-49.99,23.97,12.54
38,60.92,85.6,20.05,-1.67
39,-64.88,38.87,28.59,15.32
40,-25.09,66.6,34.88,10.6
41,176.96,52.15,32.94,2.69
42,-231.86,48.58,37.76,10.35
43,-75.95,17.82,48.13,44.55
44,-63.02,-18.17,47.45,19.69
45,50.22,46.42,30.64,-10.41
46,29.22,50.09,43.05,6.53
47,84.83,27.07,47.89,33.72
48,-137.26,48.11,51.48,12.53
49,-10.01,51.26,47.41,9.65
50,-17.82,-26.57,37.27,9.66
51,-73.22,27.78,51.67,24.75
52,-38.52,78.14,48.66,20.6
53,-58.0,11.79,43.67,15.35
54,57.86,46.01,36.27,4.22
55,-5.88,-2.85,47.98,11.98
56,-15.81,13.08,42.01,20.13
57,-29.54,36.48,49.02,49.18
58,10.23,77.6,43.74,7.4
59,-33.27,8.96,38.09,-0.82
60,98.54,45.04,33.77,15.03
61,-139.52,105.13,43.03,27.49
62,-40.14,-43.49,43.75,15.24
63,-30.67,34.74,41.46,0.43
64,-43.55,-1.13,47.47,29.12
65,4.04,102.11,38.15,19.39
66,-146.95,26.57,41.83,38.44
67,-3.36,-117.07,37.13,33.46
68,157.01,81.3,36.8,27.5
69,-120.59,46.94,31.36,4.55
70,-53.0,32.0,40.21,19.46
71,-23.97,12.96,38.47,7.3
72,35.9,53.48,24.97,-3.06
73,-54.27,28.98,33.52,11.29
74,-36.53,2.24,39.91,25.9
75,-3.14,18.08,37.22,33.72
76,25.41,38.53,38.36,27.05
77,-72.34,11.27,38.27,6.62
78,-25.73,10.96,30.05,7.55
79,-44.4,22.0,35.49,18.43
80,-48.3,-6.94,36.13,26.28
81,40.72,64.01,32.75,25.81
82,-2.49,69.26,25.57,25.59
83,-7.7,-12.57,31.35,29.59
84,22.9,-10.44,31.43,33.05
85,-5.6,13.44,30.16,-9.86
86,-114.01,72.8,30.93,21.5
87,-15.89,-23.19,33.75,15.37
88,-125.78,-75.86,35.44,30.77
89,58.03,89.91,27.13,9.84
90,17.26,20.68,32.47,21.38
91,-20.12,59.84,36.99,7.64
92,-14.39,3.31,29.5,2.32
93,-14.94,21.8,32.68,28.23
94,-35.07,26.14,44.1,25.15
95,-53.88,-10.41,33.62,13.63
96,-22.82,-13.2,36.1,17.77
97,132.15,13.73,36.35,27.05
98,-202.78,-31.79,42.27,31.25
99,-58.02,45.75,41.46,32.39
100,81.83,96.83,31.33,13.32
101,-50.86,55.11,29.85,-2.42
102,-0.95,36.53,36.72,18.89
103,38.33,13.98,36.72,24.7
104,73.4,9.06,37.18,22.28
105,-125.04,-5.01,29.59,13.06
106,-84.47,-10.76,36.13,24.22
107,-44.95,24.22,37.96,11.06
108,-2.95,33.79,39.64,29.2
109,-31.96,26.0,38.27,26.32
110,28.09,3.99,43.11,16.08
111,-57.7,22.29,28.14,7.11
112,60.83,102.02,32.3,15.85
113,-20.98,49.62,33.37,14.14
114,-2.1,79.84,40.28,28.38
115,34.29,-45.59,30.23,5.02
116,-154.87,-67.96,44.39,21.55
117,-25.99,47.61,39.89,23.36
118,78.79,32.86,25.46,6.7
119,-36.95,-43.15,32.28,11.21
120,-75.32,15.75,35.66,21.3
121,-16.13,82.78,32.47,23.16
122,96.73,50.68,29.65,10.99
123,-8.16,80.78,30.72,12.93
124,-0.74,-3.77,32.03,19.34
125,-65.64,-51.51,30.38,16.91
126,-69.35,30.95,33.5,15.91
127,-84.9,-20.32,38.95,27.89
128,34.28,-34.14,45.4,27.75
129,29.03,124.84,32.11,16.62
130,-20.24,26.51,29.65,29.45
131,-46.26,-40.89,34.28,11.51
132,-49.13,88.98,29.92,19.26
133,83.44,92.93,28.28,12.72
134,67.46,3.81,31.73,18.43
135,13.59,44.89,31.82,16.9
136,12.47,-15.19,29.55,16.69
137,-146.48,-11.18,29.52,22.99
138,0.44,47.72,33.16,24.84
139,-186.21,-40.13,35.39,24.51
140,24.65,25.59,25.83,21.5
141,130.12,90.95,23.53,12.96
142,60.44,77.62,22.0,13.37
143,77.31,9.44,16.93,12.06
144,-296.9,-15.04,30.59,29.96
145,60.74,71.1,21.52,9.23
146,96.79,23.9,32.87,22.84
147,-50.31,49.38,30.96,20.17
148,-3.09,1.79,28.34,16.41
149,-3.77,11.46,26.86,6.43
150,-33.55,11.06,46.85,35.34
151,125.36,58.71,25.07,5.48
152,-190.96,-47.54,48.11,22.79
153,27.18,13.33,42.43,23.6
154,113.15,96.03,37.59,17.26
155,-83.68,60.38,42.59,18.7
156,2.29,102.28,41.48,18.49
157,-5.05,40.37,48.71,16.1
158,-13.13,48.98,50.29,14.35
159,-0.5,-8.81,44.48,8.43
160,8.56,56.89,54.94,19.52
161,-68.37,-69.29,55.44,20.52
162,-7.45,-10.9,59.69,24.39
163,-40.56,41.41,49.38,18.3
164,-1.16,76.02,55.19,25.64
165,2.78,27.48,50.84,23.79
166,4.63,16.35,44.02,4.73
167,-38.42,-31.17,55.14,20.92
