,ch1,ch2,ch3,ch4
0,-13.0,2.46,33.29,11.76
1,60.75,5.85,32.53,13.41
2,-101.98,-2.62,36.73,12.59
3,-56.84,-1.89,37.56,14.36
4,-2.77,3.91,35.85,9.77
5,-9.74,11.75,31.27,7.17
6,10.87,14.37,32.88,12.52
7,-38.88,8.1,32.9,9.91
8,-46.91,-6.0,33.71,9.15
9,-18.37,-8.27,35.58,7.83
10,-14.34,-13.0,31.55,8.97
11,-17.21,10.43,32.39,12.44
12,-11.03,-11.75,32.33,11.24
13,-2.61,23.77,33.61,8.72
14,-16.68,13.87,34.55,11.13
15,-40.25,1.11,34.84,10.74
16,-32.34,17.91,32.48,12.41
17,81.82,19.42,37.46,9.18
18,-75.12,-1.58,35.98,7.17
19,-74.26,-6.49,34.13,8.31
20,-22.37,15.55,33.92,7.31
21,-21.24,22.26,37.06,8.62
22,-2.61,8.45,37.3,10.68
23,-27.71,-1.64,31.94,9.19
24,-5.45,-6.62,31.76,10.65
25,-14.1,16.65,31.35,8.47
26,-40.76,14.27,35.2,7.23
27,-23.15,7.15,33.69,7.81
28,-22.61,15.72,35.51,10.66
29,-25.28,24.21,35.73,10.08
30,-10.45,-3.2,36.23,8.41
31,28.53,11.65,38.04,12.27
32,4.18,11.63,34.59,12.12
33,-106.45,10.83,37.59,9.98
34,-24.52,20.95,40.42,9.94
35,-24.32,-2.2,34.86,10.32
36,-21.2,3.68,34.3,6.29
37,-19.07,2.98,34.16,9.97
38,-46.88,-0.95,33.49,12.24
39,7.28,12.18,34.41,9.93
40,3.7,29.85,30.95,8.19
41,-19.91,8.29,31.51,7.32
42,-13.23,8.61,35.58,9.99
43,5.24,27.24,36.6,14.01
44,-55.03,-2.07,34.44,4.37
45,-31.82,4.8,34.68,10.27
46,1.75,-13.93,34.58,11.77
47,52.95,1.96,32.51,8.77
48,-105.87,33.1,32.46,10.26
49,-39.55,12.22,36.13,11.64
50,-0.56,14.26,36.51,12.62
51,-18.36,4.8,33.85,11.53
52,-40.38,-1.25,29.69,6.42
53,-21.94,9.44,33.98,8.37
54,-27.15,1.2,34.31,9.84
55,-0.2,-2.21,33.08,10.1
56,-13.97,17.06,29.79,9.21
57,-29.67,20.21,32.26,6.75
58,-37.59,-13.64,31.2,9.92
59,2.0,6.39,28.6,7.61
60,-14.7,-6.82,29.37,9.26
61,-5.69,31.86,32.23,10.53
62,18.88,11.81,30.3,11.78
63,-28.05,3.57,31.21,5.94
64,-23.3,5.71,30.81,6.09
65,10.78,7.93,30.39,8.31
66,-52.31,32.14,36.15,14.71
67,-53.41,0.23,35.41,14.13
68,-22.63,-9.73,30.57,12.86
69,-40.89,11.31,28.71,13.01
70,-8.49,12.52,31.45,12.87
71,-27.44,2.68,32.43,11.14
72,-30.2,2.42,29.16,13.35
73,-4.14,21.65,31.14,14.14
74,-11.95,9.89,33.06,11.62
75,-7.86,10.91,32.8,11.11
76,-9.49,14.8,32.36,10.92
77,-26.75,11.42,32.16,13.27
78,-38.25,-0.02,28.72,14.45
79,-14.76,1.36,35.79,12.81
80,-5.02,19.06,31.85,9.08
81,-28.91,1.71,29.66,8.7
82,66.5,8.32,28.82,8.37
83,-4.3,10.86,29.22,7.27
84,-95.33,30.75,32.07,11.98
85,-47.64,-17.09,28.18,11.64
86,-40.78,0.99,31.95,8.83
87,-2.72,4.34,30.76,6.65
88,-9.8,11.14,30.86,10.31
89,-7.37,15.23,31.12,7.41
90,-11.63,1.98,32.24,8.37
91,-20.09,7.65,31.31,12.15
92,-15.98,5.12,29.0,6.7
93,-16.09,-29.02,31.91,7.83
94,-30.8,-9.96,29.66,6.53
95,2.68,6.72,34.54,10.74
96,17.91,47.76,27.84,5.84
97,64.69,27.68,29.94,7.44
98,-91.31,-11.5,31.87,5.36
99,-21.93,3.45,30.16,7.18
100,-21.38,27.11,32.29,8.44
101,-9.26,30.01,32.91,10.74
102,-20.91,4.22,32.4,7.1
103,-22.73,8.22,30.53,5.4
104,-3.72,24.12,31.0,5.34
105,-2.48,26.99,32.05,10.29
106,-29.85,4.16,33.23,9.42
107,-23.38,11.12,32.6,9.34
108,-19.91,10.4,34.91,7.82
109,-32.44,-5.63,33.66,7.32
110,2.36,-6.01,34.79,1.99
111,25.66,34.52,32.85,3.74
112,-9.32,45.33,31.29,6.51
113,-57.27,27.97,34.05,6.15
114,-17.86,22.47,30.43,3.09
115,-22.76,-9.04,36.29,1.18
116,-37.77,-0.15,35.95,3.88
117,-24.28,-10.78,36.71,9.78
118,2.18,-1.66,37.08,5.04
119,-6.08,17.89,35.89,4.39
120,-27.41,12.85,33.81,9.99
121,-17.64,15.16,38.14,6.96
122,-23.59,7.0,34.9,9.04
123,-27.99,-8.67,35.7,8.49
124,1.93,25.33,30.73,6.31
125,-13.31,14.99,32.89,6.9
126,-32.77,7.35,33.87,7.98
127,-21.96,5.61,32.97,9.79
128,-15.24,3.75,32.02,9.96
129,-3.69,20.91,28.69,10.2
130,-3.04,14.94,31.97,11.11
131,52.11,25.34,31.01,7.0
132,-99.54,-3.31,36.8,8.62
133,-24.73,9.25,35.57,12.61
134,-27.07,10.46,30.03,8.35
135,-6.99,9.39,29.98,7.56
136,-17.4,19.33,34.05,8.24
137,-16.56,17.33,32.71,8.17
138,-20.68,0.88,33.46,9.49
139,1.6,14.22,35.36,9.57
140,-19.35,7.53,34.19,11.32
141,-38.39,-4.34,34.13,7.64
142,-14.96,16.63,31.54,9.98
143,-31.02,5.45,32.07,7.52
144,-18.16,-12.06,30.92,6.09
145,58.71,31.42,34.81,11.22
146,-94.66,10.08,34.44,9.51
147,-47.86,9.11,35.12,9.13
148,-28.23,25.82,34.86,11.4
149,12.33,36.97,35.17,6.72
