,ch1,ch2,ch3,ch4
0,-12.15,37.43,54.48,12.41
1,-12.45,7.14,50.4,25.71
2,-10.75,-5.31,60.36,5.73
3,18.44,56.74,-35.37,22.65
4,-28.3,68.29,26.87,27.1
5,-19.17,6.34,27.11,10.44
6,-19.34,-17.4,59.01,33.71
7,-13.91,-7.24,125.11,-15.37
8,-12.5,28.45,151.41,-0.86
9,-4.99,67.8,-95.7,72.3
10,129.93,24.8,343.1,18.58
11,-160.11,-58.28,-152.4,-47.74
12,17.88,12.84,-58.84,39.85
13,-58.21,-17.57,14.33,23.51
14,-56.52,74.54,39.47,2.98
15,-6.28,-14.53,5.73,31.44
16,17.11,-34.88,92.07,-3.14
17,31.18,4.73,-71.52,-22.71
18,-74.66,25.14,42.87,35.05
19,-23.17,34.2,77.88,35.4
20,15.7,24.14,143.67,5.95
21,-16.99,43.4,-22.84,-24.33
22,119.94,-40.01,-41.3,44.42
23,-120.8,-24.22,56.29,18.54
24,-56.69,4.72,117.79,39.18
25,-0.63,37.76,89.05,-5.88
26,9.18,6.95,88.71,-13.13
27,-48.07,-0.34,31.03,19.5
28,3.02,6.54,-99.34,29.77
29,113.17,20.61,54.46,-12.12
30,-114.6,43.12,20.59,29.55
31,-51.89,-12.79,1.61,-7.89
32,-11.11,7.85,155.1,47.27
33,1.64,40.57,-70.85,31.3
34,-26.86,-41.18,89.79,-13.33
35,-17.0,23.4,49.59,43.81
36,55.9,-17.62,306.91,30.59
37,-74.75,-39.13,-170.41,-16.85
38,-22.68,35.91,80.56,-18.06
39,87.32,39.87,89.08,27.75
40,-104.02,-2.19,-112.91,22.25
41,-44.28,4.64,20.23,22.36
42,10.07,29.93,67.5,4.25
43,-0.41,103.49,64.48,31.96
44,-6.68,31.92,-6.86,17.48
45,-30.27,-75.23,132.75,32.49
46,-12.56,-56.75,-56.29,41.56
47,-9.35,37.01,162.31,3.18
48,49.36,26.61,26.33,3.3
49,-55.68,2.21,-37.76,19.14
50,-31.47,-0.54,288.05,31.81
51,63.05,25.07,-18.19,6.03
52,-16.83,13.39,-82.32,6.67
53,-102.64,34.74,26.0,13.35
54,11.66,-72.04,-43.61,-27.85
55,-45.22,-1.88,22.7,50.37
56,-8.05,52.89,37.31,15.99
57,17.21,24.89,39.2,10.54
58,-33.4,23.25,37.11,58.59
59,-14.39,4.65,156.57,4.32
60,-24.92,0.41,45.82,-7.8
61,22.83,42.02,96.76,-1.07
62,-4.92,-2.25,89.26,26.92
63,66.44,-1.5,166.97,13.14
64,7.6,20.01,-234.14,22.96
65,-154.7,51.54,51.73,45.04
66,-19.96,43.79,47.37,-24.83
67,-13.23,8.54,92.28,-1.01
68,44.67,22.66,-9.08,3.72
69,-80.46,-27.45,-13.53,5.52
70,-10.05,7.27,57.41,51.31
71,-27.53,131.12,148.1,72.19
72,81.23,-23.86,-53.5,-38.52
73,17.68,-47.35,52.38,10.32
74,-97.96,68.46,59.06,0.74
75,-38.66,7.82,491.34,35.94
