,ch1,ch2,ch3,ch4
0,-35.21,-4.05,66.03,17.01
1,-30.09,-57.46,25.14,-6.59
2,-16.88,43.05,43.78,7.21
3,-19.15,32.96,46.2,14.31
4,-14.23,19.24,41.04,10.64
5,-12.75,-11.69,36.99,48.04
6,-16.54,29.29,38.39,-31.99
7,-18.39,39.54,37.84,0.06
8,-17.96,-8.06,27.29,-4.7
9,-24.81,-9.75,52.39,4.01
10,-27.41,6.8,26.52,92.98
11,-11.88,19.2,31.17,-56.9
12,-16.6,36.77,46.84,50.42
13,-4.82,62.94,30.03,-59.23
14,-10.02,16.23,36.92,37.36
15,-32.88,-48.02,28.82,14.87
16,-26.82,-25.12,51.27,15.06
17,-17.66,14.0,44.17,62.84
18,-3.67,68.68,22.52,100.16
19,-12.33,34.29,51.19,34.4
20,-23.86,-33.12,29.79,-55.66
21,-19.16,-17.66,35.97,-13.86
22,-18.05,15.93,23.13,-10.38
23,-25.06,24.61,49.01,2.18
24,-21.54,-5.99,32.57,47.32
25,-15.48,44.86,39.11,-19.26
26,-15.97,-1.9,45.5,3.56
27,-14.95,0.07,39.52,14.4
28,-15.23,9.95,19.76,13.54
29,-16.03,29.84,39.27,-31.97
30,-13.26,22.09,44.13,25.36
31,-18.08,19.68,38.24,10.55
32,-22.53,4.65,30.39,10.65
33,-13.36,13.03,51.95,24.86
34,-14.46,14.08,41.62,14.83
35,-11.89,40.93,8.93,18.59
36,-10.14,21.22,55.53,2.93
37,-9.63,45.71,32.54,5.39
38,-26.64,-27.67,33.34,2.14
39,-18.75,7.73,32.27,9.77
40,-7.91,33.6,39.61,27.22
41,-17.96,-6.83,32.83,-2.25
42,-10.8,45.34,63.05,-39.06
43,-10.59,-28.81,30.99,161.56
44,-3.64,48.35,27.54,-42.89
45,-21.01,-8.03,20.6,-10.9
46,-23.84,16.29,39.5,-6.09
47,-18.07,37.6,15.65,-11.43
48,-9.85,-24.64,57.49,23.83
49,-13.81,50.16,37.93,5.7
50,-20.64,20.67,24.19,1.19
51,-10.26,-23.42,34.52,1.09
52,-11.97,-32.85,40.25,13.67
53,-13.5,76.66,29.24,14.45
54,1.2,38.73,49.65,23.2
55,-9.23,40.56,-3.52,-21.42
56,-18.72,0.31,48.91,13.68
57,-10.91,28.41,37.29,16.15
58,-16.51,9.72,38.24,10.42
59,-34.38,-38.22,41.31,87.4
60,-22.26,1.15,20.79,-46.08
61,-7.93,5.2,36.43,2.47
62,-26.02,23.85,41.4,17.33
63,-13.92,82.95,29.17,56.66
64,-5.15,-8.64,26.87,-29.4
65,-5.95,17.04,42.32,4.06
66,-17.91,17.6,28.81,12.96
67,-19.31,-69.92,42.4,32.33
68,-16.04,42.47,19.53,-18.59
69,-27.75,-11.4,36.61,9.06
70,-22.12,5.06,34.05,4.76
71,-11.15,55.79,24.58,-15.86
72,-15.4,-5.47,18.53,46.13
73,-10.5,17.7,53.0,3.96
74,-16.03,-11.91,33.93,6.63
75,-12.01,11.05,29.69,-30.48
76,-12.45,18.66,33.97,71.53
77,-8.51,35.6,26.65,10.72
78,-6.05,47.83,37.88,-29.43
79,-37.03,-9.47,70.38,36.53
80,-29.34,-18.09,11.96,1.4
81,-22.86,12.96,40.74,26.09
82,-16.78,32.84,33.64,28.86
83,-11.01,28.08,11.61,-11.57
84,-7.41,-58.52,39.74,-11.93
85,2.58,40.71,48.95,35.45
86,-36.52,-19.33,32.01,16.19
87,-15.87,27.05,28.37,6.73
88,-13.01,75.55,26.87,-4.7
89,-18.57,-61.41,26.7,0.64
90,-13.41,15.63,24.89,-4.09
91,-15.72,17.67,28.88,12.4
92,-20.36,-33.67,40.76,7.98
93,-16.25,-28.21,35.57,34.64
94,-8.03,29.06,30.48,1.6
95,0.04,75.05,62.68,29.76
96,-13.52,-44.4,29.07,-16.67
97,-9.59,17.05,21.32,46.04
98,-17.91,57.88,23.96,-11.27
99,-29.59,-38.26,30.7,2.43
100,-11.03,5.3,33.85,-4.64
101,-16.22,5.06,42.55,4.04
102,-17.69,-45.91,49.99,37.32
103,-5.09,18.44,28.44,24.12
104,-4.88,39.93,20.09,11.05
105,-8.77,40.15,48.33,31.85
106,-24.53,-0.65,33.92,-18.75
107,-12.28,1.54,34.65,-10.89
108,-19.97,0.17,17.16,51.76
109,-18.35,30.79,51.24,-31.09
110,-22.73,6.09,64.56,16.05
111,-16.46,14.89,33.53,-14.39
112,-13.55,97.35,36.61,83.54
113,-5.25,-61.5,40.86,-23.99
114,-22.76,-10.86,14.51,7.7
115,-16.65,-31.29,33.75,-32.74
116,-2.89,54.74,45.2,28.18
117,-9.75,16.67,32.51,26.66
118,-29.96,-45.94,41.16,-0.76
119,-22.39,-42.53,60.74,34.18
120,-20.37,12.66,16.26,-13.2
121,-12.26,25.55,31.78,-13.3
122,-10.66,15.55,29.62,20.84
123,-16.08,-11.93,36.26,10.35
124,-10.5,12.82,38.79,6.14
125,-12.1,9.28,33.23,-16.93
126,-9.96,43.88,51.32,26.91
127,-10.43,44.0,36.95,38.18
128,-11.82,31.99,54.52,32.04
129,-12.23,-7.31,25.95,-16.27
130,-15.52,6.72,27.05,-4.33
131,-13.05,-67.36,31.0,2.77
132,-10.55,28.3,38.51,128.96
133,-0.49,22.77,37.63,-75.0
134,-11.01,19.9,30.68,-0.11
135,-21.66,19.81,27.1,-7.1
136,-7.49,14.82,40.51,7.4
137,-17.52,8.67,45.37,33.6
138,-11.49,-16.3,20.83,8.39
139,-1.88,7.54,61.9,21.67
140,-6.37,-5.28,26.18,-17.21
141,-27.3,-0.28,18.63,-42.72
142,-7.26,-16.62,35.1,25.4
143,-17.97,23.17,26.39,2.66
144,-5.68,61.91,34.9,-31.71
145,-6.59,55.35,55.64,46.09
146,-1.64,-17.28,23.15,5.37
147,-13.64,22.62,34.91,30.82
148,-23.63,-28.68,26.74,-2.51
149,-25.26,-2.03,33.14,6.96
150,-7.89,31.75,42.94,4.19
151,-8.13,48.49,46.7,29.21
152,-16.97,-50.55,30.58,85.18
153,-23.92,-3.98,25.49,-45.38
154,-15.86,-0.71,37.85,-7.23
155,-27.5,-69.95,35.59,9.8
156,-18.2,32.2,25.91,15.43
157,-16.5,25.48,44.39,-3.14
158,-11.12,28.33,17.27,-10.91
159,-13.35,11.89,29.94,-4.18
160,-12.9,38.58,46.83,40.68
161,-11.94,14.1,34.18,-15.86
162,-16.92,4.15,43.41,45.77
163,-13.05,-30.58,24.22,4.11
164,-15.34,5.73,34.06,10.19
165,-16.48,8.7,43.32,2.55
166,-10.52,6.84,18.36,3.45
167,-5.2,79.95,22.52,1.99
168,-28.64,22.52,29.49,28.68
169,-12.33,27.19,32.95,-13.89
170,-17.42,-9.7,27.82,14.37
171,-28.56,-31.44,20.16,4.99
172,-12.8,118.18,36.52,31.88
173,-17.9,-43.25,35.47,-1.32
174,-11.52,-28.82,31.91,14.58
175,-19.38,-28.11,26.74,3.34
176,-17.3,5.08,24.3,6.81
177,-0.77,-42.23,25.99,-85.62
178,-10.57,79.28,46.7,61.59
179,-15.11,36.54,31.97,14.15
180,-6.15,-12.43,59.9,153.6
181,-26.93,-50.51,20.05,-81.34
182,-25.05,9.93,43.15,0.43
183,-19.71,16.61,30.47,76.66
184,-18.07,9.5,47.69,-51.69
185,-13.51,-14.52,23.5,28.93
186,-8.1,4.95,29.73,-8.21
187,-6.67,26.37,26.85,-32.31
188,-15.69,48.85,32.34,24.36
189,-15.08,4.59,37.9,13.3
190,-9.78,18.43,63.78,39.78
191,-21.09,-10.45,11.57,-26.61
192,-13.08,36.91,31.4,6.93
193,-8.04,54.66,34.82,9.76
194,-21.21,5.0,23.33,-41.89
195,-18.97,-79.14,26.69,11.91
196,-4.42,-22.65,34.02,15.69
197,-2.68,23.63,40.21,12.7
198,-20.69,-14.23,25.97,45.01
199,-28.41,-6.04,45.01,15.04
200,-11.82,-11.13,37.47,-4.27
201,-9.68,79.33,34.07,4.13
202,-19.02,12.14,32.28,0.81
203,-22.66,-17.47,29.53,5.92
204,-11.0,-2.65,48.7,24.49
205,-0.47,62.15,38.92,-7.01
206,-11.67,33.63,22.88,1.72
207,-9.54,8.91,50.6,22.1
208,-22.5,-30.1,24.44,-4.85
209,-8.18,-6.9,24.31,28.26
210,-18.72,12.87,28.16,25.62
211,-12.33,52.43,32.42,-14.62
212,-10.04,-49.25,40.82,29.09
213,-14.62,11.3,36.77,-8.59
214,-21.64,7.61,28.08,-5.66
215,-8.99,32.86,35.03,10.93
216,-1.35,-41.6,32.6,8.24
217,-17.45,32.79,31.58,8.6
218,-20.97,18.43,32.07,10.93
