,ch1,ch2,ch3,ch4
0,-22.67,52.34,39.17,3.45
1,6.64,90.47,34.36,-2.11
2,-24.55,-54.72,36.51,0.06
3,-19.68,-21.42,35.56,2.09
4,1.4,56.13,41.32,3.3
5,-39.94,18.12,37.93,5.46
6,-25.23,-20.32,38.23,7.14
7,0.2,34.05,36.41,6.89
8,-29.51,-19.05,37.67,3.79
9,15.94,-37.83,32.04,-3.93
10,17.32,82.1,36.43,2.65
11,9.36,180.85,40.25,4.69
12,-30.18,-99.24,36.53,7.35
13,-16.91,-63.1,33.99,2.31
14,0.23,106.94,31.53,2.0
15,-93.29,-7.69,33.55,15.6
16,8.12,-80.24,33.85,-3.47
17,19.92,37.42,28.01,-2.12
18,9.19,89.61,32.23,1.75
19,-50.63,4.88,34.03,0.6
20,-54.19,-39.79,42.59,10.95
21,66.91,112.68,30.28,-0.64
22,-10.88,15.84,33.31,1.59
23,-28.18,10.16,36.41,3.75
24,-16.43,7.64,29.02,2.6
25,-19.69,52.85,40.39,8.54
26,-5.63,24.98,38.35,8.38
27,-19.74,80.01,35.2,3.53
28,-32.68,-31.58,35.36,0.93
29,-23.88,4.67,43.19,7.78
30,14.2,64.46,37.9,6.47
31,12.12,-23.38,36.04,4.73
32,-9.27,7.82,38.99,20.64
33,-33.92,110.99,28.08,-7.43
34,-7.2,-44.57,28.76,1.87
35,-15.16,-54.29,31.67,2.06
36,-60.89,102.98,36.19,7.78
37,-62.2,2.73,39.74,10.82
38,95.46,44.34,35.45,3.28
39,14.87,61.49,31.43,2.12
40,7.27,-2.04,46.34,11.38
41,-45.25,-20.71,33.01,9.06
42,20.68,60.41,37.59,33.87
43,-13.29,3.21,31.18,-14.79
44,-2.82,30.73,31.34,-1.73
45,-16.4,-0.4,36.82,-0.2
46,-20.98,-3.26,30.12,-1.43
47,-0.38,24.54,34.66,2.21
48,-39.64,24.31,38.46,7.48
49,-26.57,-35.62,27.88,3.58
50,7.96,-0.41,31.63,-1.16
51,-11.12,56.35,33.38,-1.19
52,3.18,32.58,36.32,6.4
53,-61.02,18.3,33.69,5.14
54,20.14,-41.09,34.05,10.34
55,-5.48,62.94,41.9,7.08
56,-72.83,-52.83,29.95,-1.75
57,59.31,142.51,30.55,-0.13
58,7.25,-19.67,33.43,1.89
59,-26.62,-46.88,37.91,4.94
60,-13.3,41.11,32.92,3.49
61,5.99,60.42,34.2,4.86
62,-31.29,-5.11,28.32,0.17
63,-15.14,15.86,29.92,3.42
64,-16.47,12.73,27.8,-3.56
65,-25.82,25.98,34.84,1.89
66,-12.69,61.31,36.14,6.44
67,-3.35,24.87,34.0,5.64
68,-34.08,-19.59,32.77,1.49
69,-39.6,-51.33,30.33,2.84
70,28.79,17.05,30.67,2.79
71,9.24,113.56,30.38,1.35
72,-21.8,-23.29,29.96,2.2
73,1.82,77.15,31.4,4.91
74,-6.83,-2.71,34.65,2.04
75,-42.94,-25.99,36.34,9.71
76,-87.49,11.46,37.75,7.82
77,74.97,65.44,22.69,-5.2
78,0.27,42.35,33.99,2.61
79,-32.77,-6.83,36.86,6.38
80,20.47,12.32,33.09,2.48
81,-0.36,38.79,34.35,-0.09
82,-21.33,-3.23,32.57,3.29
83,-18.31,22.21,34.58,2.32
84,-6.63,23.75,31.73,0.7
85,-17.53,22.31,33.74,5.31
86,-27.66,21.23,32.65,4.48
87,-8.18,112.54,41.44,15.63
88,-59.12,-25.5,42.22,14.37
89,-113.02,-84.38,32.29,-3.65
90,101.32,36.91,24.43,-6.79
91,50.3,87.36,24.98,-0.45
92,-29.78,5.91,35.41,0.79
93,-45.19,-13.27,31.7,5.07
94,-1.03,23.92,29.64,0.54
95,-6.75,32.8,29.97,5.08
96,-19.04,65.19,30.08,4.64
97,-9.86,37.72,25.15,3.94
98,-24.47,-102.12,27.59,2.68
99,-26.44,63.81,33.9,10.47
100,18.56,81.64,28.7,3.48
101,-50.8,6.22,25.86,4.79
102,-15.65,1.57,25.99,10.43
103,-11.89,29.74,32.02,15.31
104,-4.21,-14.45,19.54,-3.24
105,-16.02,-0.77,23.68,1.02
106,-40.48,-0.42,27.4,6.99
107,-12.5,-35.68,24.58,1.34
108,27.75,63.31,27.48,5.2
109,-48.34,0.01,29.07,9.63
110,0.16,-2.07,22.18,5.56
111,6.46,24.41,22.44,2.53
112,-15.6,33.3,28.68,4.93
113,-32.91,-9.5,26.54,10.91
114,5.67,-6.63,27.74,3.9
115,-50.68,110.96,30.83,9.91
116,-40.13,-32.91,31.5,3.32
117,18.77,26.99,30.3,5.15
118,10.48,54.9,31.15,2.44
119,-13.26,8.61,28.81,6.84
120,23.02,59.67,28.8,5.67
121,-6.8,17.1,28.96,7.48
122,-32.85,-32.63,30.44,8.8
123,-24.74,-4.9,24.6,7.84
124,3.98,-6.41,34.49,4.96
125,-22.44,27.35,36.39,12.96
126,-3.84,40.76,35.81,9.42
127,-2.21,-46.17,34.91,10.83
128,-37.85,33.44,28.21,4.69
129,-55.11,63.83,33.08,9.87
130,3.03,17.4,36.24,10.64
131,42.12,25.25,29.03,3.63
132,3.73,176.47,36.01,9.61
133,-20.64,-129.43,35.01,6.17
134,-4.61,31.46,30.67,1.56
135,-39.1,-7.72,30.54,3.41
136,-28.97,-3.17,31.33,3.64
137,-22.16,30.07,27.39,1.29
138,10.97,16.99,28.93,4.31
139,-22.21,23.34,31.36,9.67
140,-10.17,4.74,27.81,0.47
141,-0.75,26.08,27.3,4.54
142,-23.99,-5.15,30.17,0.65
143,-27.72,-1.32,31.83,3.47
144,2.23,39.32,32.74,4.66
145,-24.62,-57.92,31.16,3.99
146,-11.35,37.88,27.18,-5.44
147,-0.92,68.58,29.13,-1.83
148,-47.87,-3.87,36.1,1.91
149,-14.14,45.28,27.7,1.17
150,15.04,6.5,27.69,1.36
151,87.8,51.99,30.93,-3.09
152,-27.71,-25.97,30.31,-0.46
153,-109.19,3.69,28.33,-3.36
154,-1.09,56.64,27.03,0.74
155,-50.49,-3.41,33.04,1.39
156,-39.37,-10.29,34.42,5.08
157,-11.26,8.52,27.82,-1.74
158,13.5,35.37,35.77,9.43
159,27.98,-11.5,34.78,14.53
160,-41.43,79.4,32.19,-7.72
161,54.8,47.39,30.34,-2.31
162,-42.03,-33.17,38.02,-0.11
163,-88.33,-26.23,39.91,0.33
164,-19.51,47.45,36.94,-4.8
165,-21.94,15.77,36.8,-1.13
166,-33.14,6.72,38.63,0.78
167,-12.57,12.9,37.3,3.32
168,-7.16,12.81,35.52,0.41
169,-22.52,14.41,37.01,3.08
170,-10.45,25.84,37.81,1.87
171,-20.9,7.5,36.67,1.59
172,-45.41,-4.53,37.74,5.78
173,-12.85,33.06,31.83,4.64
174,4.11,18.56,33.58,0.89
175,-30.36,29.26,37.94,5.46
176,-25.11,36.59,32.22,5.51
177,-41.53,-34.24,43.26,3.81
178,-70.2,26.05,46.9,15.51
179,120.81,25.9,36.08,-0.74
180,-34.14,33.52,35.26,1.68
181,-75.49,10.1,31.71,-5.35
182,27.74,31.42,38.76,-0.16
183,59.82,14.11,36.2,3.59
184,64.83,36.72,33.52,2.09
185,-102.48,-30.82,40.26,-0.37
186,-44.55,-0.79,37.79,4.29
187,-48.23,7.21,31.61,1.15
188,-5.57,27.29,37.12,2.99
189,-23.57,3.54,36.34,1.64
190,-14.97,-0.01,36.19,-3.22
