,ch1,ch2,ch3,ch4
0,-7.38,-17.1,19.54,17.49
1,-6.27,-5.9,65.91,1.93
2,54.24,-0.4,-12.68,9.06
3,-63.32,29.43,39.77,7.64
4,-64.37,31.46,15.69,14.26
5,-13.93,-9.19,55.45,27.27
6,-22.3,15.95,51.19,13.16
7,-3.35,45.48,28.32,11.44
8,-11.96,46.59,86.01,6.83
9,-9.18,-16.79,139.96,-2.68
10,-18.23,30.59,-88.42,26.96
11,-7.36,58.66,0.12,20.71
12,-8.66,-18.28,34.48,20.31
13,-40.02,-49.01,31.25,8.47
14,-7.36,24.63,46.01,14.31
15,13.82,20.61,239.38,4.43
16,-37.01,12.26,-65.34,10.99
17,2.76,91.37,19.99,21.44
18,-16.69,-13.77,5.49,17.48
19,24.01,34.52,14.47,8.89
20,-15.43,-16.68,33.71,7.48
21,-97.81,-24.47,71.89,15.71
22,-37.58,16.04,77.97,13.81
23,-11.04,119.79,120.45,5.73
24,-13.13,-9.7,-73.06,24.17
25,-25.51,-69.98,15.44,11.28
26,-10.0,44.79,21.31,9.68
27,-23.13,18.23,119.6,15.66
28,-21.73,-10.63,3.12,0.56
29,-13.43,29.17,146.87,18.86
30,100.03,116.04,89.13,18.87
31,-39.76,-106.63,9.88,24.64
32,-82.2,45.37,-53.54,11.55
33,-31.54,5.39,47.7,21.05
34,-36.23,18.62,90.39,4.0
35,-11.6,-1.95,41.33,8.67
36,1.63,60.04,-33.3,18.04
37,-15.03,73.53,29.19,21.34
38,-22.0,-49.42,69.21,5.01
39,-4.01,14.08,24.66,11.14
40,-8.03,63.61,36.09,11.89
41,-12.67,37.8,53.67,19.45
42,-26.5,-110.47,56.07,7.57
43,-14.06,29.79,92.08,14.42
44,-16.27,46.5,-32.91,17.04
45,13.62,65.43,35.01,11.85
46,-29.67,-42.79,34.98,-2.87
47,38.2,-11.2,26.2,19.46
48,6.85,26.81,50.77,21.11
49,-107.95,-31.93,9.75,13.6
50,-28.28,18.79,31.3,11.48
51,3.82,70.39,36.25,12.25
52,-26.45,-17.26,274.75,11.31
53,-28.7,-3.51,14.75,-5.28
54,-20.9,87.17,-7.39,11.65
55,-7.06,-27.43,38.1,1.42
56,-8.58,0.81,31.46,2.89
57,-3.29,129.6,-46.84,36.49
58,-27.27,49.02,1.52,14.95
59,-31.76,-106.35,33.38,1.41
60,-21.05,-0.21,55.77,13.03
61,-5.84,38.85,43.74,16.05
62,-28.39,-55.27,163.45,7.49
63,-1.47,11.22,63.05,5.9
64,42.95,22.47,-106.62,11.29
65,-35.95,77.14,-6.84,14.58
66,-79.27,-22.1,34.57,20.85
67,-40.88,-80.87,32.98,11.92
68,18.72,88.99,38.98,15.44
69,-44.02,-3.32,52.31,7.57
70,-25.69,36.95,147.35,4.11
71,-14.27,24.89,-26.82,13.5
72,-18.74,-31.82,14.02,12.91
73,-15.13,4.6,16.48,12.09
74,-13.87,73.96,37.11,15.43
75,-5.89,39.44,35.83,10.57
76,15.45,78.11,69.51,17.53
77,43.87,-56.88,1.66,-4.03
78,-73.85,-4.54,146.33,12.05
79,-83.52,38.0,65.33,9.07
80,-34.59,46.87,-72.51,12.09
81,5.9,71.84,152.86,21.23
82,-24.63,-47.2,-62.71,11.55
83,1.38,12.51,68.45,16.2
84,2.47,112.63,40.06,12.83
85,-59.9,-124.43,100.04,-0.23
86,-11.32,-8.69,-26.15,11.03
87,-17.64,-11.08,-27.69,21.13
88,-4.87,84.07,1.22,9.12
89,66.93,28.89,89.05,22.53
90,-66.52,25.28,6.86,14.4
91,-45.35,10.47,26.09,4.61
92,-43.91,-1.79,90.98,3.45
93,-12.99,35.52,3.5,18.23
94,-4.61,58.01,8.18,12.68
95,-0.66,125.81,34.0,16.4
96,-26.26,-66.75,48.85,11.45
97,0.3,54.02,137.85,15.9
98,-36.53,-27.38,3.68,0.39
99,3.44,34.34,18.33,18.72
100,-31.43,6.01,91.64,8.62
101,-34.35,-49.68,26.39,-1.32
102,-14.83,5.45,67.2,14.22
103,-16.19,96.08,-18.5,20.76
104,-26.43,-57.27,209.84,11.9
105,-9.21,14.88,-119.87,5.15
106,81.98,40.53,-5.9,16.56
107,-79.22,-6.01,8.27,6.16
108,-72.73,25.13,31.46,7.74
109,-12.0,14.98,40.59,15.09
110,-27.17,4.76,50.71,15.98
111,-10.69,62.95,31.21,16.03
112,-14.1,6.41,32.06,10.24
113,-1.91,129.25,98.49,16.06
114,-43.5,1.73,30.62,18.37
115,-15.56,-108.0,24.62,-7.46
116,-17.14,14.48,12.62,13.23
117,37.38,32.2,87.21,12.71
118,-30.38,7.68,44.7,15.92
119,-59.14,57.45,-19.51,22.37
120,-11.93,-34.23,152.54,1.2
121,-51.63,-4.8,80.51,31.3
122,-25.14,-1.27,-19.51,17.72
123,-2.91,86.37,-43.18,15.36
124,-29.85,-54.48,9.99,17.16
125,-17.44,2.35,14.89,-4.0
126,5.48,11.3,45.93,25.83
127,-25.07,-15.96,35.41,13.24
128,-22.17,17.48,34.02,8.87
129,-2.45,84.69,40.95,12.26
130,-14.36,-6.92,122.19,8.26
131,68.18,-17.1,9.6,9.27
132,-90.47,17.54,-10.54,12.69
133,-49.86,-10.74,50.03,13.07
134,-10.32,118.4,15.46,24.22
135,-26.71,-71.87,51.3,11.44
136,-5.48,2.0,8.29,15.04
137,-8.89,27.57,26.87,6.26
138,-40.98,-77.17,37.99,11.92
139,-5.21,-33.55,47.49,12.21
140,-23.59,16.58,39.06,11.93
141,-13.38,18.19,320.51,6.89
142,-9.39,-40.46,-124.83,17.53
143,-20.72,19.21,-40.22,11.43
144,-32.12,64.2,10.16,19.27
145,-12.31,36.87,43.69,14.29
146,14.15,62.07,148.55,13.24
147,25.13,169.33,-0.79,30.63
148,-32.62,-38.89,-9.11,9.84
149,10.4,-78.63,11.37,15.27
150,-4.66,-55.08,50.26,10.81
151,-108.82,-11.74,28.8,10.87
152,-12.79,20.8,18.95,18.88
153,-23.45,29.22,37.66,19.59
154,-21.23,1.83,34.66,14.84
155,-6.4,37.75,38.77,18.28
156,-12.1,-17.13,33.1,14.51
157,-18.96,-13.87,34.15,14.22
158,-9.08,-36.57,57.22,13.94
159,10.0,84.03,166.3,23.57
160,-26.77,171.96,-44.7,24.46
161,-42.94,-122.61,48.5,0.35
162,0.43,-3.15,-7.89,14.39
163,-4.09,35.75,42.46,18.31
164,-6.6,-27.7,119.38,11.74
165,-28.86,70.26,27.71,13.3
166,-14.12,5.29,-5.86,27.47
167,-21.65,1.38,27.03,23.63
168,-17.23,42.94,26.1,16.87
169,-18.25,-18.57,31.27,14.58
170,-26.95,-15.43,32.03,15.33
171,2.01,14.64,35.19,14.04
172,41.14,12.75,36.76,20.09
173,-160.87,-16.15,38.11,21.92
174,-79.82,81.54,40.82,23.93
175,-129.78,-19.0,45.93,32.92
176,-18.6,-75.35,42.81,20.44
177,102.09,143.81,30.79,15.94
178,-25.46,48.33,34.41,27.49
179,-137.1,-142.42,35.95,30.13
180,66.68,105.05,40.67,31.77
181,91.21,166.39,31.03,21.87
182,-193.63,34.68,48.21,40.52
183,-165.33,-70.37,53.1,36.36
184,439.19,18.39,11.39,-13.6
185,123.83,43.8,15.98,-10.98
186,-79.13,76.12,24.03,10.7
187,-117.3,-28.71,45.75,31.72
188,-36.52,-102.92,39.46,21.66
189,38.15,124.37,25.95,12.19
190,68.07,179.1,38.49,25.56
191,-102.63,39.5,49.19,34.0
192,3.45,80.98,51.11,37.82
193,93.33,-142.05,11.32,-3.05
194,-359.97,-95.1,43.01,31.01
195,-142.37,-81.8,40.06,31.79
196,250.36,147.88,18.4,-0.77
197,106.96,151.65,31.07,20.51
198,190.12,109.6,19.5,-1.83
199,173.91,43.96,29.63,15.77
200,-205.08,-37.55,39.88,35.17
201,-255.34,-47.01,26.28,22.19
202,33.82,88.76,19.72,-1.39
203,37.89,14.89,23.58,18.55
204,-153.2,90.52,35.9,51.53
205,125.12,50.15,26.62,10.18
206,180.91,86.21,13.05,-2.52
207,-120.34,43.11,24.57,8.01
208,14.38,-121.4,18.38,-4.12
209,-17.26,105.65,13.52,1.38
210,-122.49,44.7,20.0,20.01
211,50.72,-11.57,22.46,15.6
212,-178.04,-0.9,17.81,11.78
213,33.44,32.04,15.46,13.85
214,-22.45,253.91,24.84,26.59
215,57.34,2.9,16.48,13.08
216,240.27,5.61,8.05,0.81
217,-111.28,70.05,11.49,12.47
218,-209.21,-78.12,30.07,23.32
219,184.02,197.64,19.6,12.21
220,-229.19,40.95,34.06,36.62
221,10.0,115.93,25.03,23.91
