,ch1,ch2,ch3,ch4
0,-18.19,3.58,40.07,8.42
1,41.1,82.89,35.56,5.17
2,-15.43,20.95,38.69,-0.38
3,-13.67,-21.95,40.68,5.46
4,-27.66,13.82,45.32,1.15
5,-23.1,8.79,36.76,-0.14
6,-20.24,11.27,41.37,4.81
7,-31.97,13.39,38.71,5.61
8,-0.38,31.14,41.65,10.94
9,51.08,88.8,34.66,6.82
10,-56.85,-24.2,34.98,5.27
11,-29.67,14.06,34.97,6.37
12,-41.18,-24.9,38.75,7.56
13,5.4,28.71,39.49,5.69
14,-3.03,30.01,33.39,4.29
15,-93.98,-16.2,36.5,7.35
16,49.62,32.74,36.46,8.02
17,-6.93,39.4,36.93,8.1
18,4.18,-3.47,34.64,0.99
19,-37.41,17.66,33.5,2.37
20,6.81,55.21,34.76,8.35
21,-64.76,34.52,34.63,10.15
22,7.67,4.93,37.17,7.43
23,-53.63,-24.58,33.94,10.18
24,12.67,-7.73,32.54,0.12
25,-24.83,13.14,35.3,6.85
26,11.43,59.4,32.8,5.59
27,-12.09,3.36,34.72,6.32
28,-17.37,2.25,35.8,1.03
29,-29.93,-8.86,35.48,2.23
30,-28.69,24.09,35.04,3.83
31,-36.73,37.6,30.48,1.71
32,16.39,-9.33,36.06,4.18
33,14.85,-0.55,38.89,6.51
34,5.88,25.85,37.54,4.79
35,-19.56,46.32,35.82,8.26
36,-43.34,-1.91,35.27,2.6
37,-34.54,11.8,35.76,5.68
38,-26.65,-28.21,34.99,5.74
39,23.01,34.78,38.64,7.18
40,-29.15,6.3,37.61,5.67
41,-41.18,28.56,34.6,6.06
42,21.06,-19.26,37.06,7.51
43,-33.47,17.5,36.35,10.59
44,-2.86,58.16,33.71,5.48
45,-24.12,-10.35,38.74,10.68
46,-21.01,-4.73,34.04,3.73
47,-7.8,19.16,36.8,6.84
48,-19.73,54.59,35.85,1.93
49,12.32,3.89,36.9,3.26
50,-10.58,0.66,30.25,0.05
51,-24.96,6.74,38.25,2.33
52,7.93,23.5,34.12,2.66
53,-6.91,35.16,34.58,3.36
54,-38.35,24.29,38.19,10.4
55,-80.3,-35.99,33.8,4.07
56,29.12,37.91,33.03,3.53
57,-10.66,18.31,30.75,2.77
58,-4.06,18.78,29.63,-2.1
59,19.12,34.86,31.19,1.23
60,-1.07,16.55,37.18,8.56
61,-34.13,12.18,36.07,6.58
62,-28.59,26.22,26.84,-1.59
63,-35.94,35.37,35.99,9.07
64,27.2,35.05,32.25,6.08
65,-26.39,-11.7,25.31,-2.99
66,-19.06,-3.64,30.12,7.25
67,2.51,20.4,33.99,11.45
68,23.88,21.43,33.36,3.34
69,-29.39,16.28,32.53,7.01
70,-98.16,-29.5,34.76,11.22
71,-17.76,19.92,30.82,3.95
72,65.47,55.6,25.84,1.29
73,-7.32,24.14,32.92,6.67
74,-69.72,-30.51,26.08,3.75
75,22.56,45.15,27.35,3.87
76,-4.25,39.63,29.86,6.79
77,8.66,6.0,28.24,3.13
78,-18.87,-7.62,29.6,2.4
79,7.87,11.48,25.53,2.64
80,18.17,68.61,28.18,8.71
81,-92.64,-23.28,20.56,-1.21
82,-21.97,-13.74,29.28,5.01
83,-7.41,22.12,33.27,5.4
84,5.12,51.66,38.11,9.07
85,1.49,-13.81,25.54,1.2
86,22.38,3.31,26.59,1.37
87,-46.91,3.64,27.79,1.73
88,-13.35,35.57,35.49,5.98
89,-70.77,-23.57,33.01,6.09
90,-15.97,-11.06,32.65,3.63
91,16.7,28.92,29.64,0.14
92,30.78,15.7,29.24,-3.63
93,-9.34,16.56,33.88,7.71
94,3.52,2.41,37.94,7.8
95,-15.57,32.45,33.38,3.66
96,-13.64,3.14,35.39,1.7
97,-28.38,0.98,34.38,3.16
98,3.08,76.65,28.73,6.66
99,-22.52,37.33,37.47,3.89
100,-63.15,-30.48,38.61,6.15
101,-23.7,-35.49,34.89,2.76
102,59.81,61.07,28.21,0.46
103,-24.24,14.36,31.92,1.85
104,-20.22,3.94,33.29,4.23
105,-30.68,2.53,33.23,5.82
106,-42.74,20.51,32.27,10.47
107,4.09,11.04,35.28,7.41
108,19.95,6.82,25.83,-0.04
109,-9.99,7.39,33.69,7.34
110,-32.16,24.15,31.97,6.39
111,-13.25,-2.07,31.45,6.0
112,-17.11,-40.88,29.75,4.42
113,-66.54,-5.84,36.05,6.98
114,30.44,43.06,30.59,1.35
115,13.55,-2.51,25.36,0.02
116,-2.32,20.74,36.31,2.07
117,-29.33,3.83,33.44,5.4
118,-7.21,-10.59,32.68,4.39
119,-39.61,-3.76,31.45,9.15
120,-9.23,3.04,32.21,10.15
121,-15.07,17.84,32.7,8.86
122,-18.04,21.24,35.83,4.52
123,24.0,86.49,31.25,7.92
124,-43.16,-25.57,31.92,4.41
125,-27.44,-57.97,32.24,6.34
126,29.76,24.74,29.13,1.8
127,-39.61,18.03,37.43,5.51
128,-22.09,24.86,34.57,4.95
129,-5.9,-9.56,33.27,-0.55
130,-36.91,10.84,35.43,6.07
131,-6.71,24.87,34.72,4.83
132,35.65,52.93,33.42,5.29
133,-8.5,-6.25,29.51,0.87
134,-50.41,2.37,29.92,4.13
135,-25.92,16.15,32.61,0.96
136,-23.43,-15.12,27.23,0.56
137,32.42,80.51,37.6,11.48
138,36.33,58.63,34.98,2.75
139,-66.06,-72.01,35.17,-4.35
140,-90.59,-12.11,30.35,-1.89
141,-24.3,17.49,29.57,13.17
142,35.49,-36.42,27.43,10.23
143,18.35,-46.83,19.35,-7.72
144,9.92,33.39,25.25,12.46
145,-27.24,50.08,38.66,15.86
146,-0.48,97.01,65.65,40.9
147,-0.01,79.53,40.75,17.43
148,-12.71,-28.12,21.29,-10.13
149,-3.53,9.89,37.04,35.02
150,-16.92,-86.88,36.53,116.89
151,-16.14,-94.92,31.69,-122.42
152,-12.97,121.08,44.13,43.24
153,29.12,-9.82,38.78,14.72
154,-6.94,145.83,39.68,-5.35
155,-37.48,-1.8,35.28,-23.04
156,28.6,78.99,44.47,9.35
157,-49.27,-76.49,45.42,21.36
158,65.44,45.22,52.96,10.43
159,-46.31,48.17,32.96,4.97
160,-13.38,-85.51,41.49,-1.83
161,-22.65,-81.95,47.85,6.19
162,34.44,54.78,24.28,-3.67
163,23.15,31.43,33.92,9.37
164,-1.68,30.54,33.66,-17.43
165,-19.4,9.56,43.6,55.16
166,-43.0,4.23,36.45,36.58
167,-31.76,-10.48,45.13,-1.16
168,47.45,309.75,41.63,22.56
169,-82.09,-120.95,38.79,2.43
170,45.56,224.94,30.75,8.28
171,18.64,-26.64,25.4,38.16
172,-36.33,-8.92,38.78,86.62
173,20.86,-38.48,35.23,-73.65
174,-40.55,30.84,42.51,-16.95
175,-9.35,23.17,53.59,15.89
176,11.52,-99.68,30.73,-13.99
177,-23.81,247.76,29.09,19.74
178,13.97,122.74,37.7,-25.13
179,-9.57,-145.56,32.7,-38.85
180,-37.24,-102.76,34.64,74.73
181,-29.55,237.12,27.68,-2.86
182,71.99,94.3,42.0,10.38
183,20.76,-192.3,34.04,6.34
184,-8.11,194.32,36.98,10.8
185,-4.52,23.7,26.25,-19.32
186,-78.11,-144.34,45.95,14.02
187,4.1,39.26,40.77,12.61
188,-51.42,322.69,39.18,111.08
189,16.62,-161.82,24.07,-57.53
190,32.47,121.69,38.48,2.21
191,58.6,13.85,45.18,30.08
192,-104.54,121.84,32.85,-29.36
193,-35.57,-183.18,47.29,4.99
194,15.56,156.42,40.47,3.51
195,70.74,-54.84,66.36,21.68
196,-12.07,-258.31,19.64,-6.29
197,-56.57,260.0,43.67,1.93
198,79.74,210.8,48.95,48.74
199,-66.4,17.38,15.14,-82.03
200,61.14,-141.89,39.38,9.88
201,2.96,477.27,38.78,46.29
202,-31.68,-18.13,51.59,19.02
203,-114.7,14.37,34.13,-13.77
204,135.76,-318.42,62.63,56.27
205,13.22,269.38,27.27,-7.61
206,-61.03,70.41,38.66,10.41
207,-24.86,89.29,53.27,98.94
208,-46.74,-195.0,26.57,-24.54
209,34.64,54.53,59.23,81.66
210,-47.06,617.77,32.17,-29.89
211,-27.18,-207.18,31.49,-41.98
212,-1.03,-293.27,43.12,9.52
213,-7.81,80.75,38.61,32.78
214,50.57,496.77,23.51,-0.65
215,-61.57,7.05,58.02,35.53
216,11.0,-42.78,46.58,0.5
217,-53.22,-134.82,32.85,-20.01
218,34.36,265.3,28.65,2.92
219,15.05,-198.47,43.72,36.32
220,-11.95,102.75,35.36,-13.32
221,-15.12,159.7,34.09,-12.78
222,-1.89,37.77,57.01,44.43
223,-57.2,146.73,19.63,12.3
224,14.47,-23.33,32.15,8.15
225,23.45,216.76,29.73,-23.78
226,-15.65,34.7,41.04,18.19
227,-97.98,-571.3,40.19,20.54
228,-14.35,350.79,21.25,-10.99
229,56.24,254.62,33.72,2.42
230,-97.28,81.89,35.1,-4.76
231,3.2,47.56,30.04,-3.55
232,28.5,119.9,37.43,2.63
233,-138.03,-173.22,31.52,-0.6
234,55.75,-255.47,36.93,3.51
235,16.6,225.43,29.27,-15.54
236,-3.26,189.94,31.37,13.86
237,-61.42,102.46,38.56,33.3
238,3.97,-35.27,31.38,-10.8
239,-33.65,75.08,38.1,12.72
240,32.99,123.61,33.91,19.53
241,-3.72,10.2,34.44,-2.06
242,-44.42,-137.83,33.83,2.86
243,-43.77,43.84,40.79,5.31
244,-31.56,39.66,42.99,12.32
245,-16.11,186.03,36.17,15.16
246,-2.17,-104.26,34.14,10.55
247,-61.48,112.51,41.85,14.09
248,24.77,23.74,34.07,7.89
249,58.44,226.02,43.29,14.82
250,-32.05,-85.05,37.41,9.56
251,-20.79,-47.0,38.26,7.44
252,-13.89,29.42,43.62,9.35
253,19.06,106.8,46.7,30.45
254,-45.52,31.86,47.17,19.63
255,-9.6,110.75,48.13,6.74
256,-81.05,-110.81,45.09,11.88
257,-59.57,-79.44,44.14,17.73
258,40.34,293.56,35.95,19.9
259,-44.3,-107.48,45.75,8.28
260,-18.27,126.24,32.33,4.05
261,36.34,-83.64,38.73,4.62
262,15.4,-28.79,41.8,12.42
263,-45.45,137.84,49.31,28.01
264,-18.75,57.32,25.26,-11.18
265,-12.98,-1.24,30.16,7.09
266,-3.6,73.06,37.07,14.44
267,-58.06,-117.89,40.24,10.22
268,-8.44,83.3,38.13,13.43
269,-20.23,78.83,36.41,8.35
270,-38.86,116.62,22.13,-4.89
271,17.64,108.57,32.83,1.35
272,-20.74,-212.69,32.94,1.65
273,12.36,40.56,31.06,1.54
274,-11.15,-41.38,28.72,0.06
275,-6.96,106.3,26.15,-9.13
