,ch1,ch2,ch3,ch4
0,38.72,-79.36,31.75,-4.48
1,-90.34,18.17,27.02,-2.99
2,25.62,40.27,26.41,1.03
3,113.35,70.78,41.28,14.8
4,-134.27,-70.79,32.98,3.16
5,-65.29,56.42,41.84,16.58
6,81.51,64.41,34.11,4.11
7,11.77,-43.9,28.56,-9.57
8,-51.35,20.19,31.19,0.66
9,50.15,-43.61,34.42,2.61
10,-83.11,53.38,35.65,3.37
11,-9.48,28.78,33.75,-2.57
12,-109.9,-16.64,36.29,6.19
13,97.2,-23.34,44.32,22.09
14,-69.27,42.25,23.78,-9.64
15,-3.41,-38.2,30.94,-3.98
16,-46.27,-9.43,40.7,10.52
17,22.64,19.69,35.15,8.15
18,-92.06,65.17,34.34,10.02
19,16.37,142.48,44.3,14.84
20,25.25,-138.57,27.92,-7.68
21,-48.38,34.42,34.97,4.26
22,72.85,79.19,41.5,11.52
23,-87.71,-70.11,32.38,-1.85
24,-5.48,6.23,34.0,4.63
25,2.65,-48.15,35.71,4.88
26,-51.88,24.08,38.29,6.17
27,-101.05,40.17,35.3,6.02
28,43.31,15.12,36.73,6.41
29,6.4,-3.65,30.18,0.05
30,22.65,9.28,33.13,1.0
31,-27.67,-11.64,45.81,14.84
32,-7.99,62.53,38.96,13.08
33,-109.35,-63.22,39.53,7.49
34,126.59,0.23,30.85,-6.44
35,20.09,41.97,37.13,4.72
36,-92.01,-3.3,32.04,-2.08
37,-72.12,74.04,39.08,7.77
38,-6.72,51.52,36.07,7.23
39,36.78,-2.98,35.28,2.59
40,-27.12,-54.63,41.26,10.45
41,-103.47,-30.5,32.28,0.33
42,120.47,37.25,30.84,5.39
43,-17.1,110.9,36.8,11.73
44,-56.76,-9.73,42.68,20.15
45,-114.32,-94.69,33.4,0.15
46,-62.93,5.22,29.12,1.18
47,182.6,16.3,32.5,3.86
48,13.98,89.25,37.17,3.55
49,-93.32,-73.28,37.52,0.85
50,31.78,88.19,33.88,4.95
51,-16.8,-14.38,37.74,4.8
52,-55.09,10.9,35.16,9.5
53,39.18,123.99,33.96,5.9
54,-38.32,-120.09,30.52,-4.36
55,-86.26,-19.84,35.67,2.51
56,83.77,4.28,31.98,4.57
57,-269.52,56.92,43.13,12.43
58,237.91,27.14,35.37,-0.66
59,-13.66,34.0,26.66,-8.78
60,-115.51,-71.26,41.68,16.32
61,28.13,3.16,26.14,-4.04
62,47.03,71.5,32.15,3.36
63,-35.57,36.39,28.82,0.43
64,-3.12,49.17,30.55,1.5
65,-115.68,-35.39,34.29,8.89
66,60.06,34.3,38.61,12.37
