,ch1,ch2,ch3,ch4
0,-7.08,-469.43,-96.8,9.02
1,-18.16,-497.22,-98.32,13.4
2,-21.59,-491.74,-101.87,13.57
3,-25.71,-479.67,-100.29,9.7
4,-32.01,-480.06,-98.33,5.64
5,-27.95,-476.67,-108.64,9.38
6,-19.62,-485.37,-105.46,8.37
7,-22.34,-469.81,-92.65,10.61
8,-9.48,-480.83,-99.09,10.89
9,-7.42,-453.49,-108.34,6.77
10,-13.49,-492.99,-87.16,15.05
11,-33.91,-478.65,-93.76,14.83
12,-20.07,-489.08,-101.78,15.21
13,-6.87,-482.59,-101.24,9.33
14,-22.97,-478.3,-98.53,12.27
15,-26.96,-485.2,-96.52,13.88
16,-38.62,-480.6,-96.21,6.32
17,-15.23,-474.6,-91.84,16.03
18,-20.44,-456.16,-95.86,13.96
19,-81.39,-412.86,-98.76,6.23
20,41.13,-479.16,-105.3,12.21
21,-41.1,-511.32,-93.08,18.32
22,2.32,-514.59,-102.37,15.19
23,-20.84,-501.34,-102.69,18.11
24,-39.0,-478.39,-98.6,15.66
25,-27.36,-489.11,-94.45,12.66
26,-14.84,-455.34,-91.0,19.86
27,-9.53,-487.93,-101.32,10.96
28,-30.15,-482.92,-91.74,12.88
29,-29.05,-482.78,-95.69,12.45
30,0.77,-471.47,-100.5,15.16
31,-24.63,-467.79,-98.27,11.32
32,-19.06,-481.44,-100.12,17.31
33,-62.97,-411.86,-99.91,17.74
34,-17.93,-485.89,-99.13,14.75
35,-9.78,-501.1,-100.84,18.01
36,-1.31,-498.04,-101.75,10.9
37,2.86,-476.15,-95.49,11.83
38,-10.86,-482.52,-98.87,14.57
39,-18.89,-491.17,-103.28,11.51
40,-34.0,-499.83,-97.54,15.98
41,-28.68,-485.25,-100.49,15.4
42,-22.11,-478.19,-105.16,14.67
43,-14.51,-480.73,-104.0,9.99
44,-22.1,-480.99,-94.68,11.54
45,-27.85,-497.95,-96.47,13.24
46,-24.38,-466.36,-97.99,17.4
47,-24.15,-451.21,-96.44,17.82
48,-40.33,-462.16,-86.11,15.21
49,-17.84,-465.35,-93.65,14.96
50,-11.42,-492.71,-96.51,17.35
51,-20.11,-486.03,-100.94,10.98
52,-68.3,-472.17,-93.68,14.48
53,-18.12,-473.97,-95.17,18.76
54,13.72,-484.14,-97.4,11.04
55,-23.16,-503.57,-103.5,13.49
56,-42.28,-492.75,-93.59,15.1
57,12.19,-456.08,-93.38,13.43
58,-13.36,-475.31,-95.82,11.19
59,-27.41,-469.76,-99.84,10.8
60,-19.38,-497.18,-98.22,12.71
61,-36.9,-509.94,-99.76,8.51
62,-13.09,-498.92,-95.11,17.35
63,-19.64,-471.67,-95.25,12.44
64,-7.97,-479.24,-100.25,10.54
65,-27.96,-451.65,-99.46,9.51
66,-60.54,-455.75,-95.02,17.35
67,10.09,-518.88,-102.81,12.14
68,-16.52,-483.19,-94.97,10.11
69,-20.38,-484.68,-102.65,14.19
70,-21.39,-480.41,-96.12,8.92
71,-20.53,-472.99,-93.24,8.07
72,-71.52,-509.55,-87.88,12.9
73,-17.34,-484.55,-93.79,10.46
74,12.54,-470.46,-89.36,9.42
75,-15.98,-482.1,-99.95,12.3
76,-35.8,-492.05,-92.97,13.45
77,-16.34,-478.85,-90.23,13.08
78,-23.8,-463.43,-95.92,11.61
79,-94.88,-470.6,-93.88,12.56
80,0.99,-435.41,-90.74,17.91
81,20.06,-444.11,-100.26,9.11
82,-46.43,-523.82,-99.81,16.72
83,-0.41,-497.4,-92.75,15.2
84,-27.63,-473.98,-93.91,17.04
85,-9.15,-465.66,-101.2,17.05
86,-29.77,-459.59,-96.75,20.03
87,-83.64,-484.27,-94.82,15.32
88,35.23,-503.5,-97.81,20.59
89,-11.85,-493.83,-105.99,17.37
90,-22.92,-481.37,-101.27,14.05
91,-26.69,-484.08,-97.91,18.86
92,-28.54,-472.36,-96.96,15.45
93,-28.03,-482.48,-98.98,16.85
94,-41.73,-483.23,-87.24,20.21
95,-23.38,-471.15,-104.02,20.23
96,-52.48,-487.39,-95.82,24.72
97,-27.54,-468.16,-95.06,23.86
98,11.48,-470.19,-106.68,19.53
99,-18.86,-470.98,-96.98,24.64
100,-44.57,-469.31,-98.43,23.52
101,-39.32,-480.87,-99.45,22.34
102,4.85,-448.83,-102.62,20.63
103,-82.21,-487.22,-99.25,20.6
104,15.03,-454.99,-104.9,21.8
105,-14.38,-481.12,-104.52,14.94
106,-8.51,-452.43,-98.33,13.48
107,-32.63,-494.61,-97.24,13.42
108,-19.16,-503.12,-94.88,14.25
109,-27.17,-495.29,-96.67,12.56
110,-28.34,-483.87,-97.9,16.19
111,-6.11,-484.92,-102.98,18.28
112,-19.21,-497.74,-102.6,10.31
113,-27.87,-479.49,-98.9,9.79
114,-47.87,-491.01,-102.19,12.85
115,-30.7,-441.29,-98.05,9.42
116,-41.21,-492.23,-104.14,10.5
117,19.41,-460.77,-100.96,11.81
118,-12.58,-454.48,-99.29,15.1
119,-58.92,-503.75,-100.08,15.77
120,-34.46,-487.62,-99.39,13.18
121,13.4,-481.43,-106.4,14.01
122,-16.24,-491.64,-104.71,17.62
123,-42.88,-482.87,-106.81,12.71
124,-26.64,-470.3,-101.7,17.78
125,-20.15,-502.17,-98.47,21.19
126,-34.6,-475.26,-101.84,20.23
127,-13.41,-471.34,-102.71,18.29
128,-8.42,-468.02,-111.73,15.89
129,-24.09,-484.36,-103.02,14.9
130,-46.69,-450.58,-105.67,16.2
131,1.16,-448.48,-104.04,18.92
132,-18.29,-469.72,-109.56,14.35
133,-3.17,-514.03,-109.07,13.88
134,-15.97,-479.03,-102.0,11.61
135,-42.39,-480.7,-104.86,10.01
136,-38.45,-472.83,-96.25,10.1
137,-28.51,-507.07,-99.34,16.51
138,-1.11,-493.52,-100.19,10.32
139,-50.44,-484.86,-106.07,11.14
140,-8.52,-490.56,-101.37,13.7
141,-48.57,-483.77,-102.91,20.19
142,-10.67,-480.4,-102.37,12.82
143,6.57,-479.04,-104.66,15.05
144,-18.97,-472.26,-101.95,10.74
145,-27.11,-484.83,-102.64,17.64
146,-20.47,-483.37,-99.64,17.8
147,-40.22,-484.12,-97.17,20.96
148,-12.58,-413.99,-98.29,17.18
149,-6.85,-455.79,-102.48,13.96
150,-39.55,-530.55,-96.16,23.02
151,-49.83,-507.93,-101.14,14.06
152,-0.34,-492.27,-95.07,16.9
153,-14.25,-481.74,-106.17,18.18
154,-18.94,-475.78,-101.65,13.96
155,-63.23,-467.52,-97.37,21.58
156,-26.86,-470.11,-96.3,19.55
157,7.09,-479.28,-99.62,17.52
158,-23.99,-470.96,-105.18,16.49
159,-23.93,-486.58,-100.15,15.84
160,-64.37,-480.75,-104.18,18.64
161,29.33,-488.12,-106.84,15.18
162,-9.99,-469.67,-103.76,14.08
163,-20.09,-473.44,-102.22,16.42
164,-24.63,-475.2,-101.4,14.91
165,-28.16,-470.92,-104.52,15.08
166,-37.38,-486.5,-100.39,17.08
167,-19.22,-452.91,-105.82,14.63
168,-22.58,-437.2,-109.45,11.86
169,-27.65,-516.27,-101.6,20.59
170,-49.62,-471.5,-101.23,21.13
171,-67.1,-457.22,-102.75,23.58
172,43.62,-482.92,-103.36,16.14
173,-67.92,-485.05,-96.36,20.85
174,14.78,-478.42,-111.67,18.35
175,-26.79,-464.18,-103.29,17.39
176,-27.79,-512.75,-99.51,21.78
177,-56.19,-475.25,-102.81,18.99
178,-11.17,-461.54,-107.74,19.57
179,-7.63,-481.56,-112.63,18.27
180,-18.83,-494.88,-103.1,18.51
181,-23.24,-472.43,-104.47,17.04
182,-24.25,-492.5,-103.43,16.16
183,-30.07,-483.6,-106.58,16.63
184,-23.84,-457.92,-107.07,15.66
185,-32.06,-481.82,-105.41,18.24
186,-27.52,-484.39,-107.35,19.25
187,-26.38,-474.62,-105.0,17.61
188,-27.6,-450.5,-104.24,18.1
189,-32.74,-502.11,-104.89,19.36
190,-41.08,-473.12,-107.06,15.91
191,-14.16,-468.24,-108.62,15.12
192,-18.4,-489.75,-104.06,16.2
193,-2.76,-451.61,-101.6,17.1
194,-14.74,-440.67,-100.19,14.87
195,-69.29,-507.39,-102.05,20.43
196,-7.34,-487.57,-103.49,17.01
