,ch1,ch2,ch3,ch4
0,-82.12,-555.94,-103.21,12.44
1,-53.69,-446.0,-99.03,5.74
2,-62.36,-527.01,-98.59,3.35
3,18.7,-514.3,-107.05,22.93
4,45.56,-510.42,-100.0,2.03
5,52.04,-407.88,-95.56,-4.64
6,-39.39,-568.25,-134.17,-16.93
7,-83.51,-567.9,-98.46,22.14
8,4.99,-529.01,-183.48,-10.9
9,-35.01,-560.97,-84.95,-20.95
10,-45.85,-507.47,-170.04,21.65
11,17.91,-521.97,-104.91,-6.55
12,-11.4,-507.71,-266.83,15.64
13,-18.36,-496.55,28.46,-79.9
14,-49.15,-496.56,-31.56,26.82
15,-49.11,-485.47,-192.47,-0.14
16,-2.37,-396.2,-82.87,6.24
17,-18.39,-416.37,-76.6,7.44
18,-33.67,-464.06,-111.72,1.85
19,-157.8,-513.27,-158.36,-44.46
20,47.29,-561.6,-74.24,45.39
21,-26.6,-437.38,-185.73,-0.72
22,54.06,-446.09,-116.42,-13.98
23,24.34,-565.56,-63.01,15.97
24,-25.81,-527.9,-189.73,-17.03
25,-60.4,-568.36,-41.91,-1.73
26,2.25,-432.65,-101.49,-38.61
27,-75.2,-470.58,-131.39,-21.51
28,33.43,-511.81,-116.02,-23.52
29,-50.33,-491.64,-49.14,55.54
30,-104.43,-520.92,-164.07,5.29
31,60.61,-537.72,3.15,-1.08
32,-3.83,-390.74,-161.79,-5.97
33,-2.83,-542.48,-282.38,-73.23
34,-78.61,-607.54,-254.89,-43.38
35,-39.52,-542.42,29.6,46.2
36,-53.61,-381.57,-41.76,11.19
37,-15.25,-492.41,-49.26,33.11
38,27.62,-587.34,-119.07,-33.45
39,-22.47,-427.47,-89.51,-39.7
40,-74.63,-449.57,-104.39,58.13
41,-14.52,-473.85,-154.18,-55.24
42,-35.7,-455.74,-118.65,63.21
43,-15.26,-545.15,-219.99,-40.48
44,-6.07,-513.71,-120.2,-17.74
45,-53.23,-498.17,-243.36,-30.26
46,21.59,-484.15,59.48,12.07
47,38.32,-405.18,-82.15,15.31
48,-41.25,-584.51,-65.71,35.08
49,-8.46,-558.34,-98.63,-24.17
50,-129.39,-481.67,-212.69,-33.8
51,16.93,-507.77,-110.78,16.62
52,-9.37,-530.38,-228.72,-25.25
53,-43.26,-497.11,-136.16,-24.2
54,-60.59,-502.99,-51.42,-14.02
55,-23.05,-443.67,-52.14,5.29
56,4.53,-475.63,-128.21,41.91
57,-34.94,-488.99,-132.8,-79.23
58,-50.89,-539.76,-182.47,30.74
59,-17.03,-493.18,-93.39,2.28
60,45.17,-256.4,-92.98,-20.75
61,16.7,-545.05,-77.75,37.31
62,-47.43,-669.74,-138.27,24.01
63,-70.25,-566.71,-130.24,2.56
64,-28.72,-538.45,-100.87,-42.26
65,-27.79,-489.74,-156.08,15.88
66,-86.21,-468.94,-143.44,2.32
