,ch1,ch2,ch3,ch4
0,-15.13,-453.55,-26.81,-1.01
1,-22.85,-538.15,-43.58,68.36
2,-29.7,-443.51,-107.21,6.92
3,-18.06,-455.67,-149.09,31.21
4,-25.76,-471.63,-132.74,56.24
5,-17.2,-467.51,-58.08,-61.05
6,-11.2,-453.69,-91.84,-2.22
7,-23.51,-471.95,-129.81,19.67
8,-32.53,-452.12,-93.52,7.23
9,-34.78,-501.11,-51.44,19.27
10,-32.1,-494.15,-128.62,24.93
11,-22.52,-497.43,-116.54,-7.89
12,-14.77,-490.34,-159.06,-35.42
13,-27.85,-478.2,-67.73,29.49
14,-17.41,-400.58,-55.77,-20.85
15,-7.84,-421.94,-104.99,46.27
16,-29.73,-483.05,-129.04,1.5
17,-37.98,-522.99,-114.81,-8.47
18,-32.4,-501.11,-172.61,39.05
19,-23.14,-476.08,-20.24,28.62
20,-18.6,-466.27,-119.21,2.32
21,-21.05,-476.0,-0.82,23.09
22,-16.37,-444.98,-208.58,32.93
23,-10.04,-474.67,35.47,-26.48
24,-24.86,-497.21,-124.57,-19.72
25,-32.85,-482.85,-138.67,1.83
26,-9.0,-449.64,-75.03,15.76
27,-24.42,-397.47,-151.55,-4.63
28,-28.57,-537.89,-84.05,-49.86
29,-23.86,-511.77,-138.67,21.28
30,-27.7,-490.12,-104.86,-4.15
31,-15.96,-486.94,-93.56,55.55
32,-30.93,-507.83,-14.79,13.42
33,-26.24,-478.77,-162.07,11.39
34,-9.37,-421.66,-108.43,11.19
35,-20.28,-414.59,-104.46,6.48
36,-23.2,-471.35,-113.88,23.8
37,-22.08,-539.32,-109.9,-0.93
38,-26.08,-469.86,-37.74,33.51
39,-17.2,-482.3,-130.24,-15.0
40,-23.83,-477.04,-148.48,-40.14
41,-11.87,-509.65,-9.54,59.62
42,-11.55,-509.03,-52.86,-7.93
43,-39.89,-484.58,-92.2,-3.35
44,-25.87,-495.18,-155.34,-54.28
45,-26.44,-526.36,-65.57,37.86
46,-17.52,-458.56,-111.03,54.37
47,-20.38,-458.1,-64.61,22.26
48,-17.75,-455.91,-155.95,-10.63
49,-10.39,-465.19,-55.97,9.63
50,-33.49,-432.47,-113.32,12.75
51,-34.51,-516.88,-106.4,-1.22
52,-28.55,-492.19,-95.62,26.01
53,-19.11,-482.73,-103.26,5.91
54,-34.71,-480.78,-95.48,13.03
55,-19.89,-432.75,-109.3,49.04
56,-25.11,-500.57,-35.34,35.52
57,-28.14,-505.84,-184.74,-42.9
58,-6.87,-438.02,-28.72,-24.92
59,-25.89,-483.21,-150.46,-32.32
60,-25.47,-469.94,82.09,56.99
61,-24.69,-483.78,-222.64,31.01
62,-26.75,-532.14,-119.28,-41.47
63,-21.27,-396.17,-62.1,67.03
64,-14.26,-445.74,-116.99,-0.1
65,-15.06,-469.41,-120.33,-1.75
66,-38.57,-494.15,-126.75,-5.66
67,-34.15,-438.39,-73.26,50.43
68,-31.05,-524.8,-107.75,77.81
69,-18.2,-467.09,-75.65,27.14
70,-17.83,-507.79,24.47,-8.74
71,-18.3,-492.66,-223.5,-63.22
72,-18.66,-473.91,-62.88,37.99
73,-22.66,-475.27,-154.71,30.98
74,-18.64,-459.88,-98.21,-19.71
75,-27.25,-414.41,-120.81,16.52
76,-31.98,-486.71,-137.62,9.68
77,-16.62,-537.45,-90.95,10.03
78,-27.23,-521.91,-147.66,6.23
79,-5.0,-445.5,101.92,-18.12
80,-26.38,-524.34,-178.28,86.09
81,-21.37,-485.33,-91.33,1.94
82,-15.16,-362.73,-140.86,33.11
83,-33.83,-531.7,-83.01,-6.26
84,-19.17,-492.72,-98.6,55.29
85,-4.24,-482.08,-142.93,-62.93
86,-21.33,-414.75,-31.42,42.93
87,-24.06,-457.21,-162.33,-3.46
88,-17.87,-537.6,-65.69,54.35
89,-26.92,-492.82,-139.19,-62.16
90,-18.71,-403.95,-39.69,33.63
91,-23.22,-506.82,-19.22,85.79
92,-26.7,-505.22,-177.51,-13.58
93,-25.16,-483.08,-79.38,-14.0
94,-15.24,-483.41,-203.73,-25.0
95,-11.54,-459.36,4.68,45.45
96,-34.52,-508.5,-182.98,-3.75
97,-33.94,-488.04,96.74,53.26
98,-22.3,-478.93,-208.62,-2.25
99,-29.19,-473.22,-137.76,-16.79
100,-13.59,-477.69,-127.62,-1.94
101,-6.92,-311.16,27.2,55.98
102,-39.64,-583.92,-176.16,33.41
103,-37.23,-513.77,-136.05,-27.1
104,-22.68,-545.67,-46.62,1.07
105,-24.56,-479.21,30.8,26.91
106,-28.31,-460.05,-214.11,29.21
107,-14.04,-439.86,-138.61,-0.36
108,-8.35,-448.83,-143.45,-5.1
109,-22.09,-511.28,-25.23,28.87
110,-35.22,-493.97,-182.35,-27.14
111,-35.01,-513.15,-106.14,3.9
112,-26.22,-470.33,-115.65,24.43
113,-25.25,-461.48,-57.03,21.67
114,-9.71,-433.08,59.93,128.64
115,-28.2,-528.76,-265.07,-65.08
116,-20.46,-431.4,-95.68,35.3
117,-14.62,-362.4,-130.33,-38.1
118,-38.55,-523.6,-88.72,54.96
119,-22.38,-523.1,-91.54,-11.55
120,-16.42,-457.68,-143.56,-14.81
121,-29.27,-525.06,-24.52,16.03
122,-39.64,-521.95,-141.69,1.66
123,-26.73,-503.66,-81.13,32.68
124,-11.7,-521.58,219.26,46.25
125,-18.98,-449.92,-277.81,-64.2
126,-21.0,-346.93,-180.09,52.37
127,-24.71,-456.46,-157.24,-55.49
128,-22.12,-518.44,-117.8,27.53
129,-19.86,-453.52,-102.41,3.8
130,-34.28,-531.36,-74.9,76.39
131,-31.02,-482.79,-125.68,-11.18
132,-22.25,-474.43,-33.39,14.08
133,-21.49,-468.57,-168.96,57.67
134,-20.51,-400.06,-140.78,-69.79
135,-23.09,-525.82,-116.15,13.26
136,-15.13,-505.25,-56.25,-20.21
137,-21.93,-533.0,-108.13,10.87
138,-32.49,-434.79,-139.32,-7.5
139,-21.17,-434.74,-77.6,56.55
140,-14.4,-486.18,-117.13,1.93
141,-15.85,-516.79,-82.19,-2.25
142,-6.11,-482.74,151.03,66.96
143,-20.56,-386.21,-333.08,-22.87
144,-21.62,-443.76,-125.92,-6.05
145,-30.9,-535.29,-89.25,20.0
146,-18.76,-499.93,-59.43,-11.78
147,-27.49,-486.14,-146.59,29.32
148,-12.65,-438.62,-174.04,-11.8
149,-23.39,-449.59,-87.41,0.74
150,9.28,-248.85,-58.97,8.52
