,ch1,ch2,ch3,ch4
0,12.26,-287.44,-101.14,6.23
1,-28.39,-588.15,-165.74,-58.05
2,-38.21,-618.5,-79.9,56.32
3,-8.35,-512.53,-157.63,108.14
4,-33.67,-498.0,-47.28,-29.61
5,-10.05,-379.57,-95.04,29.52
6,-18.77,-510.85,-114.34,54.58
7,-16.09,-475.12,-93.02,-73.82
8,-28.89,-506.69,-95.63,75.82
9,-29.64,-498.72,-94.81,-3.21
10,-23.04,-473.96,-142.59,29.18
11,-20.85,-508.08,-84.88,-4.37
12,-7.0,-482.61,-100.79,-6.75
13,-13.18,-496.18,-177.15,13.09
14,-27.05,-481.93,-94.39,58.09
15,19.99,-405.84,-285.86,-131.06
16,0.65,-493.91,-211.86,-34.38
17,-27.25,-378.27,-82.12,156.15
18,-15.18,-401.55,-41.57,-47.8
19,1.09,-454.68,-44.54,23.56
20,-16.14,-503.51,-227.51,38.53
21,-47.94,-657.64,-83.46,-17.52
22,-0.42,-477.11,-186.48,-61.84
23,-15.33,-507.61,-25.35,98.73
24,-12.96,-427.62,-203.5,-115.4
25,-28.21,-478.52,-95.13,68.98
26,-17.71,-485.11,-184.78,-37.03
27,-16.42,-476.02,-48.95,27.93
28,-25.27,-533.23,-70.41,41.65
29,-25.41,-508.59,-105.22,-18.85
30,-8.53,-421.22,-106.95,14.49
31,-14.44,-453.09,-92.14,67.55
32,-20.71,-486.55,-101.49,-15.2
33,-21.77,-531.87,-88.5,30.01
34,-10.02,-440.47,-108.23,-5.51
35,-22.86,-448.49,-105.76,26.23
36,-12.89,-330.89,-94.27,26.08
37,-12.91,-548.95,-126.22,-48.8
38,-24.1,-540.87,-126.79,137.07
39,-21.27,-468.11,-76.45,-20.89
40,-8.17,-315.72,-104.4,-62.87
41,-13.19,-483.68,-227.61,-94.68
42,-36.47,-590.21,-69.19,-5.31
43,-18.79,-491.52,-170.17,36.95
44,-25.38,-498.63,-25.11,25.62
45,-21.4,-492.34,-86.99,-14.63
46,-21.32,-469.42,-100.82,88.17
47,-34.4,-583.7,-78.23,-14.93
48,0.46,-264.11,-100.42,17.53
49,-3.49,-411.71,-105.12,20.32
50,-31.26,-570.09,-218.76,11.0
51,-28.38,-522.21,-74.53,-3.52
52,-15.3,-432.53,-64.63,-17.73
