,ch1,ch2,ch3,ch4
0,19.05,-374.6,-218.99,-31.37
1,10.26,-442.36,-152.07,-3.61
2,-30.62,-520.58,-27.62,43.3
3,-38.02,-472.92,-90.48,24.65
4,-30.43,-525.46,-64.03,25.09
5,-66.77,-551.44,-80.26,37.56
6,-38.32,-497.43,-93.25,19.96
7,-11.98,-426.86,-105.48,0.27
8,9.28,-452.36,-112.61,10.78
9,14.73,-509.91,-114.67,8.07
10,-13.05,-492.25,-88.32,15.57
11,-21.59,-475.81,-128.46,2.81
12,-14.24,-471.16,-75.51,24.24
13,-30.69,-502.08,-102.25,22.1
14,-33.75,-497.68,-93.53,22.49
15,-33.97,-481.64,-103.5,20.21
16,-40.52,-461.43,-106.39,18.83
17,23.9,-421.74,-213.0,-16.53
18,12.91,-355.86,-115.73,-3.84
19,-16.37,-445.94,-65.19,-3.84
20,-43.47,-592.94,-125.96,42.37
21,-12.96,-507.94,-74.53,36.96
22,-9.33,-466.27,-82.69,19.34
23,-14.53,-491.05,-105.16,11.83
24,-27.25,-434.66,-99.2,17.38
25,-9.67,-402.11,-113.03,-7.2
26,-27.37,-546.31,-107.64,29.26
27,-46.17,-525.46,-98.04,34.16
28,-35.59,-507.7,-99.71,23.67
29,-22.92,-488.35,-110.2,16.19
30,4.7,-433.42,-156.81,5.28
31,-20.34,-488.71,-197.26,-12.32
32,2.19,-466.47,-34.67,24.05
33,-16.88,-413.39,-80.3,15.07
34,-30.83,-507.08,-156.49,23.04
35,-21.06,-483.88,-101.79,9.42
36,-33.07,-467.84,-79.68,10.83
37,-37.53,-511.01,-98.84,19.61
38,-34.49,-524.02,-129.86,8.14
39,-28.18,-503.33,-137.82,0.04
40,-21.52,-478.61,-75.3,25.37
41,-31.14,-474.57,-106.3,16.63
42,-11.3,-492.59,-110.53,11.74
43,-5.58,-437.73,-107.68,12.34
44,7.77,-417.54,-110.71,5.32
45,24.28,-460.9,-311.78,-40.19
46,-5.68,-452.77,-45.26,24.34
47,-0.44,-470.57,-39.13,4.64
48,-39.13,-503.35,-85.5,36.46
49,-31.34,-523.24,-94.78,22.33
50,-40.53,-493.16,-104.89,23.62
51,21.4,-354.83,-119.82,-21.12
52,-42.21,-544.21,-101.08,20.99
53,-20.03,-513.09,-75.73,29.48
54,-8.03,-462.83,-108.77,2.44
55,-53.0,-541.39,-100.82,31.04
56,-25.43,-488.09,-132.1,10.21
57,5.07,-483.62,-108.17,12.34
58,8.74,-474.04,-79.2,17.36
59,-24.54,-486.8,-100.84,9.27
60,-11.24,-465.97,-141.45,6.8
61,-31.04,-464.84,-172.45,-10.29
62,-3.94,-402.66,-74.64,7.71
63,3.67,-478.48,-142.94,1.63
64,-32.57,-539.66,-95.67,31.56
65,-13.44,-448.64,-68.35,5.68
66,-12.45,-447.07,-88.62,-3.35
67,-24.41,-467.47,-75.58,24.39
68,19.42,-416.62,-110.21,-2.77
69,-46.46,-562.34,-157.0,17.96
70,-42.62,-506.2,-105.76,23.5
71,-3.94,-471.2,-56.01,10.31
72,-8.08,-494.0,-88.52,20.96
73,-25.03,-481.38,-92.71,15.76
74,-47.03,-481.7,-96.06,6.27
75,-61.0,-487.01,-147.66,-8.15
76,3.26,-468.72,-75.92,25.1
77,23.13,-458.0,-89.47,24.02
78,-6.86,-493.3,-106.73,4.83
79,-23.56,-430.72,-124.3,3.75
80,-3.35,-449.36,-100.74,13.1
81,-20.1,-476.2,-102.39,4.34
82,0.4,-457.85,-102.2,14.75
83,-34.38,-495.16,-103.72,39.06
84,-39.38,-505.65,-90.28,23.61
85,-35.64,-498.11,-107.68,8.56
86,-6.43,-461.17,-103.58,10.9
87,-38.9,-500.48,-99.72,16.7
88,-10.62,-491.85,-108.28,14.14
89,-19.0,-477.78,-97.63,7.88
90,-27.43,-470.05,-96.63,20.43
91,-18.28,-450.36,-107.75,11.83
92,-16.01,-421.77,-106.06,-2.77
93,-76.96,-570.35,-168.33,28.1
94,7.3,-490.25,-105.45,6.96
95,-2.99,-468.02,-111.89,3.03
96,-28.49,-475.97,-79.48,12.95
97,-28.48,-478.74,-128.7,19.74
98,-2.86,-422.65,-54.79,19.63
99,20.27,-414.62,-104.12,5.09
100,28.3,-315.8,-100.77,-14.31
101,-74.75,-598.29,-90.51,49.74
102,-33.84,-574.49,-105.7,32.49
103,-24.91,-495.04,-99.58,14.71
104,8.97,-432.35,-113.11,-4.17
105,-1.16,-480.56,-98.55,21.68
106,-58.36,-520.52,-106.25,9.31
107,-47.73,-486.43,-134.23,1.85
108,14.1,-458.28,-90.85,18.62
109,1.14,-425.41,-101.64,-1.37
110,-20.54,-485.4,-96.38,24.47
111,-21.27,-484.88,-111.79,16.07
112,-14.71,-488.34,-164.95,-0.28
113,-36.88,-474.78,-272.8,-25.8
114,-20.6,-508.01,-85.97,22.26
115,-24.82,-482.23,34.46,43.44
116,1.25,-415.72,-92.24,8.8
117,1.56,-424.03,-97.25,11.57
118,-35.83,-480.18,-153.96,12.99
119,-10.6,-529.44,-70.62,27.14
120,-2.37,-420.65,-63.02,15.19
121,-5.01,-392.79,-127.67,-21.81
122,1.34,-419.77,-111.72,0.83
123,-36.91,-597.66,-87.55,64.4
124,-66.66,-507.12,-104.22,10.66
125,-19.95,-507.88,-96.93,17.07
126,-16.64,-513.09,-97.33,28.63
127,-36.49,-492.72,-84.77,25.48
128,-36.26,-497.29,-102.36,20.28
129,8.3,-476.58,-98.95,11.14
130,-22.36,-478.64,-166.94,-5.06
131,-33.89,-474.18,-189.64,-17.19
132,8.73,-479.8,8.59,31.17
133,-8.18,-454.54,-197.84,-23.52
134,-45.02,-462.55,5.16,27.91
135,3.51,-442.0,-72.51,3.54
136,-5.61,-415.42,-90.62,2.09
137,-6.03,-435.08,-98.22,-10.82
138,-27.05,-578.64,-87.87,38.55
139,-7.12,-483.99,-102.1,-6.44
140,-7.2,-386.23,-103.99,14.39
141,-63.73,-558.39,-83.54,36.6
142,-38.56,-481.29,-95.74,13.58
143,22.35,-428.38,-103.72,11.67
144,-22.53,-503.4,-93.74,14.66
145,-33.69,-506.35,-156.57,-3.29
146,-57.12,-524.75,-189.34,1.2
147,-3.3,-498.74,26.09,40.93
148,-15.14,-483.69,-88.25,22.88
149,-21.6,-491.35,-91.98,16.54
150,-35.07,-435.94,-122.27,-15.91
151,-0.73,-408.62,-134.96,-3.62
152,4.12,-507.64,-82.62,18.92
153,-17.1,-496.77,-85.38,33.14
154,-3.98,-413.15,-63.99,18.89
155,-33.38,-553.04,-60.95,25.88
156,-2.46,-445.31,-135.2,-4.1
157,3.64,-459.23,-116.91,7.65
158,-38.4,-516.96,-101.28,22.19
159,-4.33,-463.68,-93.24,-0.22
160,-38.2,-432.38,-90.51,2.87
161,-16.16,-511.26,-103.59,32.0
162,-6.76,-484.47,-77.81,22.83
163,-20.38,-506.34,-93.88,23.75
164,-24.82,-493.2,-98.52,19.31
165,-20.77,-487.61,-135.77,0.48
166,-33.49,-469.9,-175.99,-2.47
167,-23.46,-436.26,-35.68,29.24
168,-5.16,-480.62,-101.7,5.6
169,-11.46,-511.44,-89.22,26.03
170,-13.35,-471.97,-97.64,17.26
171,-8.37,-470.99,-102.71,8.78
172,-29.24,-505.34,-107.92,13.07
173,-32.12,-510.01,-206.46,-11.58
174,-35.48,-406.08,-61.25,6.49
175,25.09,-444.09,-69.94,3.96
176,-29.9,-513.21,-90.05,28.04
177,-21.52,-461.36,-101.55,15.83
178,-22.36,-509.17,-107.64,14.78
179,-11.94,-459.22,-76.85,-1.4
180,8.99,-412.64,-104.71,-3.32
181,-11.69,-505.53,-96.2,29.77
182,-18.33,-501.31,-97.94,18.79
183,-40.69,-513.97,-92.42,29.83
184,-37.56,-505.42,-101.93,15.51
185,-45.79,-507.93,-99.64,16.78
186,-77.31,-490.91,-192.38,-6.29
187,27.97,-489.73,-31.57,34.43
188,5.44,-475.54,-87.78,21.22
189,-8.84,-457.81,-95.86,3.34
190,-16.93,-502.48,-100.5,18.69
191,-18.26,-480.61,-91.64,10.51
192,-26.91,-480.64,-98.7,9.55
193,-39.84,-480.53,-151.08,3.03
194,16.93,-405.41,-66.25,16.27
195,7.71,-438.25,-95.91,1.91
196,-41.5,-479.12,-99.69,21.58
197,-9.28,-525.37,-84.68,30.81
198,-48.88,-487.71,-109.43,24.55
199,15.89,-512.03,-127.9,19.2
200,-26.28,-480.43,-101.39,6.54
201,-29.38,-479.81,-70.58,10.03
202,-2.29,-385.5,-66.31,5.73
203,-3.82,-503.37,-104.8,30.51
204,-30.0,-510.01,-166.73,11.33
205,-47.29,-558.55,-163.55,9.0
206,-43.57,-490.5,1.38,41.73
207,6.96,-463.97,-88.34,14.5
208,-9.71,-474.93,-94.94,13.87
209,-52.78,-478.85,-233.32,-5.08
210,-4.01,-483.71,-55.51,32.32
211,21.39,-438.24,-39.56,13.11
212,-3.14,-454.99,-83.0,11.7
213,-25.65,-484.22,-82.97,18.47
214,-10.27,-443.42,-91.65,4.93
215,-32.33,-500.2,-99.89,12.4
216,-19.7,-520.15,-88.66,29.48
217,-43.51,-469.96,-92.25,-2.02
218,-17.1,-488.7,-87.19,28.77
219,-20.85,-483.76,-98.18,22.01
220,18.59,-457.36,-97.18,11.09
221,-8.0,-443.45,-99.75,-6.67
222,-21.44,-513.05,-95.48,19.17
223,-25.15,-490.58,-95.75,27.58
224,-49.54,-496.34,-87.28,24.24
225,-37.62,-495.76,-115.04,15.71
226,7.1,-493.65,-139.65,5.22
227,4.73,-478.3,-7.11,25.21
228,1.25,-458.11,-156.88,4.07
229,-15.2,-487.06,-294.23,-22.92
230,-10.88,-474.1,41.69,44.1
231,-46.58,-488.03,-111.83,16.87
232,-5.91,-399.8,-65.6,1.52
233,37.3,-402.99,-90.43,-7.59
234,-44.22,-543.32,-78.96,37.21
235,-52.76,-474.8,-85.73,27.14
236,-44.44,-493.4,-111.17,26.96
237,15.09,-512.23,-113.71,23.03
238,-4.28,-493.96,-77.94,19.63
239,-37.69,-481.83,-93.26,18.52
240,-2.6,-425.19,-96.1,8.79
241,-3.15,-482.23,-109.23,9.36
