,ch1,ch2,ch3,ch4
0,-30.42,-467.79,-100.12,10.54
1,40.42,-419.69,-98.75,21.07
2,-51.29,-535.69,-100.89,21.2
3,-19.98,-489.61,-105.71,12.37
4,-18.46,-480.34,-101.1,10.35
5,-21.34,-537.7,-46.72,31.27
6,-69.46,-527.73,-136.21,19.52
7,26.67,-342.53,-112.77,8.34
8,-12.82,-517.84,-100.84,12.27
9,-11.04,-485.24,-98.68,14.93
10,-42.55,-503.57,-100.54,9.42
11,-31.57,-498.24,-101.03,15.58
12,-23.85,-494.04,-96.5,6.89
13,-22.39,-463.32,-103.93,10.3
14,-35.97,-493.43,-102.61,7.34
15,-17.98,-484.84,-93.96,19.6
16,-12.95,-478.72,-97.7,15.66
17,-57.16,-582.48,-98.79,1.11
18,15.76,-439.15,-97.18,7.79
19,72.59,-100.13,-98.68,20.72
20,-16.8,-542.09,-123.54,9.56
21,-42.58,-554.21,-103.35,5.77
22,-13.21,-430.65,-101.64,14.5
23,-39.76,-518.74,-104.27,7.62
24,-3.86,-566.02,-100.0,17.63
25,-20.84,-390.56,-94.86,19.22
26,-21.55,-490.85,-126.47,2.03
27,-34.75,-527.11,-115.91,3.41
28,-32.66,-573.28,-101.04,40.24
29,-13.6,-409.96,-80.17,27.53
30,-14.92,-446.63,-111.77,15.39
31,-21.78,-445.11,-114.91,1.59
32,-9.16,-460.88,-118.31,4.23
33,2.73,-264.67,-115.73,15.13
34,-35.91,-627.24,-113.84,8.52
35,-26.47,-581.6,-102.54,9.8
36,-16.65,-504.09,-112.79,12.45
37,-21.61,-485.93,-111.31,13.79
38,-21.96,-486.17,-107.81,14.1
39,-25.68,-460.78,-105.47,13.01
40,-31.29,-553.39,-104.43,16.33
41,-68.96,-608.26,-103.08,13.95
42,-35.59,-459.37,-105.76,7.66
43,2.03,-400.14,-100.46,23.01
44,50.91,-350.9,-96.36,19.9
45,12.34,-302.28,-110.54,6.96
46,-18.89,-515.72,-93.38,23.42
47,-32.84,-499.66,-107.94,10.77
48,-32.49,-512.69,-98.65,24.35
49,-23.24,-513.13,-101.48,25.78
50,-11.79,-494.91,-106.63,13.51
51,-31.65,-508.42,-93.79,15.42
52,-38.69,-481.2,-100.55,11.09
53,-40.21,-514.91,-101.74,20.91
54,10.61,-455.75,-81.8,27.26
55,-5.71,-387.79,-123.24,9.47
56,-1.04,-428.44,-90.86,22.22
57,-25.94,-531.02,-105.5,20.46
58,-23.26,-456.86,-114.34,23.9
59,-17.71,-528.72,-102.12,32.55
60,-39.05,-523.31,-98.7,11.01
61,-14.96,-495.94,-109.82,36.31
62,-6.02,-492.32,-109.56,18.52
63,-29.73,-467.85,-101.88,24.63
64,-23.03,-504.65,-108.31,32.66
65,-32.38,-523.79,-106.1,27.53
66,-20.12,-472.92,-101.14,24.16
67,-4.51,-456.97,-101.3,25.1
68,-16.38,-462.73,-103.69,17.88
69,-21.1,-409.74,-112.39,18.26
70,-20.82,-540.77,-107.19,12.83
71,-14.18,-407.16,-117.59,20.79
72,-28.91,-541.03,-108.41,13.18
73,-21.5,-476.75,-107.66,15.12
74,-43.7,-565.04,-104.29,20.86
75,-33.28,-487.61,-103.63,27.08
76,-29.49,-456.7,-107.94,20.15
77,-1.75,-343.16,-108.58,18.89
78,-6.56,-490.36,-90.56,25.77
79,-16.03,-480.55,-106.14,14.45
80,-15.76,-498.36,-108.29,17.89
81,-18.99,-471.58,-98.8,18.85
82,-46.28,-587.52,-96.27,22.37
83,-29.5,-460.39,-93.99,34.78
84,-28.68,-448.49,-101.96,27.83
85,5.74,-493.55,-111.91,33.87
86,-2.32,-456.88,-91.5,17.41
87,-24.18,-400.55,-120.04,22.4
88,-28.44,-426.57,-107.05,24.27
89,-52.2,-623.87,-100.68,32.29
90,-48.44,-587.04,-105.94,23.26
91,7.71,-374.5,-113.11,24.41
92,-2.95,-469.54,-109.77,14.64
93,-25.56,-473.45,-94.47,27.27
94,-28.71,-502.1,-99.0,19.96
95,-55.07,-547.3,-105.41,18.1
96,10.41,-406.84,-89.6,22.52
97,-7.34,-462.19,-103.34,19.48
98,-34.1,-470.51,-97.15,22.71
99,-32.67,-522.6,-95.45,13.97
100,-25.68,-506.93,-117.49,21.84
101,-11.13,-454.28,-97.68,32.73
102,-26.12,-496.8,-98.46,23.21
103,-21.68,-481.3,-100.77,23.09
104,-23.95,-489.51,-99.67,19.91
105,-23.48,-474.55,-102.83,15.09
106,-15.22,-503.78,-101.5,18.49
107,-29.66,-485.25,-102.54,23.34
108,-25.7,-561.33,-102.8,18.17
109,-13.49,-437.98,-102.9,19.72
110,-19.55,-456.05,-102.23,24.71
111,-23.81,-472.55,-105.47,20.01
112,-21.8,-477.35,-99.82,22.51
113,-25.73,-483.52,-94.52,23.44
114,-26.49,-490.28,-100.12,22.17
115,-16.4,-489.4,-104.56,21.74
