,ch1,ch2,ch3,ch4
0,105.64,-511.93,-103.24,13.16
1,-21.92,-379.28,-109.15,-8.7
2,-71.88,-585.66,-91.65,28.59
3,48.88,-515.78,-109.19,-0.16
4,13.72,-370.27,-87.97,35.23
5,-101.2,-561.09,-89.41,31.91
6,17.88,-385.4,-102.12,9.53
7,-7.6,-467.13,-102.85,20.83
8,-158.73,-397.47,-96.81,20.14
9,113.58,-544.38,-102.77,26.95
10,-0.36,-554.11,-99.46,31.26
11,-22.07,-517.5,-94.66,26.15
12,-47.61,-417.19,-103.21,18.98
13,30.16,-493.35,-94.18,35.14
14,-31.48,-569.81,-89.66,23.09
15,-60.81,-390.61,-97.04,18.86
16,52.47,-426.5,-101.38,6.84
17,-95.14,-504.2,-92.85,27.52
18,42.56,-310.49,-100.8,22.29
19,-119.44,-758.61,-95.25,18.03
20,58.74,-350.72,-98.71,26.66
21,-86.71,-571.91,-88.35,31.86
22,57.71,-339.15,-97.84,13.07
23,27.03,-559.31,-94.82,27.64
24,-9.59,-452.56,-91.77,28.51
25,-38.38,-515.06,-98.54,17.21
26,-120.6,-486.25,-93.09,15.89
27,-5.41,-456.25,-94.19,17.59
28,10.66,-452.51,-103.58,1.54
29,17.19,-498.43,-96.62,23.01
30,-42.02,-422.03,-98.95,17.95
31,-8.94,-442.41,-96.24,23.25
32,-12.29,-469.0,-90.63,28.03
33,71.39,-296.88,-97.24,13.66
34,-28.08,-693.89,-104.63,8.62
35,-35.13,-504.07,-84.08,37.32
36,18.3,-374.99,-103.28,9.16
37,-25.48,-555.35,-100.42,21.89
38,-36.48,-628.12,-97.72,20.64
39,-16.42,-311.68,-95.02,26.07
40,-26.74,-484.09,-99.32,21.16
41,-21.0,-271.36,-107.95,-0.34
42,-45.54,-692.35,-110.61,6.7
43,-100.88,-227.5,-86.19,39.77
44,73.26,-688.51,-98.22,22.71
45,8.6,-434.66,-94.97,24.31
46,-11.18,-579.51,-94.6,13.58
47,-49.62,-465.69,-93.57,30.84
48,-27.25,-430.28,-93.43,24.11
49,-57.21,-278.26,-102.8,1.24
50,16.02,-483.77,-89.76,34.37
51,-41.8,-564.08,-94.61,19.84
52,41.5,-245.64,-104.14,8.87
53,-6.6,-668.12,-79.91,50.79
54,26.09,-461.56,-93.13,16.15
55,-46.95,-610.86,-89.21,28.63
56,-71.17,-389.78,-98.36,10.52
57,-69.86,-492.05,-88.8,11.53
58,53.37,-505.2,-91.5,25.55
59,0.95,-394.24,-93.53,16.0
60,-16.41,-463.73,-91.53,21.63
61,-40.63,-549.47,-90.47,25.09
62,-92.54,-267.34,-97.62,0.99
63,67.21,-509.31,-84.43,25.84
64,-33.86,-474.62,-84.13,19.39
65,-79.96,-692.86,-91.71,7.87
66,52.83,-394.78,-90.51,31.85
67,1.02,-367.9,-93.55,11.36
68,0.95,-606.89,-101.82,17.04
69,-148.52,-518.31,-95.09,9.19
70,33.78,-412.71,-99.41,6.35
71,18.04,-569.67,-91.22,27.45
72,-4.71,-443.33,-92.87,16.99
73,-168.73,-514.08,-102.16,2.83
74,114.27,-290.09,-106.66,-4.27
75,23.91,-495.25,-95.43,21.25
76,-17.22,-593.37,-85.72,31.37
77,-56.08,-548.99,-95.74,23.14
78,-89.18,-505.46,-96.46,18.07
79,49.54,-264.6,-95.86,19.64
80,-8.25,-565.64,-103.17,10.9
81,9.81,-447.52,-98.81,18.56
82,-59.26,-581.55,-94.18,20.8
83,-21.39,-449.14,-97.5,19.43
84,-1.72,-442.4,-99.23,11.6
85,4.08,-422.52,-93.61,21.72
86,-59.83,-464.02,-96.32,23.59
87,10.71,-484.3,-102.16,16.73
88,18.96,-374.31,-100.5,21.91
89,-106.78,-766.38,-96.75,27.71
90,44.18,-425.49,-94.12,28.99
91,8.4,-462.63,-95.8,26.19
92,-46.64,-505.4,-92.32,18.82
93,-92.15,-518.93,-102.78,9.47
94,-114.03,-470.22,-93.76,21.96
95,77.75,-350.21,-104.01,6.34
96,-27.2,-641.46,-91.67,20.16
97,48.64,-333.42,-100.28,13.66
98,-11.15,-403.16,-90.35,25.85
99,2.53,-566.94,-94.29,26.82
100,-1.93,-540.43,-95.81,25.63
101,-87.96,-503.32,-96.07,20.63
102,6.88,-517.07,-103.05,15.31
103,-0.71,-366.24,-99.2,8.27
104,-107.07,-501.79,-83.26,38.18
105,14.63,-489.41,-96.2,11.98
106,-56.51,-200.45,-100.6,17.06
107,53.96,-710.61,-90.19,30.54
108,-4.47,-343.44,-91.98,19.89
109,-18.98,-543.25,-98.86,13.01
110,3.35,-580.47,-93.28,22.3
111,-51.25,-505.84,-91.19,24.55
112,-78.97,-595.05,-107.01,-1.19
113,-36.01,-333.93,-100.39,19.34
114,31.46,-502.09,-83.37,33.68
115,-240.32,-473.33,-95.32,9.95
116,175.09,-365.68,-93.07,13.99
117,-3.1,-507.48,-91.79,18.81
118,7.36,-505.88,-91.31,21.19
119,-27.85,-537.29,-97.43,16.38
120,17.63,-537.42,-100.32,16.62
121,-9.16,-466.77,-96.86,15.28
122,-65.33,-537.36,-110.93,-0.09
123,-13.9,-354.1,-79.81,49.13
124,16.19,-317.49,-93.74,19.93
125,27.03,-387.09,-97.69,7.91
126,-34.59,-528.41,-95.89,12.1
127,-99.06,-584.89,-78.33,23.68
128,-23.81,-568.87,-85.14,24.52
129,-32.87,-509.18,-90.0,17.79
130,-57.7,-549.51,-115.35,-10.39
131,65.89,-199.37,-83.11,26.36
132,-24.33,-609.17,-82.54,39.73
133,-2.19,-523.21,-96.49,10.12
134,8.87,1.98,-114.89,-8.52
135,-22.03,-788.33,-73.45,62.36
136,-39.59,-564.36,-88.44,33.72
137,-11.96,-513.23,-91.73,21.88
138,-75.63,-459.83,-84.11,17.54
139,74.01,-482.39,-99.04,9.1
140,-22.85,-534.32,-94.37,10.41
141,-88.38,-543.07,-99.03,14.79
142,-8.58,-436.19,-115.31,-9.76
143,7.44,-284.15,-95.69,21.29
144,4.36,-507.86,-91.39,24.23
145,8.59,-476.87,-104.08,4.87
146,-60.62,-508.48,-96.42,23.45
147,-76.29,-496.97,-94.56,21.4
148,-38.93,-482.06,-101.21,1.97
149,55.88,-512.79,-109.83,-2.1
150,-10.7,-464.99,-108.36,3.61
151,-65.85,-558.78,-79.92,38.87
152,-92.04,-418.93,-94.1,17.94
153,32.69,-212.87,-107.39,1.36
154,65.46,-517.55,-96.18,22.07
155,-14.34,-524.92,-86.28,29.7
156,-21.59,-587.67,-86.32,19.77
157,-92.44,-514.38,-111.01,-2.85
158,21.39,-391.98,-74.33,43.82
159,-15.07,-449.03,-87.87,21.37
160,-118.79,-565.59,-95.78,18.35
161,57.0,-445.52,-93.44,21.09
162,-19.72,-518.6,-94.21,19.63
163,-13.52,-399.55,-98.57,9.56
164,-58.94,-488.37,-94.27,19.86
165,-40.58,-324.59,-103.41,9.05
166,-73.02,-719.64,-99.61,10.87
167,49.35,-346.82,-114.52,5.17
168,-38.78,-356.01,-92.06,24.01
169,18.79,-607.25,-105.72,21.41
170,-20.66,-497.34,-101.04,29.14
171,-72.46,-509.64,-117.4,0.23
172,62.82,-385.63,-88.24,42.65
173,-11.82,-537.62,-97.56,24.68
174,-6.72,-476.85,-98.68,8.5
175,-26.88,-492.04,-95.55,17.66
176,-70.58,-524.5,-99.54,16.89
177,8.2,-513.31,-100.02,17.59
178,-13.38,-489.4,-98.53,13.43
179,-49.68,-462.37,-102.76,16.26
180,-83.05,-430.91,-98.9,20.04
181,78.07,-560.13,-116.25,-3.24
182,-43.68,-232.55,-96.54,23.53
183,-60.13,-757.7,-105.14,13.49
184,3.66,-310.44,-98.91,15.97
185,-59.47,-516.58,-89.44,29.48
186,64.43,-456.19,-96.65,17.73
187,-72.0,-651.28,-101.59,2.64
188,-15.69,-474.19,-94.59,25.06
189,3.41,-413.61,-93.7,13.58
190,-9.91,-443.43,-99.49,14.83
191,3.22,-211.38,-87.55,16.74
192,-42.88,-739.55,-96.24,10.25
193,-7.59,-453.83,-95.87,9.76
194,-9.41,-481.2,-94.37,12.07
195,-72.64,-571.43,-93.74,10.54
196,-42.73,-454.7,-101.35,-2.43
197,52.74,-470.17,-101.79,-0.14
198,29.35,-314.98,-95.19,6.81
199,-59.23,-626.95,-82.51,24.21
200,-60.37,-537.41,-96.11,-3.8
201,-12.73,-170.4,-116.26,-22.52
202,33.14,-618.52,-81.62,37.67
203,-9.83,-548.5,-88.76,19.01
204,-53.22,-596.99,-81.34,15.34
205,-112.0,-546.55,-94.92,-1.97
206,-9.45,-407.38,-88.58,16.52
207,29.52,-456.28,-87.93,13.3
208,-149.03,-600.69,-100.7,-5.68
209,154.84,-169.6,-91.62,26.94
210,8.05,-577.48,-84.02,21.63
211,-17.53,-546.05,-88.93,18.6
212,-29.37,-515.57,-94.63,13.35
