,ch1,ch2,ch3,ch4
0,-19.58,-484.22,-113.26,21.62
1,-29.23,-474.68,-107.24,16.64
2,-12.67,-470.52,-99.95,17.26
3,-60.54,-451.46,-103.42,18.27
4,2.46,-465.12,-108.93,18.15
5,22.56,-423.83,-109.89,19.47
6,-18.65,-508.12,-104.16,21.78
7,-18.07,-494.56,-103.18,22.79
8,-11.43,-471.52,-103.44,20.34
9,-17.73,-473.49,-107.08,19.64
10,-17.54,-471.69,-108.51,18.49
11,-16.75,-453.16,-99.03,19.89
12,-41.08,-489.06,-105.36,22.31
13,-31.65,-480.39,-104.63,14.57
14,-5.54,-456.66,-105.06,24.17
15,-56.22,-451.96,-105.68,25.6
16,33.56,-464.13,-107.85,22.4
17,6.98,-469.8,-108.91,24.23
18,-28.03,-474.12,-100.33,25.77
19,-10.64,-476.61,-103.93,28.64
20,-65.53,-469.27,-104.3,28.43
21,-58.76,-440.98,-93.73,27.79
22,47.62,-470.23,-113.26,21.07
23,18.94,-462.84,-107.89,26.08
24,-12.0,-464.24,-108.29,26.69
25,-14.17,-490.52,-104.59,20.29
26,-42.46,-478.28,-101.47,24.59
27,5.25,-482.83,-107.68,26.36
28,-5.72,-465.37,-106.28,25.46
29,-12.29,-471.44,-103.16,20.35
30,-35.77,-490.71,-106.56,18.67
31,-27.91,-461.79,-96.7,21.46
32,-15.86,-466.32,-108.45,20.35
33,-2.9,-466.98,-107.75,22.73
34,-12.84,-468.86,-106.56,21.41
35,-70.99,-467.05,-99.95,24.17
36,6.2,-471.95,-108.77,23.06
37,3.3,-458.63,-104.09,22.87
38,1.92,-404.79,-99.8,24.74
39,-7.32,-479.46,-106.78,18.38
40,-38.13,-503.05,-102.73,21.1
41,-28.07,-487.18,-104.95,22.6
42,-74.2,-501.64,-104.27,19.37
43,-40.12,-415.02,-101.38,21.25
44,80.28,-474.35,-109.52,14.01
45,3.74,-500.29,-100.92,19.25
46,-13.09,-475.87,-100.39,16.68
47,-13.73,-468.74,-101.25,17.89
48,-22.77,-480.51,-97.57,18.14
49,-19.35,-462.77,-103.73,19.77
50,-28.84,-478.95,-102.99,23.03
51,-13.1,-478.75,-104.77,22.12
52,-13.3,-460.19,-114.04,21.42
53,-15.46,-456.44,-110.02,20.05
54,-25.61,-494.95,-107.11,26.77
55,-31.12,-468.8,-105.09,21.31
56,-36.76,-475.95,-101.69,24.78
57,-38.99,-474.37,-98.43,22.39
58,17.77,-479.28,-100.09,20.63
59,-20.58,-456.92,-107.1,28.25
60,-7.19,-460.81,-101.68,26.45
61,-8.27,-467.02,-103.73,28.7
62,-66.1,-485.69,-100.09,29.98
63,-3.05,-456.07,-99.27,27.26
64,5.22,-461.17,-105.32,27.26
65,-33.06,-474.01,-101.0,32.6
66,0.26,-488.66,-102.72,27.14
67,-24.16,-483.02,-102.57,24.21
68,-32.38,-466.52,-95.42,24.88
69,-55.15,-433.56,-101.25,24.98
70,21.86,-474.86,-101.23,25.3
71,14.62,-470.5,-105.31,23.28
72,-13.02,-478.97,-110.92,20.6
73,-25.17,-483.18,-106.4,24.31
74,-46.38,-477.48,-99.24,24.29
75,5.94,-439.86,-101.27,19.8
76,-39.32,-462.1,-104.32,23.28
77,-9.1,-463.92,-104.5,24.71
78,-14.91,-472.19,-101.72,23.96
79,-4.12,-483.95,-98.0,25.52
80,0.38,-470.66,-104.57,24.16
81,-19.84,-472.79,-107.48,22.09
82,-47.4,-465.3,-106.14,23.24
83,3.01,-457.37,-106.71,20.5
84,5.55,-464.09,-101.96,22.12
85,-22.01,-499.62,-101.47,19.16
86,-25.12,-461.21,-98.68,21.97
87,-19.44,-472.7,-109.31,22.53
88,-28.83,-475.37,-101.46,20.98
89,-4.11,-454.18,-105.08,20.25
90,-0.78,-483.57,-106.04,20.39
91,-82.25,-468.09,-108.32,23.48
92,23.72,-435.81,-99.82,23.99
