,ch1,ch2,ch3,ch4
0,-35.41,-488.66,-108.97,12.0
1,-49.27,-481.77,-145.12,38.76
2,-67.85,-312.16,-288.22,-57.69
3,29.79,-304.91,-21.78,-95.74
4,32.85,-593.53,-31.31,21.06
5,8.5,-450.49,-121.19,50.03
6,-36.62,-489.44,-71.74,58.99
7,-33.82,-549.71,-116.84,58.8
8,-35.3,-504.7,-93.87,33.73
9,-19.04,-484.21,-98.98,9.24
10,-75.73,-457.72,-94.55,18.59
11,-310.42,-405.5,-94.02,83.4
12,188.55,-482.99,-162.27,-63.28
13,107.96,-288.43,-285.27,-87.35
14,24.94,-371.57,-17.01,33.95
15,-0.11,-574.61,-114.59,5.05
16,-37.72,-626.22,-62.27,49.41
17,-12.45,-457.44,-104.01,-9.58
18,-37.24,-451.63,-89.08,55.39
19,-42.95,-481.03,-130.84,-12.96
20,-17.36,-479.16,-153.63,4.23
21,-29.15,-486.05,-78.48,-6.46
22,-13.36,-459.55,-84.63,33.78
23,-43.63,-439.99,-92.66,11.54
24,-52.46,-406.23,-137.37,-3.38
25,-67.88,-372.4,-46.53,42.24
26,31.16,-445.22,-189.08,-26.87
27,-56.29,-265.94,-220.84,-104.55
28,89.44,-622.35,-25.95,28.54
29,18.94,-495.32,-148.53,15.97
30,-5.87,-546.36,-64.98,5.7
31,-64.28,-492.06,-104.01,80.71
32,-63.77,-444.05,-77.99,39.7
33,-3.29,-481.67,-174.11,17.81
34,-186.41,-485.18,-260.42,-87.35
35,62.42,-469.04,-24.24,79.47
36,99.81,-378.86,-80.35,-9.91
37,33.0,-439.35,-61.68,34.97
38,-8.41,-424.95,-126.38,-1.38
39,-103.11,-451.76,-179.48,-31.83
40,-43.62,-577.94,-41.47,91.06
41,50.07,-529.8,-97.2,5.3
42,-44.64,-435.61,-108.29,-23.86
43,-40.28,-416.44,-107.71,12.33
44,24.15,-444.46,-140.44,50.17
45,24.07,-417.84,-87.57,5.15
46,-42.23,-418.09,-186.39,23.88
47,-81.24,-554.72,-128.19,-29.73
48,-80.96,-462.13,-78.15,-17.07
49,48.02,-402.57,-216.26,58.74
50,78.58,-410.7,-93.97,-122.84
51,-11.6,-639.01,-22.33,85.83
52,-6.43,-487.6,-91.4,45.39
53,-9.06,-443.37,-105.82,10.32
54,-26.52,-471.21,-95.92,30.27
55,-27.78,-465.21,-109.74,33.65
56,-136.08,-404.98,-110.19,-20.67
57,-33.21,-402.45,-157.7,25.39
58,27.3,-398.15,-94.28,5.66
59,8.29,-487.46,-127.56,6.57
60,38.85,-538.61,-160.89,-53.6
61,-3.69,-432.05,-135.12,81.94
62,3.26,-508.45,-72.92,0.28
63,-17.52,-454.7,-39.46,44.96
64,-15.18,-463.52,-126.98,4.28
65,-11.73,-429.69,-222.28,-91.69
66,-92.15,-443.55,-86.35,3.37
67,-85.97,-460.07,-68.5,25.74
68,-42.97,-496.79,-297.83,37.46
69,-14.42,-499.01,-54.63,32.32
70,67.08,-433.47,-5.77,-10.45
71,49.97,-456.9,-85.0,20.92
72,-4.57,-498.88,-102.85,21.05
73,-23.08,-516.55,-99.57,25.08
74,-18.8,-452.43,-109.12,17.99
75,-26.0,-473.04,-109.67,9.49
76,-31.9,-474.26,-105.59,-2.56
77,-25.69,-466.81,-104.71,47.37
78,-16.74,-444.3,-245.65,-59.43
79,-177.78,-361.38,-233.19,-130.56
80,-41.95,-324.28,62.91,151.18
81,78.35,-322.71,-104.92,-14.61
82,-18.35,-586.87,-173.24,-37.67
83,69.51,-589.23,-105.93,54.78
84,-3.02,-518.58,-15.17,83.29
85,1.86,-460.34,-126.55,12.42
86,-24.59,-510.29,-79.61,20.31
87,-14.31,-419.61,-90.1,34.36
88,-30.53,-374.89,-103.18,16.91
89,-88.22,-516.1,-104.52,13.48
90,25.52,-519.94,-94.03,-5.59
91,19.9,-497.85,-160.36,9.74
92,-5.06,-475.34,-335.75,-36.61
93,-55.43,-440.07,61.33,-29.88
94,-81.07,-505.32,-42.46,58.38
95,44.69,-519.64,-90.67,25.74
96,-0.48,-400.5,-204.63,23.55
97,-16.39,-414.45,-32.19,22.16
98,8.95,-356.54,-84.48,-5.18
99,-46.72,-484.36,-123.63,-16.54
100,-65.01,-545.28,-204.32,25.32
101,-61.16,-355.37,-88.38,-25.36
102,89.06,-357.52,-163.16,4.8
103,-19.5,-565.86,3.16,68.13
104,13.91,-539.66,-83.97,32.19
105,-78.02,-506.14,-100.55,5.28
106,-28.05,-450.34,-106.72,4.28
107,30.36,-367.65,-126.76,50.38
108,6.29,-504.53,-113.4,12.41
109,-200.92,-528.14,-37.52,-6.15
110,109.37,-481.76,-276.19,-71.08
111,0.94,-498.05,-51.82,117.54
112,-41.97,-488.68,-49.04,9.42
113,-58.57,-416.05,-144.5,14.62
114,62.05,-283.48,-188.04,-14.55
115,6.6,-451.81,-49.86,42.92
116,-44.26,-582.18,-124.9,-31.08
117,-41.46,-515.47,-75.35,50.7
118,-66.47,-482.85,-96.9,-33.14
119,31.05,-480.71,-98.98,55.04
120,-149.3,-381.38,-128.83,72.72
121,74.53,-416.81,-92.85,-24.35
122,62.07,-424.54,-101.22,-4.81
123,-30.21,-468.2,-98.34,58.66
124,-94.23,-536.24,-112.06,65.9
125,70.85,-513.93,-114.23,-6.46
126,-70.57,-333.12,-155.33,-110.63
127,35.44,-478.16,-143.28,3.26
128,8.13,-597.47,-250.79,5.11
129,-112.59,-471.63,37.82,74.11
130,36.65,-461.92,-42.13,19.93
131,-33.51,-473.69,-81.52,27.43
132,-8.12,-487.79,-116.3,13.32
133,-71.05,-475.76,-121.97,-34.91
134,1.06,-464.05,-112.6,42.11
135,55.84,-471.75,-142.06,40.9
136,-83.25,-505.64,-86.75,-22.47
137,-136.85,-430.31,-111.06,25.11
138,82.36,-463.44,-149.01,-18.03
139,11.52,-500.39,-109.29,-20.04
140,-41.43,-392.76,-45.03,27.76
141,68.37,-453.18,-151.62,92.52
142,-26.37,-575.19,-190.05,-59.26
143,-18.56,-422.76,-27.39,53.53
144,-50.01,-309.72,-21.1,41.7
145,-87.39,-525.27,-90.07,23.11
146,31.63,-514.14,-176.36,-28.94
147,33.91,-468.05,-217.65,-6.4
148,-10.44,-493.81,-50.23,58.95
149,-39.9,-445.24,-193.59,-18.68
150,-12.1,-429.86,-31.09,16.81
151,-3.95,-459.21,-111.91,7.55
152,-155.83,-422.52,-77.02,-6.03
153,30.02,-490.89,-96.65,54.54
154,76.5,-430.02,-141.21,-8.4
155,-13.04,-303.94,-99.38,16.85
156,-126.71,-565.65,-136.79,41.06
157,75.6,-484.21,-76.94,14.44
158,6.49,-495.78,-158.93,28.04
159,-85.63,-536.74,-87.07,16.97
160,-117.38,-455.88,-47.37,17.93
161,127.81,-379.27,-112.71,-23.26
162,27.32,-378.72,-139.61,22.87
163,-41.36,-512.37,-223.61,-0.95
164,-11.67,-453.68,6.55,77.65
165,-51.47,-542.48,-98.48,-57.95
166,18.78,-393.89,-124.5,21.5
167,-34.69,-540.36,-144.68,39.42
168,-37.51,-447.85,-279.03,-56.17
169,-239.56,-450.45,-40.44,45.28
170,170.52,-513.46,-107.93,18.47
171,-16.27,-494.16,-41.52,88.26
172,2.44,-463.37,-78.38,16.6
173,-66.0,-379.23,-71.06,51.48
174,14.17,-421.16,-209.88,-48.31
175,25.14,-429.54,-155.23,-22.56
176,-22.44,-366.58,-3.42,33.47
177,-11.84,-390.26,-98.97,60.51
178,-2.99,-569.06,-190.73,-65.7
179,-77.16,-592.48,-40.3,99.14
180,-47.26,-483.07,-149.81,30.15
181,60.96,-412.15,-132.84,-44.62
182,-47.61,-573.75,-60.02,71.2
183,14.55,-437.37,-125.92,8.93
184,-20.91,-445.16,-55.75,79.8
185,-21.54,-486.35,-215.28,-8.51
186,-64.2,-473.88,-139.35,-31.41
187,-92.32,-445.4,-70.08,28.16
188,92.51,-448.37,-65.39,29.73
189,-70.17,-467.09,-163.55,-28.73
190,29.11,-436.29,-82.0,63.35
191,-154.36,-407.18,-60.17,34.96
192,-24.15,-416.79,-77.16,21.02
193,122.49,-478.04,-282.92,-71.6
194,-249.23,-448.63,-170.07,35.21
195,110.51,-406.9,-31.79,43.69
196,17.96,-386.69,-152.38,-7.33
197,-20.69,-511.38,0.76,-20.43
198,-24.11,-547.33,-295.86,-52.35
199,95.03,-532.77,-184.29,-37.07
200,-65.08,-498.19,-56.32,77.51
201,42.15,-474.32,-131.1,62.51
202,-149.42,-505.06,-400.72,-41.21
203,21.43,-467.28,38.14,47.01
204,-56.14,-383.88,-24.83,-24.2
205,-98.05,-487.53,-51.7,80.29
206,137.47,-487.22,-90.07,3.34
207,-137.76,-464.97,-76.01,31.22
208,21.7,-398.48,-150.22,-73.85
209,78.01,-356.73,-126.54,55.96
210,-56.09,-515.59,-113.92,-3.71
211,8.2,-524.29,-52.72,91.02
212,-32.8,-418.73,-78.34,30.32
213,11.24,-481.53,-120.42,-22.42
214,-187.46,-438.72,-177.14,39.41
215,102.66,-574.33,-63.13,-19.53
216,-23.7,-520.05,-80.37,53.37
217,22.73,-438.81,-179.65,21.7
218,-41.28,-448.25,-193.18,-2.83
219,16.07,-452.13,45.49,53.94
220,-2.94,-428.1,-126.41,-49.16
221,-64.92,-468.99,-121.16,73.59
222,-38.89,-450.45,-105.01,25.07
223,56.62,-500.01,-68.6,17.01
224,-45.79,-453.24,-63.64,-4.14
225,-38.41,-481.93,-74.58,52.56
226,-43.59,-474.97,-109.0,-20.38
227,-23.7,-397.48,-102.97,15.04
228,-45.22,-453.83,-352.94,-80.27
229,38.03,-427.36,24.65,76.11
230,-43.98,-386.46,-117.7,-0.83
231,60.25,-495.86,-37.48,61.67
232,-144.6,-484.23,-79.98,42.17
233,70.3,-438.16,-135.04,-51.96
234,34.99,-490.09,-263.55,20.84
235,-202.27,-374.19,-23.23,24.31
236,174.05,-498.8,-67.37,1.94
237,32.51,-517.1,-94.85,76.08
238,-4.35,-496.39,-122.49,0.04
239,-3.95,-469.03,-82.6,-26.33
240,-88.16,-496.01,-251.45,-78.88
241,7.64,-466.42,9.12,85.45
242,30.07,-348.02,-92.73,21.16
243,-12.12,-515.63,-100.35,16.08
244,-26.5,-421.92,-178.1,-7.43
245,-62.44,-487.79,-38.67,61.47
246,-81.22,-508.85,-49.36,40.54
247,-21.07,-419.83,-203.73,-23.37
248,-4.41,-356.12,-103.18,30.7
249,10.95,-375.95,-81.07,28.07
250,-13.81,-546.03,-94.11,30.66
251,37.06,-495.22,-86.89,11.55
252,53.23,-353.35,-120.82,-41.45
253,6.4,-537.95,-87.7,36.02
254,5.91,-465.61,-179.28,42.13
255,-17.05,-549.9,-188.21,11.34
256,-119.28,-443.42,-124.88,-43.68
257,57.96,-435.55,3.26,87.15
258,13.39,-487.43,-70.26,8.99
259,-105.7,-454.58,-86.72,25.42
260,-2.0,-498.39,-216.76,10.75
261,33.51,-405.85,-105.4,-28.04
262,20.86,-505.26,-99.53,-11.31
263,-41.83,-440.76,-29.64,33.51
264,-92.71,-430.06,-139.63,67.09
265,77.07,-470.8,-101.9,-33.85
266,-110.07,-380.67,-119.02,34.02
267,50.31,-490.65,-177.19,0.02
268,48.97,-508.56,-148.56,-54.59
269,-152.29,-431.47,-7.35,90.47
270,132.52,-536.93,-106.63,-1.09
271,9.76,-433.84,-100.93,55.44
272,-58.46,-448.63,-127.23,-2.3
273,-5.72,-366.73,-76.5,0.58
274,-14.71,-443.14,-110.03,-11.9
275,22.31,-481.6,-90.42,30.71
276,-137.03,-505.06,-70.57,68.53
277,75.04,-439.12,-143.81,31.33
278,-12.78,-513.13,-238.68,-66.62
279,7.27,-503.37,-18.62,66.34
280,-15.88,-468.77,-95.11,16.87
281,-232.28,-493.22,-187.9,7.19
282,-28.84,-458.41,-211.65,-61.12
283,189.68,-330.66,-73.82,-19.45
284,0.31,-427.94,-25.91,41.16
285,-66.17,-434.56,-65.01,56.05
286,5.78,-518.26,-88.99,37.68
287,31.74,-491.48,-94.6,15.06
288,-8.22,-482.76,-101.59,28.18
289,-109.7,-478.99,-90.71,34.71
290,-451.82,-352.44,-380.28,-66.54
291,465.38,-366.72,43.6,-78.02
292,69.45,-462.84,-59.74,124.37
293,-15.76,-557.1,-84.29,56.95
294,-62.68,-501.72,-63.59,43.71
295,21.17,-451.11,-113.44,14.13
296,-16.03,-469.79,-134.63,16.56
297,-23.87,-483.61,-65.82,17.76
298,-17.5,-461.73,-111.25,16.96
299,-191.85,-456.19,-168.66,44.16
300,-86.06,-439.18,-80.75,4.3
301,198.7,-426.54,-226.65,-58.53
302,35.72,-423.71,-23.62,46.17
303,-114.84,-415.35,-97.67,16.2
304,11.5,-499.78,-87.59,-17.85
305,52.63,-528.11,-99.54,25.63
306,-4.0,-474.36,-119.03,11.94
307,-14.78,-467.69,-129.48,18.37
308,-18.25,-477.77,-74.62,34.61
309,-80.41,-376.51,-174.87,-26.34
310,-584.06,-289.96,-258.91,58.65
311,-527.21,-513.97,12.52,-137.45
312,-833.87,-365.29,-70.39,61.37
313,-982.0,-539.06,-165.0,48.71
314,-1032.64,-551.47,-55.53,44.47
315,-980.16,-508.29,-71.12,34.41
316,-995.57,-492.6,-96.07,32.62
317,-1013.29,-472.65,-110.96,9.97
318,-1668.23,-275.59,-437.01,-90.03
319,-1534.19,-488.44,39.42,-105.08
320,-1801.28,-512.65,11.6,156.67
321,-1912.26,-478.16,-74.77,62.68
322,-1962.51,-485.55,-82.68,25.64
323,-1993.67,-451.82,-190.55,-23.55
324,-1957.16,-385.82,-112.56,29.59
325,-2006.72,-542.4,-65.13,51.93
326,-2143.47,-474.49,-132.18,-6.91
327,-1837.78,-394.08,-152.33,-11.88
328,-1945.06,-489.29,-95.26,25.88
329,-2032.53,-376.18,-221.91,-8.82
330,-2060.55,-447.13,-104.83,31.99
331,-2018.32,-534.9,-149.81,-60.68
332,-1826.66,-485.52,-27.23,61.18
333,-1952.78,-455.42,-107.52,26.36
334,-1978.71,-487.18,-124.12,2.66
335,-2016.56,-474.63,-174.89,4.85
336,-2054.81,-545.58,-105.09,-14.26
337,-2185.0,-345.51,-239.68,50.94
338,-1892.43,-555.08,-70.23,19.86
339,-1833.57,-492.39,-34.12,21.17
340,-1912.78,-411.2,-85.0,1.33
341,-2043.88,-482.91,-133.78,3.26
342,-2007.54,-494.56,-80.37,-5.42
343,-1903.71,-313.9,-192.34,-5.56
344,-1925.47,-429.76,-29.2,42.75
345,-1988.04,-524.32,-92.16,34.92
346,-2032.3,-393.78,-107.54,26.63
347,-1986.56,-474.54,-108.9,-11.55
348,-1945.88,-568.64,-86.47,24.64
349,-1963.83,-487.65,-149.24,2.82
350,-2032.34,-516.95,-130.2,51.99
351,-1975.14,-424.45,-193.74,11.72
352,-1954.61,-495.06,-43.54,25.9
353,-1979.58,-426.75,-73.98,36.47
354,-2060.41,-375.9,-59.07,48.14
355,-1926.2,-547.35,-126.93,18.59
356,-1991.68,-428.21,-70.87,-53.08
357,-1887.84,-557.45,-106.01,53.69
358,-2017.43,-427.89,-74.17,28.66
359,-2023.29,-430.28,-100.71,24.4
360,-1937.25,-376.09,-95.97,48.16
361,-1982.83,-468.28,-178.72,-104.86
362,-2071.94,-498.55,-96.34,95.97
363,-1973.62,-363.89,-200.51,20.89
364,-2005.87,-465.78,5.58,-19.31
365,-1811.58,-509.1,-241.67,-46.36
366,-1963.88,-566.53,-166.22,30.06
367,-2016.55,-499.76,-14.85,17.59
368,-2017.0,-419.99,-38.32,24.57
369,-2137.86,-546.31,-64.58,44.49
370,-1859.7,-417.73,-117.55,23.18
371,-1906.29,-455.53,-172.76,-30.69
372,-1966.65,-474.38,-38.16,22.6
373,-2005.73,-466.83,-178.96,20.11
374,-1920.48,-473.33,-48.24,-5.65
375,-1965.84,-459.46,-155.63,5.75
376,-1975.96,-470.27,-37.95,53.97
377,-2011.81,-432.55,-204.16,16.75
378,-2082.5,-407.21,-65.86,-14.92
379,-1866.41,-385.41,-71.22,-15.8
380,-2029.48,-491.12,-58.26,-23.91
381,-2161.2,-458.49,-175.42,41.58
382,-1734.47,-516.58,-127.62,11.09
383,-1962.87,-489.97,-79.17,22.34
384,-1975.05,-519.03,-139.62,-29.27
385,-1959.97,-378.84,-39.34,59.09
386,-1984.04,-540.3,-158.07,17.88
387,-2137.23,-402.69,-206.11,-37.6
388,-2087.18,-452.6,-7.09,48.16
389,-1775.45,-434.77,-47.34,13.96
390,-1886.23,-435.83,-215.68,-38.77
391,-2041.65,-521.78,9.73,115.85
392,-1975.25,-529.53,-68.63,8.09
393,-1898.1,-377.87,-110.02,-25.98
394,-1974.09,-508.99,-88.05,22.93
395,-2008.05,-499.56,-133.49,15.49
396,-1947.93,-467.44,-174.67,-27.63
397,-2136.73,-471.19,-259.41,4.56
398,-1902.14,-466.27,108.63,57.2
399,-1891.13,-472.66,-48.76,55.97
400,-2034.68,-410.01,-203.86,-36.82
401,-1922.45,-390.95,-68.13,50.93
402,-2047.54,-477.98,-94.0,-6.81
403,-2049.27,-600.61,-107.98,51.43
404,-1945.0,-422.59,-96.55,1.86
405,-1986.85,-420.15,-42.12,19.73
406,-1881.07,-367.08,-93.14,-12.43
407,-2088.49,-370.96,-145.53,-14.39
408,-1867.61,-584.72,-91.0,44.34
409,-1882.74,-342.58,-100.66,44.86
410,-1976.74,-444.08,-126.64,22.32
411,-2152.29,-608.39,-299.74,-81.67
412,-1932.66,-531.61,-45.49,53.94
413,-1877.04,-376.97,17.3,33.75
414,-1946.74,-436.18,-78.81,59.92
415,-2106.55,-559.76,-66.43,63.15
416,-1879.12,-424.47,-89.94,-42.94
417,-1950.32,-446.88,-110.04,0.68
418,-2005.42,-481.97,-283.5,-46.14
419,-2228.7,-444.76,-154.16,-20.19
420,-1737.48,-591.29,18.89,71.87
421,-1956.52,-349.6,-34.32,28.57
422,-2059.22,-461.34,-75.12,34.49
423,-2140.18,-500.26,-86.26,25.92
424,-1840.36,-419.66,-234.86,-42.13
425,-2022.39,-367.1,-118.64,42.77
426,-2158.85,-442.53,-75.55,19.87
427,-1714.32,-503.89,-131.4,13.65
428,-1874.37,-496.52,-64.79,-20.18
429,-1980.77,-524.75,-167.77,2.92
430,-1991.64,-519.77,-19.83,90.82
431,-1993.83,-497.96,-83.26,14.62
432,-1946.31,-393.73,-117.81,-12.68
433,-1990.24,-488.73,-62.64,52.69
434,-2027.5,-522.06,-136.44,4.68
435,-1957.07,-465.7,-196.86,-21.42
436,-1986.77,-409.7,30.18,27.13
437,-1955.67,-329.1,-82.01,41.56
438,-2058.65,-431.64,-157.6,-16.98
439,-2149.69,-452.22,-162.82,-30.07
440,-1919.91,-609.5,-178.96,-32.55
441,-1874.9,-518.79,-6.35,59.37
442,-1934.57,-509.29,-19.03,74.81
443,-2144.31,-435.65,-199.88,2.96
444,-1914.21,-508.54,-212.54,-77.96
445,-1926.01,-460.3,51.43,51.55
446,-1907.9,-384.4,-69.12,65.8
447,-2033.8,-306.59,-147.32,26.49
448,-1977.66,-382.1,-29.2,26.67
449,-1902.16,-633.7,-118.18,-21.71
450,-1998.09,-549.81,-121.27,-4.51
451,-2018.49,-561.77,-64.14,22.08
452,-1989.12,-377.83,-102.66,33.19
453,-1932.89,-528.35,-163.23,-54.59
454,-1982.83,-498.0,52.31,116.91
455,-1987.9,-466.55,-276.7,-70.0
456,-2154.48,-491.76,-328.46,-74.61
457,94.33,-483.8,123.37,89.64
458,40.46,-491.37,-63.39,41.14
459,-8.6,-397.91,-81.58,3.06
460,-164.2,-326.26,-230.59,-51.83
461,-38.63,-479.26,-0.86,22.54
462,172.98,-411.06,-73.66,13.95
463,30.96,-512.37,-110.54,-22.63
464,-63.43,-599.25,-66.63,61.25
465,-230.81,-466.73,-224.21,-36.57
466,158.85,-515.21,-113.06,-1.59
467,-7.1,-425.37,-70.31,-51.99
468,-52.37,-440.81,-176.14,-30.0
469,-22.85,-464.36,19.3,82.61
470,32.17,-388.17,-100.44,41.82
471,-39.86,-477.82,-186.18,-13.26
472,-19.4,-440.28,-91.98,-26.04
473,-2.78,-418.44,-11.56,48.86
474,-38.69,-620.6,-88.4,-19.03
475,-69.01,-516.14,-160.28,-15.18
476,19.73,-499.85,-150.0,47.58
477,-79.5,-392.09,-53.76,51.56
478,82.74,-518.49,-229.83,-20.5
479,-51.21,-484.67,-54.67,-6.11
480,-195.59,-433.84,-103.97,-59.29
481,172.8,-487.52,-7.85,124.69
482,25.12,-414.99,-97.73,-18.99
483,-213.86,-304.73,-104.59,45.25
484,138.32,-505.09,-98.01,-58.48
485,-24.03,-467.84,-168.55,-7.26
486,-13.72,-389.35,-54.44,40.91
487,-11.15,-551.27,-102.25,59.42
488,-98.13,-523.56,-152.73,-20.97
489,60.54,-514.4,-49.17,9.83
490,-100.78,-438.99,-88.56,23.58
491,69.55,-435.23,-304.07,-91.28
492,-16.41,-479.43,-46.4,103.69
493,15.9,-480.2,37.33,18.28
494,-34.44,-403.43,-104.62,27.28
495,-195.63,-585.94,-140.3,10.63
496,88.86,-443.49,-106.46,-63.17
497,-60.2,-342.28,-72.28,54.01
498,72.59,-419.78,-108.02,47.42
499,17.83,-474.58,-118.79,0.76
500,-127.51,-599.49,-75.01,-31.23
501,-1.2,-389.18,-131.76,37.78
502,-6.25,-448.95,-101.22,1.49
503,-16.09,-467.56,-124.07,44.22
504,55.17,-451.39,-63.98,-14.09
505,-24.99,-511.21,-96.86,55.57
506,-67.97,-493.48,-158.12,43.86
507,29.67,-384.3,-66.19,-47.58
508,-27.25,-463.47,-47.33,51.01
509,16.11,-431.63,-186.59,-61.21
510,-153.37,-521.43,-16.79,88.47
511,-29.13,-378.78,-135.5,-18.85
512,-40.17,-530.01,-145.02,-24.41
513,121.5,-465.66,-64.97,15.29
514,-56.99,-374.1,-110.45,33.84
515,-6.88,-534.69,-57.89,23.65
516,-28.91,-534.29,-203.14,-26.48
517,25.38,-475.96,-56.97,69.69
518,5.75,-450.7,-47.01,47.94
519,-20.43,-539.55,-161.97,18.89
520,-22.97,-365.66,-107.94,-32.82
521,-154.18,-251.01,-23.45,39.87
