,ch1,ch2,ch3,ch4
0,-22.04,-465.68,-37.93,46.14
1,-18.81,-470.6,-80.54,57.67
2,0.1,-446.52,-80.66,-17.02
3,-15.69,-477.44,-156.94,67.09
4,-7.28,-455.27,123.41,-18.24
5,-10.19,-460.75,-203.88,36.74
6,-2.7,-480.46,-117.35,24.06
7,-5.01,-484.6,-62.3,159.04
8,-0.14,-437.8,-135.22,-65.6
9,-41.92,-504.31,-96.82,28.52
10,-24.15,-488.49,-199.34,-61.34
11,-27.43,-489.24,-6.54,28.71
12,-25.48,-473.52,-95.39,32.91
13,-20.21,-478.16,-83.65,12.0
14,-1.85,-461.63,-97.2,-82.85
15,1.9,-445.42,-22.86,117.35
16,-33.37,-533.04,-170.08,6.28
17,-26.72,-493.23,-122.0,26.18
18,-10.24,-466.19,-40.96,39.78
19,-22.0,-475.82,-166.24,25.32
20,-22.13,-490.14,-91.27,-1.49
21,-11.29,-450.95,-94.89,80.72
22,-14.71,-455.22,-90.48,19.84
23,52.99,-443.45,407.78,196.87
24,-50.77,-533.27,287.29,-92.5
25,-36.17,-493.06,865.3,-70.92
26,-23.99,-467.01,943.44,-37.86
27,-13.12,-463.04,839.59,-8.42
28,-6.4,-447.95,956.93,62.76
29,-20.88,-464.73,815.68,10.91
30,-11.12,-480.18,927.41,23.89
31,10.74,-462.17,1392.98,106.11
32,8.48,-462.2,618.89,-72.35
33,-53.37,-518.59,783.88,53.84
34,-28.68,-488.27,858.39,21.65
35,-21.29,-475.36,900.42,52.9
36,-25.73,-481.41,884.1,36.62
37,-24.28,-482.42,893.46,40.74
38,-20.15,-477.16,887.34,33.34
39,-17.89,-477.67,886.05,34.51
40,-17.11,-478.77,884.19,36.79
41,-20.06,-473.42,885.05,36.21
42,-0.48,-437.32,855.27,-13.09
43,-27.45,-487.34,847.1,32.18
44,-18.73,-490.69,908.26,13.17
45,-27.26,-472.41,905.73,58.98
46,-18.23,-463.83,990.87,91.54
47,-13.22,-451.07,813.78,-10.38
48,-0.26,-450.1,1023.02,102.55
49,-14.37,-468.56,770.13,-62.48
50,-14.36,-467.73,865.3,64.7
51,-13.29,-481.91,954.91,54.02
52,14.87,-456.11,854.2,49.8
53,-10.7,-465.96,927.07,-27.9
54,0.96,-463.82,728.19,10.97
55,-26.21,-501.83,883.09,-70.5
56,-16.95,-479.6,882.52,36.5
57,-25.92,-484.49,843.97,-15.08
58,-20.19,-470.03,875.71,72.88
59,-15.7,-472.28,916.52,89.72
60,-19.32,-484.45,869.38,20.92
61,-13.75,-459.32,891.72,7.0
62,-25.13,-495.13,814.97,-15.4
63,-15.54,-496.2,1010.82,44.52
64,-3.64,-483.48,814.77,68.35
65,-37.58,-502.3,827.85,-43.63
66,-22.3,-494.53,899.05,17.6
67,-15.47,-486.97,895.46,24.43
68,-4.38,-443.17,847.52,-50.89
69,-15.92,-445.27,942.74,83.72
70,-20.22,-468.16,981.13,45.75
71,-26.16,-477.33,796.16,29.0
72,-19.14,-458.32,895.9,110.22
73,4.08,-450.78,898.65,-144.77
74,-3.77,-479.52,700.14,155.18
75,-23.41,-460.12,894.16,-123.96
76,-23.45,-488.78,943.87,44.31
77,-9.48,-483.31,835.61,48.24
78,-12.09,-466.27,866.21,-6.16
79,-7.41,-465.05,939.15,71.74
80,-12.34,-483.19,1066.22,12.37
81,-7.38,-451.01,748.02,51.78
82,-32.62,-504.75,845.86,12.19
83,-18.81,-486.29,870.62,30.56
84,-21.64,-481.12,779.37,-0.64
85,-10.47,-457.51,922.58,-1.71
86,-15.81,-475.95,890.68,48.88
87,3.47,-476.3,984.51,-9.38
88,-32.65,-508.06,750.86,46.99
89,-20.68,-473.83,904.17,37.52
90,2.54,-473.94,1018.99,85.44
91,-26.26,-476.74,754.97,14.39
92,-15.87,-457.29,880.56,34.27
93,-14.34,-465.14,877.28,38.64
94,-5.71,-463.47,970.69,40.19
95,-13.9,-460.72,811.89,36.75
96,-25.78,-482.85,860.4,22.13
97,-6.22,-440.51,891.68,1.68
98,-19.33,-462.62,842.82,-7.55
99,-30.76,-485.1,875.01,27.97
100,-21.22,-470.26,869.48,25.42
101,-10.88,-473.65,879.94,37.92
102,2.58,-453.76,1036.22,25.33
103,-23.68,-485.81,696.49,23.67
104,-16.95,-478.61,888.87,16.43
105,-13.81,-454.88,906.49,47.45
106,-25.19,-508.09,844.29,22.8
107,-12.18,-481.08,891.18,45.34
108,-25.44,-472.85,869.86,40.5
109,-10.84,-464.14,878.19,29.36
110,7.39,-456.4,953.44,52.22
111,-17.17,-478.91,869.19,8.01
112,-28.54,-489.45,811.06,14.23
113,-10.19,-473.06,907.53,28.14
114,-16.93,-465.28,858.22,13.8
115,-6.5,-450.03,858.48,-79.07
116,-26.56,-485.01,826.24,117.12
117,-20.22,-474.03,897.49,27.24
118,-21.08,-462.93,859.01,20.17
119,-16.45,-468.54,869.48,-3.43
120,-19.99,-481.83,906.99,47.74
121,-17.66,-469.58,850.6,22.46
122,-18.54,-458.92,899.52,47.04
123,-15.64,-475.77,852.56,7.4
124,-15.82,-469.33,913.06,8.81
125,-6.88,-464.88,901.31,30.42
126,-18.69,-466.72,830.65,16.61
127,-12.73,-464.4,831.96,2.48
128,-13.4,-463.14,836.77,-110.54
129,-10.29,-474.09,1012.29,115.2
130,-18.74,-480.35,848.41,59.75
131,-26.23,-484.89,853.62,19.09
132,-26.6,-478.73,867.12,33.58
133,-17.27,-489.23,862.59,21.06
134,-23.1,-474.74,865.39,26.99
135,-15.29,-454.65,877.15,10.18
136,-9.07,-467.1,980.94,34.29
137,-17.9,-478.84,797.78,7.72
138,-18.9,-468.12,808.7,-13.24
139,14.04,-450.02,833.14,12.39
140,-14.05,-478.75,923.7,59.21
141,-25.4,-481.1,847.35,26.12
142,-21.63,-460.78,865.34,-8.84
143,-27.76,-478.51,869.99,18.48
144,-22.61,-477.14,878.82,19.68
145,-16.22,-453.9,908.33,27.51
146,-22.74,-476.24,858.5,12.28
147,-16.33,-472.24,836.53,-4.89
148,-13.67,-463.28,861.34,27.51
149,-18.41,-467.05,860.97,27.76
150,-17.6,-467.1,892.41,26.84
151,-13.44,-459.1,828.97,-15.22
152,-14.71,-464.7,858.49,9.04
153,-14.72,-472.81,851.46,37.14
154,-17.39,-473.97,865.06,12.27
155,-14.93,-457.13,879.41,4.88
156,-24.67,-474.32,845.3,-3.51
157,-19.38,-471.78,876.18,43.04
158,-13.23,-456.03,877.05,17.94
159,-16.88,-474.87,865.12,13.15
160,-14.32,-473.8,867.04,9.53
161,-9.96,-468.71,865.79,14.97
162,-18.11,-466.59,865.69,11.79
163,-21.85,-472.19,868.25,8.61
164,-18.92,-468.24,870.8,11.75
165,-16.54,-464.34,862.17,11.15
166,-18.13,-467.0,-111.22,9.08
167,-7.42,-469.78,-114.99,13.3
168,-12.13,-456.57,-115.23,13.64
169,-11.17,-462.56,-111.12,7.93
170,-15.16,-471.49,-114.75,10.84
171,-19.39,-461.28,-112.25,10.81
172,-10.08,-455.81,-119.55,12.91
173,-10.98,-458.82,-119.35,12.69
174,-26.38,-460.75,-119.01,13.73
175,-24.67,-455.23,-117.78,10.87
176,-26.64,-457.54,-120.95,7.71
177,-57.49,-437.47,-120.45,14.39
178,-1.29,-460.22,-118.46,8.24
179,1.79,-454.59,-126.5,2.08
180,-17.24,-457.5,-121.68,3.63
181,-18.05,-455.84,-120.52,5.65
182,-2.99,-459.22,-126.87,3.44
183,3.15,-457.7,-125.87,7.51
184,-4.3,-454.51,-126.31,5.93
185,-28.37,-466.07,-128.55,6.53
186,-64.73,-473.44,-127.64,3.82
187,-106.2,-480.35,-119.58,7.59
188,35.5,-414.01,-123.46,-0.46
189,5.07,-437.14,-125.57,2.18
190,3.78,-448.7,-130.87,1.29
191,-60.71,-419.11,-122.02,0.4
192,-134.09,-421.29,-128.26,-4.07
193,-40.66,-471.08,-131.56,-2.63
194,89.84,-486.61,-143.33,-12.13
195,63.75,-486.57,-132.25,-13.4
196,0.61,-492.46,-131.5,-14.26
197,16.48,-504.02,-130.75,-10.64
198,0.19,-478.31,-130.14,-16.01
199,-2.3,-487.49,-133.04,-11.67
200,-12.02,-500.36,-130.56,-12.84
201,-15.25,-484.23,-127.69,-14.59
202,-14.73,-469.8,-133.1,-13.0
203,-14.09,-478.07,-136.5,-16.07
204,-26.41,-466.8,-127.25,-13.3
205,-22.69,-451.59,-129.33,-17.62
206,-11.29,-453.04,-123.15,-13.51
207,-29.73,-452.25,-129.92,-15.77
208,-78.94,-409.8,-133.76,-9.44
209,-2.86,-446.3,-127.49,-11.13
210,-154.71,-382.22,-119.26,-12.39
211,34.44,-466.92,-127.3,-5.47
212,65.18,-429.41,-129.88,-15.43
213,32.3,-438.14,-123.53,-13.31
214,9.93,-452.33,-134.21,-17.01
215,-2.6,-440.97,-134.09,-15.61
216,0.42,-450.5,-129.37,-11.52
217,-9.34,-452.84,-127.51,-5.08
218,-6.35,-437.52,-131.73,-6.71
219,-10.2,-422.8,-132.32,-10.85
220,-71.27,-440.75,-129.73,-11.1
221,-50.96,-449.84,-124.26,-2.03
222,-102.01,-465.79,-122.41,-6.91
223,-1.15,-441.2,-131.49,-13.8
224,45.73,-437.05,-132.78,-10.93
225,-26.04,-490.43,-135.45,-12.89
226,1.1,-471.16,-133.16,-13.51
227,-57.18,-594.79,-133.84,-9.84
228,-41.71,-322.75,-127.56,-5.49
229,54.58,-390.58,-132.47,-7.51
230,21.19,-434.2,-132.96,-10.84
231,-21.01,-438.19,-133.76,-6.34
232,-53.55,-419.83,-133.85,-11.02
233,-7.66,-408.4,-141.69,-14.0
234,-54.21,-448.72,-134.11,-15.01
235,0.15,-404.76,-121.19,-5.73
236,-9.62,-458.26,-133.58,-9.81
237,-46.09,-449.62,-127.73,-7.37
238,-34.55,-445.7,-123.88,-5.99
239,-3.68,-391.08,-123.32,-12.73
240,-25.56,-441.81,-124.59,-20.46
241,-81.51,-380.98,-115.99,-12.27
242,-32.05,-405.68,-138.33,-20.1
243,-76.3,-502.19,-139.27,-25.29
244,30.2,-343.74,-127.24,-6.98
