,ch1,ch2,ch3,ch4
0,-18.49,-468.62,-62.29,41.16
1,-18.56,-469.01,-87.41,16.01
2,11.82,-398.22,-68.12,11.83
3,-33.51,-563.78,-122.49,-12.05
4,-22.27,-411.68,-87.03,20.25
5,-15.56,-473.52,-82.98,14.09
6,-19.85,-432.92,-87.38,46.46
7,1.47,-447.71,-91.73,31.9
8,-23.76,-440.27,-87.93,40.63
9,-32.81,-526.38,-91.62,18.87
10,-1.11,-463.25,-95.42,0.69
11,-5.23,-359.35,-92.01,46.85
12,-14.77,-485.2,-93.22,44.87
13,-20.08,-496.45,-95.92,10.41
14,-6.56,-395.77,-100.79,3.7
15,-39.19,-543.25,-107.06,4.82
16,3.15,-303.91,-150.44,-14.18
17,-35.28,-581.11,-103.48,49.32
18,5.08,-365.52,-96.04,-38.72
19,1.98,-463.8,-110.21,31.88
20,1.02,-472.81,-150.56,56.95
21,-21.6,-466.45,-71.77,-27.93
22,-7.95,-509.08,-83.73,55.56
23,8.35,-314.15,-94.31,31.45
24,-18.49,-564.8,-101.31,13.39
25,-13.88,-490.33,-119.5,36.92
26,6.48,-440.66,-86.7,-8.66
27,0.57,-474.68,-87.16,30.93
28,-8.23,-463.69,-95.06,15.9
29,-19.76,-635.87,-78.61,15.59
30,15.85,-82.71,-130.6,-25.63
31,-8.84,-449.09,-95.17,33.52
32,-36.83,-554.6,-89.89,20.75
33,-20.17,-503.04,-91.58,19.85
34,-21.31,-498.2,-86.91,22.27
35,3.78,-444.34,-93.96,21.83
36,-0.83,-453.06,-110.11,3.91
37,-15.11,-455.88,-90.61,24.22
38,-7.38,-459.65,-98.09,17.77
39,-41.91,-521.15,-94.58,6.65
40,-11.95,-409.16,-163.23,-125.35
41,14.59,-343.85,-122.11,63.17
42,-20.68,-511.41,-66.68,50.12
43,3.28,-356.75,-65.15,30.17
44,-5.82,-398.26,-112.42,47.62
45,-23.72,-512.38,-105.04,49.15
46,-13.4,-464.69,-76.68,-3.33
47,-14.38,-465.78,-84.08,16.73
48,-12.63,-474.92,-90.65,15.52
49,-15.71,-469.22,-92.51,12.76
50,-11.71,-456.48,-92.69,23.17
51,-21.67,-455.4,-95.94,19.85
52,-20.19,-452.96,-96.41,14.26
53,-16.73,-455.2,-126.97,-47.35
54,21.65,-360.32,-94.97,10.46
