,ch1,ch2,ch3,ch4
0,-23.5,-484.43,-44.75,57.75
1,15.12,-402.63,-88.7,17.86
2,-7.25,-438.99,-90.45,30.12
3,-22.69,-491.68,-104.95,36.92
4,-24.77,-383.33,-84.16,5.88
5,-29.51,-436.13,-129.9,18.74
6,2.92,-543.63,-121.14,42.93
7,-40.21,-530.0,-253.18,-1.41
8,-18.42,-465.03,-43.35,28.1
9,-7.77,-426.26,-64.25,25.74
10,-27.8,-516.96,-88.29,40.8
11,-32.07,-510.27,-86.68,30.58
12,-25.05,-483.74,-122.09,24.17
13,-13.24,-466.53,-96.59,23.39
14,-19.96,-457.19,-103.31,19.37
15,-18.72,-453.82,-106.27,26.27
16,-21.75,-432.82,-106.51,14.99
17,-23.0,-462.23,-120.59,15.25
18,-19.31,-467.92,-162.85,0.38
19,-11.6,-442.11,-106.92,20.8
20,-21.53,-424.69,-83.82,10.85
21,-15.41,-483.61,-104.69,19.86
22,-39.63,-496.21,-86.66,33.27
23,4.32,-363.45,-121.36,-7.63
24,-42.8,-562.52,-80.64,58.57
25,-43.41,-499.56,-131.64,28.35
26,9.51,-447.32,-176.85,-6.6
27,-7.5,-434.62,-75.44,15.47
28,-53.88,-512.31,-96.42,27.76
29,-74.15,-510.83,-127.86,20.9
30,-2.39,-448.47,-150.67,-14.01
31,9.07,-508.77,-128.1,33.31
32,-10.12,-472.27,-58.13,32.06
33,-0.94,-454.27,-139.19,13.95
34,-19.22,-496.9,-178.81,13.86
35,-49.41,-484.21,-93.36,25.33
36,2.38,-443.58,-71.49,25.74
37,-5.59,-409.97,-86.01,16.45
38,-34.41,-501.76,-97.28,28.71
39,-47.9,-490.39,-101.02,18.78
40,-9.69,-481.56,-106.99,15.67
41,-12.72,-443.87,-113.46,21.82
42,-19.7,-444.89,-114.47,5.22
43,-16.85,-361.43,-115.98,2.87
44,-49.14,-466.69,-112.21,19.38
45,17.05,-531.39,-99.37,33.41
46,-38.84,-506.65,-160.9,25.59
47,-22.33,-504.3,-181.38,5.34
48,-10.15,-478.02,-38.65,23.29
49,-15.12,-468.17,-91.09,15.85
50,-28.42,-504.51,-94.32,22.72
51,-23.57,-483.5,-108.45,13.85
52,-24.03,-464.43,-98.74,10.64
53,-16.77,-448.25,-100.9,21.72
54,-7.23,-426.85,-180.13,2.06
55,-19.03,-478.48,-82.35,12.14
56,-28.94,-484.33,-59.96,37.26
57,-32.16,-478.25,-117.05,19.01
58,-29.96,-478.34,-99.95,20.57
59,-26.54,-474.15,-101.16,18.7
60,-51.95,-488.6,-98.94,25.71
61,-23.7,-477.73,-105.59,19.79
62,-29.43,-437.64,-110.11,14.22
63,-13.33,-419.3,-111.67,9.1
64,23.09,-371.43,-125.19,-2.24
65,17.93,-407.51,-162.8,2.67
66,-18.61,-494.36,-137.38,18.62
67,-67.32,-567.19,-47.75,46.84
68,-30.05,-484.51,-100.83,21.03
69,-32.63,-524.3,-130.92,22.0
70,-22.2,-486.78,-84.75,17.91
71,-9.55,-429.61,-96.67,12.46
72,-28.74,-483.94,-93.91,32.42
73,34.24,-432.4,-111.87,15.33
74,-31.91,-511.04,-113.93,16.85
75,-28.14,-479.93,-159.28,4.93
76,-23.35,-484.13,-96.1,26.0
77,-18.97,-477.58,-47.59,24.05
78,-20.96,-470.09,-112.47,13.52
79,-17.0,-465.44,-105.27,15.0
80,-19.9,-460.61,-103.05,18.1
81,-22.42,-442.01,-100.81,13.67
82,-18.55,-395.42,-110.84,2.66
83,-40.4,-473.12,-115.07,24.38
84,22.72,-421.71,-166.44,-13.43
85,-5.15,-455.98,-170.86,9.8
86,-25.04,-530.3,-25.88,45.35
87,-36.59,-505.58,-80.36,25.51
88,-37.7,-487.03,-92.58,30.66
89,-21.53,-468.31,-98.82,21.07
90,-27.53,-468.74,-100.26,24.57
91,-71.48,-490.82,-107.11,10.38
92,-13.05,-467.1,-94.9,20.11
93,-15.05,-429.92,-103.39,8.68
94,25.68,-332.42,-120.75,-12.55
95,13.6,-429.22,-108.03,19.27
96,-32.18,-549.71,-97.99,40.73
97,-21.24,-510.26,-148.48,11.04
98,-18.16,-461.0,-54.02,24.03
99,-42.73,-493.83,-133.59,21.04
100,-24.03,-448.82,-92.81,8.39
101,-37.43,-437.5,-191.53,-20.55
102,-3.06,-471.08,-131.14,11.06
103,-56.25,-533.66,-14.07,49.93
104,-29.58,-486.38,-84.19,34.55
105,-11.6,-459.74,-94.14,20.53
106,-25.37,-470.57,-100.48,20.82
107,-8.31,-464.1,-182.17,-5.93
108,-29.5,-428.46,-83.6,17.4
109,12.07,-404.14,-126.7,10.45
110,-21.61,-474.08,-202.34,-1.42
111,-10.77,-456.44,-7.94,25.98
112,-31.21,-482.67,-84.99,19.06
113,-72.91,-509.89,-137.17,20.95
114,-37.95,-458.53,-98.11,14.71
115,34.84,-441.65,-48.3,27.05
116,-23.85,-438.67,-108.03,12.45
117,-15.62,-495.14,-110.88,8.94
118,-15.54,-509.39,-141.07,11.64
119,-46.32,-502.57,-143.9,10.93
120,-10.41,-462.09,-141.67,-3.25
121,16.09,-404.67,-37.32,23.18
122,-70.01,-524.09,-51.95,45.17
123,-54.22,-494.67,-108.77,18.71
124,-12.05,-459.96,-122.77,5.47
125,-11.36,-469.39,-138.67,15.98
126,-10.54,-479.16,-90.65,26.19
127,-26.0,-469.39,-110.81,15.56
128,-14.42,-412.04,-71.89,16.61
129,-22.88,-472.83,-113.3,14.53
130,-71.96,-470.95,-96.01,20.59
131,48.11,-353.81,-129.34,-10.8
132,-2.8,-500.29,-105.7,19.16
133,-22.36,-452.02,-123.83,7.62
134,-46.49,-580.12,-91.03,36.91
135,-21.53,-483.2,-137.07,21.48
136,-25.54,-462.53,-158.45,12.68
137,-27.7,-490.28,-121.43,2.45
138,-9.13,-498.9,-100.68,32.93
139,-23.31,-479.88,-47.16,31.94
140,-42.38,-467.0,-125.92,12.93
141,-11.46,-460.48,-99.33,23.61
142,51.1,-358.45,-109.35,-3.11
143,10.37,-372.81,-156.69,-5.87
144,-65.41,-584.24,-109.74,51.52
145,-60.16,-537.24,-87.81,31.05
146,-17.75,-483.26,-72.71,29.63
147,-17.92,-467.31,-97.91,23.25
148,0.07,-460.52,-107.46,18.41
149,-38.26,-464.89,-100.66,20.75
150,-24.58,-475.38,-102.66,21.71
151,22.73,-378.17,-114.93,-6.19
152,20.28,-374.83,-121.26,16.2
153,-38.19,-525.85,-92.27,46.38
154,-39.13,-536.92,-99.75,28.87
155,-51.23,-513.78,-146.83,24.78
156,-52.99,-502.23,-159.33,5.75
157,-11.32,-482.67,-52.22,20.92
158,-11.32,-476.82,-84.68,37.52
159,-33.0,-463.03,-148.86,21.73
160,-39.98,-440.34,-184.51,0.91
161,31.24,-479.91,-152.94,7.17
162,-7.4,-420.44,-22.56,23.12
163,16.54,-361.29,-94.33,-12.34
164,-54.36,-525.95,-86.75,40.42
165,-43.09,-525.33,-96.01,40.38
166,-31.34,-497.97,-104.18,29.18
167,-27.73,-489.15,-104.82,23.98
168,-19.7,-477.37,-104.05,22.18
169,-25.43,-453.58,-104.5,22.83
170,-37.45,-432.7,-122.06,18.34
171,-59.41,-447.7,-147.67,12.56
172,58.49,-412.4,-136.72,-9.97
173,-2.95,-487.05,-75.25,32.08
174,-35.81,-501.08,-92.11,29.66
175,-27.05,-492.17,-102.77,29.2
176,-29.92,-502.41,-110.7,23.6
177,-21.81,-478.6,-108.63,21.52
178,-22.73,-483.21,-109.98,24.86
179,-24.86,-467.75,-136.0,14.69
180,-42.89,-465.44,-132.99,9.45
181,-41.01,-468.12,-52.16,22.82
182,15.04,-415.56,-134.88,9.59
183,-9.12,-441.3,-130.07,16.4
184,-29.11,-475.43,-85.77,23.13
185,-16.31,-504.23,-136.17,13.38
186,-28.85,-500.71,-42.64,34.11
187,-27.71,-483.35,-110.45,19.7
188,-27.77,-468.25,-108.16,21.94
189,-23.52,-464.95,-106.34,19.51
190,-29.38,-476.97,-108.37,18.66
191,-34.99,-476.86,-101.65,18.91
