,ch1,ch2,ch3,ch4
0,-37.0,-474.93,-102.72,28.8
1,-9.18,-391.16,-105.3,16.18
2,-24.47,-433.6,-105.08,23.54
3,-6.34,-390.83,-97.6,29.3
4,-12.78,-439.22,-111.53,15.59
5,-52.08,-543.78,-103.11,18.88
6,-13.18,-465.15,-109.42,20.03
7,-9.37,-459.99,-96.73,34.72
8,-30.84,-499.21,-102.48,25.31
9,-25.55,-483.84,-106.52,24.68
10,-40.55,-478.41,-106.72,30.51
11,-10.7,-446.86,-86.98,31.19
12,-13.81,-451.67,-107.07,15.8
13,-8.43,-457.97,-106.23,19.19
14,-49.05,-478.24,-104.13,23.02
15,-0.85,-432.55,-100.47,26.77
16,-21.28,-440.01,-110.54,17.61
17,-35.31,-442.48,-110.83,18.25
18,-24.52,-480.0,-101.29,34.78
19,-18.54,-517.76,-112.7,15.7
20,-44.54,-435.56,-118.04,8.41
21,-48.7,-471.94,-104.99,30.65
22,-20.94,-463.44,-104.09,18.96
23,-9.09,-416.8,-91.35,30.53
24,-15.88,-410.65,-105.2,16.62
25,-51.56,-512.92,-110.73,12.2
26,5.28,-420.73,-93.44,25.49
27,-5.5,-434.51,-109.67,5.44
28,-41.61,-459.41,-104.73,25.09
29,8.53,-442.93,-115.06,9.65
30,-10.74,-478.9,-94.31,25.11
31,3.01,-457.61,-111.54,23.15
32,-2.23,-432.73,-108.07,12.53
33,-5.14,-438.55,-96.02,24.73
34,-32.4,-476.32,-106.73,17.29
35,-52.19,-497.83,-118.76,10.76
36,-3.64,-440.7,-88.05,34.67
37,-32.84,-466.3,-104.88,24.15
38,-15.5,-425.17,-101.23,29.11
39,-11.76,-490.69,-96.95,26.87
40,-21.64,-489.86,-92.53,26.07
41,-46.99,-454.81,-102.16,24.91
42,-30.84,-480.58,-94.86,22.53
43,-5.08,-419.58,-99.83,27.23
44,-4.22,-476.51,-98.97,21.6
45,-11.74,-470.7,-106.55,22.43
46,-23.82,-397.37,-97.67,23.73
47,-4.33,-434.86,-104.39,13.89
48,-20.19,-465.71,-90.96,34.61
49,-23.59,-485.03,-100.9,23.25
50,-12.67,-487.69,-97.9,26.71
51,-5.69,-487.37,-88.05,42.54
52,-14.03,-461.69,-101.44,19.69
53,4.64,-450.7,-96.96,29.69
54,-16.19,-454.88,-100.36,28.3
55,-38.09,-467.87,-103.97,22.93
56,-40.25,-494.03,-92.09,36.74
57,-20.0,-528.89,-99.79,29.95
58,3.11,-295.86,-103.09,25.55
59,-7.39,-484.31,-102.9,26.19
60,-40.12,-621.12,-98.31,28.54
61,-6.5,-412.44,-100.12,39.24
62,4.0,-380.77,-99.76,17.72
63,-74.84,-506.55,-92.73,17.9
64,-14.96,-382.55,-95.97,26.82
65,16.16,-456.25,-103.16,29.26
66,23.25,-450.03,-101.61,26.9
67,-32.31,-492.26,-108.84,26.18
68,-14.38,-483.63,-95.83,30.78
69,-2.86,-464.03,-97.62,27.76
70,-19.45,-466.63,-97.07,27.79
71,0.45,-453.34,-96.06,32.08
72,-20.0,-468.13,-91.02,26.28
73,-25.97,-480.75,-101.99,33.52
74,-19.56,-496.61,-91.33,35.32
75,-15.23,-418.43,-105.14,28.65
76,-9.18,-391.17,-103.82,27.96
77,-11.77,-463.2,-94.38,36.88
78,-24.8,-448.49,-95.05,31.07
79,-17.41,-505.89,-103.36,28.28
80,-17.28,-494.41,-100.16,31.68
81,-21.08,-488.79,-99.12,22.93
82,-88.0,-566.07,-95.72,29.8
83,14.23,-400.49,-86.01,38.75
84,22.67,-432.25,-99.38,32.45
85,-14.18,-444.26,-91.66,31.78
86,-19.76,-461.13,-93.81,24.63
87,-13.12,-471.84,-99.69,27.57
88,1.4,-448.44,-101.37,26.2
89,-20.69,-458.16,-98.39,25.84
90,-9.36,-477.89,-91.34,24.44
91,-45.73,-499.42,-97.68,24.27
92,-40.59,-478.63,-93.78,28.4
