,ch1,ch2,ch3,ch4
0,-228.72,-224.38,-116.86,0.42
1,167.46,-697.62,-116.37,17.52
2,77.1,-281.99,-94.19,44.27
3,-4.47,-591.47,-101.67,33.06
4,-121.33,-617.53,-118.2,-4.87
5,-146.75,-23.95,-90.24,33.71
6,195.38,-696.76,-111.64,17.73
7,16.66,-435.26,-103.8,25.04
8,-49.43,-495.33,-114.14,16.63
9,-167.77,-336.2,-117.82,0.27
10,118.61,-567.05,-104.39,35.73
11,-54.71,-566.31,-102.52,24.36
12,-35.69,-601.24,-105.24,15.96
13,-215.09,-486.68,-110.85,10.82
14,161.48,-415.9,-105.16,39.5
15,28.79,-268.06,-105.11,24.18
16,7.85,-434.07,-120.07,-2.27
17,-26.51,-548.12,-100.37,40.66
18,-238.03,-232.91,-100.93,24.87
19,167.72,-551.87,-109.44,25.44
20,-157.25,-724.73,-115.12,6.12
21,-4.58,-439.82,-98.24,46.31
22,-27.94,-448.27,-108.35,24.01
23,-57.26,-561.42,-116.86,1.87
24,76.28,-337.83,-106.66,24.37
25,-32.73,-615.99,-98.96,27.19
26,-22.84,-224.82,-105.67,11.38
27,15.17,-537.6,-104.89,20.34
28,-16.07,-381.06,-110.8,22.56
29,-183.75,-715.24,-114.43,11.13
30,122.29,-287.3,-122.42,7.38
31,38.92,-506.57,-93.37,53.74
32,-22.06,-552.56,-99.47,29.05
33,-16.33,-463.62,-100.2,21.84
34,-107.19,-272.23,-113.58,8.33
35,-13.57,-585.99,-105.52,33.16
36,15.78,-528.66,-90.44,34.37
37,-91.88,-557.17,-116.71,1.8
38,-85.81,-321.44,-115.98,10.55
39,91.24,-503.93,-89.76,55.42
40,6.08,-514.78,-100.58,31.15
41,-53.62,-531.42,-108.87,16.22
42,-130.57,-380.43,-126.01,-17.72
43,74.99,-319.59,-98.14,33.36
44,56.26,-589.05,-89.79,46.15
45,-189.33,-366.0,-94.3,29.13
46,77.54,-521.36,-109.04,20.39
47,-42.32,-704.8,-102.23,19.08
48,-23.16,-233.94,-100.57,25.91
49,28.51,-595.38,-108.48,25.2
50,-40.06,-520.41,-112.95,0.91
51,-237.54,-400.84,-134.72,-33.32
52,172.98,-314.24,-76.04,83.73
53,51.93,-458.64,-100.57,30.35
54,-21.85,-620.63,-125.02,-10.42
55,-26.61,-388.33,-91.06,49.37
56,-13.89,-496.24,-100.56,33.32
57,-22.96,-530.45,-100.32,29.29
58,-22.71,-398.7,-120.78,8.71
59,-205.17,-600.81,-107.92,18.33
60,111.59,-418.17,-91.47,39.62
61,33.04,-428.03,-112.03,19.31
62,-31.59,-496.37,-107.72,18.26
63,-72.02,-299.7,-105.29,23.92
64,32.05,-544.0,-121.49,4.05
65,-68.3,-537.49,-95.18,40.99
66,23.74,-506.75,-97.79,32.33
67,-158.69,-499.43,-103.55,23.22
68,44.73,-533.38,-106.3,12.52
69,-11.28,-501.7,-104.93,20.46
70,-61.13,-580.7,-116.05,4.33
71,-13.88,-407.84,-109.73,22.49
72,-5.48,-554.91,-117.39,9.26
73,28.29,-417.76,-94.4,37.21
74,-113.61,-484.84,-100.89,20.23
75,5.74,-512.02,-104.75,21.62
76,-42.27,-526.23,-107.09,19.6
77,44.02,-492.2,-105.58,20.88
78,-2.74,-499.35,-107.5,19.36
79,-11.24,-500.29,-118.47,14.67
80,-104.78,-470.37,-146.48,-59.96
81,18.47,-523.78,-122.91,-58.99
82,20.85,-512.73,-112.8,-26.62
83,-74.39,-508.93,-82.33,82.8
84,-4.03,-486.09,-99.33,25.17
85,-84.45,-503.76,-108.5,31.26
86,14.39,-624.33,-102.65,46.13
87,11.43,-506.64,-99.69,46.03
88,-41.16,-466.55,-90.44,44.93
89,-26.6,-439.52,-94.98,22.91
90,-1.6,-591.63,-107.6,19.94
91,-74.46,-485.9,-99.08,27.78
92,20.4,-532.06,-114.12,18.82
93,-22.08,-511.23,-102.58,34.1
94,-18.56,-544.15,-104.55,22.13
95,-89.02,-580.79,-107.87,17.42
96,-29.51,-407.88,-109.89,19.06
97,-40.6,-645.44,-104.27,25.64
98,20.14,-431.68,-94.65,50.82
99,-23.65,-475.31,-104.3,24.86
100,-28.83,-493.42,-105.93,20.92
101,12.53,-506.43,-103.45,19.71
102,-27.64,-499.9,-103.17,29.17
103,-2.95,-469.22,-106.65,20.98
104,-33.78,-496.95,-108.89,8.12
105,-22.04,-484.77,-108.8,18.28
106,-14.46,-465.94,-116.5,5.13
107,-16.75,-481.27,-106.22,33.89
108,-25.52,-471.7,-104.0,39.39
109,-21.65,-467.01,-96.78,35.94
110,-22.49,-471.61,-104.2,33.7
111,-18.39,-465.15,-105.55,34.35
112,-22.39,-466.68,-110.07,12.7
113,-29.82,-475.96,-96.19,36.5
114,-56.48,-519.29,-93.84,60.52
115,19.06,-453.6,-103.9,40.55
116,-67.96,-471.24,-101.56,43.84
117,-3.49,-433.05,-92.87,51.67
118,39.0,-421.5,-102.05,44.62
119,-22.51,-495.93,-99.0,43.58
120,-20.92,-461.73,-101.7,42.8
121,-24.66,-491.59,-98.54,39.73
122,-34.29,-469.69,-97.5,40.48
123,-10.19,-465.19,-100.32,39.59
124,-38.18,-480.23,-98.06,41.0
125,-33.07,-462.45,-97.07,46.86
126,-34.07,-440.99,-95.53,38.72
127,-11.97,-443.22,-101.9,29.48
128,-22.13,-431.95,-96.19,42.65
129,-20.23,-419.6,-90.0,33.11
130,-14.2,-413.52,-93.83,27.71
131,-15.67,-413.29,-92.79,29.45
132,-86.78,-401.22,-88.96,44.88
133,-27.11,-409.16,-90.46,37.11
134,11.19,-567.62,-100.83,29.7
135,47.13,-284.54,-90.79,24.96
136,3.95,-402.21,-78.54,47.46
137,-52.99,-406.75,-76.9,57.34
138,5.49,-406.36,-89.03,44.22
139,0.32,-420.17,-96.93,32.94
140,-17.07,-435.08,-90.57,31.46
141,-17.15,-451.96,-91.04,31.78
142,-28.07,-453.6,-84.7,37.43
143,-19.22,-446.99,-83.31,45.19
144,-12.84,-429.96,-88.25,40.69
145,-14.78,-422.01,-85.26,34.31
146,-16.69,-407.05,-84.86,22.89
147,-9.64,-399.87,-89.01,16.12
148,-6.04,-386.84,-86.09,31.45
149,-12.01,-381.38,-84.14,29.8
150,-15.68,-360.95,-93.62,21.86
151,-6.74,-367.56,-94.56,34.57
