,ch1,ch2,ch3,ch4
0,-15.27,7.97,-0.27,-8.94
1,-17.85,3.39,2.64,4.9
2,-18.63,2.84,9.83,-36.78
3,-16.81,6.77,-3.71,-40.08
4,-14.54,12.58,2.96,-21.96
5,-16.94,9.0,2.2,-43.61
6,-18.42,11.03,5.73,-41.8
7,-21.64,16.89,3.41,21.21
8,-11.95,14.42,2.69,-19.33
9,-18.38,8.03,1.85,-20.23
10,-18.83,10.39,6.0,-13.23
11,-17.18,8.29,0.81,-19.74
12,-18.53,7.82,-1.2,-22.45
13,-13.83,17.47,9.11,-15.39
14,-15.46,6.85,7.41,14.32
15,-16.22,12.41,-3.09,-32.25
16,-16.12,18.05,-4.43,-27.32
17,-13.69,13.09,5.71,37.86
18,-13.42,12.33,3.12,-52.6
19,-17.3,7.82,-4.92,-67.09
20,-15.51,11.63,5.14,8.89
21,-14.77,8.99,4.94,-16.1
22,-17.56,9.42,4.93,-15.26
23,-20.82,3.57,0.69,-15.8
24,-19.8,17.17,0.39,-9.96
25,-16.74,25.98,3.45,-29.8
26,-13.35,20.38,4.94,-24.39
27,-15.94,19.55,5.94,-9.31
28,-14.19,19.58,-0.95,-28.15
29,-20.98,15.16,4.16,-11.77
30,-15.83,22.26,-1.52,-12.69
31,-15.9,17.68,4.13,-17.34
32,-16.69,20.83,13.02,-24.29
33,-15.42,17.59,-0.35,-12.52
34,-15.52,11.65,-2.37,-22.71
35,-17.98,13.03,12.17,-15.27
36,-9.5,18.15,16.47,-19.16
37,-14.64,16.0,-1.91,-20.23
38,-20.77,7.81,6.01,-16.58
39,-14.1,23.99,4.54,-4.2
40,-13.64,19.25,6.34,-19.99
41,-12.5,23.13,7.37,-18.66
42,-15.0,17.77,8.3,-21.71
43,-18.07,18.33,6.99,-19.23
44,-15.77,12.55,4.37,-49.61
45,-11.3,18.59,4.85,5.74
46,-17.88,15.39,4.89,-15.14
47,-14.79,15.01,9.24,0.23
48,-16.81,18.72,5.31,-32.33
49,-18.07,24.44,10.42,2.38
50,-14.4,19.27,5.93,-37.5
51,-14.8,19.16,10.4,4.05
52,-19.26,20.02,12.22,-7.4
53,-13.65,22.49,-1.65,-29.11
54,-14.44,21.64,17.3,-38.48
55,-18.33,9.8,2.37,-18.48
56,-18.02,24.98,8.12,1.98
57,-16.8,22.18,8.54,-13.71
58,-12.41,26.0,1.16,-19.49
59,-13.97,24.39,10.19,-20.47
60,-13.21,18.13,9.3,-8.96
61,-17.29,17.49,6.89,-20.31
62,-16.35,20.96,8.5,-38.54
63,-18.16,16.2,4.8,-6.64
64,-18.78,18.07,11.95,3.17
65,-19.02,16.47,7.55,-26.07
66,-16.06,13.13,6.93,-38.86
67,-19.27,20.31,6.15,3.55
68,-15.3,15.75,8.79,-18.88
69,-18.92,14.5,6.83,15.08
70,-15.9,13.83,9.23,-34.66
71,-22.17,22.08,12.7,-64.89
72,-18.02,25.43,-3.1,-24.67
73,-18.15,21.6,10.52,-27.02
74,-16.02,16.89,16.06,8.36
75,-16.16,14.87,6.39,-6.69
76,-13.26,23.61,17.7,-14.94
77,-14.62,18.24,0.1,-22.94
78,-14.62,18.05,3.2,-24.55
79,-14.72,21.52,8.56,-71.0
80,-18.42,16.43,3.67,19.41
81,-19.32,23.84,6.5,-14.93
82,-19.72,16.62,10.6,-18.3
83,-17.27,18.26,10.71,-20.68
84,-13.51,26.7,6.11,-24.5
85,-19.51,23.58,11.84,42.39
86,-13.42,17.4,14.95,-45.62
87,-13.16,16.9,2.06,-29.59
88,-18.23,13.32,4.81,-41.95
89,-13.38,17.21,11.22,-20.78
90,-15.74,15.79,4.45,-30.21
91,-15.01,5.27,2.35,-47.83
92,-17.13,19.45,7.12,13.57
93,-17.77,15.26,16.69,-7.87
94,-13.16,17.42,7.65,-28.27
95,-18.82,16.04,5.77,-31.12
96,-21.63,13.68,14.42,-0.54
97,-17.08,16.61,7.42,-25.11
98,-16.35,14.12,9.84,-2.63
99,-16.07,9.41,13.02,-22.51
100,-17.88,9.53,10.15,-14.54
101,-14.49,17.43,-1.35,-19.52
102,-15.54,12.94,6.24,9.16
103,-16.31,11.65,8.04,-22.29
104,-15.8,13.54,8.87,-30.41
105,-18.82,15.27,9.97,-7.24
106,-17.41,10.97,7.46,-26.13
107,-17.85,11.6,3.69,-29.62
108,-15.27,9.12,23.07,-8.15
109,-15.14,15.08,4.6,-0.95
110,-18.93,10.69,6.65,-42.94
111,-19.39,11.81,9.18,-14.54
112,-15.78,10.51,11.11,-8.73
113,-18.31,10.12,16.3,-18.82
114,-18.95,8.5,5.32,-16.98
115,-16.55,16.68,6.74,-10.23
116,-16.88,10.52,2.17,-34.31
117,-19.7,19.24,16.88,46.41
118,-12.54,16.3,12.02,-39.62
119,-13.37,18.38,9.26,-30.22
120,-16.75,15.63,11.01,-21.86
121,-15.56,12.64,9.97,-16.87
122,-15.87,12.17,3.5,-51.22
123,-17.65,10.46,15.77,3.07
124,-21.71,11.93,13.65,-22.97
125,-19.93,11.13,10.5,1.63
126,-18.39,18.85,12.09,-16.09
127,-16.34,13.8,12.3,-24.98
128,-16.42,17.5,1.48,6.57
129,-20.1,15.2,7.79,-12.0
130,-13.66,19.5,2.52,-22.36
131,-16.6,14.75,19.4,-12.65
132,-14.1,13.46,2.25,-19.81
133,-16.54,17.5,1.42,-16.61
134,-17.94,13.98,6.17,-5.59
135,-15.8,13.91,13.32,17.39
136,-17.92,13.36,8.3,-93.28
137,-15.47,22.1,9.86,13.6
138,-20.5,13.0,6.94,-14.26
139,-18.77,16.96,6.72,-18.76
140,-17.39,13.14,4.66,-23.23
141,-20.96,12.19,9.53,-32.32
142,-17.61,15.07,10.48,2.59
143,-16.49,19.44,9.73,-25.36
144,-14.42,18.15,6.99,-1.46
145,-16.05,16.75,8.35,-13.62
146,-17.73,16.02,7.32,-14.47
147,-17.39,17.92,10.13,-18.07
148,-15.91,17.42,4.3,-28.39
149,-16.95,22.19,14.85,0.14
150,-16.52,16.57,10.97,14.03
151,-16.1,17.76,5.72,-33.32
152,-19.74,20.92,5.79,-15.95
153,-19.13,13.32,6.87,-18.09
154,-16.97,12.13,8.4,-17.56
155,-15.02,14.92,33.4,5.09
156,-18.97,11.37,-14.46,-36.31
157,-17.97,10.29,4.56,-15.69
158,-16.52,20.19,6.03,-13.1
159,-17.07,16.69,10.29,-15.13
160,-14.06,17.53,8.09,-15.07
161,-11.83,18.36,7.93,-9.92
162,-19.8,12.38,10.96,24.3
163,-11.63,16.85,5.68,-21.99
164,-13.94,17.72,9.58,-23.62
165,-18.29,11.05,6.77,-80.54
166,-17.18,9.99,8.35,25.73
167,-19.25,8.81,7.29,-9.11
168,-13.81,9.23,9.76,-8.38
169,-18.53,10.34,6.34,-12.44
170,-18.52,14.67,4.88,-13.89
171,-21.98,13.37,6.11,-11.63
172,-17.04,11.6,4.3,-15.76
173,-13.61,13.8,7.09,-13.04
174,-18.57,12.04,6.72,-12.29
175,-16.7,22.9,4.95,-13.12
176,-10.99,17.54,11.26,-12.0
177,-18.64,10.47,7.76,-8.8
178,-19.66,12.12,8.77,-13.98
179,-19.69,16.44,8.02,-6.08
180,-16.47,15.77,9.54,-9.12
181,-17.19,4.98,-1.12,-29.07
182,-13.1,13.39,12.33,-2.61
183,-13.65,10.25,8.6,-10.84
184,-16.06,18.19,7.78,-12.24
185,-16.02,17.88,9.22,-14.44
186,-15.17,21.67,6.09,-22.44
187,-14.76,48.21,3.99,-24.19
188,-15.4,26.59,9.25,-0.97
189,-20.02,-5.22,4.23,-13.09
190,-18.01,-1.09,4.41,-12.0
191,-14.83,4.52,1.99,-10.92
192,-17.36,-10.63,5.78,-9.81
193,-13.79,15.82,1.68,-9.46
194,-16.39,9.19,4.82,-10.27
195,-16.97,11.74,0.48,-7.37
196,-20.32,-26.02,6.09,-6.45
197,-15.65,26.5,4.79,-7.87
198,-13.09,25.38,3.38,-9.59
199,-10.38,36.89,3.76,-6.29
200,-11.3,62.45,6.13,-4.37
201,-19.45,-11.75,1.77,-5.08
202,-15.86,18.32,5.93,-6.76
203,-8.09,22.82,8.05,0.49
204,-26.27,-37.85,4.83,-4.69
205,-24.43,-1.07,6.07,-6.86
206,-22.52,5.21,9.04,0.89
207,-20.72,14.9,5.61,-4.15
208,-18.11,-1.01,5.22,-6.11
209,-18.33,3.03,4.37,-1.96
210,2.66,40.02,9.88,-2.67
211,2.77,20.41,8.06,-4.41
212,-40.29,19.53,12.51,-2.84
213,-33.58,10.49,8.25,-6.3
214,-25.52,-2.61,14.64,-6.91
215,-24.03,115.49,16.28,-1.89
216,15.22,136.84,16.51,3.33
217,88.45,-86.91,16.56,-6.28
218,-12.1,-55.3,15.26,-1.7
219,-111.51,31.79,17.24,-0.44
220,-37.42,-4.82,16.66,-12.46
221,-27.13,7.2,17.56,-8.6
222,14.39,97.97,16.65,-0.39
223,10.27,139.89,19.44,-4.65
224,26.43,-25.99,18.22,-7.2
225,-19.71,88.88,20.07,-3.15
226,-48.68,38.72,22.97,-1.39
227,-50.92,-109.76,21.19,-11.77
228,-2.4,25.05,25.23,-5.79
229,-27.82,3.97,14.97,-12.75
230,6.77,78.57,20.81,-2.27
231,-16.89,30.8,15.97,-12.33
232,-20.82,-39.78,15.88,-6.63
233,-9.3,40.73,15.76,-8.82
234,4.04,48.74,18.74,-6.71
235,17.78,48.67,18.3,-9.63
236,-30.05,-29.62,13.85,-12.1
237,-26.02,8.87,11.6,-11.98
238,-15.09,14.68,11.09,-12.16
239,5.78,28.79,13.76,-6.0
240,1.98,-13.56,15.71,-2.38
241,-13.91,37.96,10.51,-9.24
242,41.83,36.0,8.09,-13.84
243,27.56,41.27,2.84,-2.36
244,-79.25,39.61,6.84,-10.98
245,9.28,134.31,7.83,-2.69
246,-37.36,-59.41,0.7,-13.7
247,18.7,1.18,-1.13,-8.9
248,-3.69,22.18,-6.03,-15.79
249,-24.35,49.63,-0.32,-7.4
250,26.2,57.18,1.23,-5.08
251,-36.5,49.98,-5.82,-7.22
252,-72.7,40.45,-10.83,-12.24
253,7.5,2.43,-10.31,-10.16
254,-13.84,5.6,-16.49,-12.18
255,15.23,28.39,-18.1,-14.26
256,88.34,95.12,-16.6,-7.52
257,-87.76,-4.85,-19.52,-8.35
258,-48.04,33.65,-19.51,-10.93
259,-43.95,-34.9,-25.05,-11.6
260,-32.28,-37.77,-24.61,-15.1
261,-1.92,4.38,-25.43,-16.93
262,8.05,47.95,-18.05,-10.72
263,6.98,-34.31,-14.47,-7.76
264,-5.59,52.14,-15.11,-8.24
265,-15.95,-17.75,-9.71,-7.33
266,26.14,20.75,-10.14,-5.17
267,17.95,104.76,-12.11,-8.03
268,-42.59,-2.02,-19.41,-20.52
269,61.98,51.51,-14.34,-13.62
270,-69.05,26.92,-14.21,-11.24
271,-14.95,66.34,-7.16,-9.62
272,-38.54,-25.57,-14.21,-12.82
273,15.53,71.24,-12.37,-8.06
274,-13.05,-55.23,-9.94,-12.6
275,-5.67,13.52,-9.99,-9.17
276,33.61,28.51,-3.23,-5.47
277,-89.34,-78.86,-7.32,-16.09
278,-20.91,15.14,-2.78,-12.87
279,-14.51,-18.82,-1.01,-12.05
280,-5.26,22.39,-0.3,-11.62
281,-10.6,0.77,-1.05,-10.74
282,-0.86,-42.78,3.55,-6.67
283,-6.8,114.66,2.6,-9.68
284,3.32,119.15,8.75,1.59
285,-1.04,-25.07,3.12,-12.12
286,-41.39,-42.31,8.21,-13.49
287,-25.84,-10.9,3.28,-14.57
288,-19.02,4.03,6.32,-11.74
289,-24.61,29.95,3.79,-11.36
290,-16.21,14.75,6.31,-8.14
291,-21.35,3.01,3.93,-18.72
292,-7.51,44.71,7.91,-4.24
293,-11.63,-15.84,0.44,-14.36
294,-16.43,9.07,2.01,-10.28
295,-16.49,10.83,5.96,-13.08
296,-19.28,32.84,1.0,-10.47
297,83.98,12.73,4.78,-13.18
298,-49.34,123.75,8.0,-5.65
299,-67.66,-28.41,8.99,-10.35
300,-51.6,-77.17,1.98,-14.8
301,-7.33,11.68,5.28,-9.39
302,17.73,18.92,10.7,-6.71
303,80.44,28.93,1.88,-14.75
304,-79.06,19.67,8.51,-9.32
305,-34.99,6.39,11.51,-6.67
306,-24.79,-31.75,4.11,-12.24
307,-18.74,63.35,6.15,-13.68
