,ch1,ch2,ch3,ch4
0,-8.47,26.96,12.82,-20.63
1,-15.34,37.29,20.59,-6.98
2,-34.45,-10.55,183.11,-22.59
3,-14.01,-15.91,43.09,-7.11
4,-5.86,3.98,-144.7,-28.02
5,-31.8,-14.17,34.47,-4.9
6,-14.42,24.36,-42.67,-2.25
7,-0.04,41.1,19.34,-37.99
8,-36.43,5.12,-48.53,13.72
9,-10.52,31.63,12.99,-30.93
10,44.2,64.18,7.2,-23.71
11,-21.43,-38.95,-12.24,-1.39
12,-104.05,-13.02,4.31,-27.98
13,-21.72,24.92,-9.07,-1.5
14,-5.82,76.95,23.08,8.97
15,-10.41,21.78,9.94,-1.89
16,-28.4,-20.43,15.72,-28.53
17,-20.24,24.11,113.62,-4.3
18,-6.26,56.87,-61.96,-34.35
19,-17.3,-4.94,12.77,-9.8
20,-47.02,15.43,125.56,-2.6
21,-19.76,24.02,5.21,-18.45
22,-11.66,-5.97,-2.98,0.73
23,-3.18,11.44,16.18,9.39
24,-5.8,25.77,-82.55,-9.72
25,-43.61,42.22,-20.4,-28.76
26,-27.75,14.71,-14.42,-23.19
27,-16.46,17.29,-9.74,-67.17
28,88.85,48.0,24.39,39.93
29,-79.76,-9.88,3.69,-5.45
30,-66.82,27.32,37.66,-30.3
31,-0.59,13.21,74.24,20.67
32,-34.36,44.41,-52.86,-46.71
33,-22.95,72.15,-5.35,-10.65
34,-39.91,-45.18,21.22,-6.01
35,-13.06,12.06,25.62,-25.26
36,-23.16,10.96,0.78,-20.02
37,-13.73,15.31,5.54,-3.53
38,-18.91,88.97,44.06,3.2
39,-50.55,32.13,229.36,-58.02
40,17.13,-29.57,-195.91,17.31
41,-13.47,8.72,-33.15,4.0
42,8.33,45.36,67.58,-7.34
43,71.19,16.65,-21.44,-37.83
44,-132.47,-7.98,-42.97,-16.21
45,-46.48,17.14,-9.93,15.66
46,-23.18,24.69,6.75,2.07
47,-1.74,18.01,29.64,-38.64
48,-22.5,30.41,26.89,8.65
49,-13.12,40.7,15.45,-46.36
50,-8.52,56.58,122.17,-9.7
51,2.51,68.24,-22.33,-4.23
52,-51.48,7.74,-58.15,-9.68
53,-33.45,-17.28,-30.09,-2.92
54,10.12,45.35,-5.31,-6.26
55,-5.48,19.58,-1.2,7.43
56,-12.31,10.74,39.2,-37.24
57,54.0,-2.95,121.41,-29.56
58,-82.83,21.6,3.1,-18.98
59,-75.82,16.59,-44.12,30.95
60,-34.49,27.54,-46.08,-25.98
61,16.65,45.09,-18.22,-11.77
62,-7.66,-0.27,-1.4,-14.07
63,-6.66,24.49,6.34,-10.08
64,9.49,83.28,63.15,34.79
65,17.42,87.76,40.54,-36.2
66,-89.8,-116.11,-2.46,-35.28
67,-26.75,4.2,-44.75,-12.66
68,4.2,5.2,-1.74,-14.17
69,11.49,26.2,10.91,-8.12
70,-20.52,49.3,79.38,-21.3
71,31.69,26.56,45.28,11.18
72,50.06,22.68,-63.86,8.62
73,-145.15,18.16,-24.79,-45.77
74,-44.29,-3.1,1.39,-12.02
75,-22.35,30.11,6.89,-3.95
76,-4.11,13.02,112.98,-28.45
77,-29.69,44.71,-34.21,-28.49
78,36.51,4.53,34.58,5.39
79,-11.85,31.62,25.29,-38.69
80,-9.44,43.96,92.08,1.97
81,-10.4,7.17,-113.12,-11.32
82,108.86,46.28,-14.81,-4.62
83,-130.09,1.72,-18.03,-9.7
84,-51.5,7.67,5.77,-33.23
85,-14.36,21.82,87.36,10.18
86,-8.68,49.37,18.58,-10.95
87,-15.28,53.56,-61.43,15.67
88,-8.18,18.81,-21.01,-52.48
89,-39.93,1.93,100.89,-20.05
90,-10.37,4.24,-39.44,11.55
91,0.2,19.56,-12.61,-36.33
92,-18.26,30.36,58.99,-12.59
93,28.61,7.11,14.02,-10.15
94,35.07,35.04,42.96,-18.93
95,-85.28,46.96,-70.11,-18.09
96,-21.69,78.32,-9.33,-20.58
97,-11.39,-18.16,34.42,-20.68
98,-22.42,6.79,137.49,-22.0
99,-32.22,54.91,-15.39,10.1
100,0.16,28.2,-57.44,50.87
101,-38.82,-21.87,-16.61,-52.01
102,7.27,90.94,-18.61,-8.71
103,-27.61,-42.5,-13.21,0.25
104,-42.36,-9.8,83.18,-61.76
105,15.08,26.83,35.76,-12.2
106,92.79,6.09,53.35,-7.53
107,-71.3,47.46,-70.93,-45.34
108,-43.18,41.02,-3.22,-7.07
109,-38.9,9.78,-17.14,-8.92
110,-14.88,52.01,-3.51,-0.25
111,-20.59,-13.22,73.16,-34.87
112,-16.26,21.04,71.27,23.11
113,-27.8,-5.28,-96.42,-19.8
114,-10.78,24.91,1.07,-6.75
115,-23.18,53.38,31.76,-15.39
116,13.35,19.85,-10.35,5.47
117,-34.27,-38.87,-7.91,-28.36
118,-6.65,27.34,29.46,7.6
119,63.77,96.94,75.29,-48.11
120,-15.46,112.05,37.47,-16.82
121,-105.86,-76.59,-46.6,-21.82
122,-37.63,-19.85,-23.15,-3.82
123,-32.89,4.62,-1.22,-23.24
124,-16.43,35.34,42.02,-6.79
125,-22.63,17.25,-23.16,-6.2
126,6.91,42.83,-10.49,-19.16
127,-15.58,-1.63,5.72,-3.18
128,-18.3,50.83,8.21,-20.54
129,-14.87,54.88,7.58,-10.04
130,-43.25,-33.27,23.41,-22.19
131,-15.97,6.74,45.45,-22.43
132,-8.33,23.23,-29.13,-8.97
133,-9.41,31.68,6.28,-7.76
134,-21.07,16.4,25.0,-12.13
135,-22.83,29.69,22.9,-21.29
136,-14.14,84.37,-5.62,-9.63
137,-13.99,89.76,-11.78,2.72
138,-23.82,-24.06,39.71,28.47
139,-21.2,35.39,23.74,-39.15
140,73.16,-30.16,13.08,-50.61
141,-30.85,16.73,27.3,13.98
142,-70.41,52.59,-48.67,-38.25
143,-75.41,-15.96,75.34,5.68
144,-43.34,12.4,-36.66,5.73
145,-25.55,32.89,33.53,-29.26
146,-13.63,41.0,68.21,-25.37
147,16.38,34.5,-95.47,-10.36
148,-16.01,-13.85,-6.61,-11.13
149,-13.78,32.34,25.04,-16.97
150,-16.69,23.65,-26.78,-9.93
151,-12.59,-2.54,6.13,-18.9
152,1.1,22.4,29.27,5.89
153,74.37,46.61,110.33,-39.16
154,-112.11,71.25,-42.17,128.71
155,-45.03,-47.92,62.42,-104.48
156,-0.09,-35.48,-97.12,-50.58
157,-28.34,-7.28,-19.2,-10.99
158,-46.27,40.79,3.61,-1.16
159,-44.34,52.19,20.54,-8.89
160,20.2,21.37,-3.47,-18.27
161,-21.26,29.88,-4.54,-7.2
162,-4.92,2.93,4.31,-1.63
163,17.85,-31.71,79.7,-4.72
164,-45.75,-3.55,69.13,-21.0
165,-38.86,20.85,-72.27,-6.9
166,50.22,16.91,-23.26,-47.81
167,13.01,13.44,12.03,-49.02
168,-95.28,28.31,9.66,38.16
169,-35.3,4.59,4.04,2.76
170,-19.94,20.65,-2.78,-37.91
171,0.67,8.79,5.43,-9.12
172,-48.83,20.83,6.06,-17.37
173,-3.06,23.32,6.4,39.1
174,-11.6,-2.55,12.11,-18.76
175,-11.55,30.46,79.62,-36.34
176,-20.12,32.67,214.77,5.74
177,-42.78,36.16,-83.25,-25.58
178,-0.61,-31.32,-105.97,-14.78
179,-4.18,-23.34,-33.73,-21.63
180,-12.89,25.03,-14.97,-29.88
181,-0.56,22.32,109.64,-9.53
182,-23.82,9.52,51.98,-32.82
183,62.23,16.93,-77.08,16.92
184,-32.84,20.8,-29.15,-16.04
185,-89.77,-29.19,6.37,-28.95
186,-37.45,10.19,-14.13,-29.83
187,-28.26,31.9,13.89,14.43
188,-50.89,17.86,71.17,-11.26
189,-9.43,39.87,19.35,-15.93
190,-6.97,19.47,18.25,-13.89
191,-25.13,-22.91,38.97,32.52
192,-11.47,109.13,46.55,-15.59
193,8.38,-47.96,-107.09,-21.72
194,-31.73,-32.03,111.15,2.2
195,48.21,-4.32,-78.98,-41.57
196,60.78,31.78,24.4,-22.23
197,-106.34,89.5,-42.32,-1.08
198,-60.48,55.0,-5.47,-19.51
199,-56.98,-41.77,32.85,-21.86
200,-21.39,-26.01,-15.49,-3.81
201,-22.77,-31.83,17.47,-35.78
202,-0.12,-1.27,-27.23,-30.99
203,-6.17,14.95,1.41,-21.6
204,-20.14,-1.45,17.67,0.28
205,-16.7,24.85,-3.99,-15.26
206,-14.69,51.02,144.8,1.8
207,-5.8,8.14,62.01,27.32
208,64.25,-12.67,-27.86,-32.75
209,-118.9,-29.27,-13.86,-2.05
210,-29.74,27.1,-57.72,-40.68
211,-18.28,29.35,63.58,41.19
212,-17.66,8.7,-58.91,-60.11
213,-4.83,37.76,21.0,-14.33
