,ch1,ch2,ch3,ch4
0,-27.97,40.95,-7.18,-44.89
1,0.13,213.33,-5.8,-55.84
2,-44.26,-235.02,72.7,16.13
3,-19.65,-0.53,-5.64,-28.02
4,-6.05,65.41,8.12,-12.94
5,-24.88,34.88,-0.33,-9.75
6,-16.71,-4.12,42.6,-0.09
7,-30.01,-35.68,-0.27,-76.43
8,-18.71,28.49,-3.49,-29.19
9,-28.17,-33.23,-21.62,18.8
10,-17.06,17.18,7.68,-25.76
11,-13.41,72.82,2.39,-6.28
12,-20.09,18.79,47.22,-40.47
13,-8.08,56.15,-2.95,68.36
14,-7.11,64.92,4.33,-37.67
15,-32.13,-0.28,10.91,43.13
16,-29.34,-48.42,13.48,-72.94
17,-12.0,4.28,25.27,14.8
18,-16.98,7.16,-14.52,-14.85
19,-18.62,4.83,13.69,-63.34
20,-15.75,46.06,-3.4,19.25
21,-16.01,9.7,-8.11,-24.49
22,-8.76,42.86,13.79,-26.83
23,-10.42,71.59,45.3,-52.47
24,-25.19,-62.47,-17.25,-16.65
25,-30.52,11.73,11.86,16.88
26,-13.56,29.63,-7.25,26.77
27,-18.16,3.88,13.1,-28.7
28,-17.35,-23.33,58.16,47.14
29,-18.53,33.09,-12.39,-36.47
30,-18.99,47.7,4.54,112.32
31,-13.81,147.4,79.84,-84.78
32,-27.17,-108.15,-39.74,-44.78
33,-14.72,31.56,-38.22,-46.23
34,-9.19,40.63,-15.21,-34.67
35,-30.97,-13.31,15.04,-60.87
36,-19.23,21.22,9.34,-8.09
37,-20.07,-10.22,-8.15,-10.83
38,-18.95,16.44,16.07,4.12
39,-19.87,30.31,34.12,-80.17
40,-11.31,41.48,-1.95,68.76
41,-22.17,26.65,8.99,-9.39
42,-19.21,60.4,11.22,-24.0
43,-21.98,22.14,-11.29,-28.8
44,-18.01,-6.4,5.44,-13.46
45,-19.46,19.61,86.36,-18.02
46,-13.42,31.78,-35.06,79.98
47,-18.62,34.82,12.22,39.61
48,-21.12,-21.01,2.23,-54.71
49,-19.56,20.14,-15.42,-52.39
50,-10.55,118.55,-4.41,-8.87
51,-20.27,8.76,7.71,-71.22
52,-24.66,-4.89,70.99,-60.0
53,-11.04,69.65,-9.39,19.93
54,-26.76,0.5,-21.96,-8.01
55,-27.79,-20.27,22.59,-16.22
56,-29.81,-0.31,-19.95,-11.51
57,-13.92,72.21,10.14,-22.74
58,-23.25,-46.78,12.61,31.1
59,-13.2,10.94,-0.36,-33.68
60,-12.85,1.87,-9.79,87.43
61,-18.83,81.59,67.66,-59.55
62,-16.81,36.96,2.36,-52.37
63,-24.82,1.96,-15.2,-18.76
64,-31.17,-6.02,2.23,151.26
65,-10.64,39.8,73.32,-148.09
66,-21.81,35.45,-19.29,-22.06
67,-15.5,49.65,-21.32,-14.66
68,-14.62,66.97,28.14,-60.75
69,-18.9,-44.88,-35.28,29.09
70,-21.01,1.2,15.49,0.25
71,-32.2,-37.62,15.89,122.1
72,-18.53,31.19,16.6,-91.11
73,-6.74,36.84,82.26,-7.23
74,3.81,94.16,-7.64,-52.93
75,-21.57,2.55,-26.77,-38.31
76,-27.55,-61.26,-5.18,-11.75
77,-23.51,31.78,-5.29,-29.72
78,-21.02,21.44,5.14,31.73
79,-11.01,24.23,37.63,-30.01
80,-20.7,43.16,24.71,52.59
81,-20.28,88.88,-22.32,-60.73
82,-9.46,18.68,31.77,134.25
83,-13.17,-68.04,69.33,-124.36
84,-38.52,-48.62,-16.73,-25.21
85,-25.89,-31.82,-35.5,-52.4
86,-24.99,-74.59,21.83,-61.85
87,-18.62,56.34,-13.34,21.0
88,-13.25,59.27,8.39,25.63
89,-10.41,-8.15,-8.1,15.27
90,-13.68,22.7,22.94,-96.77
91,-14.29,48.38,-8.09,-3.38
92,-14.65,24.17,7.97,8.34
93,-19.52,-2.13,8.84,44.19
94,-14.63,76.94,5.9,26.46
95,-8.66,-45.96,51.86,-102.83
96,-9.34,8.86,16.12,-5.72
97,-14.91,66.64,-6.18,-3.22
98,-10.28,2.97,-49.55,-8.44
99,-26.38,-26.58,-4.69,-41.58
100,-20.86,37.83,22.21,-5.85
101,-4.24,53.01,3.68,-37.82
102,-35.88,-66.11,8.87,112.63
103,-24.07,26.24,-13.22,-96.63
104,-20.51,-28.13,136.48,138.18
105,-21.4,-8.37,-69.51,-94.12
106,-15.32,-43.82,-17.71,-43.88
107,-4.83,50.58,-2.39,-63.77
108,-15.76,46.86,-4.96,-10.36
109,-4.03,73.08,11.71,-11.53
110,-14.26,85.38,50.64,13.81
111,-26.49,-65.14,-25.26,-3.66
112,-29.0,-25.65,27.33,55.03
113,-27.83,-17.25,-39.36,-84.55
114,-25.11,-6.31,2.91,24.2
115,-19.47,2.29,-3.99,0.3
116,-11.48,20.82,-16.84,-47.33
117,0.74,71.94,30.8,-90.71
118,-32.07,-11.98,24.43,4.57
119,-15.77,29.15,-18.87,-58.2
120,-27.64,-14.44,24.38,84.23
121,-16.12,-0.41,-11.27,-50.13
122,-5.73,90.21,5.33,-8.24
123,-21.86,44.92,2.3,-42.66
124,-31.19,2.69,2.42,120.87
125,-25.95,-65.71,75.09,-64.08
126,-24.54,60.65,32.42,-38.54
127,-27.35,-42.62,-56.41,-18.23
128,-20.43,32.14,-4.13,-31.83
129,-6.52,12.14,-3.85,-54.7
130,-6.59,24.14,32.14,-21.25
131,-9.74,197.37,-25.55,7.22
132,-12.79,9.61,-4.27,59.32
133,-33.87,-91.56,32.43,-50.46
134,-15.2,-16.81,15.59,-42.92
135,-29.65,-5.58,30.31,-0.9
136,1.83,45.88,9.39,-36.24
137,-13.28,-26.17,-4.83,-2.63
138,-17.32,31.92,-20.78,-38.23
139,-17.74,22.04,32.0,-4.21
140,-9.0,28.7,2.19,-27.44
141,-18.85,31.68,4.45,-73.86
142,-21.64,-30.61,8.64,5.4
143,-22.75,-57.37,6.45,-15.76
144,-15.26,58.2,50.25,14.16
145,-5.6,133.11,-17.39,88.55
146,-15.08,21.37,-17.69,-169.01
147,-36.45,-97.66,21.98,117.36
148,-19.94,-20.82,-12.67,-118.35
149,-9.17,21.59,-6.31,-64.65
150,-25.19,60.32,22.15,-6.91
151,-25.98,-19.44,-1.91,-19.58
152,-18.63,0.22,31.75,27.18
153,-11.72,34.13,-11.09,-56.78
154,-10.74,66.44,62.49,-59.3
155,-11.33,-0.12,-22.32,-11.83
156,-13.95,36.49,1.28,93.32
157,-31.9,-35.97,17.81,-15.97
158,-21.56,2.23,-20.78,-85.67
159,5.67,106.86,5.21,-32.74
160,-7.98,-20.41,-0.33,-81.07
161,-17.53,33.46,-1.31,-8.43
162,-30.94,-67.86,3.21,-28.41
163,-31.03,-6.85,-26.69,-4.07
164,-15.03,8.04,62.86,87.26
165,3.67,47.32,14.26,-73.86
166,-17.98,36.1,8.05,3.64
167,-48.75,-44.44,-24.31,-53.56
168,-19.99,38.78,13.65,54.88
169,-11.55,22.96,18.13,-61.0
170,-27.12,-58.89,-7.39,-30.18
171,-22.51,27.45,-7.24,-61.75
172,-22.85,4.64,6.46,-18.77
173,-9.7,70.39,-7.14,-24.77
174,3.37,83.92,-3.08,-28.77
175,-10.59,-1.83,15.69,-9.35
176,-30.0,-11.19,3.52,-18.02
177,-30.01,-2.22,-4.99,-10.42
178,-24.13,3.76,41.95,-25.52
179,-20.26,-59.73,-33.72,-22.27
180,-25.18,-3.59,2.65,8.42
181,0.07,28.41,2.61,-4.63
182,-6.83,71.38,-3.7,-49.85
183,-36.41,5.39,6.17,-25.27
184,-36.91,-26.97,6.57,-24.27
185,-19.88,14.5,23.05,0.37
186,-17.11,33.87,-1.77,-24.62
187,-12.06,17.15,24.91,-29.14
188,-9.31,17.89,-13.6,-28.57
189,-11.86,47.15,-3.87,51.23
190,-29.29,-10.88,37.61,-37.26
191,-20.39,-8.3,-20.07,-43.81
192,-5.57,59.85,-0.24,-35.34
193,-12.52,21.24,14.02,-15.74
194,-39.19,-53.87,2.05,-28.5
195,-23.86,-4.58,-3.69,-18.78
196,-17.74,11.63,-4.44,-57.43
197,-15.15,20.29,0.1,9.59
198,-4.51,31.03,-0.16,-12.85
199,-1.57,71.65,5.64,-15.27
200,-23.97,3.05,1.13,-16.21
201,-28.15,-27.52,4.43,-21.43
202,-31.59,0.65,7.81,-22.47
203,-22.13,5.13,6.77,-25.53
204,-19.31,16.98,3.43,-21.45
205,-17.84,15.56,16.65,-16.99
206,-15.43,15.4,12.33,-12.85
