,ch1,ch2,ch3,ch4
0,-3.4,-47.75,-7.23,-31.49
1,5.34,105.66,7.82,-4.28
2,-33.35,-126.39,13.46,9.98
3,-13.96,111.5,-3.55,-54.87
4,-15.55,-51.8,25.89,5.52
5,-22.85,57.98,15.71,-20.66
6,10.96,125.34,-5.94,-21.75
7,-54.84,-78.4,5.7,89.36
8,0.78,65.95,6.43,-8.32
9,9.84,-48.98,3.62,-76.43
10,-11.44,-55.1,24.68,-61.47
11,9.32,-29.95,-11.87,-11.36
12,-33.68,189.22,3.17,-35.79
13,-23.94,-28.12,1.18,-91.48
14,17.24,104.72,10.22,27.91
15,-17.06,-38.4,5.75,0.43
16,-25.19,6.76,9.51,6.92
17,-15.89,100.9,4.51,-9.58
18,-10.58,33.36,13.41,15.2
19,-13.95,7.97,-3.06,-53.38
20,-24.08,-44.9,7.93,-35.99
21,-9.04,46.31,14.44,36.11
22,-39.31,-19.72,-3.96,-46.96
23,-34.55,-169.47,10.43,5.94
24,-5.51,60.61,-12.35,-36.36
25,-9.99,1.96,34.74,28.73
26,-47.74,42.97,-4.69,-22.2
27,-14.69,108.56,-11.71,-46.65
28,44.21,162.09,2.97,-17.37
29,-6.24,14.18,2.54,-51.42
30,-60.44,-90.16,9.22,-8.15
31,-16.67,-236.34,10.05,-2.2
32,-23.58,155.52,3.26,-9.43
33,-24.81,35.34,4.47,-27.02
34,41.29,40.37,17.24,3.72
35,-25.44,129.75,4.9,30.98
36,-30.09,-195.68,32.7,-100.98
37,-26.87,88.44,-22.36,15.73
38,-20.82,66.09,3.6,-15.28
39,-64.48,-69.34,10.34,5.16
40,0.21,137.11,4.64,-19.98
41,16.25,-82.44,8.46,59.68
42,-19.61,23.14,25.98,-36.32
43,-3.92,111.08,-26.14,-77.86
44,-36.95,-29.55,20.43,5.56
45,-35.33,-56.3,-3.87,-16.86
46,-11.2,2.75,10.86,-2.09
47,-34.21,110.34,13.23,-4.84
48,-41.4,-64.44,-3.19,-56.68
49,29.44,26.95,14.17,24.93
50,-17.24,-86.38,6.68,-16.75
51,-27.01,219.03,26.79,49.35
52,-51.69,-82.28,-15.93,-61.8
53,-17.23,-13.5,13.39,-8.12
54,18.56,154.65,4.14,-59.6
55,-19.84,-40.02,12.07,39.89
56,-46.52,-125.71,-6.81,-87.58
57,17.49,141.23,-3.46,6.86
58,-6.48,181.59,6.38,-25.52
59,15.25,178.57,20.39,23.77
60,-26.63,-126.28,-5.78,-53.13
61,-53.56,-210.15,17.4,25.73
62,-14.49,82.93,-7.04,-95.83
63,-19.97,5.95,3.96,53.17
64,-42.35,97.71,-0.56,-18.72
65,-49.51,-68.63,17.36,-19.89
66,-9.76,1.38,28.67,60.47
67,13.58,62.37,-6.54,-72.97
68,4.94,3.35,-3.21,-37.95
69,-12.47,-56.57,9.18,9.96
70,-10.9,157.49,14.4,115.57
71,-9.8,12.78,-4.52,-84.94
72,-16.94,8.29,10.49,-57.56
73,-27.63,29.22,15.43,84.77
74,-28.1,-136.08,-6.08,-116.75
75,-35.4,83.13,3.61,-8.8
76,-35.84,99.51,5.82,26.14
77,31.66,73.49,6.5,-40.76
78,-21.05,-78.61,7.56,-25.07
79,-31.71,49.56,14.12,-0.25
80,-30.49,-79.0,7.31,-6.61
81,19.7,91.12,0.42,-24.05
82,10.26,108.61,13.88,-3.52
83,-37.71,-105.39,15.52,5.52
84,-8.22,89.63,10.79,-9.21
85,-21.58,-97.38,13.89,-88.12
86,-35.17,87.18,6.07,26.82
87,-35.1,-78.41,-5.64,-24.04
88,-34.04,167.03,6.81,-0.4
89,-23.92,278.53,17.67,2.35
90,-12.42,-300.62,7.62,125.63
91,46.93,5.38,2.12,-76.08
92,1.9,108.55,3.34,-68.49
93,-82.86,-39.17,3.72,-37.97
94,5.33,10.69,9.43,-20.83
95,1.6,-108.64,7.53,-2.69
96,11.09,159.86,23.42,13.12
97,-24.76,33.44,-19.42,-62.15
98,-29.28,52.56,30.01,-22.72
99,-29.91,-28.05,10.33,26.11
100,-5.62,-13.62,18.63,-76.26
101,-33.97,-36.56,-1.75,-62.03
102,-11.16,27.23,-4.43,128.32
103,-19.31,-23.9,11.13,-46.46
104,-57.4,62.31,3.43,-45.53
105,-17.31,56.57,15.12,-6.57
106,2.8,-37.21,2.11,-29.33
107,-9.17,-22.13,4.54,-13.82
108,13.98,152.02,9.22,-19.22
109,-42.61,-169.65,6.73,-26.64
110,9.01,40.62,-0.58,-27.92
111,4.2,22.21,1.86,-21.22
112,-5.48,45.26,3.93,-16.61
113,-15.58,72.63,11.3,-8.58
114,-39.84,-76.59,0.34,-22.95
115,-22.06,13.42,21.74,6.55
116,-2.48,139.08,0.33,-20.89
117,-58.48,-161.45,7.12,-26.22
118,-73.59,118.0,8.44,-19.43
119,30.75,-27.18,1.22,-26.56
120,13.21,-14.2,1.47,-26.1
121,-0.85,18.92,3.9,-19.71
122,-15.03,-4.89,11.44,9.1
123,-23.1,-20.73,14.1,-6.18
124,-27.31,15.69,2.89,-37.7
125,-21.92,33.61,8.51,-30.01
126,-16.08,-14.94,6.44,-31.46
127,4.31,36.62,4.35,-24.92
128,-21.06,18.76,7.01,-25.73
129,-77.78,15.63,7.74,-22.08
130,61.4,90.02,10.47,-17.49
131,11.07,80.04,9.18,-22.38
132,35.81,-87.83,6.22,-22.91
133,34.06,13.37,9.58,-13.16
134,-131.22,-7.97,9.56,-22.33
135,-7.87,68.37,3.89,-25.73
136,-34.41,-42.77,2.42,-28.72
137,-6.58,148.04,11.67,-11.9
138,-25.52,-92.36,6.46,-26.0
