,ch1,ch2,ch3,ch4
0,-1.27,34.38,25.44,-17.62
1,3.56,85.41,20.42,-12.15
2,-7.61,92.0,-13.95,-12.61
3,-11.48,3.25,8.74,-16.13
4,32.24,168.93,43.91,-1.33
5,-46.51,-200.58,20.73,-28.97
6,-39.57,-27.4,-16.22,-22.32
7,0.77,104.65,26.79,-12.35
8,-13.9,-42.82,168.34,-19.18
9,5.81,93.09,-86.06,-13.97
10,-12.25,14.72,2.31,-6.93
11,15.77,23.95,-22.17,-40.32
12,-18.85,30.65,63.66,-7.19
13,-18.92,132.99,-26.7,-13.3
14,12.55,42.72,-8.02,-8.54
15,2.28,-46.74,6.53,-25.56
16,-0.68,34.43,17.88,-18.93
17,1.01,42.51,72.46,-25.2
18,3.11,60.05,-21.55,-11.51
19,-19.95,30.11,40.06,-12.14
20,-7.97,27.25,-42.24,-13.81
21,-18.08,-33.34,36.56,-11.12
22,-1.46,-19.15,-30.79,-12.09
23,-18.88,71.74,14.34,-20.08
24,-8.65,61.62,62.03,-20.21
25,7.7,85.14,70.87,-13.08
26,13.31,27.81,-80.69,-8.04
27,-14.76,-27.57,-9.82,-17.15
28,-26.49,-42.23,-15.2,-21.17
29,-15.37,64.77,105.01,-11.95
30,-18.09,46.33,27.95,-15.11
31,-7.38,43.52,-71.8,-9.39
32,6.32,52.41,-7.51,-11.28
33,10.53,156.52,4.33,-9.45
34,13.24,-35.87,72.92,-23.14
35,12.92,32.87,-45.16,-17.32
36,33.71,36.62,2.76,-15.81
37,31.17,18.18,89.63,-13.82
38,40.66,63.7,-43.89,-8.18
39,16.93,-40.55,68.77,-37.67
40,24.22,-47.28,-34.69,-33.53
41,47.04,91.72,2.63,-6.78
42,37.69,119.14,-8.97,-9.43
43,65.01,20.98,36.97,-9.35
44,30.03,12.79,61.2,-32.55
45,-27.4,9.17,-60.71,-17.77
46,4.65,13.69,-1.8,-16.2
47,4.46,74.57,2.37,-8.01
48,6.11,86.97,15.05,-7.59
49,-3.66,21.91,86.81,-11.24
50,-2.99,70.44,8.39,-14.65
51,-1.4,129.0,-16.38,1.52
52,-33.02,-144.62,-3.59,-19.56
53,-35.38,64.1,7.28,-13.19
54,-36.98,-70.4,12.37,-21.65
55,-23.33,-14.8,152.87,-9.75
56,-11.19,112.66,102.7,-20.92
57,-34.94,37.05,-8.21,-7.15
58,-31.75,34.56,-31.78,-1.02
59,-33.2,62.13,-81.88,-7.74
60,-16.36,70.73,5.5,-7.88
61,-10.8,2.4,5.12,-1.64
62,-29.35,-39.94,39.44,-23.06
63,-52.43,20.1,-6.51,-11.33
64,-44.49,70.33,55.73,-13.72
65,-38.88,18.4,-5.73,-12.91
66,-29.84,-8.76,-13.93,-11.63
67,-29.18,16.66,10.37,-15.48
68,-16.92,64.5,7.81,-6.51
69,-2.87,218.27,13.75,-10.98
70,-30.54,-157.54,19.57,-21.69
71,-33.06,-18.21,6.93,-28.92
72,-19.39,0.76,212.36,-15.99
73,-8.04,170.19,-96.49,-3.67
74,-35.13,-107.58,-54.81,-15.39
75,-30.24,3.08,32.82,-16.37
76,-19.83,118.44,112.92,-10.75
77,-7.15,15.8,30.03,-19.51
78,-15.44,-7.58,-74.49,-27.62
79,-28.67,5.57,-48.87,-17.49
80,-7.89,44.59,-6.99,-14.22
81,45.72,184.12,11.29,-10.05
82,-82.89,-147.49,-2.0,-25.84
83,-42.34,62.74,39.01,-12.41
84,-24.88,109.1,71.93,-12.08
85,-48.11,-100.25,-41.31,-20.92
86,-13.85,-32.22,-1.93,-22.01
87,-7.78,70.62,87.58,-24.13
88,-25.69,36.16,-29.94,-9.16
89,-15.23,-35.67,52.33,-23.97
90,-12.49,2.97,41.75,-16.29
91,-40.6,52.93,207.56,-4.7
92,-22.69,206.26,-136.56,-16.79
93,-47.29,-110.14,-83.87,-17.89
94,-30.48,20.81,-6.49,-21.48
95,-23.37,-16.54,-10.68,-15.53
96,-24.9,-5.24,3.27,-17.6
97,-17.58,51.75,11.7,-18.73
98,-0.18,189.12,39.47,-6.89
99,-13.21,-67.33,65.78,-14.98
100,-31.97,0.59,-36.11,-26.53
101,-29.87,-19.14,69.06,-24.52
102,-15.4,99.87,-15.88,-9.87
103,-34.74,-48.72,-17.43,-22.62
104,-26.5,-20.15,93.69,-12.95
105,-13.59,39.09,-20.66,-18.89
106,-17.71,19.0,19.16,-19.04
107,-10.13,39.59,-38.74,-13.31
108,10.57,-19.12,5.49,-20.32
109,-56.15,52.59,241.79,-23.2
110,-24.37,39.56,-153.19,-13.29
111,-24.19,34.64,-40.52,-13.04
112,-19.11,9.3,-9.73,-17.89
113,0.15,144.52,1.82,-8.67
114,0.61,57.41,10.91,-8.33
115,-31.26,53.76,13.04,-19.79
116,-41.35,-105.88,-4.06,-30.43
117,-8.06,78.16,70.44,-16.23
118,-16.04,6.14,-12.23,-7.29
119,-0.56,23.26,62.24,-20.13
120,-8.01,-27.1,51.37,-21.69
121,23.43,182.15,-19.12,-11.84
122,-17.58,-30.42,-44.79,-1.95
123,-66.56,-57.45,-23.81,-16.11
124,-23.69,56.38,-4.54,-14.14
125,-16.82,12.05,4.38,-21.77
126,-14.91,58.57,115.94,-8.15
127,-19.81,28.85,139.87,-11.83
128,-15.62,28.11,-171.58,-25.12
129,-8.7,22.57,-26.59,-8.82
130,-20.89,7.6,-12.19,-21.65
131,-21.58,23.79,1.51,-15.37
132,-19.47,9.38,5.15,-12.21
133,-21.98,29.25,17.12,-22.36
134,42.55,66.83,7.13,-20.69
135,-35.76,105.88,92.96,-19.61
136,-9.46,-11.91,90.94,-18.39
137,65.88,82.04,-36.15,-11.84
138,12.41,-58.8,-44.63,-15.75
139,-108.21,-23.64,-36.95,-25.96
140,-42.05,48.87,15.52,-16.73
141,-18.64,53.53,-5.91,-21.18
142,-6.35,-15.14,-3.45,-16.64
143,-14.93,93.93,11.46,-15.41
144,-16.09,2.9,11.23,-17.67
145,-24.37,25.46,117.11,-21.75
146,74.26,-6.91,-36.02,-25.93
147,72.33,-20.05,15.25,-28.32
148,-119.96,81.61,-31.85,-6.9
149,-64.14,-8.44,8.04,-20.6
150,-53.88,-40.48,4.53,-26.98
151,-14.05,71.32,44.36,-17.51
152,-16.08,45.47,56.97,-15.89
153,-7.49,88.15,206.23,-16.31
154,-7.49,-19.35,-147.46,-19.74
155,-23.16,-2.19,-63.24,-24.98
156,-13.07,31.98,14.8,-13.75
157,-6.27,15.77,-20.78,-9.64
158,-22.31,7.55,39.11,-27.87
159,5.79,27.69,-14.94,-25.13
160,7.6,28.74,10.97,-8.35
161,25.49,28.37,6.65,-16.93
162,-44.81,7.55,5.64,-14.64
163,35.66,51.47,13.44,-12.43
164,98.68,10.45,8.7,-16.73
165,-44.67,-9.1,6.5,-25.28
166,-114.41,-23.86,85.19,-18.37
167,-67.03,19.37,-1.84,-18.24
168,-22.59,52.21,-34.89,-10.96
169,-44.07,20.3,2.28,-14.56
170,-27.31,3.44,5.65,-11.26
171,-17.94,56.55,10.04,-9.45
172,36.68,69.51,13.99,-5.83
173,48.91,8.96,8.79,-17.12
174,-143.43,30.74,10.66,-12.87
175,-35.73,-32.38,20.85,5.69
176,111.74,133.26,6.54,-22.75
177,-90.79,100.69,17.69,-0.04
178,-148.64,-147.2,13.13,-12.55
179,111.34,68.38,12.86,-5.52
180,64.5,-7.3,6.55,-24.15
181,61.53,52.8,3.3,-27.71
182,53.07,232.2,10.85,-8.5
183,-135.65,128.32,24.1,3.7
184,-0.31,-160.1,5.33,-28.64
185,66.14,67.71,3.3,-22.26
186,177.42,350.68,16.57,2.12
187,-347.45,-262.05,8.57,-15.92
188,-13.26,-117.43,3.38,-16.28
189,175.1,77.94,-1.8,-29.68
190,-29.25,-27.74,2.09,-11.25
191,81.76,186.77,9.4,-2.41
192,27.04,335.61,4.82,-1.16
193,-93.58,-140.3,-18.49,-30.84
194,20.28,-146.82,-24.76,-46.21
195,-48.47,85.94,1.65,-3.93
196,-100.21,147.78,2.72,-0.56
197,55.9,156.4,-5.51,-6.18
198,67.88,-31.4,-17.97,-30.7
199,106.22,132.8,-25.39,-26.21
200,-116.92,-197.77,-33.69,-34.3
201,-99.36,-63.92,-18.97,-10.07
202,-31.31,271.93,-23.67,-27.95
203,-217.72,-106.38,-23.19,-20.83
204,163.36,67.73,-41.59,-50.62
205,-132.07,-43.04,-36.46,-30.89
206,202.41,223.97,-51.7,-52.19
207,-60.31,56.81,-39.9,-31.7
208,-631.54,-283.24,-29.74,-14.45
209,70.16,101.14,-22.79,-1.18
210,593.44,397.49,-77.58,-69.64
211,-64.57,-198.23,-63.28,-61.92
