,ch1,ch2,ch3,ch4
0,96.49,49.82,3.05,-23.82
1,-134.12,-13.08,7.79,-25.07
2,-84.93,23.5,10.17,-19.28
3,-56.5,24.84,6.57,-20.3
4,-46.27,-55.64,5.13,-18.49
5,17.3,-1.59,7.36,-21.06
6,17.81,16.77,4.66,-22.03
7,-11.01,48.58,6.0,-21.55
8,-27.57,-7.47,5.71,-22.9
9,-35.98,-12.54,8.98,-19.38
10,-20.65,22.56,5.58,-20.58
11,-12.54,25.67,10.11,-18.64
12,32.67,48.65,8.3,-23.78
13,45.48,10.64,9.25,-21.87
14,-62.84,14.71,3.81,-23.62
15,-41.25,-13.67,2.75,-26.31
16,-14.57,21.23,14.43,-21.01
17,-37.55,53.34,12.75,-17.87
18,-13.72,2.67,7.41,-23.71
19,-32.88,-10.53,7.19,-19.52
20,-15.69,46.23,6.91,-21.91
21,0.63,10.72,8.11,-25.82
22,-15.69,-18.47,11.73,-18.89
23,-19.8,4.22,7.22,-21.94
24,-3.47,51.18,6.51,-20.14
25,-25.97,-10.0,6.14,-25.28
26,-35.85,6.58,7.73,-22.27
27,-17.38,2.92,4.2,-20.69
28,-51.11,12.38,6.09,-18.79
29,-63.06,10.28,11.98,-14.32
30,57.86,76.63,11.0,-12.5
31,-15.93,38.32,-3.98,-29.06
32,-52.99,-24.68,9.96,-9.77
33,40.04,41.32,4.45,-12.89
34,21.94,52.1,6.81,-21.81
35,-22.29,2.11,7.49,-19.62
36,-22.48,-15.96,6.84,-18.87
37,-28.37,47.08,4.98,-12.6
38,14.43,-5.42,4.42,-22.19
39,-7.01,5.33,6.84,-18.03
40,-93.15,36.75,7.39,-17.1
41,-65.07,5.95,4.67,-19.11
42,15.57,-4.47,2.59,-23.7
43,3.36,20.89,9.71,-18.1
44,11.82,32.34,8.58,-17.73
45,-40.25,0.24,12.79,-11.7
46,-22.36,6.51,2.98,-24.45
47,19.92,88.28,4.81,-18.2
48,-29.47,-10.58,6.21,-15.87
49,-6.89,-10.2,5.35,-18.33
50,-24.51,-17.54,8.93,-17.81
51,-21.38,9.52,8.25,-13.16
52,9.24,67.52,3.6,-18.16
53,-56.97,-36.82,6.67,-13.12
