,ch1,ch2,ch3,ch4
0,231.4,-3.88,11.18,-15.56
1,-31.57,-41.34,-3.27,-15.5
2,-13.92,-16.69,4.01,-29.73
3,21.25,78.6,5.3,-25.64
4,-65.45,14.75,8.99,-25.17
5,1.74,71.44,16.77,-20.91
6,38.32,174.44,12.25,5.13
7,-86.8,-108.78,4.51,-26.83
8,-59.48,12.34,3.65,-25.85
9,-106.4,31.38,17.78,-4.24
10,39.68,-34.02,1.39,-33.36
11,87.19,90.44,6.91,-18.96
12,9.16,-17.85,14.46,-10.05
13,30.48,43.15,6.13,-27.13
14,-78.07,-39.67,11.24,-30.97
15,-36.03,38.94,0.13,-20.99
16,36.68,131.96,10.71,-12.0
17,-87.98,-39.55,4.74,-29.21
18,-22.46,-3.54,11.21,-16.91
19,-29.94,-34.96,13.51,-13.9
20,-67.01,35.18,22.32,-3.1
21,-114.63,128.1,10.04,-17.15
22,105.35,-82.93,-5.36,-35.73
23,46.22,92.3,3.56,-30.72
24,7.41,-57.8,-1.44,-29.89
25,-21.18,59.77,14.36,11.41
26,-46.19,-44.74,14.72,-8.62
27,-51.42,-20.16,5.03,-21.39
28,59.33,262.52,4.43,-11.06
29,-118.08,-162.83,12.46,-8.95
30,-51.25,28.23,4.01,-24.01
31,46.55,61.29,11.94,-19.66
32,1.42,-79.51,-10.08,-35.39
33,-38.61,124.84,11.34,0.82
34,2.29,-57.24,-9.07,-34.88
35,-20.47,-1.78,7.09,-23.67
36,-79.21,-40.11,4.29,-18.6
37,55.01,48.1,3.47,-19.93
38,-13.13,3.58,2.46,-16.88
39,-45.69,114.09,13.57,-10.92
40,-168.11,-43.49,17.91,-3.57
41,88.55,132.91,-0.26,-45.34
42,139.57,3.03,-3.68,-13.46
43,-192.8,-89.62,10.38,-4.54
44,154.11,10.87,2.69,-16.25
45,-81.75,145.53,6.17,-17.34
46,-14.49,-18.69,22.38,-6.74
47,-17.91,-22.34,-17.18,-29.5
48,34.47,10.03,7.36,-22.69
49,-86.81,-12.05,10.73,-17.33
50,-43.64,140.04,9.59,-10.25
51,92.79,-130.77,18.52,-7.72
52,-93.95,-23.69,-1.75,-34.03
53,-39.59,109.03,13.53,1.34
54,82.03,117.19,1.05,-28.79
55,-80.25,-95.51,-5.99,-28.29
56,35.91,-7.63,1.66,-17.88
57,-11.08,-17.17,14.12,-17.26
58,-126.22,190.46,9.28,-23.51
59,88.97,-94.12,9.76,-8.99
60,-16.5,-14.82,-0.26,-14.42
61,-89.31,-22.24,7.58,-13.54
62,-15.92,109.08,1.18,-36.13
63,85.34,156.25,12.76,-4.57
64,-40.96,-161.04,3.59,-17.01
65,-69.57,-22.36,8.01,-12.63
66,-11.63,87.49,9.68,-0.91
67,-88.49,174.97,24.8,3.45
68,116.64,-22.77,-11.61,-46.19
69,-91.65,-147.23,11.94,-13.7
70,-18.51,-10.97,39.02,-14.17
71,26.85,112.94,-17.99,-32.71
72,15.79,2.03,-1.39,-22.09
73,-38.52,-1.53,8.63,-16.59
74,-49.99,90.16,33.63,21.13
75,-5.85,20.04,-4.72,-26.35
76,36.13,-15.03,4.86,-22.41
77,-199.23,-25.91,23.31,-1.33
78,102.73,17.84,-1.23,-28.1
79,-43.98,28.29,13.84,-9.57
80,-1.28,-17.21,1.02,-29.41
81,10.01,173.93,17.0,-3.17
82,53.1,-41.08,4.33,-25.31
83,-116.05,-56.25,5.93,-17.99
84,60.49,7.52,1.58,-30.66
85,-19.31,-4.55,9.11,5.02
86,-155.54,-27.47,27.76,18.97
87,92.88,67.56,-0.47,-33.49
88,-11.89,124.13,1.49,-20.7
89,-0.05,-39.47,1.44,-21.85
90,-22.42,-30.73,6.07,-15.36
91,-111.85,44.5,19.82,-6.89
92,122.41,239.11,21.32,-0.3
93,-51.46,-141.92,-8.4,-49.91
94,-48.58,-125.59,5.85,0.94
95,48.34,110.89,3.38,-14.23
96,-68.65,-17.33,14.26,8.1
97,-50.95,-16.83,-1.34,-30.08
98,-314.26,38.95,14.84,0.97
99,267.19,-31.89,3.1,-18.55
100,24.24,113.97,-1.71,-21.42
101,-25.82,80.13,5.21,-10.13
102,38.29,-65.84,-1.95,-25.93
103,-37.88,-85.47,6.25,-11.3
104,-18.4,10.24,-1.17,-26.71
105,-60.12,73.37,12.85,1.67
106,29.14,88.44,4.86,-19.68
107,-109.62,-105.29,4.53,-2.39
108,-131.67,-76.88,22.14,14.61
109,144.62,90.07,-6.84,-37.71
110,32.87,46.14,-5.61,-38.38
111,-39.12,21.1,19.45,-8.58
112,10.1,28.34,-1.42,-15.07
113,-21.75,-45.25,6.58,-10.57
114,-62.14,42.72,-0.37,-15.2
115,21.31,80.21,9.2,-5.01
116,-95.02,-105.34,6.81,-13.89
117,-55.83,88.92,9.33,-1.87
