ch1,ch2,ch3,ch4
-26.4,-496.55,-99.24,21.47
-34.83,-546.64,-58.69,54.92
3.05,-340.68,-80.07,6.67
-33.8,-469.94,-97.04,18.94
-29.44,-494.85,-90.87,29.88
-27.28,-547.08,-66.39,-36.85
-20.12,-480.85,-114.96,33.64
-7.53,-505.22,-95.65,27.72
-27.21,-552.93,-84.8,34.42
-37.01,-536.26,-85.89,18.33
-34.29,-514.04,-86.23,17.62
-7.95,-457.43,-103.73,14.3
-3.19,-406.24,-270.62,-29.15
-7.61,-408.11,-303.1,-66.56
-4.86,-383.48,114.93,42.02
-37.79,-506.57,-55.28,43.03
-35.25,-563.93,-227.23,-13.01
-40.72,-592.24,-502.16,-126.88
-56.18,-531.63,-40.68,30.96
20.86,-466.56,100.75,44.2
3.11,-450.54,-2.46,38.3
0.66,-444.05,-407.27,-67.31
-114.03,-579.62,-239.43,-23.34
6.09,-556.47,-179.93,-25.64
18.47,-476.19,37.26,65.12
0.96,-472.5,43.55,49.53
-29.55,-510.9,-29.32,44.93
-10.22,-425.15,-78.78,26.28
-34.04,-522.25,-81.07,20.96
-20.37,-472.62,-113.7,16.53
-5.82,-409.58,-282.82,-48.07
-13.88,-447.14,-391.21,-85.9
-19.15,-544.27,100.28,90.12
-8.07,-447.83,-70.67,-5.63
-48.95,-518.47,-151.64,28.9
-60.87,-439.2,-281.42,-61.04
-40.71,-512.77,13.83,48.05
13.13,-517.46,-23.18,53.29
-8.18,-478.3,-32.68,48.12
-52.35,-470.54,-147.74,23.31
-16.13,-469.08,-88.47,38.02
11.43,-443.89,-54.52,16.41
-4.19,-441.79,-87.15,19.53
-9.28,-498.63,-452.91,-50.96
-47.14,-590.65,-110.68,23.98
-36.51,-508.38,144.75,76.07
-28.69,-439.7,-64.0,10.31
26.12,-392.78,-116.8,-15.22
-5.63,-514.59,-32.67,49.07
-11.84,-434.87,-86.92,26.71
