ch1,ch2,ch3,ch4
3.18,-409.02,-185.43,1.43
-31.0,-531.33,-79.1,19.89
-24.43,-437.65,-101.01,4.69
-42.63,-529.93,-134.83,10.37
-36.63,-467.7,-42.25,36.03
35.13,-448.46,-78.26,22.02
-13.75,-439.99,-86.34,25.81
-23.66,-424.42,-92.61,20.7
-51.77,-519.48,-90.46,32.06
-45.73,-498.41,-99.74,21.3
-40.43,-438.26,-97.16,25.68
7.88,-390.87,-133.66,19.76
5.95,-539.62,-74.04,41.13
-3.49,-476.62,-195.23,3.46
-21.54,-516.07,-89.63,27.68
-12.6,-484.47,-42.77,45.72
-17.91,-473.27,-79.55,38.63
-17.6,-461.03,-89.01,31.77
-24.5,-468.83,-102.05,33.13
-19.11,-457.92,-101.89,25.8
7.74,-344.97,-118.9,7.78
7.32,-420.63,-107.92,12.73
-38.02,-552.58,-76.14,45.57
-4.92,-421.7,-99.58,15.55
-23.61,-506.57,-69.09,41.27
-40.27,-481.55,-104.92,33.81
-23.14,-513.61,-95.07,36.5
-37.05,-467.38,-103.64,32.9
-37.45,-399.77,-185.05,9.79
6.12,-447.65,-201.72,-15.77
15.42,-478.18,6.94,44.25
-3.18,-467.1,-73.75,38.57
-30.9,-496.57,-88.08,29.95
-13.02,-488.3,-90.04,34.55
-15.34,-472.69,-92.41,34.17
-21.72,-470.23,-93.31,33.0
-31.46,-482.92,-95.1,26.08
-12.4,-473.44,-95.83,31.68
-22.05,-453.43,-94.68,27.48
-12.37,-404.41,-140.15,10.09
30.96,-335.77,-116.5,14.49
-16.1,-467.07,-82.01,40.22
-60.43,-511.36,-91.35,22.87
-12.47,-519.83,-88.51,34.8
1.1,-443.6,-101.92,20.45
-29.85,-502.19,-91.37,35.07
-29.64,-478.93,-94.3,37.61
-13.88,-477.08,-97.21,30.33
-23.85,-450.62,-124.19,20.23
-31.67,-469.12,-88.13,20.89
