ch1,ch2,ch3,ch4
1.98,33.38,51.32,-13.63
-31.47,35.48,110.15,-23.65
-0.04,-3.88,-97.19,-8.55
-33.23,32.59,-2.58,-17.33
-33.79,-32.03,-12.05,-16.79
34.73,99.17,-23.64,-11.76
14.75,60.29,-2.23,-13.26
-103.37,-64.7,6.37,-15.62
-18.43,61.81,105.9,-9.89
-17.01,19.11,19.09,-22.81
-21.85,-43.35,-26.14,-15.04
-16.97,30.18,-48.03,-22.72
-17.13,54.13,39.24,-4.89
5.15,100.78,16.61,-7.29
-23.28,-36.3,-37.2,-17.54
-1.94,64.46,-14.86,-14.43
-31.13,-71.79,3.27,-14.83
-27.75,11.09,-0.1,-15.08
-20.37,52.31,5.48,-13.87
-3.37,59.01,15.1,-7.76
17.88,-29.56,-0.37,-21.16
55.7,27.25,6.32,-17.93
-29.49,19.59,26.18,-18.08
-112.02,23.84,32.28,-20.28
-33.31,25.22,-19.79,-18.3
5.83,217.7,162.69,1.21
-38.11,-131.46,21.56,-18.49
-15.53,-46.64,-114.67,-21.42
-12.15,-14.49,11.77,-15.17
-2.34,82.53,-42.49,-13.66
6.03,23.54,-13.42,-3.44
-17.09,2.21,21.2,-19.66
-14.78,-9.62,63.69,-12.72
-19.52,10.91,-4.77,-17.81
-11.88,5.62,-28.09,-17.27
-14.01,30.62,1.76,-8.75
-17.29,77.98,3.09,-5.67
10.56,6.77,0.16,-18.14
-33.0,48.26,36.64,-11.43
-14.96,2.55,130.11,-8.93
-21.41,-25.29,-66.66,-17.17
-20.93,26.14,-46.96,-19.85
2.77,157.16,-4.59,-7.51
-37.13,-34.9,-0.36,-19.25
101.48,-32.18,12.93,-18.85
-68.23,-50.16,19.01,-25.12
-84.53,48.56,4.06,-16.55
-20.75,54.29,78.66,-9.32
-29.27,38.53,26.92,-15.53
-16.25,-21.75,69.02,-13.97
