ch1,ch2,ch3,ch4
-13.58,-15.57,29.38,-16.58
1.25,33.06,32.05,14.04
-22.97,35.26,27.5,91.88
-20.07,-37.31,49.32,-115.27
-6.83,-20.47,32.73,115.44
-4.27,48.83,9.85,-45.17
-11.58,-11.53,62.15,28.71
-8.44,12.42,19.2,-17.5
-10.57,21.14,35.39,64.14
-19.94,36.24,48.14,-79.41
1.13,11.66,43.58,86.54
2.82,38.78,29.31,-44.62
-27.97,15.55,28.48,56.61
10.14,45.63,15.19,66.39
3.11,30.26,30.52,-136.63
-30.39,-2.36,23.47,-26.88
-21.72,5.14,33.39,8.5
-15.14,-39.2,27.38,63.12
-5.21,5.45,27.62,11.23
-25.27,-9.53,63.9,-0.59
-0.13,55.4,33.46,16.98
12.21,38.9,29.38,-27.86
-14.26,25.85,24.71,71.01
-31.31,-34.66,37.37,-64.88
3.53,25.26,16.57,-10.66
-5.32,60.11,33.22,20.9
-23.19,27.28,20.8,44.1
0.01,84.74,44.04,-131.04
-1.94,35.39,26.25,-19.6
-44.36,-77.74,35.91,62.02
-10.11,-33.0,9.14,-8.93
-3.09,13.67,44.98,28.69
-8.79,37.99,13.16,-21.03
-12.14,51.43,16.74,47.72
-18.78,-20.09,45.83,35.45
-13.36,20.76,30.02,-49.57
-26.21,17.75,54.67,49.41
-4.78,24.35,27.78,-34.25
-27.74,-45.11,17.1,-22.6
-24.29,-19.45,41.65,52.48
0.03,39.9,34.2,-52.56
7.74,42.76,1.79,-8.9
-22.04,7.67,31.27,-100.54
-13.98,20.12,33.69,162.72
4.18,34.65,27.8,100.36
8.4,29.11,22.93,-105.53
-32.47,20.75,40.81,18.42
-16.92,66.21,25.34,-93.47
8.4,38.25,33.76,-3.21
-10.61,18.6,39.0,55.69
