ch1,ch2,ch3,ch4
-38.33,17.03,36.47,-0.51
-46.7,-27.28,31.5,0.7
-15.11,6.46,40.05,6.93
-23.56,-3.2,27.96,2.91
-36.02,46.27,33.55,3.91
38.72,28.49,35.83,2.23
-2.02,-1.5,30.0,1.46
-58.9,3.59,29.58,3.53
-28.98,8.84,31.66,3.24
46.8,6.47,32.6,3.56
-13.35,22.1,32.04,5.12
-33.72,-10.37,36.82,5.06
-21.8,-19.41,34.25,0.88
-19.01,31.1,36.8,3.92
-16.39,14.91,32.01,3.86
28.71,14.37,30.4,3.92
-35.6,51.44,32.19,7.12
-1.33,60.39,35.03,6.68
-26.64,-46.37,32.6,-0.33
-10.83,-2.58,33.42,1.98
-33.87,-31.73,32.35,-1.89
-13.58,-9.4,29.69,1.37
-37.47,7.52,31.05,-0.24
-46.16,37.66,36.8,9.07
-33.41,7.62,35.43,5.1
54.81,-3.71,28.99,-2.86
-5.66,-7.31,33.64,2.59
-9.75,7.45,38.24,3.44
24.8,33.83,35.54,5.63
-5.66,12.72,34.88,1.64
-45.78,-1.87,37.27,-0.19
-8.19,36.3,34.39,2.14
-17.6,-1.18,35.16,2.11
-49.35,-23.72,34.08,-0.17
-30.5,15.47,38.43,3.19
16.92,54.11,37.46,8.19
-28.25,9.17,34.65,0.58
-19.1,-29.65,31.65,-1.83
1.09,-24.5,28.59,0.12
-54.18,-22.54,35.97,1.7
6.25,9.69,34.15,1.24
22.19,24.4,31.04,2.37
-27.81,2.45,32.97,0.45
30.38,18.09,41.42,4.62
1.37,28.96,30.77,2.75
-75.21,-33.79,35.48,2.61
-32.75,0.57,32.32,5.54
-0.89,14.83,31.85,2.67
-26.48,-15.58,26.71,-2.82
-24.69,17.39,36.3,4.78
