ch1,ch2,ch3,ch4
4.46,24.04,37.1,4.93
-5.94,0.72,31.73,6.76
-40.46,-7.52,30.5,6.34
-11.09,13.55,32.68,5.41
-10.86,34.18,30.94,3.82
-28.89,23.76,33.97,4.66
4.16,44.59,38.92,6.96
-32.02,-4.99,32.67,2.02
-15.75,19.72,32.8,1.05
-7.24,15.32,34.05,8.36
45.36,18.9,33.62,6.41
-57.01,32.48,32.49,6.17
-23.44,3.12,33.02,1.42
-10.23,6.0,31.29,2.74
-18.24,6.84,35.5,5.37
-47.61,13.02,34.35,-1.9
21.68,33.83,36.59,3.3
-7.83,2.67,36.64,0.37
-53.22,-6.62,34.38,6.31
2.61,29.01,35.57,8.76
15.61,37.42,29.36,6.01
-28.8,-2.32,31.86,4.03
-5.13,7.67,36.58,4.36
-10.64,33.03,32.65,7.71
-40.25,23.11,38.41,8.02
-1.07,22.29,34.26,7.99
-14.64,23.03,34.08,5.58
-16.38,0.52,30.01,7.26
34.88,14.79,31.85,6.06
-7.64,19.86,30.38,0.23
-94.06,5.13,38.63,8.39
0.85,-5.88,32.58,5.45
4.44,46.37,34.92,4.08
-4.19,32.93,38.09,7.1
-23.29,11.39,38.58,6.7
-39.63,7.28,39.01,6.57
29.62,36.76,37.77,3.6
-24.66,24.7,38.02,7.51
-42.87,27.91,38.57,5.37
35.16,27.06,36.35,0.48
-15.3,17.46,35.28,1.49
-26.24,-10.79,32.01,3.8
-17.42,22.59,34.86,4.0
-23.8,4.31,38.15,4.64
29.97,24.19,39.0,6.37
26.52,38.2,36.24,5.31
-120.36,25.17,35.25,3.67
-16.55,23.05,32.71,6.25
-2.07,-7.68,35.39,0.76
-13.44,7.35,29.72,0.83
