ch1,ch2,ch3,ch4
-12.63,13.05,9.91,-0.57
-11.57,13.19,12.73,-16.97
-14.41,16.69,15.2,-30.76
-12.11,14.16,11.09,-3.27
-11.79,7.22,-4.77,-21.62
-12.9,14.37,2.65,-18.05
-14.17,7.25,0.29,-35.74
-15.0,12.54,8.48,-16.57
-13.58,9.54,40.78,-12.25
-15.89,6.91,-25.61,-7.96
-15.51,19.92,-3.95,-40.01
-18.57,13.47,3.48,-28.02
-17.42,13.79,19.25,68.52
-14.68,13.32,11.68,-62.95
-13.51,10.09,14.87,-22.55
-15.77,11.24,4.74,-18.09
-18.13,14.06,1.31,-14.39
-14.5,13.1,2.12,13.59
-15.99,9.55,29.18,-77.16
-13.89,10.5,4.01,-0.35
-9.56,15.94,-0.82,-17.43
-15.36,18.27,14.4,-61.15
-20.41,20.13,17.1,19.35
-17.96,18.17,33.77,28.19
-18.94,15.11,-16.89,-43.15
-15.24,15.76,1.09,-28.92
-17.53,14.4,13.92,-15.79
-20.49,15.04,14.72,-12.69
-13.98,17.75,7.71,-13.46
-15.62,14.46,16.18,-27.55
-20.94,17.3,5.22,-15.61
-18.75,19.8,3.57,-29.49
-21.09,16.63,3.57,-48.57
-16.54,23.24,-1.54,-11.36
-22.01,16.5,7.13,39.7
-16.48,18.82,1.8,-47.72
-21.43,17.99,6.55,-14.65
-14.58,23.71,3.19,-32.87
-12.38,18.41,-0.27,-9.48
-13.97,20.3,51.48,22.66
-18.53,21.99,-14.43,-43.05
-18.48,25.09,-15.66,46.67
-16.99,19.42,10.41,-36.82
-14.27,19.92,1.51,-56.8
-15.19,15.21,8.61,-15.04
-12.68,34.09,3.49,-13.54
-15.13,23.21,-1.67,-31.61
-16.63,28.78,36.08,75.16
-15.87,21.9,-13.85,-73.08
-15.84,20.21,14.78,-10.07
