ch1,ch2,ch3,ch4
16.73,-536.68,-120.32,31.69
9.24,-243.75,-118.25,33.84
-100.91,-714.55,-131.2,26.3
71.33,-456.16,-100.24,70.6
2.6,-465.59,-114.86,45.87
-65.84,-579.46,-118.43,43.99
-65.92,-266.91,-117.62,44.79
55.5,-557.81,-107.72,47.29
-77.91,-472.85,-124.04,9.63
66.6,-401.09,-101.57,74.27
-7.64,-602.31,-103.75,47.75
-53.74,-457.62,-106.82,36.41
-72.35,-295.4,-113.97,29.79
46.55,-598.97,-116.6,38.12
-18.2,-336.91,-101.93,46.49
-27.75,-459.22,-112.06,38.55
-8.08,-576.77,-117.17,36.78
43.1,-498.13,-90.99,70.89
-25.6,-343.57,-111.77,26.31
-13.55,-537.08,-110.04,33.85
-17.78,-296.72,-111.4,35.36
-46.4,-660.76,-104.94,57.84
-96.22,-634.39,-119.99,28.61
41.7,-316.68,-93.19,59.92
61.23,-449.16,-105.98,43.65
-17.53,-435.43,-117.25,29.23
-100.22,-434.7,-101.57,45.63
55.44,-542.39,-114.69,34.73
63.06,-39.72,-117.74,25.3
-127.31,-760.01,-94.05,66.31
29.52,-659.19,-111.07,36.77
-28.55,-479.08,-100.18,52.6
-6.36,-387.58,-104.95,40.54
-95.34,-608.5,-116.45,23.28
17.02,-461.69,-96.03,63.94
-7.07,-429.31,-100.25,49.58
-17.75,-374.62,-114.4,35.5
-0.04,-411.68,-112.11,37.45
-37.4,-505.52,-99.54,52.05
62.91,-399.02,-116.57,19.17
-49.64,-454.67,-109.24,35.24
-11.07,-596.2,-107.67,40.24
-14.48,-516.2,-96.38,61.06
-76.88,-286.37,-107.34,39.32
38.41,-326.74,-111.43,32.7
-19.22,-629.14,-96.12,51.76
-285.14,-719.94,-108.93,35.61
228.58,-130.74,-124.45,26.83
19.62,-625.43,-95.47,67.78
-77.66,-377.8,-123.61,14.25
