ch1,ch2,ch3,ch4
-28.16,-512.42,-89.54,31.67
-31.62,-661.41,-122.91,34.03
8.99,-367.39,-45.94,79.46
-11.61,-412.29,-87.78,17.82
-7.53,-486.75,-84.82,61.12
-19.49,-514.78,-76.46,16.67
-19.38,-496.11,-84.23,32.25
-11.45,-468.11,-78.58,33.44
1.13,-457.17,-99.2,-12.57
-24.52,-488.65,-94.22,34.83
-4.85,-495.99,-90.74,36.41
-10.76,-468.73,-92.93,8.57
-24.79,-455.03,-92.83,12.01
-18.07,-469.0,-83.15,55.88
-15.05,-492.48,-79.16,46.52
-14.19,-481.52,-81.22,28.53
-18.84,-486.73,-87.7,16.16
-6.94,-471.74,-86.06,25.59
0.99,-450.09,-110.47,-17.29
-21.4,-526.44,-162.13,61.6
-16.43,-459.2,-47.3,36.03
-13.92,-482.71,-100.68,31.45
-22.92,-445.45,-59.11,18.83
-12.64,-470.74,-75.96,30.82
-4.97,-465.6,-76.82,31.73
-10.92,-482.41,-86.24,25.35
-21.7,-499.65,-82.06,26.76
-15.47,-484.88,-87.16,6.41
6.45,-483.32,-99.85,-18.81
-16.64,-476.42,-85.43,28.91
-11.1,-462.39,-69.06,36.75
-17.92,-530.99,-97.8,-3.21
-30.62,-606.18,-110.81,28.81
-5.39,-277.01,-54.62,72.21
-4.0,-420.17,-115.8,11.17
-10.46,-466.96,-116.7,2.6
-28.62,-517.35,-109.38,10.6
-31.39,-504.08,-51.89,28.54
-19.68,-474.7,-77.43,36.47
-17.3,-499.3,-80.57,17.7
-12.94,-487.36,-88.03,29.99
-20.67,-487.04,-87.57,22.63
-13.32,-502.84,-79.09,41.44
-16.3,-472.93,-94.18,14.46
-13.21,-521.71,-91.31,7.28
-16.33,-440.97,-87.43,7.12
-14.92,-382.89,-174.48,-25.66
-12.91,-464.27,-21.65,133.78
-11.85,-470.96,-87.64,18.59
-15.67,-470.69,-83.75,30.03
