ch1,ch2,ch3,ch4
-17.5,-52.07,-3.72,-10.62
-4.63,57.96,21.56,-7.93
-2.35,17.86,36.26,23.57
-24.95,10.55,25.82,-8.22
-5.8,-0.48,90.99,19.23
43.37,0.53,21.23,36.73
-58.83,-3.35,23.1,-5.1
-26.75,35.56,57.75,33.98
-30.25,-5.3,36.17,15.97
-17.74,-10.25,39.64,-0.94
2.73,34.24,58.94,-1.89
-1.29,29.43,-2.98,25.26
-3.58,12.89,44.56,19.57
-15.56,-29.44,13.54,6.41
16.25,17.48,42.35,-11.09
37.07,41.61,59.94,15.38
-105.58,-34.37,25.73,-2.99
-21.14,-13.75,18.26,18.0
-4.62,9.34,31.01,6.41
-5.27,61.38,31.33,-2.27
9.5,29.99,47.61,25.58
-23.83,-8.44,74.75,7.19
-33.32,22.09,16.75,81.08
-28.41,23.22,73.14,-9.67
13.67,21.76,-12.11,-11.86
-26.63,-15.04,27.31,1.2
-0.05,18.37,41.71,-2.07
7.74,23.3,16.75,23.39
-5.4,25.39,62.28,24.33
-20.85,12.47,48.92,10.05
43.69,10.04,110.84,-24.49
-77.97,-3.19,-3.19,3.26
-27.64,6.84,1.33,18.42
-2.62,8.61,45.85,14.98
-18.66,4.92,33.42,15.72
-7.16,12.48,23.12,-7.37
0.55,23.38,49.96,56.2
-7.04,16.97,26.06,-5.51
-39.23,-18.42,38.32,3.35
-49.39,52.21,40.25,70.44
-21.62,5.79,36.0,-28.91
18.36,3.69,32.92,17.56
-0.94,-8.01,30.46,-21.58
-24.34,8.6,34.49,11.98
64.89,24.03,52.56,6.35
-48.7,45.76,85.71,14.14
-49.85,-36.78,81.13,4.61
-23.7,15.16,-42.57,-7.2
-16.5,-33.54,25.78,13.19
-7.64,42.7,38.16,10.16
