,ch1,ch2,ch3,ch4
0,-96.12,-18.57,30.27,0.9
1,-29.28,11.03,34.27,6.42
2,-21.77,2.66,34.12,7.44
3,-6.26,22.44,34.29,5.33
4,-29.92,29.5,30.77,7.32
5,-22.03,25.46,36.13,7.39
6,-3.78,12.87,35.74,5.12
7,-8.09,31.41,29.76,6.49
8,9.25,36.62,39.28,9.0
9,9.58,20.76,39.68,8.75
10,-23.61,13.52,34.8,5.87
11,-23.01,9.04,34.6,6.63
12,-24.39,-16.67,30.27,6.06
13,3.6,40.87,36.75,9.33
14,15.25,-7.07,36.61,8.68
15,-58.46,12.93,33.77,10.71
16,-20.1,37.48,35.61,8.91
17,-4.24,5.24,33.55,8.98
18,-20.78,5.1,32.08,1.3
19,-37.61,27.36,39.35,7.89
20,-14.09,-21.27,37.05,2.51
21,-23.68,20.03,35.04,6.17
22,-16.98,15.91,44.06,10.54
23,13.12,22.26,39.71,7.99
24,-20.55,28.35,32.34,5.14
25,13.18,32.76,36.54,9.1
26,-27.16,13.98,37.92,7.32
27,21.3,8.76,35.3,11.89
28,-37.29,-1.28,37.63,3.91
29,-58.8,-2.3,37.91,5.88
30,-20.29,3.18,32.68,6.37
31,-5.4,27.47,34.34,6.76
32,-6.01,40.59,40.38,8.17
33,-37.26,-23.78,32.47,5.69
34,-36.07,21.43,35.4,8.71
35,10.35,8.85,29.01,9.73
36,2.05,10.77,30.88,6.51
37,23.86,-2.85,28.48,9.38
38,-30.8,2.75,27.12,6.97
39,-8.69,2.41,29.84,8.37
40,41.08,29.29,31.34,5.63
41,-107.28,6.98,32.62,7.79
42,-31.96,15.8,28.79,7.34
43,-42.84,-16.8,31.24,4.2
44,-7.31,-0.53,30.08,1.32
45,3.96,26.89,29.35,3.37
46,-6.16,22.66,30.21,5.06
47,-11.09,13.24,33.22,4.49
48,-30.96,16.36,33.66,7.14
49,-19.82,10.81,37.43,8.01
50,-15.64,3.57,34.79,4.01
51,-26.49,2.07,28.33,5.19
52,-4.68,31.07,32.54,4.73
53,2.02,17.09,33.96,5.91
54,-30.05,6.98,31.92,6.47
55,-14.7,29.5,40.61,4.08
56,8.44,-14.96,34.48,4.48
57,-34.21,12.34,32.78,2.03
58,-22.11,11.07,37.92,2.29
59,55.58,40.25,33.12,6.02
60,-55.58,19.77,32.0,2.58
61,-43.23,-38.58,30.98,0.71
62,-27.6,-14.66,32.95,1.33
63,-19.52,-3.64,33.54,1.04
64,-25.45,4.64,37.92,4.87
65,-1.66,10.75,32.55,6.4
66,-23.3,5.84,34.78,1.3
67,-43.84,14.11,35.99,4.55
68,-46.98,23.16,36.13,6.08
69,22.24,18.2,29.38,0.8
70,18.67,28.7,32.95,1.25
71,-57.71,-13.7,37.32,2.67
