,ch1,ch2,ch3,ch4
0,-7.8,20.34,53.64,25.75
1,-16.82,-17.95,65.09,22.65
2,-25.52,0.42,16.1,-9.43
3,19.82,58.0,35.82,43.74
4,49.96,12.99,14.47,1.06
5,-111.07,-1.71,37.05,3.97
6,-42.48,56.94,56.33,74.68
7,4.25,53.3,20.32,-27.53
8,-12.0,-8.56,38.57,21.59
9,-38.11,-57.65,46.93,-0.82
10,0.35,22.9,49.73,60.3
11,-17.89,1.01,83.53,-6.4
12,-16.73,26.68,13.07,6.22
13,-10.66,55.88,7.31,25.7
14,73.32,56.61,57.57,7.4
15,26.28,32.13,19.89,42.38
16,-137.2,-11.1,68.15,10.42
17,-41.19,37.92,-19.67,17.88
18,-24.75,26.17,26.27,22.86
19,1.2,17.47,37.96,36.07
20,-10.89,10.14,42.72,-5.06
21,-34.13,27.26,49.29,45.04
22,-7.78,-5.91,59.3,-5.7
23,6.51,5.91,46.7,12.22
24,28.56,24.26,64.79,58.18
25,-25.98,27.3,31.13,-17.64
26,-47.77,-0.82,51.54,12.94
27,-29.0,41.73,23.43,28.08
28,-21.5,54.02,63.85,21.05
29,-34.38,-13.08,30.87,9.39
30,4.36,3.84,35.67,11.27
31,-21.84,21.45,-4.43,10.85
32,-21.28,32.04,40.62,21.53
33,-13.6,6.6,40.72,15.54
34,6.29,29.58,59.16,67.96
35,-15.73,-12.21,28.29,16.14
36,-23.81,41.45,46.69,-2.8
37,1.51,26.9,63.56,-2.65
38,-37.03,-7.75,73.95,11.23
39,-14.13,-0.87,36.06,22.09
40,16.04,38.03,119.67,37.07
41,21.4,-19.77,-43.5,6.27
42,-16.93,14.75,21.9,26.5
43,-63.35,26.1,125.07,-1.28
44,-40.87,-1.46,-23.22,27.45
45,-30.86,-7.36,21.62,21.54
46,-18.18,18.65,55.57,20.88
47,-6.01,-10.89,31.59,42.7
48,-24.58,48.71,40.8,17.41
49,-3.72,18.4,55.27,15.59
50,-5.08,-0.01,59.11,4.8
51,-28.89,14.46,129.9,-38.76
52,13.66,38.91,-1.55,37.79
53,96.07,31.7,3.51,47.99
54,-108.09,-19.62,16.83,10.95
55,-84.79,-12.78,36.5,65.27
56,-15.97,35.07,42.91,-17.59
57,2.08,42.99,39.3,12.66
58,-26.44,1.15,34.54,8.15
59,-33.13,-10.41,36.91,17.9
60,-9.07,21.65,40.62,25.65
61,-13.18,-14.56,39.66,22.2
62,-16.16,16.38,51.25,51.92
63,-17.89,25.01,92.03,-4.15
64,-6.0,33.41,-2.89,23.15
65,-21.91,12.2,52.54,9.96
66,-9.86,57.1,9.23,-17.26
67,-12.37,55.87,98.65,22.29
68,-20.27,-53.11,18.11,30.47
69,-32.02,-32.46,82.58,0.36
70,59.31,-0.02,-38.3,9.84
71,-53.61,3.58,4.68,15.89
72,-51.87,41.02,18.5,52.05
73,-21.83,14.31,42.45,1.0
74,-0.44,-68.56,41.22,3.96
75,-6.83,60.69,38.32,18.33
76,-24.61,40.79,31.3,16.67
77,-27.21,13.19,36.99,17.8
78,-7.03,36.86,130.97,37.63
79,-0.73,33.44,-32.94,55.76
80,-14.34,-10.34,12.3,-51.28
81,45.15,39.87,40.79,15.9
82,2.98,40.41,46.35,11.2
83,-107.54,14.82,38.26,42.03
84,-39.44,14.84,108.09,-21.44
85,13.56,4.76,-10.4,25.19
86,-6.09,41.04,20.61,43.84
87,-1.95,27.6,4.99,12.18
88,-31.77,1.47,55.17,3.99
89,-11.36,3.02,36.28,3.35
90,-15.86,8.19,-5.47,26.42
91,-12.93,25.1,34.68,18.16
92,-10.89,36.31,42.65,44.18
93,-8.7,-5.76,31.41,29.57
94,66.76,2.53,33.48,-18.42
95,-53.55,-20.88,88.32,2.65
96,-72.43,38.28,12.42,12.43
97,-36.45,62.51,7.09,24.93
98,-14.96,-8.52,28.3,9.54
99,-1.95,53.32,65.14,28.23
100,35.23,34.34,22.67,4.76
101,-36.64,-15.61,46.32,41.73
102,-33.91,-7.59,109.99,-2.83
103,-18.19,-2.77,-9.66,14.91
104,-8.55,-6.65,11.96,28.71
105,80.07,11.88,10.29,34.1
106,-113.61,60.69,44.28,66.88
107,-26.1,32.16,53.96,-20.37
108,-19.48,-2.84,20.82,0.58
109,-21.06,-20.74,11.28,16.73
110,-5.92,-43.58,29.78,16.38
111,-20.74,26.17,73.42,13.72
112,8.59,93.69,17.78,12.24
113,77.44,-4.62,48.87,30.43
114,-18.36,-12.27,26.2,0.85
115,-118.9,13.98,12.43,30.6
116,-20.94,2.81,17.45,8.69
117,-12.13,-15.96,43.32,21.0
118,-38.64,14.59,95.7,45.97
119,-7.7,30.9,15.79,11.94
120,-6.38,18.69,-14.09,-0.6
121,6.39,33.27,33.83,43.7
122,-15.31,34.38,18.85,5.68
123,-7.1,17.54,40.15,-3.74
124,-42.51,-25.13,104.61,3.87
125,-29.87,27.09,11.57,14.24
126,74.29,44.03,102.95,12.41
127,0.32,41.57,-31.01,3.33
128,-109.66,9.02,41.52,35.99
129,-33.6,-28.88,18.66,5.6
130,-10.31,15.68,35.47,15.22
131,-60.17,31.7,41.45,1.66
132,7.62,-20.31,38.3,29.46
133,7.38,-2.97,28.56,0.24
134,29.59,70.66,59.3,24.52
135,47.9,22.33,57.92,26.52
136,-124.33,-11.67,73.64,-7.36
137,-35.22,37.9,10.74,24.32
138,-22.18,33.1,31.93,8.41
139,-21.75,-20.32,58.59,34.48
140,5.3,39.61,17.86,-6.83
141,-30.13,23.27,50.44,11.05
142,-18.05,27.65,59.5,5.58
143,-17.79,8.41,23.01,11.35
144,-21.52,3.36,38.68,20.2
145,-5.8,19.0,36.91,7.69
146,36.38,30.85,29.4,14.62
147,30.48,53.91,104.11,26.98
148,-112.59,-3.1,28.76,10.09
149,-38.97,3.31,54.2,11.39
150,-18.74,6.37,19.19,16.66
151,-8.6,38.63,21.82,18.76
152,12.91,-7.18,40.96,15.02
153,-54.64,45.45,41.36,0.65
154,17.16,28.08,40.47,26.91
155,-22.81,29.7,42.09,17.13
156,-19.89,17.5,38.59,32.43
157,10.09,45.35,62.77,25.62
158,89.33,-6.92,62.03,-12.17
159,-41.04,7.78,25.81,2.27
160,-91.26,38.75,79.63,4.65
161,-46.27,22.13,13.93,24.39
162,-38.68,13.23,38.56,9.42
163,12.0,35.76,45.96,-5.24
164,-1.33,11.34,18.24,18.53
165,26.12,12.37,27.85,12.47
166,-48.92,6.69,40.46,37.71
167,-33.8,20.35,38.79,11.25
168,-28.74,17.17,54.45,-4.18
169,-6.27,35.26,187.72,70.76
170,-27.59,-30.89,-84.68,-8.07
171,55.56,2.89,12.67,0.37
172,-54.99,-12.48,48.89,11.02
173,-79.0,27.05,28.31,23.06
174,-10.28,91.61,37.16,15.45
175,33.67,-13.16,37.22,27.5
176,-19.62,11.92,41.06,-11.51
177,-54.19,-6.37,30.78,-8.78
178,-25.37,-1.41,98.79,41.72
179,-24.14,1.04,17.74,11.9
180,-6.74,30.26,32.4,18.18
181,-32.62,13.15,62.58,15.19
182,10.79,22.11,57.72,24.54
183,42.66,26.41,18.31,-8.88
184,-11.77,15.07,70.38,-6.02
185,-109.91,-2.37,2.76,21.19
186,-11.35,-3.26,41.8,30.69
187,-30.09,0.56,65.05,17.41
188,4.14,43.52,92.66,43.27
189,13.44,-22.11,37.91,0.63
190,15.65,9.46,0.71,0.7
191,-43.28,15.58,30.58,58.06
192,-19.04,76.05,28.91,-7.38
193,-9.72,50.52,41.21,18.95
194,-14.19,29.05,37.15,7.12
195,-18.39,-28.1,40.26,8.74
196,-20.83,20.51,41.7,10.86
197,-6.97,15.27,36.54,5.33
198,107.26,34.97,43.2,12.98
199,-83.49,5.46,36.29,7.64
200,-72.91,-16.28,41.23,19.77
201,-22.03,28.53,35.67,18.0
202,-11.6,28.23,33.41,16.71
203,-15.13,43.34,37.41,7.38
204,-26.13,4.33,34.11,3.76
205,7.1,40.13,46.86,27.22
206,-1.04,49.2,43.06,19.46
207,-17.57,7.07,39.64,19.39
208,-20.48,20.71,43.8,17.32
209,-13.82,25.13,39.91,19.02
210,-11.15,-31.17,34.6,18.85
211,-15.7,1.94,37.49,19.15
212,-11.62,41.41,39.78,17.44
213,11.49,62.61,36.19,14.67
214,-8.07,65.47,32.84,13.7
215,7.45,93.23,26.96,19.61
216,36.96,76.34,48.82,27.47
217,-14.03,97.26,44.85,19.89
218,-74.37,2.1,38.57,26.43
219,-68.43,-125.73,31.89,10.61
220,21.26,69.76,25.49,8.43
221,-20.42,-50.98,-0.86,35.92
222,-78.64,12.38,37.04,11.4
223,-43.05,45.15,35.69,-20.2
224,76.89,24.47,44.7,37.11
225,-2.67,33.63,30.29,17.32
226,-6.09,19.99,5.49,16.38
227,21.59,49.52,65.08,28.79
228,-69.87,-138.3,31.2,10.09
229,-1.76,58.91,28.44,24.17
230,52.77,176.96,48.65,32.68
231,-89.58,-41.95,36.96,21.43
232,-44.05,44.56,37.7,32.34
233,-17.24,-87.4,41.53,27.67
234,-99.4,-61.75,34.26,21.43
235,101.2,165.9,31.18,22.01
236,15.73,-59.83,23.08,11.12
237,-25.95,-79.1,24.85,4.68
238,-41.23,-21.55,29.2,18.21
239,-33.26,58.09,29.7,26.19
240,6.25,-21.72,32.88,18.21
241,10.01,45.54,33.84,21.53
242,-50.66,37.96,37.71,29.81
243,-43.77,13.13,36.41,34.09
244,71.31,85.91,31.38,19.84
245,-31.06,-110.26,26.93,12.91
246,-10.28,-26.64,27.07,19.29
247,1.06,24.74,28.5,18.53
248,-16.57,6.3,25.53,23.38
249,-39.27,-3.85,22.91,23.94
250,-13.21,25.36,27.05,21.94
251,17.81,127.36,27.77,23.72
252,0.99,129.79,26.9,28.3
253,-17.32,-69.34,26.74,17.61
254,-28.97,-44.22,17.67,16.05
255,-26.12,-52.91,17.7,18.55
256,-31.64,-44.39,27.94,18.25
257,-15.62,33.96,26.12,20.42
258,-0.84,46.4,7.81,23.85
259,-48.1,-65.22,21.87,9.85
260,-16.55,-9.19,37.1,-6.19
261,-13.73,-12.92,10.81,34.58
262,-7.35,28.46,24.12,34.74
263,-46.68,26.58,30.64,8.01
264,69.65,170.62,0.55,23.67
265,-68.66,-147.62,26.21,36.81
266,-47.75,-83.55,29.26,-6.71
267,-19.32,-24.45,26.86,-16.26
268,-27.68,-6.41,15.61,25.71
269,-19.04,13.78,26.72,19.46
270,-1.16,34.9,19.02,-8.46
271,-17.63,-32.68,-13.24,26.49
272,1.06,46.68,39.49,200.6
273,-15.42,-28.16,30.21,-70.6
274,-36.0,-4.24,10.37,-24.71
275,-33.62,-59.8,14.13,28.44
276,15.2,-15.32,9.3,18.23
277,-21.21,-66.91,31.08,-18.67
278,-19.25,-17.28,40.45,126.95
279,-15.46,-11.27,30.09,2.67
280,-15.24,-19.08,44.71,-30.84
281,-5.46,18.52,-0.38,-7.62
282,32.45,99.08,26.55,-7.24
283,-47.66,-33.46,11.15,63.73
284,-28.86,-48.76,22.9,69.68
285,3.57,0.47,36.03,-79.19
286,-36.92,-40.87,26.7,21.3
287,-1.71,43.33,27.63,70.54
288,8.32,-2.67,42.08,85.54
289,-25.32,-87.59,27.36,-53.6
290,-13.13,-26.81,22.58,-5.96
291,-51.69,-14.64,61.53,-50.19
292,-1.56,-0.1,72.11,19.94
293,-10.59,28.74,1.53,34.07
294,13.14,22.57,34.03,17.07
295,12.23,50.13,-18.74,219.76
296,-55.34,-87.38,51.97,-92.69
297,-23.5,-61.42,28.53,-18.03
298,0.42,-43.18,37.52,-47.45
299,-14.78,-48.07,21.72,97.74
300,-33.24,-34.79,15.61,54.71
301,-8.65,31.36,66.59,-4.81
302,-15.41,-4.95,20.47,-53.39
303,-22.39,-13.87,54.28,30.62
304,-9.72,10.75,26.07,8.07
305,-7.64,34.55,39.36,137.18
306,2.48,30.45,15.26,1.28
307,-16.47,11.35,84.78,28.7
308,-39.33,-89.77,8.86,-35.83
309,-15.42,-34.06,35.01,90.9
310,-24.62,-18.29,41.84,76.68
311,-18.37,-8.46,32.43,-10.17
312,-18.22,9.99,43.56,-14.69
313,-10.59,-5.15,26.21,-28.08
314,-14.43,-16.71,43.87,12.17
315,-22.3,-6.91,17.99,-20.55
316,-13.57,-25.49,25.88,-10.12
317,2.0,7.87,35.24,-15.92
318,-1.23,52.56,38.47,23.83
319,-14.27,-16.01,37.54,10.7
320,-20.65,-32.7,38.15,12.0
321,-34.67,-45.94,40.33,30.84
322,-19.49,-13.05,41.79,94.65
323,-5.69,-16.75,40.79,-19.09
324,0.17,5.26,44.26,11.9
325,-12.18,12.82,33.38,-7.55
326,-6.59,13.4,20.52,1.85
327,-22.89,0.75,73.76,45.0
328,-21.13,-59.13,-13.3,-62.89
329,-18.62,-2.09,63.49,82.92
330,-24.59,-3.61,30.87,6.4
331,-14.41,-6.38,45.02,114.56
332,-0.59,22.0,35.62,-54.63
333,3.31,-14.18,26.53,45.95
334,-25.71,-29.31,19.68,-66.03
335,-37.14,-30.31,54.04,78.16
336,-20.25,-12.5,37.74,8.26
337,-12.77,-12.1,36.81,18.42
338,-3.41,9.13,29.97,96.71
339,-18.53,-35.82,89.6,102.4
340,3.92,24.6,-11.54,-56.31
341,-37.12,-6.41,53.3,3.19
342,-29.78,-11.48,35.04,12.5
343,-10.65,15.94,32.28,-0.44
344,-7.77,-19.48,36.32,-42.91
345,-26.85,-24.84,38.06,22.82
346,-21.68,-11.43,46.38,39.9
347,-21.33,-20.99,46.48,93.07
348,1.61,1.63,18.01,-26.63
349,-10.87,19.7,101.05,161.9
350,-33.35,3.16,-6.93,-104.42
351,-30.18,-21.11,43.19,6.45
352,-17.8,-12.61,111.94,270.06
353,5.95,17.01,12.36,-118.24
354,-23.42,12.72,40.96,187.29
355,-24.52,-36.08,78.44,32.35
356,-34.98,-39.72,4.79,-81.49
357,-23.69,-40.96,69.12,91.68
358,-30.71,-35.05,59.45,-67.04
359,-12.32,-23.02,62.02,-24.78
360,-19.28,-19.68,32.55,-63.11
361,-16.54,3.98,53.9,269.63
362,-6.3,-8.95,23.98,-33.79
363,-5.63,23.91,42.5,-55.59
364,-7.96,-51.08,117.2,60.38
365,-15.39,0.39,56.09,96.21
366,-6.23,76.53,-11.09,-50.86
367,-0.58,48.01,51.51,16.37
368,-47.58,-84.63,49.01,104.0
369,-39.4,-63.72,42.24,-124.12
370,-27.91,-58.93,32.7,-44.55
371,-28.32,-22.45,27.96,-81.28
372,-1.09,2.5,77.38,224.12
373,2.22,111.85,78.3,-123.51
374,-35.1,-70.57,48.98,220.56
375,-19.06,-42.49,35.26,-40.52
376,-32.29,-37.94,50.33,-169.66
377,-23.83,-13.35,9.8,-16.87
378,-27.12,-11.49,30.9,105.4
379,-29.54,-37.22,71.55,0.69
380,-3.83,-38.23,-15.85,-16.32
381,-8.94,-2.22,130.98,84.6
382,-24.57,200.34,69.94,165.63
383,-18.27,-129.59,-4.57,-307.3
384,-35.12,-71.2,31.09,71.64
385,-24.6,-41.53,41.94,127.18
386,-27.58,-33.05,0.53,-125.68
387,-22.38,-21.93,86.32,-77.03
388,-15.46,-90.66,38.99,56.2
389,-18.94,32.13,1.7,62.32
390,-2.74,32.65,60.9,-60.78
391,7.93,-6.9,3.5,-7.84
392,-4.02,73.05,-20.19,25.01
393,-1.44,-26.04,-6.05,-24.52
394,-75.49,-78.55,73.09,-27.52
395,-50.37,-18.1,15.38,-56.77
396,-5.66,-4.78,90.43,58.08
397,-3.11,30.53,4.86,13.94
398,-47.3,-76.96,54.3,15.13
399,-20.49,-43.23,52.48,96.32
400,28.16,31.56,16.66,51.87
401,-1.24,60.7,86.43,-64.37
402,-51.95,-16.68,30.88,-33.08
403,-56.73,-92.66,30.3,96.53
404,-22.68,-33.57,58.76,-105.2
405,-3.46,35.94,35.93,30.23
406,-40.32,-22.74,50.14,-24.16
407,-39.52,-64.89,36.89,-43.33
408,-20.1,-47.63,60.23,118.94
409,-21.38,20.14,70.69,125.23
410,-16.83,4.02,-35.03,-65.36
411,-22.65,6.91,86.88,-54.09
412,-26.08,7.6,24.65,-35.17
413,-18.02,48.58,34.42,-1.78
414,-28.35,-53.66,88.58,37.3
415,0.84,46.76,12.8,36.15
416,8.13,102.16,30.96,-22.82
417,-46.94,-108.65,67.96,56.98
418,-32.46,-20.79,22.69,20.26
419,-19.93,-23.4,83.68,145.96
420,-29.01,-20.16,15.26,-79.15
421,-11.83,-3.17,35.76,163.72
422,3.13,107.56,36.74,-118.11
423,-5.78,-4.86,42.14,-25.72
424,-12.71,-26.97,70.37,58.04
425,-31.69,1.46,37.23,-47.0
426,-19.92,6.02,37.61,23.98
427,-15.03,6.1,36.15,31.58
428,-10.65,11.64,50.48,-22.42
429,-27.35,-19.64,71.46,7.9
430,-28.47,-14.51,31.57,4.89
431,-22.8,11.73,19.14,-2.1
432,-20.64,14.85,46.8,-24.72
433,-22.66,-7.89,32.97,-8.67
434,-17.84,11.91,34.4,93.46
435,-12.71,-2.56,74.12,-61.73
436,-24.37,6.89,66.87,32.01
437,-20.52,6.34,15.92,85.71
438,-20.92,8.92,52.49,-46.65
439,-10.09,22.27,31.65,-32.91
440,-12.42,17.88,48.34,55.64
441,-42.13,-20.05,42.1,-8.67
442,-27.36,-4.6,62.01,31.49
443,-15.41,2.88,55.08,34.29
444,-16.88,3.61,23.88,-11.94
445,-27.74,-3.88,42.28,-56.21
446,-10.62,-16.07,40.07,62.51
447,17.53,32.16,52.04,-5.08
448,-15.38,31.38,22.33,-42.24
449,-57.3,-62.22,79.02,45.94
450,-30.38,-33.38,25.62,14.51
451,-19.66,1.34,41.38,13.67
452,-18.27,-17.97,59.58,126.3
453,-17.98,-16.41,18.53,-21.54
454,-19.55,-4.79,54.88,26.8
455,0.7,33.5,47.54,19.68
456,-15.1,-13.9,50.15,-37.31
457,-21.02,-16.5,25.57,35.15
458,-22.44,-27.01,40.99,-0.87
459,-17.56,5.41,27.65,-11.95
460,-11.8,-14.65,40.0,18.28
461,-16.97,-3.14,58.68,5.79
462,-18.47,1.32,38.91,0.75
463,-19.37,-36.05,41.92,32.2
464,-17.01,4.19,40.47,-5.36
465,-15.09,-3.2,33.91,133.19
466,-6.28,-19.49,53.9,-79.29
467,-4.55,-0.98,47.04,34.4
468,-20.95,33.46,44.3,-29.14
469,-49.29,-34.39,68.79,161.69
470,-7.38,24.16,17.71,-56.49
471,-12.99,-2.07,38.17,-6.59
472,-33.72,-44.34,55.83,6.53
473,-1.8,-3.27,35.96,-4.22
474,-15.31,20.01,40.11,4.75
475,-28.27,-1.42,45.16,13.1
476,-15.56,-31.56,63.14,114.92
477,-15.8,-12.36,9.45,-48.03
478,-8.32,17.29,46.11,10.57
479,-42.76,-37.92,56.51,40.28
480,-24.39,-24.42,29.62,16.34
481,-18.95,8.83,42.04,-2.65
