,ch1,ch2,ch3,ch4
0,-26.72,20.69,37.83,-13.21
1,-10.45,33.39,35.66,-3.41
2,13.15,43.74,24.18,-0.81
3,-3.52,-26.02,36.43,1.93
4,-29.31,23.94,43.8,-7.26
5,-0.46,49.81,24.7,16.83
6,-8.93,34.25,36.56,-0.99
7,-25.29,-33.17,33.97,3.28
8,-25.68,-37.87,25.71,-17.14
9,-10.84,1.21,49.42,10.79
10,-13.1,34.83,19.4,-13.08
11,-11.88,16.78,17.78,3.56
12,-11.03,-38.5,38.48,19.11
13,-18.51,-3.4,34.13,27.09
14,-7.96,46.9,31.84,27.42
15,3.28,9.68,35.21,-26.04
16,-17.87,-5.14,44.49,21.88
17,-24.83,-11.47,24.78,-41.59
18,-4.16,22.32,35.83,17.61
19,-5.59,10.89,32.65,4.87
20,-23.29,2.33,35.77,8.55
21,-7.49,15.5,52.31,16.84
22,1.89,0.12,49.86,20.26
23,-19.92,37.8,26.7,4.17
24,-15.67,-2.85,36.91,-1.75
25,-0.73,-5.18,16.21,-18.79
26,-10.23,-2.75,42.54,19.22
27,-18.58,5.68,30.71,3.2
28,-2.24,34.42,36.88,13.42
29,8.35,41.0,45.06,30.94
30,-26.43,4.43,12.03,7.18
31,-17.43,-21.9,39.01,-21.73
32,2.25,25.05,32.68,7.03
33,-19.1,-3.32,40.21,-19.0
34,-20.38,-34.02,44.39,-6.73
35,-7.77,12.33,29.96,-51.66
36,-7.87,32.2,49.91,45.18
37,3.1,61.39,11.16,-19.81
38,10.98,21.7,47.09,32.42
39,-26.57,4.18,32.86,9.19
40,-29.05,5.33,42.26,3.36
41,-20.0,-64.87,57.71,20.33
42,-4.59,-2.98,24.06,-32.17
43,-14.59,24.2,20.45,15.26
44,-8.71,30.58,31.32,1.75
45,0.42,34.58,33.65,33.98
46,-11.47,15.01,37.42,30.5
47,-20.49,37.38,24.57,-20.54
48,-5.85,10.48,20.71,-6.33
49,-13.1,-3.96,38.36,-3.08
50,-12.72,18.32,35.87,8.52
51,-23.79,-3.85,25.98,-11.85
52,-14.95,-0.53,27.37,-5.73
53,-26.72,-10.02,28.35,-25.22
54,-14.54,4.28,27.92,21.81
55,-2.43,11.55,59.87,32.07
56,-6.0,19.02,17.15,-49.1
57,-19.59,8.44,13.26,21.15
58,-6.35,3.15,26.26,0.54
59,-12.55,8.28,32.33,0.09
60,-14.85,29.32,42.74,11.71
61,1.24,38.88,75.22,37.57
62,-0.72,-7.95,0.16,55.1
63,-13.4,27.22,23.1,-43.21
64,1.91,41.54,48.21,23.61
65,-2.62,70.88,26.82,-49.74
66,-28.11,-47.29,28.48,11.64
67,-17.49,-24.26,31.77,-13.54
68,-9.46,54.45,37.43,15.99
69,-7.61,7.26,33.77,4.76
70,-8.66,11.02,36.85,4.25
71,-3.75,-3.95,32.33,-2.88
72,0.29,22.36,50.95,12.29
73,-12.78,26.62,26.48,18.53
74,-28.51,3.07,19.38,-11.85
75,-9.16,11.48,19.3,12.88
76,-18.27,6.44,36.62,32.28
77,-22.85,-3.49,37.96,-40.6
78,-10.88,2.6,52.05,38.8
79,3.48,58.86,18.53,-15.91
80,-1.73,80.43,32.87,2.92
81,-29.91,-3.83,40.23,-15.19
82,-12.98,-28.51,13.18,-70.61
83,-19.47,42.7,46.28,43.29
84,-29.22,-6.43,32.34,13.75
85,-7.47,37.43,27.68,1.99
86,-10.67,27.5,30.5,-4.82
87,-20.01,25.45,46.93,9.48
88,-4.1,7.42,31.39,12.52
89,0.02,27.81,23.66,29.6
90,-19.51,19.82,50.97,43.33
91,-2.3,50.67,40.89,-28.92
92,-11.68,-11.58,43.55,-12.71
93,-23.79,17.96,29.76,-10.12
94,-18.06,37.17,38.96,1.24
95,-1.63,16.46,13.2,57.99
96,-10.51,28.81,47.59,-35.66
97,-23.13,13.01,32.83,-22.34
98,-3.11,18.18,35.87,7.67
99,0.46,85.44,52.79,18.96
100,-7.29,-3.19,26.55,0.11
101,7.73,15.95,33.15,-4.84
102,-21.34,47.85,43.53,1.86
103,-41.48,4.06,40.76,9.15
104,-18.05,28.75,34.03,26.2
105,-5.14,-25.48,27.94,-12.89
106,-9.22,39.73,26.13,11.1
107,-6.5,79.34,29.26,-10.74
108,-0.62,0.4,40.8,0.21
109,-16.4,-13.84,30.57,-7.11
110,-12.38,14.82,27.61,-0.55
111,-9.29,-0.84,33.11,-3.23
112,-7.37,13.04,52.78,12.23
113,-28.06,4.32,35.57,20.46
114,-15.74,9.31,30.28,13.7
115,0.17,14.17,28.04,-20.78
116,-8.1,40.0,27.75,6.12
117,-20.26,9.21,27.16,-0.41
118,-12.44,19.43,27.54,-3.7
119,-5.68,21.88,53.36,19.57
