,ch1,ch2,ch3,ch4
0,5.48,20.15,34.22,11.94
1,5.64,-2.5,36.04,7.42
2,15.53,63.73,34.21,14.61
3,-20.36,9.28,49.75,29.9
4,-21.45,-14.37,61.03,-2.41
5,0.94,-1.63,19.08,3.31
6,-11.52,60.71,84.28,35.34
7,-22.33,-49.62,27.68,48.12
8,-30.72,-12.61,-20.13,-28.79
9,-25.57,73.25,34.3,3.68
10,8.16,92.33,31.11,5.85
11,-4.35,-2.75,35.02,12.98
12,-35.0,17.24,38.3,16.22
13,-24.01,106.74,40.6,16.31
14,-23.25,-15.9,39.41,5.99
15,22.08,19.94,33.66,5.72
16,-12.07,74.12,45.99,30.76
17,-49.56,-71.83,29.37,1.71
18,24.38,5.69,35.14,17.68
19,-0.69,89.2,38.38,4.43
20,-11.0,-1.89,33.99,-0.61
21,-6.92,-46.15,56.94,33.36
22,-30.78,76.89,21.66,-5.82
23,-23.44,43.84,35.35,-1.42
24,-10.76,-6.66,102.14,23.02
25,19.86,75.14,53.53,55.4
26,-29.86,-11.59,8.06,52.15
27,-21.96,-31.89,-20.66,-23.2
28,3.98,104.08,39.14,-35.87
29,12.13,40.14,39.18,40.22
30,-23.71,-52.05,22.59,0.3
31,7.86,39.64,38.45,6.94
32,-0.18,37.03,30.75,-2.96
33,-10.62,49.91,55.44,35.26
34,-11.34,13.54,26.21,-14.74
35,-20.0,13.5,29.75,29.85
36,-29.32,-18.23,36.45,10.81
37,-13.06,12.75,33.35,5.87
38,-48.3,156.32,36.94,-3.68
39,-14.9,-101.59,80.23,96.67
40,9.82,-3.53,45.22,-29.98
41,-12.18,88.81,4.45,18.9
42,-2.2,83.52,14.02,-0.06
43,-18.24,-27.18,29.65,17.95
44,-48.66,-4.33,34.52,16.99
45,-0.14,48.44,36.02,7.19
46,-34.72,11.55,70.64,12.99
47,10.43,95.18,38.81,8.43
48,13.85,-115.5,9.48,8.58
49,-17.61,121.62,29.75,20.36
50,-17.37,11.34,35.16,2.59
51,-11.1,42.98,44.49,5.36
52,-27.41,81.33,30.94,39.24
53,-23.45,-5.76,42.19,25.51
54,-20.47,-0.42,27.13,4.82
55,-55.43,53.48,101.84,55.73
