,ch1,ch2,ch3,ch4
0,-10.49,-36.24,35.31,-4.61
1,0.4,4.36,41.96,-2.31
2,-9.36,-5.59,128.5,-7.69
3,-15.73,10.25,78.01,-3.01
4,-14.6,9.54,-54.2,-2.68
5,6.85,28.83,38.5,-7.78
6,19.83,61.28,30.77,-1.81
7,-40.51,-24.65,14.65,-6.76
8,-2.76,7.66,17.29,-0.33
9,-13.54,14.9,27.99,-2.87
10,-10.22,16.26,28.97,-2.48
11,42.07,64.08,32.7,-1.39
12,1.56,-48.79,127.29,-7.46
13,-85.17,54.67,55.08,-1.02
14,-17.53,79.24,-26.32,6.14
15,-41.68,-5.82,8.88,4.69
16,-9.83,-35.59,28.38,1.39
17,-24.88,-15.01,102.38,-5.06
18,-10.94,1.96,145.61,-1.4
19,-37.9,37.01,-60.46,2.65
20,-30.02,17.94,-14.12,8.12
21,-9.14,-16.45,17.33,4.52
22,-4.02,63.89,29.41,7.71
23,-30.22,22.15,43.55,-0.02
24,-7.69,39.39,25.66,3.49
25,-17.65,79.42,30.78,7.03
26,-32.83,-78.04,49.9,0.48
27,20.1,33.8,193.19,1.6
28,-99.37,11.49,-79.06,1.53
29,-36.38,30.6,-8.18,14.2
30,-36.13,39.74,16.22,9.56
31,-32.63,17.83,25.79,4.88
32,-29.36,20.35,50.35,5.0
33,-35.98,29.23,159.24,-7.23
34,-35.75,-16.16,-16.31,7.44
35,-32.42,6.21,29.95,21.35
36,-24.43,20.07,-31.31,4.64
37,-23.42,18.57,26.25,12.64
38,-17.67,85.49,22.79,11.51
39,-35.59,-27.04,30.38,9.5
40,-31.41,-3.76,57.87,-1.19
41,-30.36,2.23,97.67,-4.8
42,-32.4,8.73,81.73,12.45
43,-12.45,21.84,-76.79,6.28
44,-15.05,79.25,21.51,13.88
45,-34.79,-41.23,100.56,-3.53
46,25.06,45.19,28.52,9.58
47,-40.14,-89.12,-7.88,3.0
48,-81.52,86.66,9.52,5.26
49,-42.95,69.23,42.82,7.22
50,-45.91,-26.92,74.63,10.11
51,-33.46,-7.79,52.72,-8.98
52,-24.53,24.31,-27.19,5.45
53,-8.34,24.98,25.26,4.65
54,-6.47,-1.11,47.45,3.93
55,-11.18,53.22,114.16,4.33
56,-18.35,34.73,-16.12,18.61
57,-25.82,-8.81,15.53,14.92
58,-43.08,-34.29,24.58,-8.52
59,-2.37,-21.46,50.33,0.82
60,-46.1,-20.92,133.01,6.12
61,-29.63,48.33,-17.18,4.1
62,-27.0,9.73,23.5,7.37
63,-19.05,43.59,10.4,6.77
64,-17.61,52.76,98.29,-12.34
65,80.4,76.38,44.48,12.68
66,-104.2,-99.14,-3.73,13.73
67,-58.04,-6.44,62.33,-7.01
68,-25.63,-3.42,20.08,5.93
69,-26.41,16.72,100.64,2.28
70,-19.37,10.57,-29.78,-2.48
71,-22.48,31.65,2.3,11.42
72,0.33,53.4,28.71,13.01
73,-1.85,-2.92,32.42,0.19
74,-15.19,11.15,40.91,-9.13
75,-13.13,13.82,29.26,-1.71
76,15.09,32.38,43.28,7.29
77,-27.5,45.32,96.16,-0.78
78,76.03,65.72,47.33,5.46
79,-92.08,-31.08,-38.25,3.67
80,-46.84,-15.54,71.09,-10.32
81,-14.63,-22.62,6.12,-4.55
