,ch1,ch2,ch3,ch4
0,-23.4,-13.59,36.04,10.32
1,0.33,2.8,34.22,8.72
2,74.53,31.83,40.06,10.76
3,-36.94,43.68,37.76,13.47
4,9.59,90.74,40.23,14.47
5,-60.21,-8.73,41.7,10.57
6,-30.31,26.44,43.37,18.64
7,7.28,1.99,34.72,8.75
8,42.7,-4.89,39.02,16.44
9,3.29,19.39,35.01,17.55
10,-103.73,-5.75,36.62,17.72
11,5.32,73.51,41.04,21.11
12,-9.16,50.66,37.55,18.13
13,1.4,-3.15,34.48,15.98
14,-72.46,25.6,39.1,22.47
15,-25.62,-23.38,40.72,21.31
16,41.93,92.82,37.46,13.11
17,-21.15,53.89,44.79,16.66
18,-13.36,23.85,41.11,20.35
19,6.38,46.39,43.99,13.03
20,-74.97,-44.66,41.43,13.03
21,-29.29,14.09,43.45,16.94
22,7.46,32.67,46.72,17.27
23,-35.16,38.1,44.91,16.23
24,-14.37,46.09,41.6,15.24
25,-12.53,53.45,42.92,13.16
26,-50.2,-0.4,44.53,17.73
27,49.21,82.2,46.32,24.17
28,-14.36,48.98,39.51,10.65
29,21.76,117.01,39.6,13.59
30,-44.83,-34.25,47.25,24.66
31,-43.37,-19.29,39.4,11.26
32,17.96,42.23,41.49,14.89
33,26.22,79.27,42.07,12.05
34,-46.26,49.02,30.58,6.02
35,-90.98,12.77,40.82,10.22
36,-72.31,22.66,42.99,15.82
37,30.72,48.16,36.08,16.03
38,23.04,103.88,35.87,12.03
39,-14.05,21.47,38.54,10.36
40,-38.75,20.09,40.98,14.91
41,-3.74,125.57,45.58,24.36
42,15.26,66.15,45.39,17.96
43,-92.3,-39.05,34.99,5.62
44,-25.14,18.66,36.34,15.09
45,41.58,61.25,39.47,14.73
46,-6.86,8.31,37.85,12.55
47,-91.15,49.86,42.12,17.6
48,49.63,81.59,40.78,16.29
49,-5.46,28.07,34.47,8.18
50,11.39,34.75,34.28,9.75
51,56.98,53.94,41.06,16.86
52,-84.88,36.62,40.66,15.36
53,-69.04,43.41,43.27,15.36
54,31.16,97.19,42.93,14.56
55,-16.47,10.25,33.41,11.75
56,-17.61,51.07,44.44,16.59
57,-2.6,71.78,41.22,12.87
58,-45.98,30.12,46.11,15.75
59,-28.1,35.3,44.85,13.97
60,-9.14,59.46,36.77,12.02
61,-100.02,21.25,39.84,12.87
62,40.62,65.5,36.49,9.53
63,43.07,70.91,38.55,13.9
64,-9.7,26.19,37.24,14.75
