,ch1,ch2,ch3,ch4
0,180.38,-212.26,28.65,-3.71
1,-46.46,-92.01,35.47,-4.77
2,21.48,51.1,60.78,35.08
3,1.67,-6.98,24.87,-1.93
4,-103.32,313.31,53.86,37.61
5,-148.57,-261.99,36.65,5.38
6,89.26,55.44,31.71,4.69
7,152.56,27.53,43.98,14.93
8,-4.48,-82.38,46.06,13.05
9,-121.78,97.34,51.77,33.03
10,-60.17,46.52,57.89,34.41
11,42.28,-153.88,39.87,10.9
12,-84.55,47.55,52.91,23.91
13,48.57,90.94,35.05,16.89
14,29.59,-85.8,27.55,-4.89
15,-64.65,111.19,46.31,21.96
16,-23.69,42.63,46.75,20.83
17,6.82,99.64,57.89,34.16
18,13.7,-155.74,28.53,-15.27
19,-44.67,-63.61,41.66,10.86
20,50.62,7.61,43.22,33.54
21,-88.07,114.97,35.93,7.52
22,-81.79,-82.74,53.73,32.25
23,52.66,6.53,42.21,20.91
24,31.82,59.79,25.42,1.76
25,55.15,-4.65,36.49,26.26
26,-89.83,51.76,49.69,18.95
27,69.05,109.8,37.38,10.09
28,-107.63,-215.49,38.53,-1.36
29,20.66,134.06,48.35,33.88
30,-18.69,92.41,49.97,26.89
31,24.13,-118.41,22.45,-7.82
32,-81.62,17.35,38.08,19.96
33,26.84,509.94,72.57,63.93
34,-52.92,483.67,32.76,10.4
35,51.45,877.34,11.52,-40.97
36,-29.54,1017.72,40.63,26.9
37,-96.68,1015.09,50.32,30.57
38,87.37,989.14,26.51,-3.46
39,-24.82,1052.63,37.86,18.9
40,-38.08,990.6,44.96,28.17
41,47.36,932.93,43.39,16.56
42,-166.5,1198.7,57.46,46.22
43,113.0,886.0,39.67,17.58
44,50.68,916.83,17.63,-22.44
45,-23.25,972.08,37.13,18.11
46,-277.76,1239.41,76.29,61.86
47,149.92,850.71,32.08,4.31
48,51.77,945.53,38.82,18.81
49,-36.19,1046.88,47.64,17.98
50,4.74,941.31,30.29,-9.14
51,82.92,1015.35,49.57,-0.44
52,-27.5,971.09,36.71,35.04
53,-105.81,898.24,48.06,26.83
54,1.51,965.09,44.88,17.61
55,-0.36,1083.45,55.0,17.44
56,-20.19,986.73,45.5,35.74
57,24.5,1050.82,48.95,-9.77
58,-77.9,1187.35,55.37,25.03
59,0.54,724.16,42.21,14.59
60,25.27,954.31,39.51,-5.95
61,46.25,1028.55,47.77,24.83
62,-85.05,965.35,41.38,22.93
63,-90.76,891.56,39.04,-3.1
64,70.61,1046.91,39.75,1.73
65,79.12,1093.74,52.55,-5.33
66,-51.69,1089.26,68.7,67.74
67,-62.13,835.68,15.4,-40.47
68,-161.05,1050.09,69.92,62.25
69,114.79,854.12,35.32,-2.58
70,106.95,1038.48,25.18,-3.08
71,-49.31,1055.62,45.19,18.93
72,34.69,972.57,57.61,32.58
73,-141.07,937.55,40.16,10.29
74,85.76,1040.48,34.22,5.11
75,105.65,1155.69,46.99,18.3
76,-109.29,718.94,40.98,-0.7
77,-127.61,982.45,51.18,20.49
78,107.84,1010.41,40.21,12.36
79,-86.25,1112.2,41.65,18.37
80,-75.71,987.37,40.96,31.99
81,65.88,887.94,38.5,-8.98
82,73.96,1097.02,45.37,13.53
83,-13.33,987.43,23.75,12.9
84,-91.32,937.25,45.57,17.8
85,-178.95,1145.36,31.4,11.21
86,208.77,891.21,35.72,6.82
87,46.06,735.75,40.95,9.95
88,-120.87,1153.61,47.03,14.56
89,81.05,1001.06,44.84,6.1
90,-24.52,969.56,40.84,11.3
91,-109.27,1056.78,47.38,32.25
92,1.14,810.9,34.56,8.64
93,74.84,1112.86,46.19,35.28
94,27.73,1103.12,31.76,-5.75
95,-83.45,908.22,48.49,4.13
96,-62.4,1211.97,36.42,33.41
97,5.13,631.89,49.53,-2.04
98,102.7,1004.28,13.84,2.76
99,-98.89,1060.15,52.2,53.24
100,88.54,1054.97,39.8,-10.03
101,3.14,1036.58,39.67,40.79
102,-33.55,974.88,35.92,-1.05
103,-16.97,1114.34,43.22,11.72
104,-58.54,705.17,25.94,-16.3
105,-147.03,1220.39,57.23,33.58
106,61.19,921.59,30.55,4.33
107,60.21,810.78,47.89,15.11
108,148.68,977.75,33.78,6.06
109,-48.82,1120.04,37.58,8.65
110,-166.86,959.6,54.91,13.17
111,180.41,1130.76,37.92,1.03
112,-114.92,1009.41,45.3,33.62
113,39.54,820.87,37.34,3.28
114,-152.31,1143.43,38.29,22.46
115,-3.34,929.68,49.65,26.51
116,39.71,849.17,28.51,-16.5
117,100.18,1061.97,37.56,11.24
118,-87.08,933.74,33.88,3.86
119,-69.29,1124.12,49.55,54.83
120,-300.0,1150.53,81.86,54.52
121,376.23,717.67,-7.05,-69.1
122,82.01,999.42,33.96,9.71
123,-47.52,990.38,41.38,21.12
124,-72.73,1021.37,31.34,15.78
125,17.6,1091.41,42.67,18.07
126,-125.68,993.04,48.19,31.63
127,-248.91,998.97,58.28,46.38
128,278.55,874.97,5.75,-34.22
129,71.43,959.11,36.02,9.68
130,45.47,1156.3,45.66,32.05
131,32.85,931.85,24.19,-1.46
132,-305.38,837.11,64.36,50.6
133,-195.56,1069.62,36.7,32.86
134,272.94,1098.85,15.86,-26.09
135,140.44,1152.26,36.31,19.79
136,-94.97,791.89,31.84,6.52
137,4.86,974.0,49.52,22.13
138,10.43,941.16,26.1,-8.06
139,-208.01,907.36,48.79,20.83
140,187.68,1025.09,34.81,20.76
141,-132.48,1044.72,54.49,22.45
142,-91.12,1099.71,48.81,37.66
143,126.85,839.16,11.53,-39.01
144,20.79,1004.37,21.54,-2.02
145,-55.85,965.34,35.18,40.85
146,-10.07,1114.11,50.77,19.34
147,-18.96,923.86,37.59,12.91
148,58.75,1155.07,46.17,34.67
149,-145.45,883.29,38.92,20.46
150,-58.58,831.99,32.14,14.18
151,28.31,937.02,34.69,5.92
152,41.34,1125.68,27.95,11.61
153,26.17,966.0,41.87,21.71
154,-1.69,1006.72,51.8,34.03
155,-8.3,946.84,22.02,-15.46
156,4.79,1027.45,36.4,6.49
157,-73.15,986.12,36.08,18.21
158,10.74,1049.63,43.68,22.95
159,-47.45,1107.88,44.5,23.87
160,-53.24,758.73,38.42,7.38
161,24.59,930.68,43.04,18.98
162,-206.26,1020.46,44.82,21.53
163,79.66,992.04,35.32,6.25
164,145.55,1028.8,35.47,15.33
165,-30.2,936.6,37.17,9.68
166,-105.37,1005.14,40.52,-6.75
167,-4.74,1053.24,45.88,44.96
168,57.68,935.31,28.63,2.99
169,-70.99,1053.71,45.82,15.43
170,24.8,947.07,38.81,12.71
171,-51.37,1089.2,43.66,14.43
172,34.66,910.1,39.83,22.59
173,-29.84,970.48,42.2,7.15
174,-28.5,1057.55,35.04,12.15
175,-143.12,1026.68,46.47,21.03
176,106.03,1348.98,55.31,57.7
177,10.77,689.79,15.66,-29.33
178,52.99,857.33,11.43,-13.78
179,-22.13,977.59,38.78,17.5
180,-36.09,988.13,40.03,16.35
181,0.21,1003.65,33.8,17.55
182,-105.31,1138.81,34.49,19.7
183,1.16,892.17,33.64,13.97
184,42.93,996.06,31.52,19.63
185,-56.82,1002.21,38.4,21.07
186,-149.99,-24.42,48.23,27.79
187,161.62,68.35,21.36,-1.45
188,-24.6,78.23,33.22,0.46
189,-81.81,-48.62,37.2,28.02
190,-80.37,7.32,41.33,27.41
191,22.55,235.44,40.68,30.58
192,81.76,-250.55,26.49,2.26
193,7.64,4.91,36.4,11.42
194,-69.55,105.46,43.87,24.42
195,22.23,-119.99,40.47,20.86
196,-40.71,7.57,40.05,13.29
197,19.06,56.25,23.28,17.77
198,-35.85,29.4,43.99,30.52
199,-30.85,-107.47,35.39,10.66
200,-38.32,96.76,37.4,20.16
201,-54.81,78.73,45.78,32.6
202,-11.74,47.35,32.45,15.96
203,-28.59,38.03,25.99,3.85
204,105.71,-62.37,30.16,10.63
205,7.26,-37.4,31.75,16.58
206,4.62,16.32,37.91,19.14
207,-29.68,47.61,41.39,26.34
208,-74.9,4.5,34.33,17.13
209,-30.74,-28.35,35.21,18.25
210,-53.19,-52.32,36.62,22.8
211,24.75,14.86,33.59,16.06
212,-63.34,-20.72,47.36,29.92
213,122.27,64.12,33.45,16.83
214,-100.56,52.76,25.78,2.16
215,5.0,44.67,41.02,31.97
216,-52.71,-52.85,34.91,7.56
217,-114.09,-57.32,44.97,17.05
218,15.53,103.29,48.24,33.34
219,20.08,34.82,31.26,3.76
220,31.65,-52.19,27.45,1.33
221,-23.84,12.52,35.73,13.86
222,-20.96,40.15,35.61,16.54
223,10.59,11.85,33.3,19.63
224,-4.4,13.67,36.77,32.23
225,20.03,28.65,34.55,58.73
226,157.39,65.87,31.65,15.27
227,-167.12,66.33,40.78,25.8
228,-22.52,-17.71,49.18,77.2
229,-33.89,82.8,58.19,2.63
230,221.42,66.69,113.95,83.95
231,-43.04,164.31,106.85,54.16
232,-48.68,38.64,190.27,153.35
233,-43.54,-10.54,108.65,101.6
234,-62.35,168.9,68.38,256.06
235,64.77,61.28,150.12,-24.89
