,ch1,ch2,ch3,ch4
0,-63.51,-499.65,-104.6,16.74
1,-46.82,-478.02,-104.03,11.96
2,8.27,-484.87,-110.15,12.82
3,3.26,-472.27,-105.53,13.17
4,-14.58,-472.2,-105.99,14.01
5,-4.15,-467.98,-106.41,15.57
6,-55.05,-473.15,-103.8,13.36
7,-23.86,-439.08,-101.26,16.48
8,17.13,-495.05,-90.08,16.92
9,-30.84,-493.85,-99.08,17.14
10,-32.38,-478.27,-101.76,18.71
11,-3.22,-472.0,-101.67,18.44
12,-21.16,-485.69,-100.25,16.57
13,-21.04,-449.16,-97.37,14.07
14,-11.53,-465.4,-108.04,10.55
15,-24.17,-508.97,-105.64,13.9
16,-53.3,-458.49,-102.97,16.12
17,-32.2,-469.53,-98.61,16.53
18,2.89,-482.77,-100.36,11.78
19,-41.52,-491.43,-102.15,12.25
20,2.15,-459.87,-102.87,11.45
21,-13.8,-464.63,-99.48,13.52
22,-26.23,-507.01,-105.87,11.98
23,-26.1,-482.45,-100.4,17.44
24,-14.64,-464.66,-98.81,16.23
25,-5.45,-478.54,-107.18,11.04
26,-27.52,-420.66,-98.43,16.15
27,-35.31,-515.34,-103.91,16.32
28,-6.21,-492.39,-104.23,19.22
29,-20.0,-483.84,-105.6,16.46
30,-25.3,-464.06,-103.88,13.32
31,-28.19,-484.24,-101.74,13.65
32,-15.23,-485.76,-107.37,15.36
33,-9.03,-466.08,-94.11,15.14
34,-20.83,-461.25,-102.55,13.24
35,-55.47,-463.77,-92.13,15.77
36,-61.57,-519.33,-93.29,20.24
37,-17.13,-471.82,-99.8,16.73
38,24.83,-421.09,-103.43,14.47
39,1.0,-504.55,-108.85,14.01
40,-26.36,-491.87,-102.29,22.29
41,-29.19,-484.03,-96.94,19.44
42,-22.2,-483.39,-100.79,14.03
43,-10.39,-457.42,-96.29,13.1
44,-16.19,-461.45,-99.02,17.13
45,-29.23,-486.63,-98.24,14.34
46,-55.47,-466.36,-101.27,13.83
47,-23.02,-460.07,-96.65,16.67
48,-5.68,-494.98,-103.87,15.92
49,-42.9,-495.47,-105.18,15.95
50,2.37,-474.46,-107.41,20.52
51,-12.06,-476.55,-111.28,18.38
52,-15.17,-478.45,-98.57,18.62
53,-22.41,-482.76,-105.0,16.81
54,-67.51,-480.63,-97.95,17.42
55,-62.01,-485.46,-97.38,12.06
56,7.42,-400.74,-109.31,15.23
57,26.31,-435.95,-112.46,15.03
58,-36.79,-544.72,-103.7,20.21
59,-10.75,-498.0,-105.66,14.19
60,-14.0,-462.25,-111.25,17.01
61,-32.56,-472.98,-106.95,15.31
62,-31.79,-484.79,-107.81,18.02
63,-27.93,-476.06,-106.72,19.29
64,-43.1,-490.15,-110.05,18.55
65,-68.75,-443.56,-101.77,17.35
66,43.31,-427.45,-108.44,13.15
67,-1.39,-495.68,-98.56,17.63
68,-11.34,-512.49,-112.26,14.63
69,-22.46,-491.48,-105.21,18.97
70,-23.02,-481.51,-99.99,17.41
71,-35.39,-478.9,-96.08,16.94
72,-31.98,-470.75,-101.41,19.13
73,-24.52,-467.22,-100.18,19.97
74,-32.01,-492.37,-98.15,17.26
75,-32.87,-485.12,-105.2,14.53
76,-18.14,-487.28,-101.71,11.55
77,-12.7,-475.52,-107.43,12.57
78,-13.5,-474.31,-106.12,12.72
79,-38.89,-490.18,-103.93,17.38
80,-10.75,-475.65,-107.65,12.47
81,-19.99,-473.49,-106.11,17.04
82,-92.2,-474.55,-103.04,18.98
83,-58.3,-477.48,-105.2,20.37
84,46.23,-481.07,-112.3,24.75
85,-14.14,-479.64,-109.77,25.52
86,-26.27,-474.59,-104.99,18.8
87,-18.63,-446.65,-103.94,20.24
88,-7.05,-491.64,-105.47,15.5
89,-22.87,-475.36,-104.15,20.02
90,-65.34,-444.83,-105.3,18.37
91,26.14,-466.6,-106.79,15.55
92,-3.23,-474.68,-102.14,21.17
93,-20.13,-484.49,-108.58,21.47
94,-29.4,-513.15,-107.04,20.75
95,-25.21,-498.97,-103.54,20.05
96,-15.75,-488.18,-110.88,21.63
97,-50.92,-481.9,-105.46,25.6
98,-33.42,-484.46,-99.77,21.15
99,-22.76,-482.53,-109.26,18.53
100,-9.97,-471.8,-107.15,20.79
101,-11.54,-466.45,-109.81,21.35
102,-22.51,-488.8,-107.19,24.12
103,-5.69,-482.2,-101.92,20.92
104,-38.01,-489.41,-95.8,18.76
105,-43.76,-450.52,-99.68,19.31
106,-30.35,-454.44,-100.73,16.73
107,-8.36,-454.01,-109.22,11.63
108,-27.48,-521.67,-104.2,14.77
109,-12.41,-458.86,-102.86,14.09
110,-6.01,-485.24,-101.77,15.28
111,-21.9,-490.94,-99.72,11.81
112,-25.27,-482.47,-105.29,18.31
113,-23.62,-481.64,-100.35,16.0
114,-36.65,-480.01,-100.19,17.02
115,-30.18,-483.03,-104.13,15.78
116,-65.25,-446.96,-106.46,16.84
117,-0.19,-480.29,-107.87,16.47
118,16.95,-482.3,-104.79,12.72
119,-36.42,-474.35,-97.35,13.12
120,21.41,-477.52,-105.61,12.26
121,-5.56,-432.95,-102.63,13.41
122,-5.47,-478.76,-104.75,17.11
123,-24.77,-511.38,-97.59,18.37
124,-31.65,-486.84,-96.8,16.06
125,-23.8,-459.45,-104.82,11.39
126,-66.81,-482.34,-106.56,13.33
127,24.37,-470.06,-106.2,14.55
128,-5.66,-501.94,-109.34,11.01
129,-27.02,-485.57,-107.02,11.7
130,-40.15,-483.31,-102.04,12.32
131,-6.79,-457.53,-104.77,9.57
132,-14.1,-488.7,-102.42,11.59
133,-24.56,-442.43,-100.12,13.65
134,-23.14,-435.27,-100.5,15.06
135,-28.22,-503.3,-108.24,15.24
136,-60.4,-490.02,-103.13,14.33
137,-22.99,-478.29,-110.73,15.63
138,-17.87,-490.31,-104.78,12.11
139,7.09,-489.63,-105.16,14.76
140,-21.37,-474.92,-99.7,15.0
141,-26.3,-469.11,-103.33,13.91
142,-67.73,-486.91,-107.37,14.15
143,9.13,-473.14,-106.55,18.01
144,-20.6,-471.47,-105.76,15.33
145,-20.13,-476.75,-107.15,13.65
146,-24.91,-465.46,-103.94,14.62
147,-43.82,-483.22,-103.38,15.62
148,-67.92,-487.93,-105.86,14.99
149,18.27,-443.83,-99.2,15.12
150,-0.5,-473.49,-106.17,16.4
151,-15.82,-478.54,-96.91,16.86
152,-17.17,-477.94,-100.39,14.71
153,-24.99,-459.71,-98.9,14.83
154,-56.47,-490.45,-96.11,14.54
155,-18.65,-465.92,-98.76,17.89
156,-20.09,-469.27,-99.13,15.04
157,-22.23,-453.4,-93.61,18.81
158,-14.83,-436.66,-99.39,15.07
159,-40.24,-517.89,-99.2,22.65
160,1.53,-481.33,-99.3,22.09
161,-26.81,-485.06,-103.84,21.64
162,-22.45,-436.92,-103.99,20.43
163,-16.63,-468.91,-96.7,20.8
164,-34.95,-500.02,-96.58,27.83
165,-2.8,-468.76,-104.95,17.55
166,-14.48,-462.77,-100.45,22.27
167,-21.58,-481.6,-98.36,22.06
168,-24.79,-487.5,-100.12,27.77
169,-25.76,-482.02,-105.99,18.82
170,-23.12,-473.73,-103.69,17.63
171,-29.54,-474.69,-96.66,20.88
172,-22.17,-469.96,-96.59,23.25
173,-48.16,-483.57,-95.56,23.61
174,-37.82,-436.74,-88.46,21.86
175,-16.91,-452.48,-98.68,15.34
176,-50.34,-490.73,-96.93,19.38
177,35.36,-502.49,-104.36,17.67
178,0.98,-447.67,-104.36,16.99
179,-37.6,-477.49,-98.19,19.52
180,-6.77,-501.02,-101.44,19.08
181,-19.19,-486.27,-95.71,17.77
182,-29.62,-489.16,-96.66,20.31
183,-33.26,-484.87,-98.73,18.33
184,-22.66,-454.8,-104.25,14.55
185,-16.65,-467.5,-101.37,13.99
