,ch1,ch2,ch3,ch4
0,-25.56,-317.24,-331.58,-120.83
1,-9.72,-497.84,-36.65,17.8
2,12.12,-383.28,-9.66,87.77
3,2.4,-615.22,-63.93,20.01
4,-5.11,-584.76,-98.66,31.25
5,-20.2,-516.71,-96.35,15.88
6,-31.15,-491.35,-95.8,11.61
7,-36.33,-489.96,-94.0,5.19
8,-168.02,-426.64,-147.46,-0.7
9,-103.15,-472.81,-277.24,-51.98
10,191.2,-494.59,-128.06,-97.97
11,40.37,-392.67,62.26,80.4
12,9.64,-342.11,-157.57,-22.52
13,-48.7,-618.91,-55.54,44.19
14,-30.48,-514.86,-71.19,41.35
15,-31.88,-488.46,-92.84,17.35
16,-40.17,-471.49,-94.42,6.63
17,-18.01,-470.21,-102.22,4.95
18,-7.2,-371.21,-108.72,-11.39
19,-18.11,-232.83,-195.32,-38.14
20,-117.36,-544.12,-316.88,-32.28
21,-3.89,-601.42,22.99,-43.44
22,37.57,-499.24,12.85,56.02
23,-47.95,-502.85,-108.63,13.87
24,6.75,-540.43,-158.17,24.47
25,-4.34,-474.75,-61.21,16.66
26,-31.55,-480.87,-64.04,6.35
27,-21.33,-418.56,-95.09,7.81
28,-14.24,-493.42,-107.11,1.37
29,-34.37,-512.53,-101.36,6.15
30,-70.71,-462.15,-96.87,5.04
31,-178.36,-341.93,-101.49,10.42
32,-7.44,-408.93,-234.46,-47.88
33,158.78,-413.69,-344.34,-168.21
34,52.07,-502.72,85.77,107.98
35,-29.52,-631.01,-7.29,63.44
36,-44.03,-517.51,-75.46,39.07
37,-24.16,-488.63,-89.33,-6.88
38,-30.84,-464.48,-96.84,17.75
39,-26.89,-461.96,-100.7,9.79
40,-25.2,-467.72,-100.6,7.82
41,-24.46,-475.6,-97.84,8.38
42,-22.88,-470.7,-101.25,2.46
43,-34.93,-469.45,-100.05,3.67
44,-38.73,-468.86,-98.99,3.88
45,-74.47,-383.04,-93.3,7.78
46,-5.94,-412.64,-104.12,-5.72
47,-33.41,-358.33,-283.36,-74.43
48,67.94,-552.75,-110.14,12.18
49,-56.64,-515.83,-73.18,-66.62
50,-39.64,-388.5,-75.19,30.6
51,25.43,-495.27,-108.19,28.0
52,42.39,-415.44,-151.48,28.87
53,-16.37,-518.51,-177.13,-34.97
54,-42.14,-561.02,76.43,60.67
55,-11.95,-513.63,-134.41,15.19
56,-3.94,-436.62,-86.48,13.18
57,-49.48,-445.98,-83.34,11.56
58,10.57,-494.58,-79.04,-30.22
59,-48.04,-525.97,-114.57,-0.2
60,-90.02,-487.57,-89.31,67.41
61,-4.43,-500.18,-163.07,-1.31
62,3.09,-498.87,-166.56,-36.89
63,-23.8,-389.36,-43.78,9.85
64,18.26,-515.9,-74.59,35.16
65,-10.81,-469.55,-165.92,-51.1
66,-37.08,-440.36,-127.93,-21.14
67,-117.78,-447.32,-165.79,-10.45
68,44.49,-489.53,-70.34,30.51
69,-30.47,-333.14,-2.31,9.5
70,-52.64,-471.04,-125.29,17.82
71,78.3,-594.36,-121.62,-29.33
72,-17.74,-448.81,-156.77,-30.2
73,-26.3,-510.54,-63.78,60.23
74,-65.79,-434.84,-106.68,-27.41
75,-15.24,-401.46,-176.94,10.89
76,-109.45,-519.85,-0.84,20.54
77,52.44,-553.57,-102.96,-44.25
78,-53.22,-530.93,-147.89,40.99
79,15.25,-449.89,-38.27,42.94
80,25.2,-450.4,-82.98,-14.97
81,-19.22,-513.59,-141.11,34.0
82,-5.72,-366.09,-118.89,17.73
83,-152.37,-312.37,-227.77,-63.86
84,65.76,-632.14,-2.01,-41.32
85,-1.83,-471.24,-68.07,57.18
86,-98.83,-458.94,-242.14,21.98
87,-33.32,-459.51,-20.71,29.86
88,58.13,-531.09,-56.89,2.34
89,-98.98,-539.81,-175.84,-64.14
90,30.27,-464.45,29.02,-9.96
91,40.21,-395.67,-150.93,31.54
92,-50.08,-501.84,-94.99,9.47
93,-8.56,-564.61,-76.66,8.24
94,-22.18,-465.45,-89.51,18.82
95,-57.03,-433.77,-128.54,32.49
96,-8.75,-503.81,-211.29,9.92
97,-27.06,-485.98,-120.1,-27.44
98,9.08,-419.44,24.23,35.94
99,-84.16,-515.12,-155.74,4.75
100,-71.98,-487.52,-137.57,-29.41
101,21.76,-402.06,-160.66,-80.57
102,58.96,-534.68,-12.17,85.48
103,-8.63,-485.34,-60.27,27.25
104,-50.22,-525.64,-77.94,24.28
105,-43.33,-480.6,-88.05,-10.77
106,30.48,-354.5,-104.32,-17.86
107,-96.91,-447.06,-131.98,16.16
108,-75.49,-519.63,-265.93,-72.94
109,104.67,-459.32,45.35,56.66
110,4.67,-448.23,-69.78,19.63
111,-49.17,-566.83,-88.33,-4.86
112,-37.52,-480.34,-150.51,13.9
113,-38.04,-431.24,-132.26,15.68
114,24.51,-540.06,-87.41,-12.47
115,-28.64,-491.06,-38.42,-37.74
116,1.68,-410.34,-142.92,8.38
117,-51.95,-461.3,-148.82,-10.84
118,-0.84,-537.52,-97.18,-19.66
119,-12.62,-434.22,-159.37,27.47
120,-19.67,-512.26,51.73,53.11
121,-26.25,-481.22,-110.0,15.49
122,-25.73,-494.36,-113.59,29.2
123,-97.9,-469.35,-197.62,7.88
124,-111.9,-347.26,4.3,-36.96
125,52.47,-398.16,-80.9,42.38
126,79.94,-491.41,-98.68,16.7
