,ch1,ch2,ch3,ch4
0,2.9,-372.68,-138.41,11.98
1,-14.55,-513.33,-112.57,-1.73
2,-19.32,-568.58,-10.24,39.13
3,-18.32,-519.79,-20.77,6.68
4,-21.78,-494.83,-84.56,-29.98
5,-11.81,-491.27,-162.45,27.74
6,-25.21,-463.74,-117.67,11.0
7,-6.72,-450.72,-67.87,12.78
8,-12.81,-496.26,-69.93,19.9
9,1.75,-474.05,-92.15,-0.44
10,-19.55,-492.4,-172.22,1.01
11,5.83,-461.94,-102.05,6.03
12,-8.05,-487.85,-32.88,2.65
13,-24.16,-489.06,-82.61,1.48
14,-1.2,-427.89,-161.2,-17.31
15,-8.51,-497.1,-115.68,-33.54
16,-15.29,-492.18,-95.23,40.25
17,-8.02,-409.43,-69.89,-2.98
18,-23.91,-507.01,-79.93,4.99
19,-9.03,-518.87,-42.48,4.74
20,-6.53,-491.01,-80.0,19.56
21,-9.61,-479.95,-187.33,-13.57
22,-17.72,-475.48,-112.58,-47.19
23,-7.81,-478.34,-52.18,-24.9
24,-12.25,-443.67,-64.92,59.91
25,-19.78,-500.34,-120.17,-12.13
26,-24.44,-484.51,-144.84,28.42
27,2.77,-385.77,-137.09,-6.29
28,-16.76,-418.77,-103.99,13.27
29,-28.98,-561.28,-94.64,-8.78
30,-24.32,-509.25,-27.73,11.51
31,-2.03,-503.95,-130.1,-7.85
32,-13.57,-498.18,-136.28,19.05
33,-8.95,-447.91,-122.35,-8.85
34,-23.32,-487.78,99.75,12.09
35,-13.66,-429.91,-230.76,-40.19
36,-12.69,-480.99,-154.1,52.83
37,-29.01,-518.58,-171.14,-13.85
38,-13.21,-485.36,-108.52,-20.38
39,-6.66,-492.82,7.87,20.49
40,-25.61,-472.65,-26.07,51.06
41,3.01,-331.03,-145.41,-20.6
42,-16.79,-542.57,-172.66,31.52
43,-27.4,-539.62,-188.28,-38.5
44,-10.57,-491.85,-89.78,-77.49
45,-23.88,-493.05,-26.85,27.41
46,-9.4,-409.73,-135.05,5.17
47,-28.63,-470.65,-48.02,48.56
48,-18.95,-522.94,-159.77,20.57
49,-30.75,-497.32,-111.16,17.98
