,ch1,ch2,ch3,ch4
0,-21.64,-524.35,-101.17,28.15
1,-23.65,-497.67,-95.81,21.87
2,-26.22,-488.04,-84.62,22.85
3,-13.36,-481.56,-122.03,1.24
4,-17.78,-524.87,-82.69,31.69
5,-5.55,-471.34,-134.89,7.64
6,-27.86,-474.2,-165.94,51.87
7,-19.73,-389.87,-103.71,79.25
8,-31.65,-497.82,-68.2,-13.45
9,-22.36,-494.05,-92.1,17.1
10,-23.69,-485.07,-128.34,-25.73
11,-12.04,-450.53,-85.03,-10.69
12,-26.47,-540.42,-90.08,72.05
13,-1.49,-486.04,-106.93,38.09
14,1.97,-409.1,-148.06,31.04
15,-10.33,-419.36,-94.35,31.94
16,-30.65,-545.63,-104.33,-45.4
17,-9.68,-452.27,-103.87,47.41
18,-10.14,-411.2,-102.98,38.47
19,-17.99,-529.47,-80.26,8.17
20,-24.8,-495.51,-116.68,31.81
21,-14.62,-493.31,-86.85,29.3
22,-24.04,-511.67,-96.68,27.49
23,-25.71,-495.46,-108.7,24.21
24,-30.32,-583.97,-70.75,67.08
25,-16.12,-450.01,-113.92,34.7
26,-3.87,-451.27,-95.48,-17.75
27,-0.43,-425.16,-229.49,-30.65
28,-18.89,-451.36,-48.71,36.11
29,-21.35,-446.9,-98.82,17.19
30,-23.57,-521.46,-88.86,35.96
31,-15.02,-487.27,-98.7,20.6
32,6.65,-474.85,-111.81,12.27
33,-11.69,-412.7,-187.0,-28.54
34,-32.9,-533.75,-86.78,82.68
35,-16.12,-508.99,-71.02,-18.88
36,9.87,-374.81,-107.97,25.47
37,-29.13,-538.6,-118.42,36.67
38,-33.76,-516.65,-67.74,8.76
39,-18.96,-505.69,-87.62,17.58
40,-12.34,-467.74,-96.15,13.29
41,-12.15,-466.36,-103.47,-1.66
42,-20.71,-487.64,-92.27,4.04
43,-33.21,-525.92,-88.44,62.47
44,-26.95,-594.11,-99.15,36.99
45,4.53,-408.37,-103.81,-11.47
46,-8.38,-384.01,-119.71,-7.62
47,-15.85,-425.66,-96.94,15.49
48,-17.47,-542.12,-95.13,2.04
49,-3.43,-423.4,-106.05,-12.35
50,-11.43,-424.17,-107.78,-24.64
51,-39.6,-567.56,-122.03,50.55
52,-10.65,-512.04,-83.13,4.51
53,-23.5,-510.83,-96.38,47.75
54,-5.02,-457.97,-103.58,-67.6
55,-25.96,-468.46,-97.79,46.58
56,-23.15,-468.71,-106.88,46.05
57,-27.56,-542.11,-88.69,8.46
58,-24.48,-575.82,-107.49,-7.59
59,-33.8,-486.9,-99.94,27.17
60,-6.59,-395.86,-96.13,34.82
61,-16.04,-471.44,-101.05,20.17
62,-17.12,-455.34,-105.41,17.86
63,-16.65,-444.58,-111.9,27.94
64,-33.12,-472.74,-84.42,-9.51
65,-31.17,-488.62,-104.13,15.04
66,-13.26,-471.52,-124.47,42.16
67,-16.16,-460.45,-107.04,-20.21
68,-23.89,-528.29,-88.07,44.7
69,-17.01,-472.52,-103.14,33.07
70,-19.97,-530.32,-101.23,-12.75
71,-42.4,-536.09,-79.76,32.78
72,-14.63,-451.14,-230.32,-113.02
73,-29.47,-441.99,-21.46,95.89
74,-19.57,-426.63,-102.69,2.39
75,-9.23,-416.41,-94.98,32.51
76,-27.66,-524.9,-95.15,21.32
77,-16.7,-470.63,-121.04,2.95
78,-30.38,-515.25,-81.69,30.12
79,-19.07,-409.16,-100.84,8.39
80,-24.2,-442.52,-105.23,33.14
81,-31.93,-526.68,-87.96,48.44
82,-39.77,-545.3,-100.97,4.93
83,-14.46,-452.34,-97.88,16.55
84,-18.46,-478.64,-95.68,17.55
85,-38.29,-581.61,-100.09,24.21
86,-38.56,-556.16,-92.47,19.46
87,-5.0,-396.98,-101.8,20.31
88,-16.57,-434.61,-102.57,24.6
89,-17.94,-475.6,-104.61,22.23
90,-20.4,-477.99,-100.16,29.34
91,-19.36,-479.41,-107.62,27.71
92,-25.0,-506.98,-107.05,23.21
93,-29.21,-464.59,-113.09,20.1
94,-20.83,-474.75,-102.19,24.76
95,-29.5,-481.01,-101.92,21.29
96,-16.23,-490.64,-103.8,21.71
97,-9.48,-473.28,-106.12,26.48
98,-29.16,-482.42,-101.32,19.81
99,-34.44,-497.01,-106.07,21.82
100,-92.39,-486.85,-102.5,24.52
101,-83.59,-464.82,-99.49,25.86
102,69.93,-478.57,-106.84,23.01
103,13.56,-479.37,-105.91,23.98
104,-13.39,-484.58,-106.41,24.71
105,-11.85,-499.67,-104.87,23.68
106,-16.53,-535.73,-107.34,23.78
107,-23.56,-484.61,-105.12,25.71
108,5.42,-474.01,-112.13,25.6
109,-9.99,-492.17,-107.56,20.93
110,-23.36,-487.05,-105.66,15.97
111,-15.64,-476.84,-103.7,21.94
112,-42.48,-474.21,-111.36,23.92
113,-16.58,-461.04,-110.02,23.39
114,-4.18,-437.65,-114.41,23.8
115,-124.47,-633.29,-113.03,20.9
116,-3.64,-469.2,-118.5,12.64
117,28.09,-348.28,-112.94,13.79
118,21.89,-450.15,-112.44,12.0
119,-39.95,-419.11,-112.74,10.44
120,-15.89,-471.5,-116.35,9.4
121,-17.69,-464.75,-115.44,6.31
122,-65.8,-471.56,-108.25,6.12
123,1.61,-473.37,-116.81,4.54
124,11.63,-448.18,-116.29,2.69
125,-46.0,-476.71,-116.85,1.64
126,-54.05,-494.9,-109.78,11.1
127,7.36,-489.78,-114.69,0.54
128,-46.71,-451.21,-116.49,-0.99
129,-39.0,-456.59,-110.48,4.35
130,31.51,-483.71,-118.5,-4.55
131,-36.13,-558.09,-106.87,-8.15
132,-70.38,-456.78,-112.18,-2.54
133,-49.03,-362.11,-110.04,-1.94
134,-158.53,-485.75,-120.23,-6.78
135,-20.29,-390.58,-126.79,-23.95
136,22.89,-494.69,-121.5,-7.84
137,57.84,-581.21,-124.1,-2.24
138,43.75,-416.03,-119.86,-7.21
139,-11.05,-464.14,-117.1,-15.46
140,-11.65,-492.93,-115.95,-15.59
141,-0.04,-465.02,-114.03,-10.64
142,-18.45,-477.6,-120.35,-25.81
143,-22.73,-495.08,-115.44,-17.0
144,-15.19,-497.19,-117.38,-12.2
145,-27.53,-446.99,-112.53,-16.48
146,-32.3,-469.77,-118.11,-19.48
147,-9.55,-446.22,-115.79,-17.99
148,-21.4,-440.82,-118.94,-13.41
149,-37.38,-478.77,-114.22,-18.21
150,-10.4,-466.93,-120.73,-21.69
151,-42.17,-438.34,-114.6,-14.59
152,-101.63,-517.17,-111.23,-16.71
153,0.18,-516.37,-114.14,-23.27
154,-14.79,-409.34,-113.91,-14.49
155,9.83,-434.02,-117.39,-14.04
156,-12.92,-423.3,-114.97,-14.1
157,-41.76,-473.37,-121.18,-16.04
158,4.51,-478.03,-126.44,-21.82
159,5.48,-448.49,-124.98,-17.33
160,-24.34,-420.61,-117.05,-15.36
161,-15.07,-456.95,-114.11,-18.76
162,-30.01,-464.82,-117.07,-24.27
163,-24.54,-496.44,-113.75,-24.14
164,-0.31,-383.24,-120.86,-33.19
165,7.26,-366.63,-113.25,-20.19
166,-31.06,-537.47,-107.58,-7.67
167,-67.47,-535.27,-115.95,-27.0
168,18.15,-314.85,-120.94,-37.69
169,-13.61,-491.58,-112.6,-15.6
170,-91.26,-544.95,-104.26,-8.67
171,-19.34,-554.88,-114.44,-17.37
172,20.9,-539.21,-122.47,-24.11
173,-14.24,-513.32,-123.01,-30.52
174,-73.33,-499.48,-115.48,-24.96
175,-18.59,-512.53,-119.02,-25.82
176,16.26,-504.35,-128.9,-35.46
177,-42.97,-485.88,-116.36,-24.88
178,-8.45,-479.15,-118.92,-27.88
179,-20.48,-464.63,-119.35,-26.45
180,-28.12,-445.41,-127.72,-23.32
181,-18.22,-423.67,-119.83,-23.64
182,-28.13,-422.85,-116.3,-22.71
183,-27.64,-433.21,-113.71,-15.93
184,-14.51,-417.58,-118.37,-25.84
185,-92.56,-472.59,-116.65,-21.76
186,30.09,-480.17,-118.7,-25.74
187,10.47,-354.45,-109.13,-21.5
188,-12.7,-407.61,-105.67,-25.96
189,-78.2,-447.15,-102.74,-28.86
190,-12.86,-471.05,-112.05,-24.74
191,10.39,-443.77,-117.43,-22.2
192,3.33,-463.5,-109.48,-28.02
193,-15.98,-428.15,-108.88,-30.76
194,-69.12,-398.6,-107.33,-36.48
195,-67.25,-492.43,-115.17,-41.16
196,36.23,-495.05,-119.08,-31.97
197,-25.72,-463.7,-103.69,-19.93
198,-27.38,-472.22,-113.12,-30.58
199,-9.75,-472.84,-110.03,-31.19
200,-46.79,-512.76,-108.25,-28.89
201,-48.72,-488.69,-107.0,-28.72
202,-36.84,-483.35,-106.08,-27.76
203,-108.78,-494.48,-109.99,-28.64
204,18.4,-455.62,-113.61,-38.36
205,-0.54,-482.42,-110.46,-44.58
206,-64.59,-476.0,-107.25,-26.82
207,-51.16,-435.43,-101.37,-39.18
208,-8.79,-453.35,-113.29,-56.12
209,-23.82,-433.39,-123.26,-74.58
210,38.98,-405.07,-122.62,-77.56
211,-47.09,-439.71,-92.26,-5.41
212,-12.13,-424.97,-100.74,-6.02
213,-17.94,-343.71,-106.06,-34.29
214,12.56,-380.68,-101.22,-18.8
215,-27.65,-437.62,-99.95,-11.73
216,-84.02,-545.57,-103.57,-18.92
217,-12.8,-482.75,-101.77,-27.64
218,3.3,-466.6,-106.64,-36.86
219,-15.51,-482.33,-104.6,-42.7
220,-24.86,-469.41,-97.94,-10.89
221,-62.27,-467.07,-99.9,-6.53
222,-3.54,-467.32,-99.49,-13.35
223,-9.8,-459.24,-102.01,-32.59
224,-31.58,-446.7,-102.33,-31.89
225,-27.11,-451.33,-92.01,-9.65
226,-32.93,-474.22,-101.38,-16.6
227,-15.61,-478.71,-99.74,-18.51
228,-40.81,-464.27,-99.76,-22.91
229,-33.97,-480.74,-94.96,-23.31
230,-34.54,-437.96,-92.1,-23.55
231,-57.17,-469.98,-87.78,-22.29
232,-33.63,-475.78,-90.64,-24.92
233,-12.77,-438.41,-92.91,-20.95
234,-35.51,-453.36,-91.18,-25.39
235,-49.8,-358.6,-89.79,-25.57
236,9.1,-424.23,-93.31,-21.37
237,-1.19,-358.78,-106.47,-25.71
238,-46.23,-500.45,-87.4,-17.07
239,-111.63,-479.69,-91.35,-22.14
240,21.58,-465.97,-89.78,-16.15
241,-22.48,-481.98,-87.52,-16.27
242,-49.43,-474.58,-94.66,-15.18
243,-34.83,-461.78,-87.18,-15.47
244,-52.0,-468.8,-90.97,-15.83
