,ch1,ch2,ch3,ch4
0,-50.19,-499.27,-63.48,32.17
1,-21.55,-458.14,-109.0,17.64
2,10.15,-413.39,-122.32,4.25
3,15.87,-384.37,-92.41,8.13
4,-34.34,-505.98,-100.17,25.64
5,-58.88,-435.54,-137.98,14.85
6,37.63,-358.07,-83.71,0.26
7,-15.69,-507.03,-96.42,29.4
8,-34.47,-584.86,-93.51,46.47
9,-31.46,-550.65,-106.88,19.84
10,-31.99,-553.84,-104.31,28.64
11,-25.03,-513.58,-98.88,22.59
12,-19.11,-501.18,-103.62,23.04
13,-12.44,-480.15,-99.85,20.32
14,-14.54,-446.71,-98.41,14.58
15,50.05,-186.51,-114.73,-27.24
16,44.23,-371.13,-228.0,-42.42
17,-125.57,-646.45,-217.42,43.55
18,-75.07,-618.01,-72.96,41.18
19,-28.43,-499.29,11.11,36.8
20,-0.52,-482.48,-45.23,33.06
21,4.03,-472.69,-96.34,23.39
22,-20.36,-462.65,-93.06,13.69
23,-20.98,-446.47,-93.18,20.48
24,-16.5,-478.48,-100.16,19.94
25,-21.97,-489.83,-101.45,14.12
26,-17.07,-473.11,-99.18,14.19
27,-31.42,-475.62,-100.02,14.03
28,-5.92,-488.62,-100.61,14.09
29,-14.58,-476.73,-98.08,24.54
30,-38.95,-470.51,-104.84,14.2
31,1.02,-367.63,-161.66,1.96
32,71.55,-192.97,-214.64,-62.69
33,-58.99,-680.51,-2.58,67.85
34,-60.55,-618.01,-88.21,41.86
35,-15.97,-525.21,-110.32,14.84
36,0.19,-434.28,-139.24,-0.41
37,-2.32,-442.67,-67.02,22.26
38,-40.28,-447.39,-94.13,14.19
39,-15.54,-391.67,-113.41,-4.63
40,30.98,-309.13,-103.0,-14.82
41,-2.79,-496.15,-129.99,4.34
42,-71.62,-714.37,-86.05,55.41
43,-36.34,-544.81,-78.0,33.54
44,-18.11,-495.56,-95.82,13.92
45,-18.48,-498.19,-95.91,17.28
46,-18.45,-473.95,-92.96,13.9
47,-5.48,-456.47,-227.99,-5.78
48,-27.65,-487.75,-294.42,-32.48
49,-68.54,-465.15,20.75,34.97
50,23.74,-319.42,-9.71,6.06
51,23.74,-399.98,-113.02,2.39
52,-17.14,-496.75,-124.44,13.1
53,-21.92,-422.63,-80.57,21.38
54,-11.97,-454.65,-86.87,16.46
55,-30.56,-513.16,-122.76,30.99
56,-39.91,-556.53,-142.54,-1.88
57,-41.19,-437.46,-59.23,20.26
58,56.61,-276.22,-169.07,-57.39
59,0.9,-439.33,-63.04,32.46
60,-38.87,-596.38,-86.88,32.22
61,-64.41,-683.24,-154.08,39.28
62,-22.74,-511.29,-110.04,20.82
63,-42.25,-483.03,-41.35,29.77
64,-35.18,-535.48,-86.23,26.42
65,-1.38,-488.32,-106.48,19.46
66,-14.65,-470.08,-223.74,-11.58
67,-20.42,-462.19,-69.61,28.18
68,-13.11,-455.15,-144.44,3.46
69,-23.89,-492.63,-90.02,11.9
70,-34.8,-435.15,-22.1,31.63
71,-2.18,-405.12,-148.69,-29.34
72,-29.19,-475.99,-155.25,30.32
73,-11.95,-446.82,-89.05,18.68
74,-9.77,-470.64,-21.87,32.25
75,0.8,-470.55,-109.24,7.6
76,-37.17,-483.65,-107.68,21.43
77,-43.05,-472.52,-79.84,27.01
78,-7.5,-455.71,-88.05,18.87
79,7.96,-463.81,-95.45,15.38
80,-6.08,-436.95,-105.46,8.49
81,-42.86,-555.26,-126.33,33.02
82,-51.91,-452.69,-114.87,17.53
83,-19.54,-404.57,-113.55,11.35
84,10.91,-486.22,-74.36,27.84
85,-30.01,-527.04,-133.62,6.15
86,-12.22,-512.52,-92.02,19.21
87,-14.6,-522.38,-83.89,34.83
88,-12.6,-497.25,-97.27,19.25
89,-41.11,-542.55,-94.53,34.91
90,-38.19,-529.32,-91.39,28.65
91,-23.99,-493.14,-141.23,9.34
92,-27.08,-443.13,-176.62,-3.84
93,-37.12,-372.78,-86.7,19.36
94,17.52,-435.61,-50.13,17.74
95,48.76,-272.26,-99.78,9.79
96,-40.79,-535.53,-80.72,34.27
97,-65.89,-664.11,-57.5,38.91
98,-32.2,-504.39,-123.49,24.58
99,-23.02,-477.57,-141.96,9.66
100,-28.56,-514.93,-87.36,27.52
101,-31.83,-491.08,-85.29,18.7
102,-25.25,-478.33,-80.83,22.44
103,-19.04,-463.65,-100.16,19.02
104,-12.15,-447.94,-218.85,-11.68
105,40.45,-190.9,-308.86,-51.85
106,-14.22,-297.92,51.33,-7.86
107,-61.38,-643.63,-32.72,62.31
108,-40.94,-590.33,-79.74,58.86
109,-2.11,-565.79,-86.6,45.82
110,-25.05,-520.41,-95.11,25.72
111,-21.85,-491.0,-116.57,17.47
112,-33.05,-494.7,-88.02,18.26
113,-28.08,-516.42,-97.66,17.03
114,-19.02,-495.61,-128.32,17.69
115,5.98,-469.25,-70.17,21.62
116,-7.57,-450.31,-78.75,28.64
117,-15.12,-394.97,-93.45,21.82
118,-32.42,-460.19,-104.67,23.8
119,-28.78,-534.32,-150.63,9.53
120,-19.2,-503.81,-64.3,33.53
121,-21.28,-481.98,-91.59,25.59
122,-6.48,-470.14,-132.07,10.0
123,8.01,-376.29,-84.13,10.44
124,-14.39,-431.84,-79.56,17.96
125,-54.79,-529.28,-92.08,30.9
126,-53.65,-452.17,-95.25,28.37
127,-8.46,-513.84,-96.25,22.53
128,3.68,-509.46,-100.16,12.79
129,1.57,-442.88,-98.16,19.3
130,3.44,-424.53,-96.81,10.52
131,-26.84,-505.53,-87.31,26.52
132,-34.28,-491.32,-92.19,30.12
133,-34.62,-554.24,-85.87,25.93
134,-39.08,-503.59,-100.04,23.64
135,-8.49,-495.64,-92.36,21.69
136,-25.5,-487.13,-96.38,27.37
137,-3.8,-467.76,-97.73,24.58
138,0.79,-422.36,-98.29,22.77
139,-31.05,-507.62,-102.61,18.17
140,-36.91,-471.51,-92.59,24.33
141,-33.39,-371.93,-92.15,27.33
142,-6.24,-499.62,-88.86,31.19
143,-46.64,-553.73,-91.66,18.15
144,-17.83,-505.28,-95.12,18.24
145,-7.44,-457.92,-96.54,15.4
146,-0.5,-450.52,-89.91,26.38
147,-47.38,-435.41,-92.02,19.17
148,-68.56,-543.82,-93.26,24.7
149,16.41,-406.76,-100.33,9.34
150,-54.41,-529.44,-89.19,14.49
151,-74.85,-504.46,-94.09,24.68
152,57.63,-387.0,-92.1,23.51
153,-8.25,-440.34,-94.2,14.53
154,-92.09,-590.98,-93.16,21.51
155,12.43,-360.5,-91.47,18.63
156,-69.97,-324.26,-85.97,23.88
157,1.91,-379.66,-91.41,22.27
158,21.43,-520.81,-91.9,16.83
159,-21.06,-444.7,-80.28,32.51
160,-20.61,-381.07,-83.99,23.61
161,-56.03,-328.94,-83.44,10.87
162,17.81,-467.64,-81.21,26.37
163,15.12,-440.15,-86.4,18.96
164,0.21,-493.55,-83.02,11.23
165,-8.84,-491.04,-94.34,5.66
166,-90.86,-461.22,-83.76,17.73
167,10.04,-346.89,-70.35,22.27
168,-18.33,-603.21,-84.66,12.55
169,-8.25,-433.56,-81.06,17.1
170,16.33,-332.0,-82.52,28.34
171,-46.87,-432.17,-74.48,29.97
172,-33.17,-518.01,-77.52,24.7
173,-38.42,-495.52,-74.17,18.85
174,-24.38,-579.2,-84.87,3.0
175,-119.06,-419.0,-79.01,14.74
176,11.86,-507.6,-77.66,32.65
177,-19.01,-441.53,-72.96,22.87
178,-41.22,-538.58,-79.39,17.2
179,47.68,-421.9,-76.4,20.45
180,-4.88,-546.82,-70.86,29.34
181,-72.37,-590.78,-78.5,24.34
182,-10.24,-391.38,-68.86,28.15
183,-18.84,-642.4,-76.71,20.0
184,-24.49,-441.5,-69.43,21.98
185,6.21,-533.88,-81.66,10.54
186,-24.99,-534.78,-81.81,19.48
187,-77.2,-458.34,-77.25,23.48
188,-66.16,-547.43,-73.9,20.89
189,9.05,-647.19,-75.45,27.87
190,-90.89,-260.53,-65.35,29.74
191,-17.28,-628.71,-80.36,23.38
192,1.37,-417.15,-70.76,28.82
193,8.82,-373.8,-83.38,16.46
194,54.59,-518.93,-64.63,34.56
195,-23.08,-599.67,-79.04,24.01
196,-84.66,-865.12,-87.05,12.51
197,20.77,-362.68,-76.39,33.93
198,-38.82,-533.64,-83.71,15.02
199,-44.59,-236.0,-71.61,17.56
200,-43.37,-526.48,-70.12,43.91
201,-71.59,-655.57,-84.71,21.15
202,46.13,-434.73,-84.85,27.03
203,-46.99,-334.62,-76.57,37.77
204,12.62,-614.99,-77.48,36.83
205,26.61,-476.3,-81.01,22.92
206,-36.09,-298.95,-90.81,9.12
207,-51.23,-723.16,-84.19,34.83
208,16.57,-266.63,-87.56,22.55
209,-3.76,-471.93,-83.77,40.2
210,18.36,-228.48,-95.05,13.64
211,-125.63,-531.52,-75.79,48.27
212,114.71,-224.33,-98.39,5.05
213,-28.46,-797.31,-89.04,39.66
214,-102.87,-494.36,-91.18,26.68
215,31.92,-486.12,-80.45,38.89
216,46.97,-144.17,-90.15,39.02
217,-92.71,-642.58,-89.66,21.19
218,-142.95,-715.38,-114.65,-5.53
219,93.27,-244.07,-88.01,38.09
220,-28.11,-547.51,-85.11,25.83
221,-244.26,-406.17,-91.06,20.1
222,181.64,-502.73,-95.85,32.16
223,18.41,-607.1,-94.05,23.18
224,9.43,-29.34,-107.42,0.28
225,0.39,-645.93,-90.38,44.32
226,-32.03,-573.34,-91.32,43.65
227,-69.98,-429.03,-99.78,9.55
228,-54.12,-580.04,-103.15,21.95
229,18.11,-563.15,-92.99,46.31
230,2.86,-272.6,-89.46,42.03
231,-11.89,-211.73,-98.8,33.02
232,10.66,-295.76,-111.16,14.61
233,83.51,-347.21,-121.41,7.54
234,-84.17,-465.8,-96.22,43.03
235,42.34,-574.77,-95.21,37.77
236,-46.57,-276.08,-120.26,4.19
237,156.17,-339.62,-102.16,35.23
238,-46.4,-377.92,-112.3,19.42
239,-75.57,-403.73,-106.98,28.34
240,-76.07,-465.32,-102.49,25.44
241,136.09,-93.77,-116.96,14.5
242,29.61,-145.94,-111.33,24.74
243,-0.85,-571.1,-101.74,40.9
244,-59.59,-528.46,-129.08,12.33
245,4.73,-408.04,-106.81,56.31
246,-121.18,-711.59,-133.09,11.66
247,143.21,180.9,-131.26,20.87
248,-136.1,126.0,-110.71,59.94
249,-23.74,586.78,-101.45,58.62
250,49.77,738.52,-124.27,19.19
251,-21.53,315.86,-114.27,52.4
252,-40.19,449.83,-107.4,49.28
253,-128.73,511.23,-113.5,36.09
254,43.26,721.96,-113.97,35.21
255,-115.22,386.62,-111.51,45.83
256,98.57,494.01,-111.8,43.29
257,-82.05,316.32,-133.02,11.33
258,100.66,847.47,-126.1,33.83
