,ch1,ch2,ch3,ch4
0,-12.81,-491.67,-98.68,30.57
1,-28.17,-446.13,-92.96,38.1
2,20.8,-182.78,-99.49,21.51
3,60.59,-529.81,-98.28,1.22
4,-12.07,-595.75,-96.58,14.51
5,-42.12,-551.35,-100.59,-23.53
6,-37.45,-542.01,-91.95,7.65
7,-48.61,-530.29,-87.17,19.92
8,-12.0,-444.17,-83.31,27.39
9,-5.96,-432.67,-97.33,19.71
10,-32.49,-473.97,-92.12,19.86
11,-11.25,-436.83,-97.13,0.01
12,-17.1,-429.02,-84.43,31.86
13,-39.08,-579.58,-83.91,24.7
14,-48.48,-514.98,-82.8,29.38
15,-88.3,-484.21,-88.99,17.45
16,36.76,-477.25,-95.68,13.56
17,26.97,-484.06,-97.5,11.03
18,40.78,-347.67,-95.18,12.03
19,-21.21,-496.42,-87.35,16.99
20,-33.93,-538.81,-101.58,15.04
21,-25.33,-481.29,-97.66,15.56
22,7.82,-438.45,-89.99,26.66
23,-26.09,-450.94,-95.39,13.9
24,-14.51,-435.03,-102.4,13.46
25,-37.32,-513.9,-98.94,11.01
26,31.28,-322.06,-95.17,7.02
27,-5.04,-447.05,-101.89,-0.97
28,-63.07,-656.16,-94.9,14.97
29,-4.11,-541.61,-78.65,24.26
30,-43.46,-500.82,-95.92,11.97
31,-21.24,-372.49,-106.93,7.9
32,5.55,-415.35,-103.59,5.28
33,-22.61,-661.56,-102.93,4.94
34,1.3,-450.59,-104.3,-5.45
35,-34.76,-509.6,-85.55,10.43
36,-16.42,-533.79,-97.08,1.62
37,-26.21,-516.41,-84.71,9.82
38,4.04,-513.11,-97.68,-0.3
39,-39.57,-487.25,-91.61,-11.49
40,-24.99,-502.08,-89.21,9.18
41,-14.95,-491.53,-87.91,14.77
42,20.85,-435.33,-90.53,18.16
43,4.78,-426.28,-89.96,22.01
44,-61.18,-530.92,-83.88,-15.15
45,-16.22,-398.13,-85.19,27.99
46,6.74,-442.93,-75.22,19.12
47,-65.9,-469.82,-92.57,5.84
48,-0.79,-439.13,-89.09,12.49
49,4.53,-545.46,-95.56,3.64
50,-7.38,-522.63,-95.05,7.03
51,-56.99,-549.69,-92.3,2.89
52,-58.57,-469.67,-87.7,10.92
53,24.45,-466.5,-93.95,8.06
54,14.87,-457.96,-95.0,8.81
55,-12.08,-474.23,-94.28,3.83
56,-2.55,-471.94,-91.49,-10.14
57,-23.94,-537.23,-93.77,20.12
58,-29.77,-445.73,-90.71,24.76
59,32.68,-405.58,-90.69,20.5
60,-8.99,-508.96,-87.93,18.15
61,-31.72,-568.38,-90.87,17.03
62,-14.04,-499.95,-89.96,25.46
63,-27.52,-412.55,-88.66,7.78
64,-16.66,-536.13,-100.44,7.8
65,-26.69,-481.07,-103.43,14.75
66,-45.76,-510.55,-88.14,52.98
67,-34.83,-593.68,-95.42,2.4
68,-8.78,-485.23,-101.62,-8.04
69,15.45,-259.53,-89.84,-0.21
70,-22.51,-126.75,-94.23,22.95
71,-12.7,-736.83,-99.22,14.31
72,9.73,-580.94,-90.38,21.42
73,-24.61,-453.75,-92.48,2.09
74,-13.49,-554.74,-101.21,6.72
75,26.79,-403.93,-89.61,45.6
76,-35.91,-534.39,-73.72,34.32
77,-34.56,-522.12,-89.19,15.17
78,-31.89,-508.66,-85.57,11.63
79,-29.46,-523.27,-88.32,16.92
80,-25.23,-512.79,-94.55,19.25
81,-45.66,-527.46,-93.43,16.36
82,-36.51,-479.03,-89.17,2.9
83,-1.73,-478.86,-92.81,-4.8
84,-9.88,-491.45,-91.57,40.2
85,-25.94,-458.54,-80.12,16.17
86,-1.7,-246.23,-97.56,7.43
87,-13.94,-528.98,-97.05,20.48
88,-39.8,-615.69,-82.27,27.6
89,-81.93,-580.48,-96.77,5.78
90,17.86,-491.4,-97.01,10.79
91,8.81,-369.8,-90.91,7.72
92,-62.53,-567.83,-85.25,20.61
93,-27.51,-475.1,-89.53,20.2
94,14.22,-492.23,-95.78,15.96
95,-0.58,-417.79,-91.75,13.45
96,-43.31,-559.33,-88.41,15.45
97,-35.2,-520.21,-90.26,18.14
98,-3.15,-364.91,-89.46,34.15
99,-36.8,-578.28,-94.28,21.02
100,-21.04,-458.17,-96.73,5.59
101,-41.83,-535.52,-96.69,18.94
102,-21.68,-411.02,-97.39,19.97
103,11.15,-368.55,-95.71,12.56
104,-24.36,-519.49,-98.85,22.31
105,-10.73,-536.75,-98.68,20.58
106,-42.35,-463.57,-94.81,17.11
107,-27.37,-513.15,-99.04,14.53
108,-10.29,-538.07,-96.35,15.13
109,-5.58,-457.46,-92.98,11.51
110,-17.65,-542.82,-100.03,14.28
111,-32.06,-520.49,-98.53,16.71
112,-20.81,-422.49,-97.79,13.96
113,-9.69,-459.6,-98.81,12.98
114,-23.2,-421.05,-93.29,14.96
115,-13.06,-444.63,-97.03,7.03
116,-24.74,-562.66,-99.04,12.13
117,-34.17,-556.04,-89.33,18.8
118,-38.62,-523.06,-90.79,22.22
119,-14.78,-495.98,-93.53,12.91
120,-17.66,-506.32,-99.54,7.97
121,-17.23,-516.62,-95.71,28.25
122,-30.12,-508.65,-90.05,19.17
123,-18.69,-492.79,-91.67,5.45
124,-5.98,-489.82,-104.45,-5.93
125,-25.08,-522.35,-88.26,26.38
126,-24.4,-489.49,-87.69,26.73
127,-5.98,-485.25,-103.11,-4.14
128,-24.55,-536.33,-93.35,17.79
129,-11.33,-421.64,-91.8,18.67
130,-7.09,-466.04,-94.96,4.51
131,-26.98,-520.57,-84.61,50.24
132,-16.44,-477.46,-87.18,27.07
133,-12.35,-503.16,-101.23,5.0
134,-19.79,-415.14,-90.26,19.45
135,-34.58,-532.62,-90.23,33.15
136,-11.86,-411.04,-96.02,23.63
137,-12.21,-559.7,-102.32,-1.06
138,-1.66,-448.62,-100.18,3.31
139,2.64,-400.78,-102.6,12.29
140,-18.45,-507.8,-106.9,1.39
141,-39.7,-579.98,-100.0,14.77
142,-26.19,-440.98,-103.17,-3.46
143,6.01,-446.82,-111.27,-22.68
144,-39.91,-435.45,-75.22,71.51
145,-8.99,-485.31,-88.88,32.09
146,-24.07,-500.92,-96.84,18.9
147,-46.4,-503.18,-91.22,37.52
148,-70.04,-499.26,-95.51,17.34
149,18.23,-502.15,-94.54,23.33
150,-4.3,-394.0,-96.0,28.5
151,-40.68,-587.25,-91.01,29.72
152,0.53,-271.08,-92.54,15.57
153,-18.99,-584.76,-108.38,-16.36
154,2.91,-478.8,-106.63,0.62
