,ch1,ch2,ch3,ch4
0,21.58,-577.52,-101.56,21.52
1,-14.29,-539.72,-97.86,13.51
2,-41.04,-526.89,-100.73,15.69
3,-21.06,-429.73,-103.95,17.71
4,-25.92,-605.41,-107.89,10.97
5,-164.95,-334.3,-112.01,-6.39
6,93.86,-396.21,-98.65,25.28
7,40.76,-553.34,-92.16,33.98
8,-17.92,-484.62,-99.83,17.04
9,-16.22,-603.83,-105.6,17.39
10,-31.04,-261.36,-100.85,14.33
11,-11.65,-662.5,-95.96,20.05
12,-91.93,-468.79,-91.61,20.1
13,-88.18,-537.52,-120.49,-22.18
14,-60.56,-347.56,-84.85,57.5
15,116.56,-538.58,-97.55,37.6
16,4.39,-427.35,-99.17,20.72
17,-3.41,-511.8,-100.6,15.03
18,-17.31,-507.47,-96.32,13.13
19,-25.95,-537.92,-98.73,18.15
20,-18.8,-501.1,-97.14,20.12
21,-51.49,-481.91,-101.7,11.84
22,-151.88,-329.46,-118.13,-17.94
23,-6.84,-241.14,-107.56,23.66
24,146.81,-701.36,-98.23,44.85
25,-28.14,-546.74,-92.1,28.86
26,-5.57,-556.77,-99.91,19.64
27,6.42,-409.43,-100.5,15.71
28,-6.55,-542.75,-103.27,14.22
29,-37.73,-514.0,-102.2,16.45
30,-70.61,-498.55,-98.5,15.85
31,-72.42,-483.68,-102.28,13.47
32,-202.39,-457.32,-115.83,-2.79
33,108.24,-88.53,-99.42,19.31
34,60.59,-591.57,-93.42,29.72
35,64.3,-599.44,-101.34,25.97
36,-57.44,-612.46,-97.87,19.93
37,7.46,-449.68,-102.53,19.86
38,-49.08,-522.4,-96.38,18.94
39,-38.73,-535.24,-101.71,15.56
40,-50.51,-412.31,-106.36,-2.51
41,25.61,-474.16,-113.62,-1.9
42,-12.06,-443.35,-98.65,27.02
43,9.65,-443.98,-88.48,39.74
44,21.98,-329.14,-98.3,14.61
45,-60.96,-685.72,-93.49,29.81
46,-94.24,-531.84,-98.75,22.09
47,-112.15,-477.8,-96.48,9.99
48,65.39,-463.66,-107.07,6.43
49,24.83,-491.59,-89.52,29.32
50,-88.62,-534.34,-110.11,7.91
51,0.35,-441.74,-102.99,16.3
52,17.96,-390.35,-99.54,28.46
53,21.16,-434.88,-87.54,30.91
54,-33.44,-618.41,-99.97,14.36
55,-145.66,-361.45,-92.66,16.1
56,30.81,-592.49,-114.26,-0.62
57,110.46,-298.66,-105.75,19.5
58,-32.6,-603.59,-93.09,30.45
59,-2.97,-569.79,-104.49,9.3
60,-44.04,-421.57,-97.6,11.58
61,-21.33,-543.38,-104.53,3.51
62,-30.32,-455.74,-101.28,18.99
63,0.81,-472.88,-104.53,6.8
64,-63.84,-506.86,-106.28,10.19
65,-122.74,-485.32,-97.75,19.7
66,40.83,-360.52,-99.38,8.7
67,4.22,-418.69,-98.53,19.8
68,14.32,-487.28,-107.15,12.44
69,-14.82,-664.43,-100.24,11.79
70,-22.38,-560.96,-105.11,10.3
71,-16.45,-390.61,-80.05,33.57
72,-113.31,-485.45,-89.27,20.9
73,76.8,-466.57,-109.54,11.78
74,-95.91,-485.49,-99.16,19.28
75,22.99,-399.2,-109.23,-1.28
76,-14.78,-267.89,-86.2,18.17
77,-4.63,-642.74,-101.39,12.33
78,-122.42,-533.87,-92.38,25.84
79,88.14,-523.82,-95.72,29.68
80,12.66,-392.95,-93.14,20.13
81,19.38,-541.58,-94.72,10.19
82,-36.09,-478.56,-96.83,21.63
83,-24.71,-493.73,-92.37,24.88
84,-46.98,-468.53,-89.14,27.8
85,-14.91,-514.64,-100.41,19.95
86,5.22,-534.99,-90.03,11.31
87,-29.35,-436.96,-90.03,23.27
88,-6.94,-351.23,-99.02,11.89
89,-85.12,-474.94,-97.24,17.37
90,12.92,-617.86,-105.94,4.67
91,-31.98,-501.4,-89.71,29.28
92,-33.88,-428.75,-93.2,26.51
93,-102.47,-453.03,-100.52,23.81
94,98.2,-574.66,-107.77,10.94
95,34.71,-328.25,-97.33,23.77
96,-66.77,-512.9,-87.81,22.31
97,-37.63,-538.87,-91.46,16.95
98,-22.2,-420.01,-99.62,8.94
99,13.26,-544.45,-98.16,30.17
100,-11.36,-433.56,-85.11,33.87
101,-3.65,-503.12,-91.77,14.43
102,-34.3,-536.12,-84.51,23.27
103,2.39,-488.39,-104.16,14.7
104,-28.7,-464.15,-97.82,7.97
105,-50.29,-528.01,-99.56,11.07
106,-113.37,-423.6,-95.36,22.26
107,-21.15,-408.88,-99.11,16.31
108,102.46,-459.69,-102.57,7.78
109,-17.06,-474.15,-90.44,14.87
