,ch1,ch2,ch3,ch4
0,-0.5,-522.87,-163.86,-4.57
1,-15.97,-521.35,-159.47,-0.46
2,-17.44,-508.93,-161.74,0.37
3,-14.27,-501.0,-163.08,0.68
4,-14.65,-507.49,-167.79,-1.04
5,-13.35,-508.17,-160.4,3.83
6,-78.98,-495.41,-154.05,8.61
7,5.31,-506.75,-156.68,0.9
8,9.7,-473.3,-155.87,0.2
9,-10.53,-454.59,-164.69,1.26
10,-30.6,-502.91,-166.21,-2.26
11,3.98,-541.11,-161.4,-0.01
12,11.9,-529.04,-162.33,8.47
13,-7.54,-521.02,-164.43,10.59
14,-12.68,-512.2,-172.29,4.39
15,-8.8,-499.27,-166.04,0.24
16,-12.63,-504.6,-164.86,1.72
17,-18.31,-514.38,-160.06,6.88
18,-14.03,-511.92,-163.41,6.14
19,-20.15,-502.62,-167.58,4.26
20,-55.92,-472.19,-171.74,3.57
21,-23.73,-473.1,-167.46,-5.23
22,46.2,-486.64,-176.6,-1.34
23,-45.4,-548.96,-174.57,5.22
24,24.73,-516.47,-169.84,-3.38
25,14.34,-513.46,-169.1,-2.76
26,-4.04,-516.21,-170.0,-7.43
27,-11.26,-512.24,-162.71,-0.86
28,-19.84,-508.64,-159.72,4.61
29,-25.72,-493.8,-165.12,0.87
30,1.73,-518.5,-165.05,-2.96
31,-4.46,-517.06,-170.56,6.03
32,-12.05,-514.21,-163.69,4.45
33,-31.36,-496.14,-163.5,8.46
34,-10.97,-513.51,-164.77,1.56
35,0.71,-514.31,-165.72,-1.25
36,-9.76,-498.28,-164.08,2.44
37,-21.2,-504.75,-158.37,2.48
38,-19.97,-501.25,-163.41,-1.3
39,29.8,-491.89,-169.76,-8.53
40,-16.46,-497.52,-165.05,-1.41
41,-13.7,-509.22,-167.7,-0.9
42,-8.59,-520.86,-167.86,1.36
43,-4.55,-513.41,-158.32,-0.92
44,-18.18,-515.66,-160.69,0.89
45,-16.29,-510.48,-157.14,5.02
46,-97.13,-485.21,-156.88,0.47
47,18.36,-456.58,-159.93,-0.82
48,50.95,-479.84,-160.66,-2.97
49,4.7,-518.8,-161.45,-1.52
50,-15.71,-509.53,-156.98,7.71
51,-4.21,-524.61,-159.41,4.73
52,-3.55,-526.1,-163.61,6.97
53,-2.57,-505.56,-161.45,2.78
54,-8.95,-514.72,-158.18,2.03
55,-11.09,-504.46,-156.17,5.93
56,-8.39,-506.74,-154.19,-1.76
57,-38.9,-461.3,-158.68,-2.06
58,23.19,-480.68,-163.73,-8.7
59,3.15,-508.75,-163.37,-12.16
60,-7.55,-523.49,-154.01,-11.93
61,-2.29,-536.34,-155.37,-3.0
62,-10.71,-520.82,-153.78,0.03
63,-11.83,-512.39,-154.03,2.19
64,-14.04,-512.99,-158.7,-1.01
65,-26.87,-514.64,-157.21,-0.02
66,-69.52,-502.11,-157.64,-1.96
67,-22.62,-464.34,-159.35,1.87
68,55.91,-488.63,-158.03,-8.93
69,15.21,-508.32,-150.08,-0.51
70,-15.0,-502.02,-151.21,2.83
71,-34.78,-528.54,-151.26,2.41
72,28.42,-498.75,-151.05,-0.69
73,-7.82,-487.05,-148.65,-2.58
74,-1.3,-531.18,-153.78,-1.59
75,1.35,-514.42,-154.8,-5.21
76,-17.14,-479.04,-154.96,-2.63
77,-4.88,-506.84,-158.88,-6.5
78,-15.16,-508.7,-154.58,2.79
79,8.66,-501.53,-150.7,6.37
80,-22.98,-488.26,-157.55,1.11
81,11.56,-496.71,-156.48,5.7
82,-5.6,-514.59,-151.6,7.89
83,-12.31,-508.71,-153.83,0.42
84,-13.82,-505.03,-148.89,3.49
85,-26.86,-511.87,-148.78,2.3
86,-40.64,-509.52,-145.93,10.07
87,9.19,-484.73,-147.87,8.54
88,-0.95,-516.52,-149.69,7.12
89,-15.35,-519.03,-145.04,3.93
90,-39.03,-492.17,-149.64,-1.04
91,26.11,-511.38,-153.79,-1.14
92,-15.57,-491.44,-148.7,0.99
93,-27.56,-490.26,-150.96,2.93
94,16.38,-502.74,-154.61,6.2
95,8.03,-489.42,-155.75,-0.05
96,-25.0,-517.94,-147.08,6.86
97,20.1,-520.42,-153.53,8.3
98,5.49,-498.93,-152.06,4.25
99,-20.03,-503.19,-155.78,6.53
100,-49.62,-500.21,-154.14,6.43
101,20.83,-515.81,-153.65,1.32
102,6.63,-487.56,-153.5,5.52
103,-16.37,-494.61,-152.46,18.7
104,-8.12,-534.11,-149.07,7.63
105,-20.46,-511.34,-149.76,4.62
106,-19.45,-500.29,-150.56,11.29
107,-22.27,-510.55,-149.14,5.33
108,-8.37,-502.36,-152.87,8.52
109,19.14,-466.1,-150.15,4.78
110,-44.86,-505.35,-153.55,2.32
111,12.48,-494.54,-159.52,-9.1
112,5.84,-481.93,-156.97,-11.77
113,6.5,-481.17,-153.68,-2.27
114,-17.3,-542.22,-153.22,3.9
115,-5.84,-514.6,-162.53,5.0
116,-17.67,-493.94,-158.44,-4.99
117,-25.6,-515.32,-159.25,-3.25
118,-20.51,-509.6,-158.25,3.35
119,26.16,-498.95,-167.37,-5.32
120,-16.3,-502.05,-157.53,4.13
121,6.5,-482.04,-151.73,-1.12
122,-27.37,-495.51,-145.58,7.96
123,-2.16,-464.73,-152.47,-1.48
124,23.44,-502.82,-151.97,0.25
125,-7.69,-526.7,-148.37,8.16
126,-1.87,-502.04,-154.92,12.17
127,-15.89,-507.22,-159.07,7.03
128,0.59,-487.46,-153.31,10.55
129,-46.74,-504.14,-155.02,7.11
130,11.64,-504.25,-156.26,4.6
131,-7.87,-484.86,-149.24,2.85
132,-3.54,-481.61,-153.4,-0.8
133,-11.21,-485.62,-147.81,1.43
134,-22.18,-519.95,-147.23,0.96
135,-66.85,-522.08,-147.48,4.87
136,21.6,-507.75,-154.79,-5.15
137,3.98,-500.73,-146.86,-2.53
138,-53.78,-505.36,-147.62,1.24
139,11.97,-499.98,-141.52,5.39
140,22.13,-483.87,-149.76,0.61
141,-7.06,-507.95,-148.46,4.58
142,1.24,-495.04,-149.37,6.26
143,-11.03,-498.91,-143.23,6.33
144,-55.65,-510.84,-150.4,4.04
145,28.28,-490.3,-149.62,-0.9
146,-4.5,-511.24,-145.2,6.79
147,-11.83,-508.15,-142.8,8.97
148,-8.44,-503.0,-151.7,13.4
149,-16.55,-485.04,-149.53,9.99
150,-35.85,-486.45,-152.48,10.01
151,-23.57,-514.76,-151.0,16.99
152,-24.03,-508.18,-146.68,13.21
153,35.3,-497.49,-144.84,9.05
154,-7.95,-510.32,-149.55,10.74
155,-30.29,-501.36,-146.99,12.52
156,9.53,-493.01,-145.8,13.96
157,-4.12,-494.6,-151.59,8.39
158,-35.03,-490.49,-151.84,0.29
159,32.95,-444.19,-150.65,3.59
160,-2.43,-512.9,-144.94,11.24
161,-36.39,-503.11,-149.18,11.37
162,21.03,-513.39,-154.77,4.96
163,-14.33,-507.72,-149.8,8.49
164,-38.89,-500.41,-154.52,10.45
165,28.69,-524.67,-154.08,8.68
166,-5.82,-500.83,-149.62,6.71
167,-29.6,-484.13,-147.79,8.58
168,6.57,-516.09,-148.08,14.1
169,-10.23,-497.56,-145.76,6.96
170,-11.4,-513.62,-148.46,8.41
171,-11.05,-508.06,-151.17,6.81
172,-28.87,-497.89,-147.8,12.91
173,-29.48,-496.82,-152.91,12.31
174,-31.32,-498.27,-158.21,17.5
175,4.97,-500.45,-156.81,14.36
176,-11.16,-494.88,-159.41,8.94
177,-24.08,-480.69,-155.0,5.94
178,2.97,-479.7,-151.72,12.2
179,3.19,-510.44,-149.89,11.48
180,11.97,-494.11,-150.28,6.55
181,-6.24,-464.85,-149.61,3.34
182,-11.05,-518.76,-148.94,12.4
183,-18.33,-517.15,-146.43,8.66
184,-15.57,-506.86,-151.12,3.95
185,-28.22,-486.41,-146.43,3.98
186,4.31,-471.55,-154.97,-2.58
187,2.82,-534.56,-148.87,23.91
188,-21.25,-516.6,-153.44,18.03
189,-41.42,-500.55,-151.66,9.19
190,22.9,-498.58,-151.88,4.04
191,0.89,-477.75,-148.66,6.49
192,-17.44,-520.4,-157.11,5.78
193,5.08,-500.85,-158.28,0.22
194,-11.39,-501.43,-155.99,-3.61
195,-6.52,-498.77,-157.68,-1.69
196,-5.9,-491.12,-159.95,3.84
197,-13.51,-475.1,-153.94,4.77
198,-55.74,-512.25,-151.36,6.36
199,-5.32,-491.8,-149.65,6.87
200,34.36,-481.4,-153.39,-2.93
201,-31.53,-518.78,-147.29,-0.83
202,9.01,-486.63,-149.54,4.53
203,5.9,-479.08,-153.19,5.62
204,4.12,-519.2,-153.77,11.01
205,-25.16,-517.1,-154.03,10.38
206,-10.12,-501.86,-146.97,4.79
207,-62.19,-483.75,-152.21,9.16
208,56.41,-478.75,-158.96,5.67
209,-11.61,-523.67,-163.72,6.98
210,-19.79,-497.34,-162.16,1.8
211,-2.03,-502.63,-161.2,5.68
212,-8.09,-491.72,-154.18,8.61
213,-13.15,-499.77,-156.48,9.63
214,-7.11,-508.74,-157.98,17.86
215,-13.89,-504.67,-150.73,14.25
216,-15.0,-482.21,-156.44,12.38
217,-50.43,-500.5,-157.87,5.75
218,-13.59,-497.49,-152.72,16.59
219,32.46,-453.45,-154.07,18.38
220,-24.92,-466.79,-162.41,7.88
221,-36.73,-532.87,-148.64,17.64
222,36.48,-503.66,-155.82,7.44
223,11.56,-492.28,-150.47,10.38
224,-7.29,-508.28,-157.02,18.18
225,-23.31,-513.3,-148.6,17.05
226,-15.26,-482.12,-148.8,10.86
227,14.48,-482.75,-151.73,13.04
228,-23.76,-529.32,-153.54,12.73
229,-8.28,-507.2,-154.46,16.12
230,0.18,-498.35,-162.83,10.57
231,-22.44,-512.59,-152.63,14.95
232,-17.9,-502.57,-150.77,15.4
233,-6.0,-498.72,-153.06,11.85
234,-13.54,-503.95,-151.91,10.55
235,-26.0,-502.19,-154.38,12.23
236,-75.11,-477.49,-154.69,14.46
237,20.94,-506.2,-151.95,16.1
238,26.25,-510.59,-154.72,12.12
239,-2.55,-495.94,-150.38,7.93
240,-19.45,-501.66,-152.35,10.08
241,7.71,-501.71,-158.92,13.53
242,4.43,-493.9,-153.9,9.47
243,-5.31,-474.7,-152.47,8.97
244,-6.8,-461.12,-146.24,15.98
245,-27.99,-523.53,-160.27,12.6
246,-1.05,-503.12,-155.43,14.26
247,-16.66,-514.08,-154.89,11.57
248,-44.24,-497.62,-152.38,14.8
249,-1.81,-486.99,-150.64,7.2
250,16.92,-507.43,-147.49,18.69
251,-33.65,-501.25,-159.57,15.11
252,-63.98,-504.54,-152.78,14.25
253,38.25,-480.08,-152.73,7.07
254,-26.11,-496.25,-157.86,18.61
255,42.16,-496.32,-163.7,15.86
256,-1.18,-497.68,-156.06,18.25
257,-12.69,-505.66,-157.28,15.6
258,-17.86,-501.43,-153.09,15.59
259,-23.32,-475.31,-152.23,16.22
260,-27.28,-459.6,-152.31,14.62
261,4.0,-537.21,-151.09,12.32
262,-0.3,-503.15,-143.69,12.77
263,-11.17,-493.69,-144.34,13.1
264,-17.75,-503.89,-154.2,17.19
265,-13.98,-477.3,-148.65,14.41
266,-31.85,-457.72,-154.11,7.11
267,-7.02,-480.7,-167.58,-0.75
268,8.55,-486.82,-157.97,-2.16
269,-0.78,-523.93,-139.9,11.89
270,-27.29,-508.03,-150.06,6.76
271,-10.08,-499.13,-147.7,4.06
272,-2.25,-493.15,-172.87,1.3
273,-15.01,-484.28,-166.78,-3.04
274,-0.8,-486.82,-134.11,1.97
275,-6.7,-491.85,-168.01,0.91
276,-13.82,-500.76,-254.14,-44.42
277,-32.82,-507.11,-153.68,-3.87
278,1.25,-499.7,-100.48,22.97
279,-11.14,-485.68,-131.74,6.49
280,-8.07,-497.51,-187.48,-20.3
281,-17.2,-510.32,-184.49,-16.28
282,-6.53,-470.9,-129.96,5.01
283,7.27,-467.24,-151.98,2.15
284,-1.9,-489.7,-248.29,-16.98
285,-8.43,-458.42,-179.04,-4.84
286,-7.54,-461.89,-121.78,-8.33
287,-22.7,-476.45,-111.19,8.39
288,-26.73,-538.51,-163.2,32.4
289,-0.39,-470.14,-226.27,-18.81
290,-14.55,-503.51,-110.66,7.59
291,4.13,-493.38,-120.17,22.01
292,-7.23,-478.53,-245.18,-23.88
293,4.43,-479.11,-228.49,-40.56
294,-16.83,-523.16,-94.27,13.77
295,-8.56,-484.91,-117.34,20.42
296,13.84,-442.04,-149.72,-2.79
297,4.31,-433.96,-185.83,-28.29
298,-28.02,-553.92,-167.32,5.33
299,-13.52,-464.47,-133.32,-4.53
300,-4.15,-382.77,-170.5,-32.72
301,-12.26,-524.8,-262.45,-38.75
302,-30.67,-576.62,-156.71,19.58
303,-35.44,-460.77,-155.93,-15.25
304,4.45,-326.63,-188.81,-39.45
305,-35.18,-536.38,-104.98,9.79
306,31.03,-549.58,-127.7,16.32
307,-8.45,-434.46,-187.18,-5.68
308,40.99,-435.31,-150.8,-7.0
309,-29.98,-511.89,-248.01,-17.96
310,-43.07,-545.81,-258.88,-21.4
311,-37.57,-540.45,-321.27,-61.01
312,-95.69,-574.96,-182.34,-6.67
313,-4.17,-485.57,-103.64,12.47
314,20.13,-509.78,-218.09,-11.78
315,1.88,-515.55,-252.57,-13.22
316,-5.71,-481.6,-143.09,-28.89
317,-4.8,-417.84,-135.35,-17.93
318,-42.53,-555.94,-61.49,43.04
319,-45.74,-542.9,-122.06,33.17
320,-13.18,-488.94,-166.31,-3.58
321,-36.19,-531.38,-96.01,12.01
322,1.34,-417.74,-143.9,-21.83
323,-61.01,-601.4,-127.61,27.21
324,-58.73,-532.64,-176.05,-7.7
325,-4.6,-509.52,-189.91,-11.29
326,-0.49,-486.97,-134.16,13.08
327,-2.86,-480.37,-245.49,-23.76
328,0.44,-508.78,-335.25,-40.67
329,-24.67,-530.33,-290.96,-41.44
330,-8.35,-448.94,-25.27,25.79
331,-47.61,-569.14,-156.88,14.48
332,-51.27,-460.09,-46.81,30.89
333,42.52,-516.49,-119.37,32.19
334,-5.97,-546.97,-158.22,3.76
335,-23.96,-570.75,-126.52,25.01
336,-7.17,-485.37,-241.28,-24.78
337,-16.68,-510.77,-144.51,1.95
338,-8.43,-455.48,-113.01,15.42
339,-2.79,-482.84,-139.56,-2.33
340,12.68,-372.22,-141.88,-10.81
341,-61.7,-593.56,-121.2,25.68
342,-57.15,-519.72,-194.52,8.25
343,-22.86,-519.1,-239.29,-17.65
344,-2.85,-528.97,-186.16,12.75
345,-17.04,-517.92,-107.41,-0.77
346,-21.71,-539.87,-90.58,24.16
347,-5.9,-471.07,-185.71,-56.14
348,-11.59,-520.65,-276.77,-24.37
349,-26.02,-553.86,-166.51,-11.26
350,-12.93,-486.8,-134.89,38.75
351,-9.66,-386.41,-159.14,-8.9
352,-66.27,-533.8,-143.0,-9.54
353,-66.77,-502.75,-145.59,3.23
354,75.65,-472.11,-134.48,-44.59
355,-33.87,-556.04,-145.58,9.95
356,-18.99,-540.64,-133.57,10.55
357,27.69,-422.85,-195.29,4.99
358,-50.83,-540.63,-135.36,-1.9
359,7.74,-500.6,-174.8,19.71
360,-20.41,-506.17,-145.27,-41.84
361,0.55,-469.02,-142.93,4.24
362,-1.51,-424.18,-273.41,-43.52
363,-54.71,-580.26,-54.21,62.55
364,-54.74,-551.25,-229.6,-8.38
365,-50.04,-519.29,-301.51,-25.61
366,23.8,-486.17,-42.41,-13.24
367,25.32,-498.11,-155.42,-11.03
368,-13.96,-484.05,-132.89,-11.53
369,26.96,-383.72,-138.62,-19.84
370,-55.84,-654.35,-263.23,16.34
371,-29.09,-558.73,-211.07,-17.43
372,-5.94,-522.87,-90.18,26.75
373,-3.98,-491.5,-111.23,17.69
374,-18.26,-474.42,-149.54,23.01
375,-62.89,-497.31,-134.34,11.05
376,4.85,-512.83,-120.4,23.92
377,7.77,-470.21,-158.18,-14.77
378,-18.93,-538.27,-163.61,12.69
379,1.37,-534.84,-149.1,20.19
380,2.95,-456.93,-151.15,3.22
381,-65.45,-564.65,-148.6,31.08
382,55.07,-325.49,-149.27,-22.47
383,-15.2,-523.2,-169.63,7.1
384,-49.91,-632.53,-151.15,21.23
385,5.5,-520.67,-168.32,18.2
386,-27.43,-516.93,-169.2,10.75
387,-1.83,-461.46,-158.21,1.24
388,6.24,-482.05,-408.33,-79.99
389,-11.01,-511.3,-21.88,33.27
390,-3.56,-509.53,-86.89,-28.41
391,3.54,-462.03,-144.29,8.63
392,-48.79,-592.73,-111.68,46.64
393,-22.22,-535.16,-158.14,34.89
394,-18.12,-531.7,-121.77,17.45
395,-16.09,-508.57,-176.38,12.23
396,-0.33,-445.83,-152.73,-6.83
397,-30.14,-530.18,-150.77,18.52
398,-5.12,-492.62,-190.61,-4.67
399,-5.68,-465.15,-204.96,-26.07
400,-30.89,-559.94,-97.43,26.49
401,-23.71,-433.32,-179.93,-23.86
402,6.31,-508.87,-161.76,7.44
403,8.0,-430.68,-111.18,-8.39
404,-48.76,-545.24,-149.42,1.49
405,-4.59,-497.98,-253.59,-29.81
406,0.74,-503.8,-102.4,20.97
407,-6.03,-516.56,-122.79,11.94
408,-15.98,-446.57,-144.1,-5.18
409,4.0,-503.2,-132.56,35.26
410,-23.25,-540.62,-182.77,15.55
411,-9.06,-518.35,-262.69,-13.47
412,-15.53,-487.03,-191.43,0.84
413,-5.66,-556.27,-48.53,47.46
414,-5.51,-493.53,-189.13,-2.52
415,-21.17,-529.25,-106.11,29.85
416,-11.6,-499.22,-115.43,15.09
417,-33.02,-500.16,-204.02,-9.99
418,0.16,-497.79,-251.55,-49.85
419,11.6,-488.73,-95.87,12.62
420,-4.47,-481.28,-103.55,23.69
421,-10.62,-425.14,-131.3,-18.32
422,-21.47,-502.57,-138.21,-2.73
423,6.64,-492.1,-141.97,15.68
424,-33.99,-509.77,-140.93,20.42
425,-42.49,-568.69,-137.36,29.28
426,3.99,-485.69,-151.28,4.38
427,-41.43,-444.81,-148.29,-1.57
428,1.04,-402.0,-158.88,-13.81
429,36.85,-590.59,-160.44,25.11
430,-25.86,-556.53,-150.55,22.53
431,10.0,-493.12,-227.12,-12.49
432,-12.82,-511.29,-88.14,20.71
433,-20.34,-532.45,-174.37,6.64
434,-11.11,-515.25,-141.82,9.75
435,-0.75,-505.46,-199.75,4.02
436,-9.13,-506.35,-173.62,-2.3
437,-8.85,-488.32,-228.82,-45.35
438,-19.67,-454.47,-109.67,8.59
439,0.25,-422.16,-110.41,3.01
440,20.48,-470.05,-188.87,-22.76
441,-30.82,-551.38,-166.5,-3.89
442,-14.38,-507.28,-102.88,6.45
443,-10.6,-507.21,-131.79,13.19
444,-31.85,-538.03,-137.08,19.07
445,-2.49,-454.96,-151.45,-4.73
446,-4.65,-475.05,-136.07,14.61
447,-4.94,-510.75,-144.54,14.38
448,-4.97,-486.54,-154.74,9.17
449,-5.59,-496.5,-147.44,1.66
450,-33.37,-509.71,-184.49,-6.77
451,44.42,-449.58,-171.99,-8.9
452,-16.22,-528.46,-155.75,3.21
453,-6.13,-486.13,-115.85,4.23
454,-21.42,-494.07,-185.67,-14.21
455,11.96,-396.49,-278.65,-58.08
456,4.17,-594.83,-152.7,-16.57
457,20.14,-474.4,-56.45,11.49
458,15.78,-434.57,-150.29,-22.07
459,-27.2,-475.0,-130.1,27.58
460,-9.9,-511.6,-153.4,14.13
461,-9.18,-553.34,-175.01,-7.94
462,-36.52,-452.97,-150.41,-9.31
463,-32.07,-523.3,-175.82,-4.42
464,34.19,-461.4,-130.37,-6.69
465,-10.52,-522.65,-155.01,12.92
466,-73.98,-531.66,-148.57,3.33
467,20.52,-466.1,-175.47,-0.37
468,-20.35,-460.89,-149.05,-7.92
469,28.03,-453.1,-146.63,-18.48
