,ch1,ch2,ch3,ch4
0,56.02,-456.24,-54.18,18.36
1,-29.81,-460.06,-72.07,26.92
2,-11.09,-460.36,-87.81,3.69
3,-38.94,-469.61,-125.17,38.95
4,-23.47,-434.01,-121.21,-2.48
5,-25.9,-415.38,-113.36,25.89
6,12.57,-489.49,-76.15,12.36
7,-6.74,-373.99,-96.61,-2.9
8,-34.85,-552.75,-180.71,22.76
9,-16.67,-470.88,-72.0,-22.34
10,-9.51,-457.36,-101.85,0.98
11,-40.67,-515.37,-66.55,26.7
12,-135.14,-331.75,-121.32,50.62
13,73.35,-559.03,-117.24,3.36
14,4.26,-442.88,-118.62,-5.07
15,-22.55,-225.88,-105.71,26.71
16,-46.77,-613.94,-191.94,66.85
17,-18.45,-547.21,-41.27,34.15
18,18.4,-521.68,-51.82,11.52
19,-13.96,-447.66,-52.23,-9.4
20,-82.52,-514.74,-101.18,16.87
21,-19.16,-477.54,-204.58,5.63
22,31.35,-492.78,-152.66,8.52
23,-19.13,-481.18,-73.63,66.8
24,-112.08,-421.0,-43.92,-91.07
25,54.51,-488.58,-116.38,62.4
26,-13.96,-468.8,-74.47,26.02
27,-39.54,-458.49,-207.28,-21.48
28,-57.29,-468.46,-40.44,56.7
29,-74.63,-405.57,-114.81,-16.84
30,-24.92,-442.59,-92.4,51.88
31,-28.61,-444.26,-77.47,4.84
32,45.94,-344.02,-139.18,-61.44
33,32.94,-566.01,-100.96,64.31
34,-25.91,-505.12,-75.03,10.99
35,-38.52,-507.9,-134.8,60.4
36,-154.09,-487.83,-139.32,42.06
37,78.49,-435.44,-81.42,-19.53
38,13.47,-422.96,-79.8,-27.04
39,-6.0,-508.16,-117.58,14.22
40,-32.24,-468.69,-124.5,25.43
41,-39.7,-483.64,-63.9,31.68
42,-18.5,-395.62,-100.6,6.58
43,-25.51,-471.95,-311.66,-34.88
44,-18.31,-529.8,14.34,35.03
45,-31.79,-424.17,-29.6,0.17
46,21.34,-397.15,-98.05,12.23
47,-125.17,-439.9,-122.76,4.47
48,-2.24,-509.43,-118.61,47.21
49,16.66,-501.3,-165.4,-15.56
50,9.95,-486.68,-53.35,-4.57
51,-46.3,-442.96,-63.52,23.42
52,-46.05,-470.47,-130.72,-14.76
53,28.46,-462.06,-218.13,14.73
54,-30.51,-487.61,-0.34,38.07
55,-7.42,-447.85,-79.96,26.87
56,-22.35,-446.4,-145.03,15.62
57,-10.81,-421.42,-184.64,-48.61
58,-56.67,-537.98,-10.98,56.96
59,1.44,-458.51,-55.67,19.83
60,-31.91,-464.62,-148.0,-12.71
61,20.62,-469.0,-59.24,79.66
62,8.67,-389.23,-164.43,-22.22
63,-27.13,-531.54,-18.45,22.62
64,-88.42,-502.75,-140.76,23.15
65,-12.64,-439.98,-248.57,-43.3
66,31.06,-503.75,-81.53,29.95
67,15.44,-410.37,-89.99,33.42
68,-36.59,-476.95,-68.11,35.9
69,-13.4,-512.42,-72.04,10.63
70,-34.33,-474.39,-146.41,-5.41
71,-143.71,-453.98,-61.81,34.43
72,0.57,-435.06,-99.11,-1.72
73,43.78,-287.5,-106.73,7.27
74,42.56,-530.64,-197.52,-9.57
75,-50.56,-576.35,-94.73,-22.22
76,-76.91,-539.37,-46.19,66.94
77,40.74,-459.82,-67.66,33.3
78,-12.19,-415.4,-157.42,18.67
79,-51.41,-454.17,-139.09,6.69
80,-43.48,-483.34,-72.4,39.34
81,5.99,-480.06,-64.61,-13.16
82,-29.58,-504.57,-99.13,11.2
83,-46.88,-445.98,-100.82,52.59
84,-112.11,-476.3,-134.69,40.36
85,19.39,-471.88,-159.16,9.76
86,81.55,-396.19,-107.05,23.0
87,24.35,-431.89,-86.51,2.62
88,-60.88,-489.65,-81.06,22.16
89,-29.0,-474.88,-90.09,-0.37
90,10.71,-468.86,-9.12,34.43
91,-24.05,-445.23,-184.72,29.46
92,-117.09,-380.0,-99.01,58.65
93,108.55,-494.72,-117.18,-26.38
94,-22.3,-564.09,-170.19,28.07
95,-53.9,-499.51,-99.78,29.14
96,-24.15,-502.57,-67.59,32.33
97,-30.08,-467.19,-95.14,8.68
98,-72.96,-459.73,-189.14,0.34
99,69.47,-411.16,-95.1,37.48
100,0.95,-425.26,-47.06,36.15
101,-39.0,-528.63,-104.52,30.57
102,-28.54,-480.11,-69.94,21.9
103,-48.58,-356.88,-216.59,-16.62
104,-209.96,-496.46,-41.47,-26.44
105,171.96,-425.27,-62.27,67.14
106,29.09,-510.42,-132.64,41.28
107,-53.92,-543.95,-197.44,-22.56
108,-60.0,-464.81,-128.32,19.56
109,53.83,-471.33,-76.84,35.84
110,-12.36,-464.71,-27.08,25.16
111,-59.11,-427.23,-113.58,28.81
112,-53.94,-461.63,-83.92,31.74
113,22.7,-491.9,-98.75,16.04
114,-30.86,-470.08,-97.96,32.62
115,-60.4,-475.23,-194.01,-15.74
116,-63.65,-473.11,-160.2,14.45
117,39.66,-416.74,-93.12,-45.29
118,-33.62,-474.8,-31.84,66.56
119,33.19,-441.59,-104.13,58.91
120,-10.42,-467.46,-134.33,-13.92
121,-91.75,-429.39,-68.36,34.34
122,10.14,-428.61,-77.34,43.31
123,-11.44,-566.51,-150.93,39.03
124,-30.16,-473.11,-137.47,-44.23
125,26.14,-421.63,-130.42,34.26
126,-30.3,-495.71,-33.92,49.98
127,-18.73,-443.87,-47.84,34.97
128,-6.37,-467.51,-74.38,41.86
129,-19.25,-478.71,-325.82,-27.65
130,-36.35,-507.94,-66.53,-37.15
131,-0.46,-452.37,-86.47,59.68
132,-75.97,-417.11,-51.53,54.9
133,70.37,-431.83,-102.82,-7.34
134,-40.49,-514.12,-72.28,12.76
135,-20.54,-467.52,-69.28,50.34
136,-120.16,-467.58,-227.27,2.26
137,17.36,-424.48,-162.56,-54.07
138,49.75,-535.57,-8.2,72.31
139,-24.28,-474.94,-100.72,47.15
140,-9.22,-423.56,-37.72,51.47
141,-26.78,-424.07,-229.56,10.84
142,-6.9,-504.86,-108.15,-11.34
143,-22.37,-386.01,-30.21,22.19
144,-13.45,-461.08,-85.76,16.25
145,-14.74,-520.53,-88.44,1.88
146,3.0,-488.26,-130.63,64.28
147,-136.77,-411.11,-112.8,0.19
148,54.75,-428.28,-108.25,-4.99
149,-27.66,-525.96,-139.81,33.49
150,-22.74,-485.92,-44.48,56.81
151,13.5,-452.86,-120.67,24.44
152,-7.84,-409.63,-79.44,-0.13
153,-11.71,-492.22,-161.11,-39.07
154,-45.66,-446.1,-48.2,72.92
155,24.36,-394.13,-78.97,-35.42
156,-1.14,-541.83,-100.87,39.64
157,-29.43,-483.49,-121.78,19.47
158,-40.29,-497.65,-117.96,29.88
159,1.77,-502.33,-171.4,37.53
160,-20.7,-482.77,-122.51,17.7
161,-92.66,-440.84,-179.0,-50.49
162,-0.32,-474.56,-63.88,41.11
163,12.29,-467.99,-106.02,37.74
164,-34.24,-435.1,-166.27,-20.28
165,-77.3,-467.34,13.23,16.57
166,50.39,-487.18,-41.29,31.42
167,20.11,-461.38,-111.0,75.47
168,-53.93,-442.02,-44.55,53.95
169,-50.09,-330.85,-150.82,-46.27
170,68.89,-378.86,-111.48,26.36
171,6.76,-581.82,-88.13,61.63
172,-14.5,-548.16,-92.69,21.0
173,-47.09,-517.45,-151.34,5.63
174,-60.79,-482.75,-215.61,24.77
175,-47.35,-452.38,-248.04,-43.85
176,42.09,-465.4,81.67,56.53
177,-11.7,-444.99,-45.16,17.98
178,8.01,-451.51,-89.82,11.67
179,-10.48,-476.62,-81.9,66.32
180,-36.31,-497.83,-79.2,-5.59
181,-34.41,-449.17,-129.29,-23.91
182,-41.68,-463.74,-105.02,7.0
183,-26.66,-469.04,-84.84,66.68
184,21.96,-444.85,-84.95,36.09
185,1.19,-421.52,-99.85,20.23
186,0.59,-515.32,-124.3,15.5
187,-151.51,-400.83,-233.44,12.02
188,6.39,-435.94,-108.73,-6.7
189,53.19,-371.61,-88.16,55.48
190,20.23,-537.02,-91.0,-16.28
191,-19.9,-508.58,-26.24,62.28
192,-61.43,-518.31,-116.7,-5.52
193,17.55,-475.87,-131.63,12.28
194,-18.73,-451.46,-87.22,-2.1
195,-0.59,-416.0,-96.64,-23.95
196,-40.01,-518.77,-74.92,39.4
197,1.06,-451.27,-100.5,39.79
198,-3.49,-445.36,-110.65,11.49
199,-48.25,-537.15,-253.46,-24.54
200,-38.16,-475.07,-2.2,68.32
201,6.82,-450.87,-80.66,23.06
202,-20.28,-473.59,-176.87,0.92
203,-65.79,-450.83,-169.17,40.08
204,-0.05,-462.95,-47.38,24.89
205,-45.44,-484.5,-44.45,2.62
206,-66.09,-447.19,-93.02,10.54
207,15.88,-405.91,-116.12,37.29
208,40.38,-415.99,-128.41,42.12
209,24.85,-471.38,-112.81,18.06
210,-54.03,-465.07,-131.84,-13.49
211,-66.63,-507.24,-25.29,13.29
212,38.68,-521.63,-113.27,1.03
213,-9.75,-479.55,-165.3,9.36
214,-23.2,-399.52,-86.79,58.15
215,-10.54,-476.9,-64.38,-3.42
216,17.06,-509.0,-163.27,3.71
217,-46.25,-520.24,-192.89,35.15
218,0.56,-409.6,-70.13,22.82
219,-10.46,-350.73,-55.46,30.39
220,-31.34,-576.1,-65.76,9.92
221,-92.24,-529.19,-86.28,53.45
222,33.12,-454.38,-210.38,-32.29
223,-178.48,-459.18,-70.33,44.44
224,144.56,-491.9,-23.83,-4.42
225,5.98,-436.22,-113.25,16.93
226,-14.89,-435.13,-82.68,37.63
227,-18.8,-454.27,-206.01,-25.39
228,5.56,-420.64,-118.05,-41.35
229,-32.53,-536.64,-136.47,51.05
230,-42.79,-486.48,-50.86,6.18
231,-42.62,-465.17,-8.84,45.67
232,-1.41,-420.39,-250.02,45.8
233,30.87,-425.29,-123.61,-34.15
234,-124.51,-498.44,-26.3,-2.04
235,-101.24,-391.09,-45.85,66.66
236,80.09,-496.57,-98.03,2.53
237,42.3,-502.69,-130.11,27.46
238,-2.15,-531.62,-87.8,11.55
239,-43.51,-421.67,-79.52,12.36
240,-42.09,-491.57,-113.98,53.63
241,3.38,-480.75,-95.89,28.66
242,16.17,-400.83,-169.37,-47.75
243,-84.99,-580.14,-237.16,-24.53
244,-5.36,-436.61,41.64,50.11
245,-64.2,-259.68,-64.69,31.47
246,66.08,-548.57,-175.18,-57.21
247,-32.25,-517.7,-28.94,52.26
248,8.18,-496.92,-96.13,45.03
249,-21.15,-497.66,-74.5,32.86
250,-111.41,-442.03,-96.08,13.51
251,-33.33,-415.9,-169.83,42.19
252,35.14,-520.08,-53.89,5.92
253,8.96,-440.1,-67.84,9.35
254,-27.67,-406.92,-90.48,23.48
255,-24.41,-475.22,-201.23,-29.21
256,-127.99,-497.62,-161.33,-24.73
257,55.52,-429.47,-14.68,51.17
258,44.36,-509.62,-46.89,37.71
259,-31.86,-545.25,-76.27,-14.35
260,-12.51,-474.55,-113.15,40.71
261,-50.7,-431.4,-99.65,-50.11
262,-13.22,-434.04,-104.12,51.22
263,-91.35,-483.65,-165.76,44.1
264,33.12,-409.94,-77.86,2.65
