,ch1,ch2,ch3,ch4
0,-3.38,-488.83,29.81,63.38
1,8.13,-489.28,-304.52,-112.78
2,2.34,-451.54,-46.51,38.47
3,-12.62,-419.53,-134.98,-53.61
4,-18.15,-507.38,-246.04,-44.71
5,-2.62,-485.67,259.52,-23.8
6,-4.81,-495.8,-312.95,149.45
7,-30.49,-498.8,-177.52,-59.85
8,-13.33,-467.49,-25.12,-12.51
9,-20.0,-498.28,-192.97,-12.67
10,-25.88,-467.25,-17.39,58.56
11,-21.67,-474.44,-80.52,45.36
12,-9.32,-453.06,-103.46,22.67
13,-14.24,-458.71,-109.71,38.22
14,-20.47,-456.52,-143.23,8.64
15,-15.69,-466.74,-52.67,24.57
16,-26.72,-466.0,-151.48,52.86
17,11.62,-469.56,12.2,0.86
18,19.67,-470.17,317.56,218.66
19,-11.23,-494.25,-526.04,-156.48
20,-41.08,-508.33,-222.6,-11.94
21,-9.87,-469.8,-209.04,27.85
22,-14.99,-474.66,244.95,-175.13
23,21.09,-455.68,-242.84,106.48
24,-23.21,-463.33,-266.77,13.44
25,-34.23,-489.27,-72.67,-14.59
26,-11.77,-456.72,-48.48,21.66
27,36.66,-440.08,435.04,100.06
28,-30.67,-497.74,335.37,-75.87
29,-33.69,-486.36,727.55,4.02
30,-19.57,-460.83,923.74,-54.23
31,-21.32,-462.87,954.56,49.36
32,-20.98,-452.92,751.16,24.6
33,-24.63,-478.1,864.09,80.56
34,-8.16,-459.49,925.69,75.83
35,-18.88,-472.51,814.75,-26.16
36,-20.94,-415.04,894.78,29.12
37,-23.47,-468.94,883.94,91.32
38,-6.2,-417.65,928.07,16.78
39,19.16,-435.17,870.58,-50.48
40,6.22,-514.92,1229.5,134.17
41,-32.01,-504.73,471.54,-141.39
42,-22.0,-482.67,950.4,92.66
43,-4.62,-455.39,962.45,59.24
44,-32.02,-416.6,792.85,44.74
45,7.66,-485.76,1036.95,5.06
46,-34.63,-512.55,653.41,73.61
47,-32.44,-473.93,922.47,-60.59
48,-10.84,-463.14,917.2,8.3
49,-28.35,-479.32,916.42,76.91
50,-13.37,-448.93,674.88,-79.24
51,-14.77,-481.13,941.27,73.12
52,-8.85,-449.12,913.93,57.84
53,-29.61,-513.98,888.63,14.36
54,-27.11,-477.74,846.52,95.81
55,-14.36,-448.15,878.65,58.31
56,-12.71,-441.74,987.1,-47.33
57,-24.15,-471.17,840.73,75.56
58,-21.36,-471.55,833.43,31.56
59,1.08,-461.33,862.39,52.04
60,1.33,-447.23,1008.85,-21.66
61,-18.04,-488.74,714.09,-18.36
62,-3.2,-485.43,852.58,-27.06
63,-8.86,-468.59,959.42,44.72
64,-20.39,-462.29,1000.58,77.94
65,-29.03,-468.43,796.18,27.99
66,-14.64,-457.76,818.58,9.81
67,-2.59,-438.59,821.16,51.5
68,-37.01,-485.94,923.2,61.1
69,-31.54,-484.37,842.59,1.73
70,-17.62,-456.71,875.58,31.53
71,6.6,-447.02,973.23,23.11
72,-30.43,-497.04,808.16,31.02
73,-35.15,-455.29,886.48,61.62
74,8.76,-467.58,968.03,56.35
75,-30.9,-475.94,843.19,-46.02
76,-9.39,-440.2,826.42,60.79
77,-4.48,-461.74,759.3,17.63
78,-19.57,-486.19,932.39,43.66
79,-6.15,-461.43,1000.0,27.79
80,-21.44,-461.27,906.46,55.29
81,-19.46,-459.53,777.09,26.52
82,-28.27,-465.74,988.75,19.53
83,-13.57,-437.74,811.93,-10.01
84,-9.77,-472.39,915.37,9.38
85,-17.39,-476.91,863.89,78.8
86,-19.16,-485.66,774.86,28.16
87,-14.05,-466.42,901.64,-2.19
88,-23.63,-481.42,1033.03,-8.08
89,-11.46,-451.69,790.55,41.03
90,-19.45,-455.15,850.3,35.7
91,-23.45,-493.72,865.26,35.59
92,-27.81,-470.05,878.82,43.95
93,-22.24,-457.83,869.78,40.23
94,-20.73,-456.14,874.1,41.06
95,-19.5,-469.41,865.93,39.78
96,-23.15,-464.15,894.95,33.9
97,-14.28,-464.8,898.34,34.34
98,-5.35,-452.06,849.03,23.8
99,-7.45,-440.89,865.95,35.23
100,-17.08,-463.74,872.6,28.38
101,-19.88,-472.44,871.73,30.32
102,-21.57,-475.81,869.78,27.04
103,-18.14,-463.23,875.96,29.79
104,-8.7,-459.52,875.12,32.85
105,-19.32,-461.87,874.71,27.71
106,-18.29,-467.06,875.34,33.46
107,-17.09,-467.62,878.87,32.36
108,-18.94,-464.91,869.47,26.84
109,-14.07,-458.47,875.22,24.21
110,-15.91,-463.15,873.36,26.08
111,-15.7,-463.34,872.01,24.59
112,-10.39,-468.41,874.76,28.69
113,-22.01,-459.8,878.2,28.61
114,-34.61,-467.74,878.58,21.97
115,-25.87,-469.36,870.79,22.02
116,-30.65,-465.79,873.68,22.69
117,-92.64,-434.2,876.78,27.76
118,-18.12,-460.24,868.34,24.19
119,23.72,-466.44,862.12,15.19
120,-36.6,-447.04,867.89,22.52
121,-64.18,-473.63,868.22,20.99
122,-61.64,-454.5,877.0,20.56
123,12.81,-450.04,863.15,7.02
124,47.68,-453.64,860.0,1.15
125,23.41,-462.53,866.94,6.24
126,0.07,-457.77,869.81,10.93
127,1.59,-452.97,867.38,7.66
128,-0.76,-466.7,871.58,6.74
129,8.78,-471.03,870.39,9.69
130,-23.36,-440.72,869.65,7.7
131,-31.03,-444.89,867.48,6.2
132,-92.7,-479.18,869.89,14.65
133,-128.59,-447.95,871.07,15.58
134,-58.76,-349.26,862.02,13.26
135,-74.92,-514.01,857.6,11.75
136,17.61,-532.94,854.91,7.37
137,47.27,-438.22,857.27,7.58
138,18.18,-441.98,855.11,12.27
139,56.33,-479.59,847.35,4.41
140,-16.12,-437.25,854.0,5.75
141,22.49,-438.56,858.77,8.03
142,-2.18,-487.52,850.01,3.58
143,-46.73,-422.29,860.67,13.05
144,56.61,-406.39,855.93,5.55
145,-38.86,-430.99,857.19,7.27
146,-33.45,-426.46,854.36,6.7
147,-164.67,-455.36,852.51,9.2
148,87.54,-575.19,848.56,1.05
149,71.3,-392.94,853.29,12.62
150,-9.73,-358.38,862.67,14.18
151,-60.0,-440.89,854.73,14.56
152,69.49,-447.14,851.34,5.73
153,-36.65,-431.93,862.9,8.54
154,-46.38,-386.2,851.6,2.5
155,85.2,-407.22,850.21,3.54
156,39.72,-401.36,849.16,1.36
157,20.71,-392.18,851.88,9.11
158,-9.41,-486.73,850.25,4.95
159,4.55,-490.92,850.08,7.18
160,19.25,-432.76,853.78,6.49
161,-91.34,-497.03,854.15,12.05
162,7.56,-448.69,843.53,6.32
163,56.18,-332.05,853.46,12.01
164,5.33,-430.95,850.11,8.99
165,-83.83,-499.27,849.34,13.7
166,-237.28,-456.88,857.14,17.32
167,97.57,-500.76,836.51,2.8
168,58.18,-413.09,836.86,-0.54
169,68.46,-357.88,844.51,9.55
170,-4.07,-418.68,849.36,11.9
171,28.0,-425.44,849.03,9.65
172,17.28,-393.16,850.09,7.83
173,-1.78,-432.45,849.59,8.47
174,-21.17,-395.72,847.64,5.23
175,-12.81,-450.14,846.26,0.94
176,27.92,-487.3,846.69,-1.04
177,-82.27,-435.12,855.48,12.44
178,13.42,-369.71,867.57,20.64
179,-3.19,-393.7,852.77,6.05
180,-81.83,-423.97,849.86,8.41
181,-9.06,-461.68,841.57,5.27
182,-105.88,-497.88,847.7,2.34
183,119.16,-405.25,856.68,17.85
184,-17.16,-374.41,-126.52,17.86
185,39.99,-436.16,-128.21,10.17
186,15.51,-490.09,-117.55,21.0
187,-29.02,-476.49,-132.81,4.31
188,-0.3,-413.59,-137.88,-4.97
189,-34.97,-344.84,-135.78,0.65
190,21.64,-340.08,-126.57,9.93
191,-21.43,-306.18,-138.19,7.9
192,-1.62,-394.52,-117.55,18.65
193,-82.75,-455.04,-128.59,10.35
194,-96.61,-327.9,-130.95,1.06
195,28.57,-312.88,-127.91,14.19
196,28.81,-384.44,-129.91,7.82
197,-16.6,-414.36,-120.82,11.84
198,-395.05,-581.9,-127.71,16.78
199,136.7,-571.45,-133.44,13.62
200,181.33,-186.17,-140.01,2.01
201,25.28,-468.36,-111.88,30.55
202,3.44,-502.15,-124.22,22.1
203,18.44,-489.63,-122.59,16.16
204,-2.24,-331.94,-129.48,6.09
205,-10.3,-251.11,-120.68,31.32
206,-10.48,-411.34,-132.36,10.83
207,-0.3,-536.47,-128.59,18.54
208,43.44,-337.14,-122.94,19.28
209,-7.43,-406.82,-133.72,17.99
210,-31.05,-504.01,-133.77,18.13
211,7.98,-346.69,-119.37,39.51
212,-11.93,-479.84,-125.71,25.66
213,14.64,-435.69,-118.81,30.35
214,-58.69,-449.61,-126.59,27.17
215,-36.62,-503.87,-129.22,22.4
216,52.69,-337.94,-129.06,35.36
217,6.05,-330.32,-128.67,33.73
218,-146.53,-260.76,-111.12,39.47
219,81.21,-475.48,-138.05,28.6
220,13.31,-365.17,-142.45,17.62
221,-63.42,-438.02,-111.62,45.46
222,67.09,-470.67,-132.04,19.46
223,-14.02,-462.61,-129.89,19.02
224,-0.74,-426.26,-131.14,18.33
225,-15.48,-538.26,-142.69,14.94
226,-56.81,-521.74,-111.2,30.46
227,6.43,-326.36,-125.88,27.34
228,85.32,-218.29,-134.2,23.49
229,-14.58,-483.74,-129.79,23.83
230,34.53,-332.49,-118.68,26.9
231,27.22,-440.53,-133.18,17.8
232,-22.78,-536.79,-130.14,28.34
233,-109.47,-448.52,-111.29,35.19
234,-2.05,-431.07,-135.51,16.33
235,-5.36,-438.62,-135.28,28.29
236,-71.74,-358.09,-115.96,35.38
237,-122.52,-320.68,-124.54,29.29
238,73.44,-533.59,-125.86,27.52
239,-59.61,-599.2,-122.03,40.88
240,-65.26,-454.02,-132.19,30.7
241,104.52,-389.58,-119.13,37.47
242,37.4,-390.95,-121.25,30.6
243,25.68,-406.13,-131.71,39.99
244,26.16,-439.41,-116.2,40.89
245,3.83,-472.87,-130.07,25.24
246,-13.79,-478.08,-120.92,29.63
247,43.74,-310.88,-114.16,38.83
248,-12.71,-459.91,-131.44,26.54
249,-50.05,-527.15,-123.3,28.52
250,-18.84,-395.74,-113.45,41.72
251,-3.72,-404.3,-116.03,37.34
252,-1.85,-503.64,-116.61,39.12
253,-84.85,-471.23,-122.66,37.6
254,-47.79,-338.17,-134.9,14.9
255,40.97,-500.49,-123.93,26.26
256,-27.62,-507.27,-122.88,42.12
257,-48.48,-337.06,-114.56,49.95
258,62.49,-504.27,-120.32,35.04
259,28.53,-427.23,-126.33,26.21
260,1.06,-465.15,-123.9,26.06
261,16.13,-443.39,-126.59,39.73
262,-68.93,-611.28,-123.19,30.39
263,4.18,-432.6,-127.14,36.32
264,16.35,-406.84,-108.36,40.16
265,51.09,-391.14,-124.48,41.47
266,-29.77,-485.01,-130.38,36.59
267,-9.66,-472.1,-123.59,42.19
268,-61.74,-334.11,-122.41,32.03
269,12.63,-484.04,-140.86,28.87
270,-88.72,-572.53,-122.34,40.17
271,46.39,-389.18,-127.75,34.78
272,-40.84,-567.87,-122.4,36.8
273,-149.84,-443.34,-97.77,46.3
274,114.94,-351.53,-126.9,39.59
275,-0.94,-339.63,-122.62,45.03
276,39.1,-576.53,-118.79,39.56
277,18.72,-491.74,-118.39,45.4
278,15.52,-425.42,-115.61,44.52
279,51.94,-443.73,-119.33,50.29
280,-4.41,-508.15,-112.84,55.34
281,0.49,-442.91,-108.96,50.84
282,-50.89,-489.88,-129.46,34.9
283,-62.95,-400.34,-128.81,35.11
284,-54.37,-492.52,-102.06,49.3
285,24.73,-510.42,-125.15,26.19
286,-16.7,-345.8,-122.01,34.05
287,-171.01,-437.79,-111.38,53.67
288,57.15,-448.18,-115.25,51.41
289,-52.19,-448.26,-118.13,26.65
290,57.92,-353.51,-120.72,16.53
291,89.24,-549.76,-121.11,38.28
292,63.26,-419.12,-108.9,52.81
293,49.68,-395.65,-108.18,41.37
294,1.62,-497.43,-122.36,30.04
295,-53.5,-445.64,-115.17,44.2
296,-16.66,-481.19,-119.11,30.37
297,-30.41,-452.03,-113.71,40.54
298,-31.03,-533.74,-108.56,43.77
299,-9.13,-572.92,-124.66,28.25
300,-0.7,-463.24,-122.0,39.33
301,-84.7,-366.75,-96.74,52.09
302,-43.58,-413.12,-120.94,31.76
303,-19.72,-363.32,-111.52,47.44
304,106.6,-386.16,-115.68,34.44
305,-45.79,-566.58,-111.75,47.64
306,32.17,-437.34,-117.29,42.13
307,0.95,-434.05,-104.98,50.38
308,-125.38,-443.11,-107.88,43.37
309,81.43,-524.85,-118.12,42.9
310,-2.04,-563.79,-120.94,34.03
311,18.09,-483.25,-115.9,36.8
312,20.95,-496.22,-115.76,49.46
313,-27.66,-423.04,-117.52,44.6
314,5.59,-471.06,-111.43,47.27
315,7.99,-421.46,-110.59,31.75
316,-3.91,-424.91,-109.58,33.15
317,-75.46,-580.48,-115.1,25.79
318,26.36,-139.29,-123.96,30.85
319,-21.05,-525.15,-113.09,51.23
320,-38.45,-629.18,-114.52,36.48
321,0.34,-472.07,-115.1,42.05
322,-47.87,-476.67,-117.06,34.66
323,20.55,-421.2,-112.4,47.67
324,3.78,-538.64,-135.94,26.94
325,-56.09,-479.75,-111.76,41.34
326,48.83,-434.01,-117.33,43.51
327,11.64,-469.36,-111.3,37.17
328,-16.14,-498.69,-117.65,36.91
329,-3.51,-475.22,-108.97,43.25
330,-8.9,-459.18,-107.81,40.03
331,-25.73,-525.3,-112.89,30.6
332,-14.71,-508.22,-119.82,39.88
333,6.34,-433.53,-105.21,35.19
334,3.74,-518.22,-119.45,38.12
335,-51.7,-504.35,-114.27,29.74
336,12.85,-237.6,-110.04,38.65
337,-32.02,-469.66,-113.13,43.65
338,-26.61,-383.98,-115.33,35.83
339,-73.34,-483.71,-100.35,52.1
340,42.34,-584.82,-122.34,33.82
341,14.62,-464.02,-120.87,36.36
342,-85.07,-514.02,-104.56,51.19
343,40.34,-468.91,-115.91,30.97
344,4.93,-524.03,-122.03,46.56
345,15.41,-469.15,-113.58,44.54
346,-8.93,-408.93,-112.59,44.54
347,8.18,-459.41,-109.77,42.94
348,1.76,-471.08,-113.49,51.66
349,-1.83,-443.43,-114.52,48.36
350,-28.01,-485.6,-112.41,43.74
351,-30.09,-449.52,-112.79,39.21
352,-38.36,-498.17,-123.64,32.46
353,-6.6,-483.79,-118.21,40.25
354,-43.67,-371.99,-106.21,45.38
355,39.47,-469.18,-110.21,41.16
356,-18.45,-470.75,-110.55,29.53
357,-71.8,-567.18,-104.74,51.03
358,2.41,-558.2,-120.91,30.75
359,-14.24,-415.15,-108.22,39.95
360,-32.15,-362.13,-112.31,32.03
361,-31.35,-526.12,-113.42,40.48
362,-45.02,-489.76,-106.46,35.25
363,86.03,-286.62,-114.77,26.09
364,37.79,-482.69,-109.4,45.8
365,-13.62,-488.09,-110.21,36.14
366,-28.0,-524.98,-105.55,35.22
367,-17.28,-480.01,-118.38,26.35
368,-14.13,-500.83,-123.0,18.63
369,-6.29,-455.98,-102.39,33.65
370,-5.89,-398.44,-108.85,32.18
371,1.76,-482.44,-108.11,30.7
372,-32.62,-535.08,-114.61,34.81
373,-43.35,-509.26,-113.66,25.24
374,-36.45,-455.94,-116.7,26.75
375,-4.98,-439.1,-109.42,40.38
376,-3.08,-464.81,-108.5,37.15
377,-93.71,-471.88,-101.16,37.18
378,-5.59,-561.47,-108.33,33.66
379,-9.3,-453.55,-114.41,30.04
380,1.7,-377.6,-111.19,31.48
381,-6.66,-308.91,-107.82,38.67
382,8.93,-557.77,-116.99,31.02
383,-16.06,-505.99,-108.92,33.97
384,-17.75,-496.35,-107.31,34.61
385,-20.24,-502.0,-110.43,33.61
386,0.76,-446.02,-110.21,38.11
387,-16.16,-447.79,-92.81,36.02
388,-59.53,-483.45,-109.53,38.0
389,-72.51,-432.17,-109.73,23.23
390,-16.26,-488.28,-113.66,32.62
391,5.64,-461.85,-113.89,32.38
392,6.96,-440.59,-116.71,30.39
393,-0.91,-456.73,-109.98,30.61
394,-16.23,-486.79,-114.38,37.3
395,-10.21,-500.12,-112.43,35.3
