,ch1,ch2,ch3,ch4
0,1.67,-395.99,-95.06,32.93
1,-12.77,-486.3,-95.68,28.84
2,-19.36,-461.78,-99.34,22.6
3,-12.13,-517.01,-104.99,23.49
4,-36.61,-471.17,-98.45,22.47
5,-29.99,-311.9,-99.19,21.44
6,-14.05,-537.09,-113.98,7.06
7,12.67,-508.2,-128.94,-36.7
8,-39.43,-534.23,-117.49,19.53
9,16.86,-354.13,-147.19,94.52
10,-2.7,-458.23,-45.6,42.97
11,-16.4,-469.05,-96.87,25.72
12,-8.11,-468.5,-90.58,22.53
13,-17.98,-480.71,-97.4,23.45
14,-26.59,-477.2,-97.67,24.26
15,-36.39,-469.97,-98.45,20.36
16,-17.42,-472.35,-102.13,17.21
17,-1.41,-463.26,-114.72,1.04
18,-0.48,-448.0,-162.98,-35.05
19,-26.88,-501.48,-73.07,59.61
20,-14.45,-457.24,-116.07,26.19
21,-7.8,-490.27,-100.13,63.0
22,3.87,-416.77,-124.57,0.95
23,-28.11,-455.09,-91.77,9.92
24,-29.23,-440.39,-86.48,13.95
25,-11.69,-444.54,-102.28,13.8
26,-18.12,-493.16,-101.19,25.53
27,-23.33,-512.52,-108.73,9.31
28,-19.23,-221.68,-110.6,3.88
29,-15.72,-583.82,-110.69,43.71
30,-27.99,-522.99,-102.98,26.67
31,1.56,-276.25,-107.28,21.98
32,-31.78,-545.9,-86.3,36.81
33,-10.37,-488.57,-99.76,13.54
34,-7.94,-489.26,-107.63,41.92
35,-13.96,-468.82,-104.77,32.9
36,-18.19,-473.53,-105.49,30.18
37,-13.74,-472.47,-105.68,31.45
38,-37.71,-467.18,-99.92,32.27
39,-49.11,-475.68,-103.59,27.46
40,-1.99,-603.75,-139.43,-58.56
41,7.91,-396.25,-141.36,72.46
42,-36.48,-353.73,-134.93,29.62
43,18.36,-392.5,-116.31,71.38
44,-1.97,-467.82,-69.89,39.11
45,-15.86,-457.1,-119.03,78.81
46,-13.42,-449.87,-78.41,-21.6
47,-12.29,-522.55,-86.41,22.6
48,-19.96,-465.36,-93.73,18.18
49,-21.03,-457.19,-94.99,5.88
50,-14.3,-386.99,-108.25,69.3
51,-5.27,-434.34,-108.06,-4.43
52,-17.87,-528.38,-103.51,21.58
53,-8.15,-467.19,-110.59,25.34
54,-15.47,-457.86,-119.67,-24.48
55,-21.4,-561.11,-86.5,55.85
56,-22.38,-453.13,-90.89,31.53
57,-14.55,-436.13,-92.68,28.24
58,-13.68,-456.46,-92.57,24.13
59,-18.7,-474.82,-102.71,18.68
60,-40.27,-523.57,-106.01,20.55
61,2.74,-242.22,-143.53,-46.65
62,-1.59,-495.07,-89.16,51.56
63,-7.69,-470.28,-71.14,98.81
64,-5.92,-457.27,-106.8,-11.98
65,-27.52,-506.61,-133.33,25.49
66,-18.44,-491.4,-138.6,16.75
67,-15.59,-440.84,-76.9,18.87
68,-25.06,-540.45,-103.29,12.82
69,-38.14,-498.27,-110.92,2.8
70,-21.4,-345.12,-117.43,-13.05
71,-14.35,-432.27,-104.1,21.91
72,-1.25,-451.33,-106.28,62.21
73,-16.29,-505.82,-96.36,36.2
74,-11.66,-472.37,-110.54,35.33
75,-5.99,-466.21,-95.13,-0.48
76,-8.5,-464.18,-104.29,16.59
77,-6.68,-453.14,-107.56,22.89
78,26.99,-262.08,-141.87,-8.75
79,-50.68,-606.22,-131.76,31.16
80,-23.57,-506.55,-86.72,24.1
81,-5.83,-484.2,-51.21,97.6
82,-21.81,-513.89,-130.57,18.06
83,-10.01,-508.66,-127.96,-7.47
84,-15.66,-485.11,-92.43,16.84
85,-3.92,-420.91,-140.63,-18.27
86,-40.27,-258.36,-98.61,53.16
87,-16.42,-558.21,-84.79,27.33
88,-10.45,-485.09,-129.07,-0.35
89,8.64,-434.1,-119.79,-18.3
90,2.39,-457.81,-88.49,99.46
91,-22.9,-465.04,-102.9,25.9
92,-17.54,-486.85,-77.66,21.04
93,-15.28,-442.22,-96.54,13.19
94,-15.94,-504.71,-101.81,-0.28
95,-9.22,-519.94,-68.18,71.52
96,-4.66,-412.92,-118.58,2.42
97,-9.49,-458.91,-107.65,32.11
98,-20.32,-499.07,-87.07,5.55
99,-20.11,-458.18,-112.71,47.03
100,-41.71,-528.55,-97.33,11.18
101,-34.51,-573.67,-109.12,2.7
102,12.67,-395.14,-228.32,-133.94
103,19.2,-267.78,-19.7,144.26
104,-15.48,-418.49,-103.04,72.81
105,-12.97,-458.36,-85.73,5.27
106,-16.72,-534.76,-92.85,47.85
107,-12.48,-481.63,-120.54,12.31
108,-11.84,-475.54,-107.55,5.41
109,-18.0,-468.71,-92.21,18.84
110,-15.97,-464.04,-106.39,9.47
111,-21.92,-458.3,-101.15,19.76
112,-19.78,-453.23,-102.28,12.71
113,-30.79,-568.41,-104.91,29.19
114,-3.35,-399.35,-85.79,25.35
115,-26.41,-449.53,-114.35,4.1
116,-10.48,-458.08,-98.77,25.36
117,-8.42,-443.79,-106.38,23.78
118,-14.59,-445.84,-96.87,35.48
119,-1.8,-345.07,-118.46,-4.53
120,-15.35,-476.39,-106.62,25.67
121,-11.89,-447.6,-104.56,40.73
122,-7.52,-494.62,-118.75,-2.85
123,-26.59,-515.95,-95.74,31.35
124,-12.25,-504.93,-105.99,18.99
125,-24.69,-433.83,-104.05,-2.48
126,-15.4,-488.32,-101.05,41.53
127,-15.75,-425.93,-127.33,12.37
128,-21.2,-456.48,-99.78,50.03
129,-18.19,-471.13,-100.87,26.44
130,-23.37,-506.92,-110.94,15.04
131,-10.12,-403.65,-115.73,19.4
132,-12.48,-456.86,-101.83,27.07
133,-15.89,-487.16,-113.04,20.86
134,-13.55,-506.57,-112.02,11.79
135,-8.67,-354.8,-109.11,19.94
136,-16.78,-454.66,-101.38,26.38
137,-34.28,-523.78,-106.76,21.5
138,-37.74,-516.33,-102.77,19.46
139,15.11,-388.38,-116.91,2.4
140,-8.24,-448.41,-108.26,31.4
141,-24.98,-473.67,-108.04,19.66
142,-22.33,-482.91,-111.94,7.43
143,-2.33,-399.19,-116.47,12.27
144,-10.32,-404.72,-115.06,20.32
145,-24.25,-485.79,-111.04,12.27
146,-25.0,-478.11,-105.42,13.11
147,-14.93,-490.92,-112.19,15.51
148,-11.11,-473.61,-115.02,9.51
149,-29.35,-484.81,-106.47,5.61
150,-21.73,-501.92,-113.49,0.19
151,-1.22,-423.47,-113.12,1.36
152,-16.87,-474.54,-113.75,3.44
153,-33.17,-500.33,-115.63,1.31
154,-17.08,-486.52,-109.67,9.93
155,1.97,-359.63,-121.85,4.82
156,-11.45,-402.03,-121.07,6.0
157,-20.95,-468.44,-117.69,1.69
158,-18.59,-454.32,-116.04,3.06
159,6.3,-448.3,-115.46,5.84
160,-28.89,-470.5,-115.55,-1.38
161,-16.27,-463.55,-117.2,1.42
162,-15.91,-457.97,-118.71,-0.51
163,-52.83,-456.23,-118.34,3.31
164,-11.06,-449.79,-120.5,3.71
165,-14.43,-460.36,-117.92,-3.08
166,-67.44,-458.81,-116.85,1.56
167,14.91,-442.18,-121.74,-6.23
168,-29.2,-452.05,-121.4,-9.96
169,7.84,-428.62,-117.21,-5.13
170,4.18,-465.7,-125.84,0.57
171,-9.35,-458.47,-121.33,-0.71
172,-20.56,-462.22,-117.69,-2.07
173,-21.17,-469.25,-118.52,-2.9
