,ch1,ch2,ch3,ch4
0,-44.48,-488.59,-185.4,17.96
1,10.08,-562.42,-132.78,36.09
2,-4.34,-463.43,-63.23,52.15
3,47.07,-395.87,-132.53,-5.12
4,-18.88,-565.4,-108.85,49.18
5,-44.63,-613.22,-107.23,67.54
6,25.54,-467.38,-154.59,28.16
7,1.17,-413.09,-171.52,8.15
8,-57.3,-517.13,-184.38,26.46
9,-45.45,-507.22,-65.1,63.77
10,16.36,-570.5,-240.6,18.56
11,22.06,-436.75,-70.58,18.3
12,4.6,-419.73,-85.67,31.92
13,-71.61,-625.71,-106.05,55.84
14,-55.79,-536.31,-247.48,-5.72
15,-29.75,-510.38,-42.84,58.96
16,36.21,-351.7,-121.38,11.41
17,87.7,-295.17,-118.01,-1.34
18,-18.22,-473.87,-158.91,46.95
19,-46.83,-567.91,-197.9,45.57
20,-41.58,-552.57,-94.81,29.22
21,-51.16,-557.18,-77.39,64.58
22,33.62,-345.42,-145.8,11.77
23,-8.01,-442.64,-171.68,37.44
24,-30.26,-296.89,-107.52,8.78
25,73.59,-382.84,-130.01,20.2
26,-55.16,-798.35,-105.76,104.48
27,-42.51,-619.32,-184.39,51.16
28,28.7,-408.44,-193.29,-34.55
29,-59.11,-623.66,-149.91,11.95
30,-32.89,-569.13,-181.45,-49.21
31,-2.09,-514.8,-63.63,100.57
32,-17.44,-488.68,-131.14,42.66
33,-34.49,-497.39,-95.76,19.64
34,6.09,-471.96,-168.55,14.67
35,-1.7,-516.73,-202.93,20.93
36,-106.5,-544.49,21.99,64.16
37,-142.85,-351.03,-119.9,22.46
38,203.6,-448.32,-141.97,2.23
39,-56.89,-567.35,-169.29,34.55
40,20.02,-494.2,-184.12,23.37
41,3.93,-404.98,-184.78,25.7
42,-32.79,-628.02,-50.12,71.21
43,-22.34,-488.0,-109.13,32.7
44,24.78,-421.37,-128.51,21.82
45,-49.84,-584.17,-111.56,72.66
46,-33.46,-526.94,-146.19,39.51
47,-25.41,-546.12,-182.99,41.92
48,-29.63,-472.45,-72.08,50.05
49,-139.01,-166.17,-241.21,-43.98
50,143.57,-404.02,-245.23,-3.11
51,-49.49,-825.89,-134.48,85.75
52,7.51,-525.92,-34.09,77.74
53,-10.74,-517.72,-87.28,61.63
54,-20.52,-499.2,-120.15,43.16
55,-31.15,-536.47,-125.57,41.13
56,-30.6,-505.83,-186.51,28.27
57,-0.45,-515.63,-123.72,32.07
58,-22.92,-490.42,-100.78,44.0
59,-1.36,-360.62,-132.55,31.33
60,83.45,-277.02,-154.87,-6.65
61,-45.27,-646.25,-116.45,63.53
62,-31.35,-544.89,-155.85,50.16
63,-51.31,-546.87,-160.44,32.48
64,-35.65,-517.48,-90.33,53.09
65,10.44,-525.29,-126.52,30.87
66,-11.76,-490.78,-123.84,30.81
67,-76.63,-502.75,-140.32,43.29
68,9.02,-432.87,-122.94,32.81
69,20.64,-489.99,-135.63,29.78
70,13.58,-531.77,-121.2,42.51
71,-16.49,-523.06,-136.53,30.56
72,-17.41,-458.4,-133.02,24.88
73,86.78,-207.78,-164.58,-51.02
74,-59.05,-345.7,-438.83,-76.39
75,-58.29,-671.49,-163.94,69.41
76,16.97,-614.11,-41.07,63.77
77,-21.51,-562.9,-7.69,69.79
78,-42.15,-531.9,-99.84,40.86
79,-2.02,-535.3,-109.23,51.78
80,-12.79,-495.05,-117.2,37.49
81,-42.2,-501.2,-126.35,31.49
82,-22.96,-528.69,-121.72,37.78
83,1.71,-505.5,-134.5,22.04
84,2.05,-477.85,-130.67,28.79
85,-10.92,-473.35,-131.37,32.54
86,-19.38,-437.0,-198.15,9.22
87,1.06,-480.12,-129.41,27.45
88,-7.52,-544.1,-71.41,44.27
89,-6.5,-456.93,-152.3,16.08
90,-44.94,-401.78,-130.34,15.54
91,-22.77,-559.3,-190.71,11.46
92,5.91,-430.49,-219.77,-15.97
93,-64.51,-554.42,-54.59,53.97
94,38.46,-493.22,-206.13,8.35
95,-9.69,-513.64,-214.8,-2.06
96,-9.96,-424.94,-20.65,50.42
97,-59.0,-464.36,-85.71,30.71
98,6.57,-553.08,-110.62,28.14
99,-11.86,-567.72,-135.87,41.79
100,4.19,-509.57,-118.67,32.47
101,-32.55,-500.7,-117.93,30.88
102,-20.47,-476.56,-123.64,31.08
103,-28.45,-521.73,-125.89,35.06
104,-29.55,-486.41,-121.6,32.58
105,-68.93,-489.48,-128.54,32.97
106,39.85,-517.94,-130.5,23.07
107,0.16,-504.61,-126.74,27.88
108,-35.87,-456.49,-126.89,24.87
109,-7.06,-443.42,-128.34,15.01
110,-44.8,-521.95,-137.33,12.68
111,66.2,-395.83,-135.59,22.84
112,1.4,-437.97,-131.37,32.33
113,-12.67,-583.88,-128.72,34.2
114,-25.6,-520.88,-121.53,36.76
115,-12.97,-462.26,-123.18,26.86
116,-2.12,-533.0,-129.95,32.12
117,-14.78,-547.87,-131.34,24.85
118,-43.33,-509.39,-126.05,26.85
119,-54.85,-471.89,-117.9,31.59
120,36.84,-517.36,-125.7,20.7
121,-54.76,-510.36,-124.07,27.12
122,7.74,-515.48,-127.9,31.24
123,-14.44,-466.25,-120.22,40.3
124,12.3,-516.0,-124.35,27.49
125,-32.03,-487.59,-122.22,29.02
126,2.73,-430.1,-121.01,28.96
127,4.71,-514.73,-127.78,36.24
128,-6.03,-498.66,-114.9,33.85
129,10.11,-494.33,-112.83,36.29
130,-16.19,-476.53,-113.39,35.14
131,-19.93,-482.35,-118.04,28.09
132,-39.64,-528.92,-116.24,30.84
133,-31.74,-533.49,-117.67,34.03
134,5.19,-516.52,-112.29,26.64
135,-19.62,-547.01,-105.47,32.51
136,-5.24,-533.83,-105.75,26.9
137,-43.31,-451.88,-104.6,41.19
138,7.3,-399.08,-102.73,43.99
139,28.97,-391.98,-107.11,35.37
140,-13.94,-501.22,-99.69,55.69
141,-77.01,-483.97,-106.52,46.46
142,-15.38,-490.15,-97.94,41.02
143,-97.08,-502.15,-94.45,53.83
144,70.27,-492.32,-109.63,55.39
145,6.25,-465.8,-99.35,48.26
146,7.22,-501.27,-105.25,43.39
147,-34.47,-486.17,-105.5,47.61
148,14.82,-499.6,-107.84,41.93
149,-34.18,-515.86,-111.26,35.23
150,0.28,-484.42,-106.13,37.9
151,-2.23,-436.71,-105.17,57.3
152,-39.36,-470.75,-102.07,49.88
153,-70.72,-562.39,-99.84,46.88
154,-10.97,-553.77,-102.81,43.67
155,-12.11,-549.12,-111.39,34.16
156,25.22,-513.3,-105.8,48.21
157,-52.3,-515.22,-112.07,47.28
158,16.68,-361.62,-114.69,53.65
159,21.48,-460.79,-97.42,60.55
160,-3.54,-480.67,-99.57,54.3
161,3.62,-463.29,-104.95,55.72
162,-34.88,-541.51,-98.97,52.28
163,28.41,-366.79,-99.02,48.8
164,-121.87,-583.28,-108.33,34.88
165,54.92,-605.05,-105.21,35.99
166,42.77,-418.33,-105.51,42.6
167,29.48,-544.09,-105.75,39.18
168,-6.08,-460.97,-100.21,37.52
169,-16.0,-389.3,-101.31,35.67
170,-50.68,-476.9,-97.65,35.42
171,5.54,-514.22,-102.25,31.06
172,2.61,-361.83,-101.38,28.44
173,5.28,-370.32,-99.47,24.48
174,-40.22,-671.11,-108.09,27.01
175,28.61,-234.2,-97.29,44.52
