,ch1,ch2,ch3,ch4
0,-10.71,-402.89,-104.38,4.73
1,-24.34,-523.54,-103.01,18.68
2,-22.43,-421.6,-98.12,12.9
3,9.51,-366.89,-98.47,30.95
4,-24.91,-411.96,-92.54,25.06
5,-45.0,-579.28,-103.36,10.44
6,-48.83,-478.03,-98.18,19.95
7,25.26,-428.13,-92.84,14.93
8,-60.73,-631.97,-97.97,20.16
9,-27.51,-514.87,-104.65,12.18
10,-49.12,-533.92,-97.9,14.01
11,27.15,-326.9,-93.31,30.78
12,29.45,-450.05,-102.16,14.12
13,-35.7,-430.46,-91.79,18.14
14,3.91,-346.04,-103.01,14.54
15,-23.97,-549.42,-103.13,15.13
16,-26.56,-523.16,-104.7,16.0
17,-18.0,-455.8,-100.34,22.08
18,-36.24,-546.23,-105.09,8.99
19,-30.07,-452.79,-107.59,2.26
20,-31.77,-521.19,-105.71,9.58
21,-24.41,-460.56,-90.93,20.36
22,-27.54,-511.95,-96.84,17.31
23,-27.8,-443.71,-102.32,15.32
24,-19.31,-460.83,-104.92,9.67
25,-31.65,-510.83,-101.91,20.23
26,-1.77,-437.59,-97.88,17.33
27,-12.2,-458.67,-103.28,9.37
28,-48.97,-390.81,-105.57,0.22
29,-24.16,-516.47,-111.73,17.71
30,-5.78,-524.79,-101.26,30.91
31,23.14,-410.69,-106.61,17.69
32,-26.21,-341.38,-114.44,19.81
33,-26.41,-568.87,-101.49,15.24
34,-37.91,-533.07,-105.0,20.23
35,-20.66,-508.97,-108.97,6.42
36,-28.27,-454.87,-100.78,19.51
37,-13.67,-467.95,-105.12,10.31
38,-6.32,-440.34,-97.3,28.82
39,-34.77,-476.26,-105.54,20.89
40,-22.66,-465.79,-99.9,19.51
41,-4.94,-405.4,-93.61,25.03
42,-30.4,-603.64,-99.41,16.63
43,-32.85,-532.62,-104.98,18.85
44,-43.63,-537.45,-100.77,22.0
45,-8.6,-441.42,-108.55,21.6
46,1.1,-344.21,-99.32,25.66
47,-20.97,-447.32,-100.38,22.42
48,-18.5,-560.16,-98.26,21.82
49,0.73,-423.52,-102.35,16.87
50,-23.54,-346.58,-97.36,14.51
51,16.03,-486.23,-102.14,25.53
52,-27.6,-534.05,-100.64,29.7
53,-24.28,-511.11,-100.72,23.8
54,-32.99,-518.38,-111.01,16.04
55,10.75,-475.88,-103.95,21.04
56,-33.99,-391.54,-103.19,17.47
57,-37.87,-565.29,-102.81,20.36
58,-1.87,-498.37,-99.26,17.95
59,-9.28,-437.53,-94.16,18.27
60,-58.14,-532.94,-93.95,29.88
61,-16.46,-457.67,-97.7,27.01
62,-25.92,-478.37,-111.79,17.11
63,-15.06,-432.67,-94.28,20.8
64,4.24,-468.55,-105.24,26.3
65,-22.04,-526.42,-108.89,11.9
66,-5.4,-504.83,-107.03,10.51
67,9.98,-185.44,-102.84,15.28
68,-14.95,-521.06,-99.51,26.69
69,-42.77,-581.29,-92.54,28.38
70,9.16,-470.82,-91.09,20.99
71,-15.47,-506.83,-88.87,26.1
72,-26.88,-539.84,-99.25,15.76
73,-7.29,-453.47,-102.02,11.59
74,-2.04,-410.79,-96.38,15.82
75,-27.06,-482.38,-85.25,20.17
76,-23.71,-374.48,-104.11,-3.59
77,-10.19,-519.36,-105.76,12.87
78,-14.62,-466.92,-90.65,30.45
79,-4.31,-508.6,-97.86,26.85
80,-49.45,-436.14,-95.98,27.74
81,-30.79,-565.0,-108.79,16.63
82,0.04,-402.3,-105.96,21.97
83,6.04,-399.75,-98.8,24.96
84,-30.66,-585.02,-94.88,33.29
85,-11.49,-459.7,-97.22,21.17
86,-3.3,-462.16,-97.95,28.16
87,-45.84,-481.24,-99.51,21.94
88,-28.52,-518.33,-97.33,23.04
89,-4.9,-424.65,-93.17,22.82
90,-15.34,-448.95,-99.8,18.51
91,-21.07,-486.78,-106.72,16.49
92,-14.37,-495.8,-97.3,16.3
93,6.66,-432.86,-89.82,16.76
94,-31.51,-496.15,-99.85,11.94
95,-80.25,-430.29,-101.26,37.28
96,-0.89,-527.64,-105.17,25.81
97,-10.5,-500.81,-110.31,23.98
98,-3.69,-473.0,-103.49,24.55
99,0.3,-393.47,-94.35,28.2
100,-18.61,-518.44,-111.32,15.89
101,-44.07,-540.93,-105.81,9.1
102,-21.81,-454.22,-99.68,20.31
103,-23.88,-477.19,-92.87,32.34
104,-10.72,-459.23,-103.83,26.46
105,-12.96,-412.6,-108.81,21.53
106,-10.29,-459.83,-107.79,23.49
107,-13.29,-489.6,-101.52,16.95
108,-16.37,-430.77,-104.56,20.3
109,-44.98,-515.36,-96.3,22.56
110,-20.04,-483.96,-90.93,20.88
111,-12.47,-492.09,-103.39,19.92
112,19.15,-333.94,-107.93,11.66
113,-28.66,-551.61,-105.65,21.4
114,3.01,-469.4,-100.04,21.67
115,-21.22,-495.08,-111.15,13.74
116,-24.49,-483.54,-101.74,23.31
117,-17.37,-465.56,-105.88,16.73
118,-14.14,-450.49,-101.82,19.03
119,-5.23,-501.49,-100.07,21.96
120,-23.81,-461.8,-99.94,22.85
121,-24.0,-463.92,-100.74,16.39
122,-14.13,-471.27,-101.03,20.67
123,-21.69,-480.79,-104.81,22.2
124,-63.39,-516.7,-97.9,21.47
125,6.11,-496.51,-98.03,21.51
126,-7.76,-431.44,-98.71,24.1
127,4.2,-462.06,-103.22,21.33
128,4.65,-453.69,-106.6,22.69
129,-20.32,-503.81,-101.05,22.61
130,-21.65,-409.89,-100.18,16.65
131,0.8,-431.41,-100.71,24.63
132,-21.95,-490.56,-103.98,23.28
133,-12.07,-461.81,-106.67,21.45
134,-5.39,-416.36,-105.77,19.36
135,-22.1,-463.35,-106.21,20.65
136,-6.55,-452.72,-101.13,21.15
137,-19.73,-407.36,-107.29,23.31
138,-16.76,-452.83,-104.93,20.31
139,-41.83,-535.59,-108.3,20.93
140,-39.32,-507.51,-104.88,21.73
141,-16.62,-523.31,-106.05,19.72
142,5.08,-436.0,-102.64,20.93
143,-6.23,-433.27,-105.07,18.81
144,-14.22,-473.88,-111.06,15.07
145,-16.75,-425.38,-106.65,19.45
146,-25.55,-492.54,-104.98,21.73
147,-29.22,-466.0,-109.67,21.08
148,1.13,-420.82,-106.55,16.04
149,-23.71,-413.6,-106.6,12.69
150,8.13,-464.82,-110.53,-0.24
151,-22.82,-446.25,-112.38,9.51
152,-27.35,-454.75,-114.23,5.97
153,-33.06,-483.48,-105.6,17.51
154,-11.55,-384.94,-108.96,19.89
155,-11.21,-437.8,-108.51,20.66
156,-5.16,-440.43,-101.63,27.2
157,-6.66,-441.9,-103.07,5.63
158,-6.55,-448.05,-104.49,0.53
159,-25.99,-472.6,-98.12,21.56
160,-20.79,-455.37,-95.15,20.12
161,-24.82,-466.81,-102.28,3.84
162,-27.75,-474.98,-100.93,22.2
163,-26.3,-494.99,-103.29,19.75
164,-28.69,-436.4,-96.64,17.19
165,-11.11,-361.45,-102.3,17.88
166,-18.18,-441.43,-104.75,15.78
167,-32.18,-512.39,-101.59,14.03
168,-17.8,-445.17,-95.44,17.68
169,-25.86,-484.25,-99.4,11.29
170,-15.49,-432.32,-100.85,2.78
171,-19.46,-407.02,-106.15,1.68
172,-29.34,-425.95,-100.14,28.36
173,-30.54,-398.63,-95.66,25.15
174,-25.59,-563.31,-94.69,22.5
175,-32.27,-517.45,-97.64,11.08
176,-18.87,-467.61,-99.46,21.39
177,-6.9,-383.85,-94.57,20.43
178,-18.23,-394.02,-93.23,-3.04
179,-15.54,-433.56,-95.13,8.67
180,-25.8,-476.97,-101.06,14.39
