,ch1,ch2,ch3,ch4
0,-5.37,-463.02,-102.78,19.44
1,-21.1,-460.48,-98.4,24.32
2,13.99,-352.33,-92.12,31.4
3,-30.91,-413.77,-94.74,20.18
4,-21.62,-515.85,-98.87,20.62
5,18.56,-340.85,-92.46,30.34
6,-24.18,-507.65,-88.47,25.39
7,-11.26,-505.1,-95.51,25.21
8,9.12,-432.24,-95.99,30.28
9,-68.89,-502.09,-94.38,23.61
10,12.17,-433.31,-96.88,25.1
11,8.71,-468.76,-102.25,23.26
12,-57.61,-446.37,-97.69,27.09
13,25.39,-464.23,-102.1,31.27
14,-45.79,-404.24,-100.07,22.4
15,-5.76,-483.72,-97.81,33.07
16,-4.63,-469.31,-96.19,33.43
17,1.61,-455.83,-95.14,33.04
18,-17.05,-468.44,-95.23,33.78
19,-39.04,-463.86,-94.75,29.08
20,-43.14,-359.99,-106.16,18.96
21,13.68,-423.93,-93.52,38.2
22,1.0,-525.63,-103.03,29.93
23,-7.59,-515.87,-101.5,30.69
24,-10.01,-446.38,-101.11,27.71
25,-5.07,-415.62,-96.45,32.4
26,-18.02,-423.86,-99.77,24.91
27,-28.51,-409.72,-97.49,21.49
28,-26.76,-458.27,-98.41,31.53
29,-21.69,-471.8,-102.75,24.8
30,26.41,-404.33,-89.87,39.18
31,-2.94,-527.98,-97.35,31.73
32,-12.83,-472.96,-96.23,31.13
33,-21.06,-483.91,-98.65,30.94
34,-18.09,-496.51,-97.26,34.17
35,-7.0,-313.0,-96.79,34.01
36,-54.56,-512.47,-104.5,14.52
37,-22.33,-451.06,-89.71,34.96
38,-19.21,-262.8,-95.08,28.29
39,21.77,-578.88,-87.43,29.02
40,-16.85,-518.76,-96.66,42.84
41,7.04,-456.65,-98.64,31.4
42,-8.9,-464.61,-98.68,26.18
43,-33.45,-452.81,-97.91,26.29
44,-10.71,-379.17,-92.15,32.75
45,-40.44,-591.57,-96.79,25.34
46,-25.12,-402.49,-94.44,39.03
47,4.03,-431.31,-96.67,26.27
