,ch1,ch2,ch3,ch4
0,-85.88,-31.13,23.61,4.81
1,-326.48,-13.98,45.28,52.37
2,-253.0,26.12,42.19,26.5
3,-233.72,59.14,41.46,62.93
4,-233.77,-0.91,33.31,46.83
5,-210.38,-138.53,29.97,48.89
6,-178.59,135.86,27.61,28.17
7,-202.13,-90.63,28.48,28.51
8,-160.47,61.35,29.62,26.91
9,-186.78,-26.67,20.31,-10.38
10,87.32,43.92,18.79,-7.85
11,84.53,-21.11,9.79,-34.34
12,-102.58,26.64,-0.43,-7.04
13,-31.93,11.57,2.73,-27.77
14,-16.77,-4.9,13.24,-26.47
15,-17.03,1.24,1.74,-8.79
16,-35.55,-1.36,18.02,-2.93
17,-24.48,42.07,18.22,-1.3
18,-22.19,11.52,10.86,-20.08
19,-29.54,-6.93,11.16,-19.6
20,-52.81,-58.55,17.03,-13.23
21,-16.17,6.64,9.96,-19.77
22,11.46,16.14,12.73,-12.79
23,-28.39,-11.5,11.17,-1.87
24,-64.34,-9.47,4.67,-16.34
25,38.58,-12.47,15.88,-10.53
26,-8.46,6.02,24.69,-11.36
27,-163.03,24.31,16.08,-10.83
28,106.87,11.35,0.9,-20.88
29,62.59,42.24,6.51,-14.75
30,33.02,3.71,10.53,-12.18
31,-149.05,-15.15,2.11,-18.58
32,-81.61,-16.43,5.28,-16.42
33,1.55,-2.96,13.8,-14.51
34,-0.97,10.42,10.12,-15.74
35,-37.59,25.29,6.5,-13.56
36,21.74,28.56,8.14,-13.27
37,-10.66,102.85,15.56,-0.5
38,-0.44,12.56,8.81,-14.17
39,11.16,42.04,9.5,-12.4
40,-61.88,-84.0,9.36,-19.51
41,-42.62,-1.71,2.0,-23.4
42,-50.48,-28.44,12.07,-17.58
43,48.99,10.85,3.54,-21.14
44,30.03,77.07,9.22,-12.65
45,59.99,4.34,5.28,-22.79
46,-89.21,-51.9,6.29,-15.21
47,-85.02,16.91,16.85,-7.89
48,12.0,107.86,15.19,-7.84
49,17.12,-38.52,-5.47,-31.95
50,83.58,-31.54,2.33,-24.23
51,-37.42,-16.41,5.86,-16.59
52,-82.37,35.54,9.09,-14.77
53,-23.48,-9.98,9.46,-18.38
54,-35.83,19.27,8.13,-11.12
55,7.46,63.78,14.19,-2.1
56,-34.95,29.96,8.48,-9.31
57,51.95,-13.15,1.88,-18.0
58,-57.86,-42.59,6.48,-19.24
59,-5.91,33.28,10.54,-11.85
60,1.42,18.17,-3.18,-26.61
61,-0.17,7.83,4.01,-21.67
62,-45.13,29.46,15.8,-6.97
63,14.15,-81.86,10.29,-32.22
64,52.75,28.92,-2.96,-29.26
65,-91.58,12.74,6.66,-7.72
66,-39.95,48.7,3.15,-11.53
67,42.52,32.11,8.54,-15.99
68,-14.59,-9.32,9.39,-12.9
69,45.35,12.43,8.47,-11.68
70,-56.4,16.29,2.2,-14.44
71,-103.76,-10.89,12.89,-10.11
72,36.2,68.16,8.54,-15.19
73,101.67,8.8,4.46,-23.58
74,56.65,-2.67,6.51,-24.46
75,-138.03,-33.1,8.01,-22.42
76,-76.74,4.78,13.06,-11.55
77,1.72,29.34,8.96,-19.14
78,83.65,36.34,4.95,-19.7
79,12.89,-4.12,10.84,-12.94
80,-58.45,-13.98,10.56,-18.6
81,10.32,60.94,6.55,-21.59
