,ch1,ch2,ch3,ch4
0,-26.54,6.88,-50.09,6.07
1,9.33,40.1,29.93,-33.5
2,0.29,28.22,-86.83,-10.05
3,0.39,43.41,4.89,-15.4
4,-50.51,3.25,11.46,5.09
5,39.56,6.24,199.39,-14.9
6,150.55,42.95,-3.59,-6.71
7,-212.03,-25.83,43.88,20.97
8,-57.37,5.85,0.83,-40.8
9,-23.91,-0.62,-83.53,-16.53
10,-7.35,49.13,37.27,-13.24
11,-4.12,14.4,-31.85,-17.19
12,5.81,13.8,-10.57,29.7
13,-7.15,-52.61,-21.36,-34.21
14,-41.65,-18.79,-30.1,-12.1
15,-2.54,13.76,34.86,-14.72
16,-23.91,1.85,-15.88,-26.83
17,-14.17,50.15,-41.87,-1.11
18,87.88,36.45,183.66,-13.38
19,87.87,-47.96,308.88,-36.8
20,-184.68,1.15,-201.74,39.94
21,-61.81,36.25,-49.23,-26.44
22,-8.38,-4.23,-2.31,-57.52
23,-21.29,47.86,-157.9,36.45
24,-13.82,-26.31,-15.89,-53.73
25,8.29,25.14,-6.94,13.46
26,-6.66,29.72,39.45,-26.89
27,29.9,12.2,100.97,8.48
28,-92.49,7.13,-49.63,-4.34
29,50.57,61.39,-25.66,-6.6
30,-63.15,74.54,90.41,-20.62
31,-72.55,-83.96,85.22,-17.73
32,-14.55,6.01,142.82,-14.37
33,6.75,19.44,64.72,-21.59
34,-48.88,11.83,-277.78,-29.97
35,23.51,24.32,-78.59,-18.99
36,-6.95,35.95,75.36,-21.65
37,-20.24,20.26,-23.51,29.4
38,-2.21,5.77,-7.46,-26.27
39,35.0,24.92,-20.18,-3.42
40,43.37,0.7,15.31,-8.17
41,-94.0,-26.76,83.95,-14.56
42,-62.59,47.01,-27.22,-15.02
43,90.49,32.08,70.54,-28.29
44,-117.94,18.57,-56.49,13.88
45,-44.12,-31.42,50.28,22.52
46,-7.2,37.71,135.46,-4.2
47,5.31,59.86,121.75,-52.03
48,-29.72,5.42,-195.02,37.44
49,-43.01,-29.16,-18.29,-70.19
50,13.39,-3.81,-78.29,-9.68
51,-6.2,38.58,8.09,-12.32
52,90.6,63.04,-3.53,3.59
53,-52.49,68.83,7.88,-10.57
54,-74.34,-3.24,65.43,-7.78
55,-0.85,-11.72,-40.84,-0.17
56,-30.23,18.21,-10.57,-23.58
57,-18.35,19.96,-13.73,-29.12
58,16.0,39.06,118.72,-11.65
59,89.73,3.99,-2.1,-41.8
60,-124.22,-21.09,-1.82,6.83
61,-53.8,-8.92,53.81,-4.27
62,-26.01,18.91,-20.79,-20.75
63,-18.88,9.48,-63.01,-0.59
64,15.29,14.49,380.81,-12.48
65,44.58,34.86,-262.93,4.65
66,25.27,45.49,-65.83,-35.01
67,-104.85,-9.14,-1.99,-0.56
68,-34.69,-7.56,-53.46,-35.63
69,-30.73,60.59,8.11,51.31
70,-0.94,-29.95,-0.06,-39.43
71,-17.3,-33.43,12.43,-15.34
72,7.92,18.33,3.4,-20.1
73,17.25,26.63,51.12,-20.5
74,-55.99,51.44,110.45,-35.08
75,-10.86,-6.15,-3.28,11.8
76,14.42,-3.18,5.74,7.17
77,-5.58,-3.88,-42.96,-11.65
78,-29.1,34.99,-56.7,-20.96
79,-33.23,3.56,4.03,-19.19
80,44.29,-14.43,161.13,-31.29
81,-30.25,15.25,-97.1,15.91
82,27.72,33.66,95.29,-0.07
83,-130.78,36.59,-112.15,-5.75
84,-29.21,-5.57,21.65,-15.36
85,-30.36,-37.96,48.33,-10.15
86,-9.35,-42.9,0.0,-5.46
87,-13.18,19.7,25.19,-15.93
88,-3.76,21.35,1.42,-17.24
89,22.08,18.83,31.63,-5.69
90,-19.53,40.54,45.21,-11.55
91,-48.07,39.84,23.96,19.45
92,-18.39,-18.8,-101.83,11.09
93,-12.63,-26.18,-21.59,-73.69
94,-16.23,24.21,-27.06,-2.05
95,-15.05,13.83,-13.63,-11.4
96,-16.0,11.15,60.46,-7.54
97,68.25,-14.52,-28.16,4.51
98,-94.07,24.11,-3.18,-1.4
99,-39.15,43.38,3.54,-4.4
100,21.81,-8.52,-2.81,-11.64
101,-0.82,41.5,-7.6,-51.05
102,38.68,38.84,78.02,1.01
103,-83.51,-71.33,8.51,-6.5
104,-49.42,37.8,-44.88,-2.68
105,-30.74,0.35,-7.8,-1.67
106,28.57,7.97,-3.63,-4.9
107,-38.72,52.17,-4.4,-3.68
108,-57.99,1.43,-2.79,-32.98
109,-0.51,5.24,32.43,-20.2
110,-12.91,5.53,16.49,-26.6
111,-16.54,34.22,109.67,39.56
112,19.06,20.69,14.01,-45.54
113,-36.31,21.81,-94.61,3.89
114,-22.82,10.18,-33.13,-21.76
115,-20.51,10.92,-9.19,14.28
116,-13.11,11.67,86.79,-7.55
117,-20.58,23.93,56.83,-26.1
118,-13.4,22.25,-29.21,-1.11
119,-15.95,-13.89,-11.82,-39.26
120,112.31,26.78,-34.89,72.73
121,-96.81,35.04,-19.26,-64.49
122,-85.11,33.59,-13.43,-22.53
123,-4.69,-26.83,92.43,-28.05
124,-35.24,-0.68,58.94,-29.67
125,-46.51,-29.73,-29.98,-8.92
126,2.57,54.82,-46.55,19.69
127,4.97,56.18,35.41,-12.7
128,-7.38,15.94,-36.39,38.12
129,81.81,-8.36,122.61,-63.86
130,-32.6,46.49,-94.76,-29.81
131,-20.32,38.38,-1.36,29.09
132,-94.07,29.42,7.29,-34.22
133,-13.79,23.48,96.73,-17.22
134,-32.08,-14.36,-26.5,-11.41
135,-72.97,-35.25,141.31,-25.39
136,0.81,7.71,34.86,-34.34
137,-1.31,49.43,-108.36,5.01
138,-13.3,18.13,-33.26,-4.23
139,-11.17,7.98,-1.64,-1.51
140,-13.24,21.1,3.79,-23.16
141,-3.05,24.82,-9.08,-9.7
142,1.03,51.75,-12.9,-8.14
143,-29.61,35.23,44.3,19.1
144,-30.24,7.76,26.2,-34.33
145,-2.27,21.12,28.04,19.72
146,137.09,28.41,-11.04,34.34
147,-126.94,54.57,-36.83,-44.95
148,-95.91,9.94,51.65,-41.12
149,16.69,-0.81,-35.87,-21.58
150,-43.45,22.57,12.72,-20.54
151,-6.65,20.23,63.22,2.79
152,-46.89,-71.67,0.19,-30.85
153,-8.67,42.4,-34.52,24.71
154,-19.75,1.99,18.48,-23.83
155,-22.62,15.31,-21.52,-53.13
156,27.51,20.06,39.71,14.19
157,-35.94,48.08,158.47,2.07
158,-18.44,39.02,-91.56,-14.81
159,-17.14,50.55,-30.04,-8.07
160,-21.82,-7.32,-8.66,-19.81
161,-28.65,-14.07,56.99,-22.57
162,-8.42,-17.27,29.3,25.05
163,101.54,54.25,78.25,-37.52
164,-92.27,44.22,-88.24,-28.03
165,-102.61,47.71,77.96,10.71
166,0.29,4.04,48.33,-38.07
167,20.99,12.68,-68.42,-10.68
168,-24.98,46.44,-14.08,-18.99
169,-5.68,22.75,-1.31,-11.6
170,-39.35,70.02,-9.47,-15.82
171,-41.26,58.61,26.94,-10.71
172,8.59,17.88,-3.72,12.59
173,-7.64,-65.12,37.97,-45.43
174,-44.14,46.94,18.32,-12.6
175,-30.44,48.44,-28.02,1.59
176,-16.21,-20.49,5.89,-6.24
177,-19.21,-16.15,3.96,-15.32
178,-14.43,8.07,8.58,-7.37
179,-12.98,32.5,4.07,-17.1
180,-5.56,60.57,17.88,-17.98
181,-14.81,58.64,29.76,3.88
182,2.34,-4.74,25.31,13.77
183,-35.22,10.53,-18.57,-42.71
184,-22.28,36.25,-0.4,-16.38
185,-25.71,20.71,-6.35,-20.49
186,-23.48,4.95,4.34,-10.55
187,-23.69,4.03,6.05,-9.36
188,-21.51,18.94,8.02,-20.04
189,-15.69,21.21,2.07,-7.03
190,-12.5,35.93,5.3,-1.09
191,-21.24,1.67,4.73,-14.63
192,-21.49,32.91,4.05,-17.38
193,-14.39,62.42,4.89,-7.11
194,-17.33,50.03,3.67,-10.94
195,-15.26,54.57,5.78,-14.39
196,-20.15,-25.68,4.26,-24.13
197,-10.06,49.84,1.96,-20.47
198,0.34,51.06,3.49,-12.62
199,4.58,82.94,1.86,-12.56
200,3.14,144.32,4.57,-11.08
201,-12.98,45.89,2.06,-17.26
202,-20.18,38.34,3.16,-34.65
203,-0.35,95.82,14.6,-6.73
204,53.67,83.02,5.41,-34.45
205,1.15,148.6,-11.37,-46.1
206,9.17,236.84,15.14,16.33
207,-10.46,56.6,0.16,-22.86
208,-127.49,-273.81,10.78,-54.64
209,-78.21,-197.16,-22.35,-31.96
210,-30.26,138.12,-18.51,-25.5
211,123.3,266.84,40.55,74.36
212,-35.85,31.64,-13.1,103.15
213,-56.48,-88.6,-3.72,-117.57
214,-21.91,28.56,13.92,-19.89
215,-66.38,-207.28,-6.92,-54.04
216,-40.56,-40.19,-4.7,-50.93
217,-26.28,-1.51,-1.65,18.93
218,-18.45,-10.6,-3.92,4.82
219,-17.05,19.7,-5.4,-50.27
220,-11.87,24.12,-18.35,-14.29
221,-1.17,117.51,-34.02,-105.07
222,16.76,156.2,-2.06,15.26
223,26.43,100.45,4.93,4.75
224,-61.21,-149.67,-15.62,-35.65
225,10.73,97.25,-10.63,-12.09
226,-15.89,136.38,-15.49,-15.0
227,-19.33,-61.24,-12.18,-18.56
228,-42.21,144.67,-14.87,-20.96
