,ch1,ch2,ch3,ch4
0,-23.5,-11.65,-8.87,-43.57
1,-24.27,26.06,24.77,-48.74
2,-11.03,50.11,18.36,35.53
3,-19.71,15.3,-5.89,-14.61
4,-24.61,25.84,40.72,-26.96
5,-13.14,43.18,34.99,-17.89
6,-12.68,15.89,-43.14,54.07
7,-33.01,-40.14,2.2,-51.46
8,-18.87,21.92,58.17,50.45
9,-19.6,-11.32,18.99,-44.45
10,-8.06,89.25,21.44,-57.54
11,-21.33,76.3,-16.36,30.26
12,-18.47,-3.89,-23.38,20.41
13,-33.54,-13.94,27.96,-116.36
14,-11.98,-37.07,-1.66,17.23
15,-28.38,57.04,8.72,-27.23
16,-12.65,115.16,-2.67,24.8
17,-13.58,10.08,13.47,-46.05
18,-27.13,-29.05,15.37,9.57
19,-21.67,4.74,1.7,8.05
20,-25.44,14.85,14.38,2.35
21,-21.79,8.98,-11.79,25.48
22,-14.76,44.33,77.14,61.8
23,-25.94,18.28,18.79,-111.82
24,-16.85,48.09,7.97,-12.05
25,-6.43,-24.16,37.65,-8.99
26,-11.5,64.37,2.68,-61.06
27,-21.8,37.08,-32.57,-47.95
28,-24.11,19.54,-14.9,9.31
29,-18.37,35.84,-21.82,-37.43
30,-26.01,-4.46,5.24,-13.43
31,-17.74,-26.02,59.56,60.03
32,-21.78,75.29,-26.62,-53.87
33,-18.85,8.56,-16.05,-17.26
34,-21.43,19.21,15.03,66.42
35,-17.2,5.35,6.86,-103.12
36,-11.81,45.67,46.77,43.61
37,-25.55,6.8,-25.4,-41.83
38,-18.23,42.16,55.72,0.84
39,-14.97,24.81,-10.58,87.97
40,-18.34,11.54,-5.74,-111.12
41,-14.12,36.97,-10.46,-26.68
42,-14.98,57.01,-4.09,-35.98
43,-9.07,28.61,9.72,4.7
44,-12.07,41.83,-1.05,-78.58
45,-16.19,-17.07,7.07,17.14
46,-34.24,2.95,6.03,-28.82
47,-20.66,-7.96,12.02,48.47
48,-20.26,11.52,36.01,-13.06
49,-25.41,6.06,74.72,-7.81
50,-22.45,4.86,-71.05,-60.94
51,-15.2,8.61,71.55,75.16
52,-14.89,56.79,-30.31,-109.68
53,-20.38,24.48,-13.93,26.97
54,-23.62,7.98,6.51,10.93
55,-17.72,10.07,1.81,-73.57
56,-21.69,29.95,5.49,-12.36
57,-15.9,47.41,13.33,-19.9
58,-23.1,-62.23,6.76,-22.68
59,-15.41,16.85,-15.05,-88.93
60,-12.79,83.45,31.05,1.52
61,-13.1,35.7,-6.19,107.91
62,-20.12,-16.41,40.21,-24.79
63,-25.51,23.4,-2.02,-31.4
64,-17.06,-21.38,92.82,77.24
65,4.11,59.88,-25.32,-83.9
66,-15.1,39.07,77.47,82.41
67,-51.07,2.89,-70.18,-133.83
68,-23.58,73.43,10.56,-15.87
69,-28.49,-39.07,7.21,-26.42
70,-17.0,-1.48,13.78,-26.03
71,-9.7,47.97,36.02,-20.14
72,-29.1,22.76,-19.53,-11.21
73,-29.65,-22.03,4.07,-7.13
74,-24.77,3.53,6.03,-4.84
75,-17.51,58.79,19.3,-44.67
76,-15.12,-37.51,35.99,-3.67
77,-8.52,38.49,-50.64,34.43
78,-24.91,11.68,9.34,-33.54
79,-20.49,56.13,4.36,58.18
80,2.72,52.18,5.41,-29.34
81,-11.44,38.0,23.29,-37.15
82,-40.69,-37.59,-4.39,-42.63
83,-8.18,28.94,-3.82,-4.66
84,-24.79,-82.27,45.3,-47.84
85,-23.77,47.47,7.83,-78.12
86,-20.91,114.07,24.32,34.41
87,-10.86,108.2,-6.95,-38.66
88,-20.74,-72.99,20.23,-3.1
89,-19.02,-15.35,-65.11,183.08
90,8.03,129.02,113.86,-152.47
91,-8.5,37.77,-13.03,58.08
92,-10.6,44.12,-49.95,-3.58
93,-34.48,-47.13,0.16,-81.6
94,-34.35,-12.24,15.2,-66.42
95,-34.39,-8.9,-7.05,-44.55
96,-13.04,8.93,18.31,-20.69
97,-5.77,36.25,8.61,-13.17
98,-19.97,39.99,-13.96,-14.29
99,-20.2,43.11,24.55,-17.04
100,-19.07,-20.7,21.47,-85.14
101,-23.85,39.64,22.14,14.49
102,-7.61,51.41,-31.25,47.0
103,-17.91,74.97,85.44,-45.52
104,-13.34,16.56,-0.49,17.3
105,-37.02,-0.77,-12.14,-52.45
106,-26.47,-10.78,-1.03,12.99
107,-25.91,13.81,-18.93,-55.4
108,-16.44,34.95,-12.62,93.91
109,-13.19,93.75,-5.23,-130.63
110,-22.33,1.62,-17.94,-58.57
111,-9.64,75.85,29.78,-12.17
112,-25.04,-40.71,18.31,1.34
113,-28.87,-24.73,37.88,-23.55
114,-7.98,57.62,51.69,-25.49
115,-25.18,-8.86,-44.74,-55.6
116,-14.08,13.61,15.77,81.06
117,-23.45,-1.71,-21.09,-53.69
118,-2.54,82.49,37.49,-13.33
119,-21.19,41.2,-8.87,-34.33
120,-44.01,-122.26,-3.7,9.65
121,-18.45,58.26,6.98,-55.66
122,-15.99,44.88,2.43,-29.81
123,-18.23,-9.33,18.84,-50.17
124,-17.23,30.12,24.54,43.9
125,-17.54,23.02,17.95,-32.8
126,-19.14,23.52,8.0,-30.5
127,-5.88,30.33,-13.65,-18.11
128,0.76,75.25,1.57,-27.47
129,-31.92,-11.17,5.53,-22.48
130,-24.23,18.54,6.15,-22.31
131,-25.33,-3.16,1.09,-22.39
132,-21.79,15.15,7.89,-22.94
133,-8.48,82.38,10.71,-34.44
134,-16.12,-27.25,10.69,-15.86
135,-14.56,52.47,6.65,-18.54
136,-9.84,51.55,13.66,-15.06
137,-24.25,24.89,4.13,-22.11
138,-25.51,9.12,5.29,-20.48
139,-13.03,14.8,8.83,-20.47
140,-12.06,-18.19,11.72,-20.71
141,-10.49,46.57,15.46,-16.2
142,-15.28,-26.0,14.96,-14.47
143,-23.66,32.85,16.92,-14.93
144,-11.49,26.7,-3.89,-30.01
145,-21.27,-2.2,9.18,-22.51
146,-20.32,-19.13,10.11,-23.28
147,-11.93,28.19,8.76,-21.56
148,-13.38,29.23,10.43,-19.56
149,-18.96,34.07,9.62,-18.84
150,-16.08,-34.52,6.93,-20.23
151,-10.02,-8.09,8.44,-21.4
152,-15.74,5.83,6.55,-20.97
153,-13.92,47.65,9.13,-11.94
154,4.74,48.41,8.43,-16.67
155,-16.96,1.55,3.55,-20.9
156,13.57,58.64,4.61,-16.49
157,19.4,122.62,4.4,-8.09
158,-5.97,-56.78,4.55,-26.76
159,-4.21,-36.84,5.19,-24.07
160,-45.64,3.65,5.52,-27.65
161,-30.94,54.43,5.58,-21.13
162,-41.22,-63.44,2.02,-25.45
163,-34.89,2.12,1.37,-25.43
164,20.99,99.25,4.04,-24.77
165,38.18,139.22,3.46,-13.82
166,-47.61,70.51,3.81,-18.3
167,-29.59,-55.92,2.81,-19.4
168,-35.3,86.99,2.51,-22.97
169,-49.86,18.3,-4.89,-27.73
170,33.09,2.81,-5.59,-25.38
171,81.08,61.12,5.09,-19.07
172,-7.63,36.04,-2.93,-31.15
173,-93.19,25.53,3.76,-24.76
174,-19.71,-2.74,-5.41,-27.53
175,-22.27,43.62,-7.19,-29.59
176,11.13,1.82,-1.47,-15.69
177,37.94,84.21,3.72,-28.57
178,-47.42,17.92,-1.11,-27.5
179,-11.66,39.01,2.38,-22.2
180,-46.91,97.24,5.31,-20.12
181,10.12,-28.08,-3.32,-33.26
182,38.64,-66.35,-8.04,-45.12
183,24.58,147.57,-3.77,-35.82
184,39.51,98.74,-2.84,-24.35
185,-20.2,-44.96,-12.25,-34.19
186,-20.78,99.32,-9.26,-33.8
187,-19.63,42.09,-5.24,-29.12
188,-41.83,29.24,-4.49,-25.24
189,-34.32,43.76,2.36,-22.3
190,-170.66,-93.08,0.59,-29.48
191,-167.97,-62.09,13.93,-6.93
192,102.85,121.05,1.89,-23.43
193,231.65,204.02,-29.45,-53.39
194,132.28,168.23,-9.97,-30.3
195,-18.37,-86.02,-13.58,-45.06
196,50.76,103.63,-8.09,-37.86
197,-18.08,-10.67,-12.34,-37.74
198,-89.78,98.39,-13.59,-33.46
199,-19.12,33.33,-8.62,-35.9
200,-8.12,-14.99,-11.6,-42.83
201,4.18,87.67,-10.51,-55.97
202,-31.36,52.82,-3.78,-16.57
203,-49.29,-21.5,0.77,-24.75
204,-43.93,-54.54,-3.98,-36.56
205,1.46,43.19,-9.22,-39.2
206,-48.72,106.79,-5.56,-37.77
207,6.64,26.37,-9.08,-45.28
208,36.33,41.25,-6.46,-47.81
209,-21.31,9.57,-5.12,-34.53
210,34.09,130.6,-10.07,-42.07
211,-3.26,104.79,-12.59,-37.77
212,-29.49,0.49,-3.68,-29.46
213,6.19,-33.71,-15.52,-48.5
214,16.4,-4.44,-18.24,-47.15
215,5.64,65.87,9.09,-24.92
216,-61.28,22.5,-4.69,-31.01
217,-24.02,0.35,-7.91,-39.05
218,46.32,44.86,-15.22,-43.22
219,-38.34,115.87,-11.24,-33.36
220,-6.17,-41.16,-14.28,-46.34
221,3.51,40.42,-11.04,-36.98
222,4.55,32.41,-12.27,-35.47
223,-16.63,170.16,-1.13,-30.85
224,-186.01,-8.29,6.31,-22.72
225,-13.9,-95.53,-4.45,-33.09
226,144.13,26.83,-21.63,-51.56
227,35.02,47.98,-9.74,-35.77
228,-17.23,-5.43,-2.15,-25.94
229,17.83,76.31,-9.0,-39.03
230,-40.67,160.96,-2.58,-26.35
231,2.0,0.38,-5.54,-30.12
232,18.94,-13.65,-16.39,-47.35
233,-25.96,-20.41,-10.86,-44.48
234,-2.49,30.75,-8.53,-41.6
235,-34.76,27.92,-4.82,-36.21
236,-3.98,39.61,-5.69,-35.13
237,-57.38,69.76,-5.45,-32.68
238,-61.61,7.61,-2.24,-31.44
239,17.14,123.9,-2.3,-29.83
240,53.97,12.61,-9.86,-42.88
241,-21.99,-16.59,-8.6,-39.7
242,5.3,22.95,-4.72,-32.07
243,-9.77,38.84,-4.38,-32.97
244,-6.49,49.18,-0.2,-27.29
245,43.35,66.77,-1.99,-30.96
246,-23.21,16.24,-8.8,-42.72
247,36.85,46.31,-5.53,-35.45
248,-74.57,-41.15,-8.89,-40.58
249,15.39,34.96,-8.66,-39.79
250,-38.06,27.1,-3.67,-31.86
251,45.5,62.37,-3.16,-32.56
252,60.69,26.53,-7.08,-40.22
253,4.27,177.15,2.31,-30.53
254,-88.79,-28.81,-8.32,-48.31
255,43.65,56.46,1.08,-29.83
256,18.11,36.84,-7.23,-34.68
257,-190.11,37.19,-4.33,-30.19
258,145.26,126.99,3.56,-36.64
259,198.42,162.81,-34.76,-42.53
260,-55.09,28.74,-6.69,-35.93
261,165.15,169.93,-13.56,-38.43
262,-87.93,151.72,-3.78,-26.37
263,-129.42,-219.24,-0.41,-38.25
264,105.81,31.71,-8.99,-53.64
265,77.62,-47.94,-15.76,-55.91
266,51.78,188.38,-7.55,-34.81
267,-94.36,28.31,-13.68,-60.3
268,195.57,137.27,-18.04,-52.14
269,-18.42,37.39,-4.74,-37.36
270,109.93,143.78,-7.26,-41.39
271,-4.82,90.97,-9.58,-50.24
272,41.11,124.69,-3.04,-40.68
273,30.18,-85.08,-4.57,-49.01
274,-55.25,67.21,-0.97,-34.67
275,-115.08,-43.94,-4.52,-33.44
276,207.36,45.26,-37.43,-71.07
277,188.19,189.4,-44.76,-58.74
278,-4.37,-30.04,8.16,-39.29
279,5.63,69.92,-0.95,-31.89
280,-27.37,-43.79,-18.03,-48.34
281,-108.32,48.42,-18.25,-46.92
282,15.85,-82.43,-9.85,-46.43
283,-52.12,185.79,-0.51,-38.34
284,94.11,131.19,-0.89,-35.96
285,-69.14,-230.54,-10.99,-55.28
286,-115.09,-25.65,-0.32,-47.29
287,76.85,97.19,-15.89,-57.57
288,79.6,19.51,-12.44,-54.24
289,7.55,72.02,3.49,-37.22
290,-26.39,21.06,-10.19,-50.54
291,-56.54,-63.8,-11.56,-52.33
292,-27.39,16.77,-9.55,-46.33
293,-13.39,17.53,-9.25,-43.47
294,-4.72,40.16,-7.48,-45.08
295,-80.5,-14.79,0.55,-40.5
296,73.59,129.01,-6.79,-38.43
297,30.78,-69.09,-4.38,-48.89
298,-187.42,-101.4,7.26,-35.6
299,24.79,56.47,-4.36,-45.2
300,-60.2,23.46,-1.78,-33.85
301,-92.26,-21.75,2.03,-42.58
302,125.44,71.79,-10.62,-49.8
303,-5.73,-49.99,-3.47,-41.12
304,28.53,157.34,-1.28,-36.76
305,-15.38,28.66,-8.2,-46.5
306,3.21,-37.21,1.74,-36.71
307,19.18,-3.96,-7.81,-40.7
308,6.33,-1.12,-3.36,-38.38
309,-54.97,-26.95,1.5,-30.87
310,-53.91,-1.59,3.65,-30.52
311,109.05,112.68,-14.02,-45.16
312,-27.05,-30.01,2.17,-41.68
313,-6.5,12.63,0.36,-31.14
314,-55.14,-11.92,1.55,-32.94
315,-26.22,27.63,3.52,-35.17
316,-12.54,57.44,-0.44,-34.64
317,-115.17,-67.83,14.6,-23.78
318,82.27,56.74,8.09,-19.07
319,40.13,82.91,-11.7,-42.55
320,-45.65,-5.18,-2.23,-37.68
321,-10.57,1.06,-7.37,-39.21
322,-54.09,2.15,10.5,-19.49
323,-4.82,19.66,4.93,-26.03
324,68.27,101.03,-0.07,-30.9
325,74.16,194.78,-5.01,-32.65
326,-140.29,-145.44,4.5,-25.05
327,4.42,-49.81,9.32,-17.39
328,32.7,13.56,-1.74,-32.92
329,-8.31,64.54,-10.6,-38.6
330,-57.47,44.56,8.47,-13.95
331,20.17,10.4,-2.35,-25.58
332,-34.22,18.69,4.56,-20.88
333,-11.85,38.78,5.57,-18.66
334,-15.81,-24.16,0.52,-28.84
335,-25.55,30.74,-0.22,-23.27
336,-13.53,44.3,4.21,-18.16
337,-37.26,19.54,2.9,-24.03
338,12.37,121.07,1.98,-24.76
339,-44.44,111.68,-5.1,-23.09
340,39.81,-63.76,4.35,-19.25
341,-94.36,-69.31,14.0,-10.68
342,60.98,290.32,-15.07,-31.56
343,-31.87,-105.99,-2.29,-29.71
344,-3.72,9.68,3.47,-21.51
345,61.56,88.25,7.61,-13.93
346,-118.46,-18.15,-0.53,-22.74
347,-41.72,42.8,1.37,-21.67
348,-45.29,10.93,6.08,-18.75
349,38.37,-4.7,1.6,-27.91
350,-36.82,30.68,2.56,-22.36
351,-19.36,-0.1,2.45,-23.22
352,131.01,113.28,3.75,-18.11
353,-72.52,0.91,-10.84,-27.63
354,-93.65,-19.38,18.63,-10.74
355,8.66,47.53,4.44,-13.64
356,48.19,87.13,0.78,-21.77
357,-65.45,15.92,-2.3,-26.5
358,-36.74,-6.73,7.38,-16.88
359,105.58,9.71,-2.27,-26.6
360,-21.45,22.99,2.15,-13.27
361,191.6,60.11,5.64,-13.42
362,-297.4,99.85,3.37,-18.07
363,-15.26,79.14,5.61,-21.12
364,-16.76,-39.87,5.03,-23.62
365,100.87,207.92,-1.52,-20.2
366,29.72,-24.96,-3.75,-28.78
367,-93.45,-117.16,6.66,-24.03
368,-16.83,5.83,5.34,-16.17
369,71.76,97.4,-12.36,-21.72
370,-97.87,-17.64,22.07,-11.5
371,15.04,58.55,8.23,-10.25
372,-100.64,-7.8,-0.42,-19.32
373,137.77,172.38,3.18,-21.18
374,-18.37,0.86,-1.16,-16.73
375,-0.27,45.3,8.2,-17.21
376,-75.02,2.53,2.53,-17.65
377,-99.91,28.7,11.66,-5.16
378,118.27,73.13,8.62,-15.02
379,64.03,50.49,-2.68,-20.87
380,-125.7,8.24,4.07,-19.77
381,-2.42,36.81,4.21,-14.62
382,17.16,75.62,-0.83,-18.68
383,-71.19,4.34,3.76,-17.55
384,-15.16,57.73,0.29,-16.17
385,-49.61,59.66,1.62,-13.57
386,-32.09,5.02,8.42,-14.64
387,-13.32,70.52,5.0,-11.8
388,38.22,29.51,9.84,-9.15
389,72.27,110.4,-0.29,-15.45
390,-108.77,-37.97,-3.58,-17.28
391,-79.29,-39.25,11.5,-6.7
392,-74.29,8.79,10.25,-6.31
393,43.93,106.72,2.92,-13.08
394,57.24,26.23,4.48,-22.03
395,17.41,38.89,0.81,-10.43
396,-19.96,67.9,6.91,-11.19
397,-19.49,1.52,-2.82,-25.64
398,15.18,22.24,12.81,-12.48
399,-89.29,19.51,11.76,-9.8
400,-41.93,59.01,3.41,-20.1
401,15.93,60.26,0.47,-19.79
402,36.16,109.19,-2.45,-16.66
403,-54.04,-22.55,0.85,-13.73
404,-52.2,-12.41,3.19,-14.7
405,-37.71,22.08,0.93,-13.3
406,-12.72,51.14,4.31,-16.06
407,62.33,81.22,3.85,-13.1
408,-66.35,8.29,12.33,-8.46
409,99.01,70.75,2.58,-17.47
410,-38.4,20.22,-2.02,-24.58
411,19.6,50.53,1.44,-14.49
412,-20.6,31.62,5.76,-15.64
413,11.99,53.79,1.62,-16.66
414,-149.05,35.82,12.18,-7.24
415,-82.43,-0.63,7.35,-16.24
416,40.62,51.9,2.44,-16.58
417,-4.2,67.03,4.87,-14.86
418,-92.4,73.73,7.37,-10.53
419,69.62,94.97,0.41,-19.12
420,-19.61,-20.58,8.11,-14.88
421,-51.38,33.65,10.38,-9.45
422,27.51,112.14,-3.19,-18.94
423,-16.88,-80.95,6.88,-16.39
424,35.92,20.59,9.3,-13.86
425,31.74,70.02,10.68,-10.47
426,-73.53,26.96,2.18,-16.21
427,-11.79,39.68,5.94,-10.43
428,-9.6,44.45,10.71,-14.41
429,-5.97,40.19,8.8,-13.82
430,-14.05,37.38,3.58,-14.12
431,-74.06,34.1,8.07,-9.85
432,-26.6,28.58,7.5,-13.16
433,-31.38,63.77,11.95,-12.07
434,93.96,91.92,7.02,-12.69
435,-1.78,29.57,2.47,-14.2
436,90.95,73.79,0.65,-19.45
437,-172.22,-7.22,6.77,-11.54
438,-117.6,-38.34,4.25,-15.66
439,-8.14,24.37,10.7,-13.69
440,26.29,71.93,4.33,-16.23
441,16.37,5.36,3.19,-17.31
442,-14.38,30.6,2.83,-17.86
443,-29.16,28.42,6.12,-11.34
444,-10.86,76.05,9.28,-12.07
445,-18.13,2.19,11.62,-10.26
446,-7.04,74.63,3.79,-12.73
447,-32.52,16.85,7.21,-12.45
448,20.6,29.72,-0.65,-12.58
449,-30.83,85.42,3.49,-11.43
450,-23.39,70.64,4.67,-12.27
451,-20.19,-36.01,3.49,-18.94
