,ch1,ch2,ch3,ch4
0,-3.2,-25.29,14.66,19.99
1,16.72,27.17,-14.35,-88.39
2,-52.87,61.52,47.69,15.12
3,-38.98,10.03,21.69,-42.1
4,-10.1,-14.62,-49.52,-5.88
5,-26.1,-25.95,4.85,86.94
6,7.5,128.09,-1.52,-36.15
7,24.12,-56.03,10.36,-38.31
8,-62.71,-8.81,-1.18,1.79
9,-49.64,45.5,2.26,2.73
10,-20.74,-15.8,1.69,-43.45
11,-13.0,21.02,28.6,-22.48
12,5.98,74.35,-14.54,-47.79
13,33.25,89.68,12.98,4.26
14,-31.88,5.54,-7.32,-79.72
15,-8.81,-52.82,36.98,37.99
16,-11.62,-6.8,8.04,11.85
17,-6.9,-20.9,-25.08,-43.52
18,-61.51,-34.69,-7.17,-65.84
19,8.47,133.39,-2.65,-19.41
20,-76.55,76.48,7.19,21.38
21,-53.31,-115.25,28.09,40.63
22,84.62,9.68,65.15,-5.58
23,39.34,-4.33,-39.88,-34.68
24,-26.9,101.32,-27.71,-39.47
25,-6.89,63.5,-11.21,24.07
26,-25.09,0.28,0.92,-44.45
27,-14.39,-5.63,-4.66,-59.3
28,-6.63,-15.13,5.95,82.74
29,-27.43,38.87,0.02,-56.06
30,-12.84,102.75,5.94,-29.63
31,-79.8,-79.36,2.32,-51.0
32,28.8,-9.59,24.64,25.84
33,25.19,42.76,7.83,-0.84
34,-9.46,-27.86,-11.9,-41.26
35,-53.35,56.99,-1.68,-6.67
36,-34.9,-41.58,12.08,2.61
37,3.29,-75.19,-14.53,-43.47
38,-30.42,-1.4,8.77,-21.63
39,-15.59,248.51,4.3,-21.25
40,19.89,-25.55,1.66,-45.15
41,-26.46,-90.71,14.83,28.26
42,-35.64,100.99,-3.76,-51.31
43,-62.17,-86.69,6.21,-14.14
44,31.94,132.67,2.4,-17.98
45,-13.13,-8.92,15.06,-44.3
46,0.65,4.89,59.34,-4.88
47,-11.44,-91.72,-20.45,82.52
48,-36.97,30.99,-22.81,-57.2
49,-26.08,19.03,27.55,-39.58
50,20.77,55.8,3.54,-65.68
51,-10.97,13.49,-18.05,16.74
52,-25.34,26.99,5.24,115.46
53,-28.39,48.32,-8.73,-112.53
54,0.01,-102.76,-2.06,-42.95
55,-19.23,40.05,2.58,-16.1
56,-29.01,-32.03,-9.53,-22.15
57,-2.68,61.75,4.61,23.64
58,-21.23,0.94,1.89,-16.98
59,-5.45,91.15,4.94,-5.7
60,-41.5,39.08,7.33,-4.18
61,-74.05,-130.31,-18.12,-95.04
62,2.68,-45.34,12.71,16.65
63,29.55,39.29,-0.56,-5.41
64,-5.11,-41.15,-1.46,-8.6
65,-10.92,19.82,-6.01,-40.45
66,-11.63,50.18,-2.06,-29.69
67,-11.13,70.07,70.9,10.51
68,-64.98,23.43,-7.39,-32.69
69,7.51,-74.52,-32.48,-7.15
70,23.67,-36.28,-14.62,-38.45
71,-25.19,40.49,2.06,-9.8
72,-20.65,83.83,-2.13,-19.43
73,-18.26,11.77,11.2,-19.18
74,-21.34,6.92,6.28,-24.82
75,-31.28,-68.17,-4.07,-13.42
76,-16.15,57.36,-1.37,-18.93
77,-24.66,-74.36,19.91,-0.29
78,-25.75,-18.97,-9.65,39.86
79,-23.33,-24.99,14.2,-30.87
80,3.03,77.08,3.29,4.9
